Case	f0	q	M_tot	chi1	chi2	theta1	phi1	theta2	phi2	f_peak
1	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	0.7853981633974483	91.47655013295052
2	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	1.5707963267948966	91.47655013295052
3	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	2.356194490192345	91.47655013295052
4	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	3.141592653589793	91.47655013295052
5	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	3.9269908169872414	91.47655013295052
6	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	4.71238898038469	91.47655013295052
7	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	5.497787143782138	91.47655013295052
8	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	0.5235987755982988	6.283185307179586	91.47655013295052
9	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	0.7853981633974483	88.00174682759202
10	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	1.5707963267948966	88.00174682759202
11	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	2.356194490192345	88.00174682759202
12	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	3.141592653589793	88.00174682759202
13	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	3.9269908169872414	88.00174682759202
14	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	4.71238898038469	88.00174682759202
15	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	5.497787143782138	88.00174682759202
16	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.1229639298659642	6.283185307179586	88.00174682759202
17	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	0.7853981633974483	85.19924059085135
18	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	1.5707963267948966	85.19924059085135
19	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	2.356194490192345	85.19924059085135
20	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	3.141592653589793	85.19924059085135
21	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	3.9269908169872414	85.19924059085135
22	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	4.71238898038469	85.19924059085135
23	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	5.497787143782138	85.19924059085135
24	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	1.5707963267948966	6.283185307179586	85.19924059085135
25	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	0.7853981633974483	82.59594985686579
26	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	1.5707963267948966	82.59594985686579
27	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	2.356194490192345	82.59594985686579
28	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	3.141592653589793	82.59594985686579
29	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	3.9269908169872414	82.59594985686579
30	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	4.71238898038469	82.59594985686579
31	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	5.497787143782138	82.59594985686579
32	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.018628723723829	6.283185307179586	82.59594985686579
33	7.5	0.9	150	0.8	0.8	0.5235987755982988	0	2.6179938779914944	0.7853981633974483	80.4754074798582
