Case	f0	q	M_tot	chi1	chi2	theta1	phi1	theta2	phi2	f_peak
1	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	0.7853981633974483	366.66481642446865
2	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	1.5707963267948966	366.66481642446865
3	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	2.356194490192345	366.66481642446865
4	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	3.141592653589793	366.66481642446865
5	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	3.9269908169872414	366.66481642446865
6	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	4.71238898038469	366.66481642446865
7	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	5.497787143782138	366.66481642446865
8	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	0.5235987755982988	6.283185307179586	366.66481642446865
9	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	0.7853981633974483	350.4538146380293
10	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	1.5707963267948966	350.4538146380293
11	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	2.356194490192345	350.4538146380293
12	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	3.141592653589793	350.4538146380293
13	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	3.9269908169872414	350.4538146380293
14	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	4.71238898038469	350.4538146380293
15	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	5.497787143782138	350.4538146380293
16	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.1229639298659642	6.283185307179586	350.4538146380293
17	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	0.7853981633974483	340.7986669037768
18	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	1.5707963267948966	340.7986669037768
19	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	2.356194490192345	340.7986669037768
20	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	3.141592653589793	340.7986669037768
21	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	3.9269908169872414	340.7986669037768
22	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	4.71238898038469	340.7986669037768
23	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	5.497787143782138	340.7986669037768
24	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	1.5707963267948966	6.283185307179586	340.7986669037768
25	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	0.7853981633974483	329.5455707657134
26	30.	0.9	37.5	0.8	0.8	0.5235987755982988	0	2.018628723723829	1.5707963267948966	329.5455707657134
