Case	f0	q	M_tot	chi1	chi2	theta1	phi1	theta2	phi2	f_peak
1	11.260655781736903	1.6717285168576899	168.6743765792362	0.4994364863082503	0.2486064937248107	1.6634591528322542	0	1.2230747879994863	3.854796098043538	68.16088146743081
2	26.750992416438375	2.906142537819993	71.0027438030281	0.2072556582552093	0.7985456045333261	0.39886633085600376	0	2.276554577295222	2.0968064648431852	159.2109608208569
3	19.732358861776763	1.7764114615492241	96.25769269813517	0.6978454927264817	0.7647080627256577	1.3752954168703821	0	1.514742990496952	0.33601885184414204	121.80269856497591
4	26.534835354793266	3.032662429963148	71.58114146120934	0.46188114143833103	0.21921411896595755	1.8669810755646379	0	1.9705809452828595	2.526212054708143	149.9488947523602
5	11.495267164467066	1.2309879064449945	165.23186550897435	0.4811336040601366	0.2129053291789733	0.8651108989362706	0	1.2276937407792292	5.481205262377193	72.76656517458616
6	16.260850423457413	3.558494363083007	116.80749967452704	0.6937872577914879	0.34536903610493985	2.3463135747900785	0	0.92244691540527	0.8220732140488245	86.14443381026634
7	33.26074611422422	2.2219311878778853	46.3045115620541	0.6571706362830767	0.4624754125654553	1.4090030447804627	0	0.19940224653791594	5.426426422937595	255.09205235945268
8	26.650265429512665	3.342678856686973	71.27110381728954	0.5412767826026754	0.7294854117361387	2.0881967797390617	0	1.4058563276229068	1.9156529426982978	146.59521335263102
9	14.327133942956754	2.814408916702221	132.57276099893966	0.36084693719889416	0.14933213713932292	1.540815933089535	0	2.172274235554753	1.262555183629133	83.67736363066038
10	11.359631461795333	3.7652183328780087	167.2047413870216	0.6697882251042584	0.3712932756156433	1.164002716377353	0	1.4843316421138215	1.5470437604945388	68.94767872628246
11	32.13727212958988	2.8529206990744242	53.60709976476551	0.5857578116168367	0.30369656155339053	2.2117192093287312	0	0.5996688972634971	0.9758139849519827	197.38196377543176
12	9.810451891173951	2.819617596706956	193.60796236186218	0.5421687275520659	0.6540367208153985	1.5120434477689175	0	1.134254607827837	4.150370441399103	58.36106350357564
13	10.447630560355433	3.9934876503986896	181.80033934861387	0.3215936851251713	0.18844805045378843	1.0906813953535976	0	0.7358345619757841	3.0916991141067385	61.38432117649971
14	24.211182974117975	3.301465975633488	78.45106611351304	0.1579557733277801	0.32982228520970713	1.9846383609360676	0	1.4884872927045933	3.907080097921911	138.1107911844388
15	33.14113480297667	1.7654953144921626	47.08198586263748	0.7985887628303108	0.47039049336162986	1.8861977379441428	0	1.2710044224076527	5.068663535961409	238.55905795102993
16	7.095649673031776	3.7794602895319205	216.3778085031019	0.42136933856934733	0.12667096300129688	1.366574630593226	0	2.9534546937654143	5.118401044072417	50.68627865790338
17	12.443643168106307	1.6084152432823227	152.63903599069164	0.4595049147215817	0.6441008776647001	2.007659243717037	0	1.4119875392316323	5.6071512393238745	74.18825742416175
18	6.591210737291089	1.1762659934924966	219.65666486427273	0.27403711361552285	0.28398358721985506	1.1272144493569984	0	1.6812350507125033	2.9636506592953875	52.966373306507926
