Case_No	SXS_number	f_peak
0.0	3.0	77.44230468049493
1.0	6.0	74.73112594753697
2.0	10.0	72.1856607645197
3.0	11.0	81.96575644899809
4.0	15.0	76.47500407607833
5.0	17.0	76.40180089895618
6.0	18.0	76.47499720112533
7.0	20.0	82.85769978722553
8.0	21.0	74.10583592091291
9.0	22.0	79.16862053361031
10.0	23.0	76.36830490043477
11.0	24.0	76.42097491289326
12.0	26.0	82.8575629542869
13.0	27.0	76.39446894293809
14.0	28.0	82.84914247466712
15.0	29.0	76.41782881422151
16.0	32.0	66.3768088530089
17.0	34.0	71.72137301870687
18.0	35.0	71.87636058631732
19.0	37.0	71.81890567816568
20.0	42.0	66.4021833723905
21.0	43.0	79.64007378493177
22.0	44.0	71.78438189236584
23.0	48.0	81.13577831025422
24.0	49.0	72.9059942176933
25.0	50.0	71.7681421369973
26.0	51.0	81.13575569629533
27.0	52.0	70.83243285129149
28.0	53.0	71.76110657146499
29.0	58.0	68.30198362635103
30.0	62.0	65.19344225238429
31.0	75.0	76.40180126447802
32.0	76.0	76.40180235963541
33.0	77.0	76.38097047239435
34.0	78.0	76.39447513754021
35.0	79.0	76.40180088405961
36.0	80.0	76.40179980402112
37.0	81.0	76.48772614146932
38.0	82.0	76.38374652459403
39.0	88.0	77.49308453214911
40.0	92.0	72.22539045969577
41.0	94.0	76.4221028246603
42.0	95.0	76.40173329001445
43.0	96.0	76.40179683545313
44.0	97.0	76.48658476201591
45.0	98.0	76.39459615491494
46.0	99.0	76.48682094226456
47.0	102.0	76.41773435906413
48.0	103.0	76.48680918798036
49.0	104.0	81.13575328142029
50.0	115.0	77.91613901291196
51.0	116.0	78.38662671846194
52.0	117.0	76.38579969976531
53.0	118.0	82.86160860413948
54.0	119.0	79.92065485858662
55.0	120.0	76.42389223772862
56.0	121.0	78.43533962291635
57.0	123.0	74.85849624595568
58.0	124.0	79.77481631847489
59.0	125.0	76.91185993489836
60.0	126.0	79.33677818763061
61.0	129.0	77.35425861840604
62.0	130.0	78.650573514357
63.0	132.0	77.33705552718351
64.0	133.0	74.49148538472906
65.0	134.0	76.6234349530875
66.0	135.0	75.25102032796615
67.0	136.0	80.84347050671357
68.0	137.0	74.37577697646034
69.0	138.0	75.8099047326968
70.0	139.0	77.89170659889821
71.0	140.0	73.28438545344068
72.0	141.0	76.53933728128453
73.0	142.0	74.8718284451935
74.0	143.0	81.16473044146105
75.0	144.0	72.3409783344319
76.0	146.0	73.24507524034298
77.0	161.0	72.84551399230814
78.0	163.0	77.49700855494216
79.0	164.0	83.0810631718094
80.0	165.0	60.90878567239306
81.0	173.0	74.28793296123887
82.0	179.0	92.55606768218395
83.0	308.0	76.50292273181392
84.0	627.0	70.91130098760769
85.0	628.0	72.23994825767289
86.0	629.0	73.00077450531315
87.0	630.0	73.36461787687318
88.0	632.0	74.14474183320603
89.0	633.0	72.25120893776045
