Case_No	SXS_number	f_peak
0.0	1389.0	73.41306745567195
1.0	1390.0	75.66554002986585
2.0	1391.0	71.51773276736606
3.0	1392.0	77.10296983186662
4.0	1393.0	75.94426694298636
5.0	1394.0	72.95563597336523
6.0	1395.0	78.43435501223853
7.0	1396.0	79.84965054717948
8.0	1397.0	74.85986669728806
9.0	1398.0	78.4495365965849
10.0	1399.0	74.62736209656731
11.0	1400.0	72.40250115543623
12.0	1401.0	80.2085134764943
13.0	1402.0	75.09894396918503
14.0	1403.0	81.79457153255589
15.0	1404.0	76.78593769502123
16.0	1405.0	78.37245417135374
17.0	1406.0	80.00689887527753
18.0	1407.0	82.98033155801242
19.0	1408.0	72.69290914641714
20.0	1409.0	66.05920666235737
21.0	1410.0	74.5462713035257
22.0	1411.0	73.4242775980663
