Case_No	SXS_number	f_peak
0.0	57.0	65.32505665989497
1.0	122.0	71.1705258176345
2.0	483.0	83.00126881352053
3.0	623.0	77.58986040171942
4.0	624.0	90.69304176896982
5.0	628.0	72.23994825767289
6.0	632.0	74.14474183320603
7.0	709.0	75.30963624628785
8.0	710.0	74.82145298965229
9.0	711.0	75.05843644686358
10.0	715.0	74.76434458282988
11.0	716.0	74.88570623691842
12.0	717.0	74.84630600046746
13.0	720.0	74.72548828553188
14.0	721.0	75.05632420241396
15.0	722.0	74.70618169077504
16.0	731.0	74.99751223672634
17.0	732.0	74.76855382846038
18.0	739.0	74.94957250668445
19.0	740.0	74.82032570294835
20.0	748.0	83.95341770948
21.0	749.0	83.90619494975358
22.0	751.0	83.76026299031497
23.0	752.0	84.354638354827
24.0	757.0	83.87571588277059
25.0	758.0	83.90464799287426
26.0	764.0	77.47951512565152
27.0	765.0	74.78170138069322
28.0	766.0	74.69800173267983
29.0	767.0	77.40912650695806
30.0	768.0	74.80250789143957
31.0	770.0	74.80887506419054
32.0	771.0	75.15890877078999
33.0	772.0	74.93268255677171
34.0	777.0	75.14346643307755
35.0	778.0	74.83672755658179
36.0	780.0	74.98132816626111
37.0	786.0	73.2901248017769
38.0	787.0	68.58362513990186
39.0	788.0	73.34428160212106
40.0	789.0	68.53043819621908
41.0	790.0	73.31240799886596
42.0	791.0	68.59744307260782
43.0	793.0	73.36787972083033
44.0	794.0	68.67340346154651
45.0	796.0	68.74116917205761
46.0	798.0	68.51975630073667
47.0	803.0	73.40230138789084
48.0	804.0	68.64383078097316
49.0	806.0	68.57343300778072
50.0	808.0	68.72957847410473
51.0	812.0	74.86935460492631
52.0	813.0	75.31605420200667
53.0	814.0	75.00968696573084
54.0	820.0	74.7410470242012
55.0	821.0	74.92018803610172
56.0	822.0	77.48953942014042
57.0	823.0	74.75403120458641
58.0	829.0	75.31127183461743
59.0	830.0	74.81914355150482
60.0	838.0	77.47853739352115
61.0	839.0	74.78185747352762
62.0	840.0	74.72813140843577
63.0	841.0	77.4100944951373
64.0	842.0	74.80216599496667
65.0	853.0	77.58083987997588
66.0	855.0	77.44383544172544
67.0	856.0	77.46606279627433
68.0	861.0	77.47199240376911
69.0	863.0	77.53152816114202
70.0	865.0	77.46961246844964
71.0	872.0	77.49163854827007
72.0	873.0	75.03875781130985
73.0	874.0	77.52359242470187
74.0	876.0	77.4385830127282
75.0	886.0	77.23211081932685
76.0	887.0	82.6119434224902
77.0	888.0	77.01067762452456
78.0	890.0	76.9865869106973
79.0	896.0	77.01245816031094
80.0	897.0	82.66997892214181
81.0	898.0	76.98952457239129
82.0	900.0	77.241771524748
83.0	906.0	77.47354357048623
84.0	907.0	82.60472793060971
85.0	908.0	76.94260786561533
86.0	910.0	76.9248570981273
87.0	915.0	74.89603554782322
88.0	917.0	74.87236465880665
89.0	918.0	74.96885534952514
90.0	924.0	74.94940194008925
91.0	925.0	77.60686861832902
92.0	926.0	74.87703962410218
93.0	927.0	77.47697081941361
94.0	928.0	74.94574042908766
95.0	934.0	75.35568468097738
96.0	935.0	77.39675477987514
97.0	936.0	74.82663639153195
98.0	937.0	74.73823616897863
99.0	942.0	73.00738109264745
100.0	943.0	72.90726012885239
101.0	944.0	73.03442051760791
102.0	949.0	72.98809343587963
103.0	950.0	73.02132649661212
104.0	951.0	72.664946574292
105.0	956.0	73.1427319509192
106.0	957.0	72.95576242135547
107.0	958.0	73.0160276640908
108.0	963.0	77.4376233698158
109.0	964.0	74.87242682353326
110.0	965.0	77.66429239242403
111.0	966.0	74.99431367044015
112.0	967.0	77.5104576123356
113.0	968.0	74.99530565770003
114.0	974.0	75.20145619087965
115.0	976.0	74.82527404000648
116.0	977.0	74.69739147050757
117.0	981.0	75.22811090580568
118.0	982.0	77.38449394112831
119.0	983.0	74.78921440261016
120.0	984.0	74.72904135827575
121.0	989.0	74.89219684970095
122.0	991.0	74.8740040850044
123.0	992.0	74.97254441507066
124.0	1000.0	84.66755347086385
125.0	1005.0	75.81670291939935
126.0	1006.0	78.47359395035566
127.0	1008.0	71.29044565110222
128.0	1009.0	71.8671454132612
129.0	1010.0	74.93489142627557
130.0	1012.0	75.20789968780777
