Case_No	SXS_number	f_peak
0.0	3.0	309.77015619731156
1.0	6.0	298.13798582974493
2.0	10.0	289.51569472078955
3.0	11.0	327.0741486652012
4.0	15.0	304.33968244628636
5.0	17.0	305.60694182563793
6.0	18.0	304.3396549670776
7.0	20.0	331.4307075772318
8.0	21.0	295.63743996732643
9.0	22.0	317.453173714209
10.0	23.0	305.4729583039441
11.0	24.0	305.6836365409913
12.0	26.0	331.43016023888134
13.0	27.0	305.57761385912175
14.0	28.0	331.3964774961252
15.0	29.0	305.67105409212263
16.0	32.0	264.140480789478
17.0	34.0	287.58431448880026
18.0	35.0	286.1144963609777
19.0	37.0	285.88583836842156
20.0	42.0	264.24103855711803
21.0	43.0	319.9842106700721
22.0	44.0	287.1385046112377
23.0	48.0	325.2550723891619
24.0	49.0	292.31968077978655
25.0	50.0	288.4743671971667
26.0	51.0	325.25498328602396
27.0	52.0	284.0369392521285
28.0	53.0	288.4460824538155
29.0	58.0	273.20839467376175
30.0	62.0	261.39345160259757
31.0	75.0	305.6069432886147
32.0	76.0	305.6069476682808
33.0	77.0	306.3061983166235
34.0	78.0	304.7970122783176
35.0	79.0	305.60694176353184
36.0	80.0	305.60693744612007
37.0	81.0	306.73517321158437
38.0	82.0	304.7541899717953
39.0	88.0	310.7738701654761
40.0	92.0	289.6751708687573
41.0	94.0	304.9072904671573
42.0	95.0	305.6066713861654
43.0	96.0	305.60692557177396
44.0	97.0	305.16490875031343
45.0	98.0	306.36093557284215
46.0	99.0	306.73180127229267
47.0	102.0	305.6706762696403
48.0	103.0	306.7317542355161
49.0	104.0	325.25497354129465
50.0	115.0	310.8689938849163
51.0	116.0	314.3463704585232
52.0	117.0	307.14241002906977
53.0	118.0	332.24913767650435
54.0	119.0	320.48669009256923
55.0	120.0	307.29326012299026
56.0	121.0	312.9421324984047
57.0	123.0	297.85336939383944
58.0	124.0	319.89564014224356
59.0	125.0	306.85681084226036
60.0	126.0	316.55568840617923
61.0	129.0	308.6268130093777
62.0	130.0	313.03479445632547
63.0	132.0	308.5786332664439
64.0	133.0	298.7399490973476
65.0	134.0	306.4935073814424
66.0	135.0	301.0037303044707
67.0	136.0	322.5989003684991
68.0	137.0	296.73531658220725
69.0	138.0	301.69832669834716
70.0	139.0	313.1059782386978
71.0	140.0	294.65731806604634
72.0	141.0	307.6881692870856
73.0	142.0	299.48700865837753
74.0	143.0	323.8896080123874
75.0	144.0	290.8615749481096
76.0	146.0	292.22187388967774
77.0	161.0	291.3817828716484
78.0	163.0	308.39624398562427
79.0	164.0	332.3251691160115
80.0	165.0	244.22272705994294
81.0	173.0	296.3725553089352
82.0	179.0	368.6397502994455
83.0	308.0	305.21326769737107
84.0	627.0	282.1481233860238
85.0	628.0	288.95960553566226
86.0	629.0	291.2386031867393
87.0	630.0	292.69074550154465
88.0	632.0	294.9935201063015
89.0	633.0	289.00486061060326
