Case_No	SXS_number	f_peak
0.0	1389.0	292.8866894878357
1.0	1390.0	302.66275968378517
2.0	1391.0	286.07062219076016
3.0	1392.0	307.62551948053266
4.0	1393.0	303.01371339011126
5.0	1394.0	291.8229792818537
6.0	1395.0	314.52303147954007
7.0	1396.0	320.92174992209397
8.0	1397.0	298.6661176961972
9.0	1398.0	312.2057198996932
10.0	1399.0	297.7393275585095
11.0	1400.0	289.60970804360676
12.0	1401.0	320.8340502214103
13.0	1402.0	301.9702668564014
14.0	1403.0	327.9758721959909
15.0	1404.0	307.1436283324911
16.0	1405.0	314.2650249330355
17.0	1406.0	320.02774053813164
18.0	1407.0	333.5161996151418
19.0	1408.0	290.0096120889495
20.0	1409.0	265.52462174320414
21.0	1410.0	298.18542902697146
22.0	1411.0	295.03103243681477
