Case_No	SXS_number	f_peak
0.0	57.0	261.92069645842906
1.0	122.0	285.467996511609
2.0	483.0	330.4340062485167
3.0	623.0	309.56200550571015
4.0	624.0	364.36351079511485
5.0	628.0	288.95960553566226
6.0	632.0	294.9935201063015
7.0	709.0	301.23820246795094
8.0	710.0	298.5335700892265
9.0	711.0	299.48062055357207
10.0	715.0	299.0571388846085
11.0	716.0	298.7905015815574
12.0	717.0	298.6331562176748
13.0	720.0	298.1501107825601
14.0	721.0	299.4723835212274
15.0	722.0	298.82448174140285
16.0	731.0	299.23759351101063
17.0	732.0	298.3220355683867
18.0	739.0	299.0456598596927
19.0	740.0	299.28094367498477
20.0	748.0	335.81330461538295
21.0	749.0	336.39058280229483
22.0	751.0	336.5750251219191
23.0	752.0	338.1849485405144
24.0	757.0	335.50173896170577
25.0	758.0	334.85192969480795
26.0	764.0	308.32615650023297
27.0	765.0	299.12656669830875
28.0	766.0	298.79164919429957
29.0	767.0	308.84040941232365
30.0	768.0	298.4579351181141
31.0	770.0	298.4832706413659
32.0	771.0	299.13451758986105
33.0	772.0	299.73037537778566
34.0	777.0	299.8214745193146
35.0	778.0	298.594547434063
36.0	780.0	299.17220896033945
37.0	786.0	292.37090915916536
38.0	787.0	273.59889578414067
39.0	788.0	291.79918938020006
40.0	789.0	273.3871770890211
41.0	790.0	291.6717810284896
42.0	791.0	274.3894417145374
43.0	793.0	291.89350419187315
44.0	794.0	273.9575321805896
45.0	796.0	274.2285435471238
46.0	798.0	273.34411657776167
47.0	803.0	292.8194426048602
48.0	804.0	274.5749895848039
49.0	806.0	274.2934008577357
50.0	808.0	274.9179660672938
51.0	812.0	298.7248623178575
52.0	813.0	300.5109321148331
53.0	814.0	300.0383968328511
54.0	820.0	298.2125022508814
55.0	821.0	298.9282006340382
56.0	822.0	308.3662384138349
57.0	823.0	299.0157610661197
58.0	829.0	301.2447447618682
59.0	830.0	298.5243399157306
60.0	838.0	308.32224766193764
61.0	839.0	299.1271909304634
62.0	840.0	297.41146484231643
63.0	841.0	308.8442803993203
64.0	842.0	298.4565719970807
65.0	853.0	308.7312433414391
66.0	855.0	308.1835196795521
67.0	856.0	308.2724094462055
68.0	861.0	308.2961052930193
69.0	863.0	308.5341062969685
70.0	865.0	308.2865754855871
71.0	872.0	308.3746254130028
72.0	873.0	299.4020973378069
73.0	874.0	308.502392787463
74.0	876.0	308.1625378616176
75.0	886.0	308.18205684468626
76.0	887.0	329.6498157330293
77.0	888.0	307.2985084629527
78.0	890.0	309.4416367720665
79.0	896.0	307.3055192702351
80.0	897.0	329.8819771274164
81.0	898.0	307.2143450198224
82.0	900.0	308.22249846935597
83.0	906.0	311.39126864463464
84.0	907.0	329.6209791042419
85.0	908.0	307.026065957677
86.0	910.0	306.9538904311702
87.0	915.0	299.58378806895917
88.0	917.0	299.48909910176894
89.0	918.0	299.12270962244935
90.0	924.0	299.04475645300494
91.0	925.0	308.83533406572644
