SXS_sim_ID	chi_p0	chi_pMax	Max_Res
57	0	0	5
122	0	0	5
483	0	0	3
623	0	0	4
624	0	0	3
628	0	0	3
632	0	0	3
709	0	0	3
710	0	0	3
711	0	0	3
715	0	0	3
716	0	0	3
717	0	0	3
720	0	0	3
721	0	0	3
722	0	0	3
731	0	0	3
732	0	0	3
739	0	0	3
740	0	0	3
748	0	0	3
749	0	0	3
751	0	0	3
752	0	0	3
757	0	0	3
758	0	0	3
764	0	0	3
765	0	0	3
766	0	0	3
767	0	0	3
768	0	0	3
770	0	0	3
771	0	0	3
772	0	0	3
777	0	0	3
778	0	0	3
780	0	0	3
786	0	0	3
787	0	0	3
788	0	0	3
789	0	0	3
790	0	0	3
791	0	0	3
793	0	0	3
794	0	0	3
796	0	0	3
798	0	0	3
803	0	0	3
804	0	0	3
806	0	0	3
808	0	0	3
812	0	0	3
813	0	0	3
814	0	0	3
820	0	0	3
821	0	0	3
822	0	0	3
823	0	0	3
829	0	0	3
830	0	0	3
838	0	0	3
839	0	0	3
840	0	0	3
841	0	0	3
842	0	0	3
853	0	0	3
855	0	0	3
856	0	0	3
861	0	0	3
863	0	0	3
865	0	0	3
872	0	0	3
873	0	0	3
874	0	0	3
876	0	0	3
886	0	0	3
887	0	0	3
888	0	0	3
890	0	0	3
896	0	0	3
897	0	0	3
898	0	0	3
900	0	0	3
906	0	0	3
907	0	0	3
908	0	0	3
910	0	0	3
915	0	0	3
917	0	0	3
918	0	0	3
924	0	0	3
925	0	0	3
926	0	0	3
927	0	0	3
928	0	0	3
934	0	0	3
935	0	0	3
936	0	0	3
937	0	0	3
942	0	0	3
943	0	0	3
944	0	0	3
949	0	0	3
950	0	0	3
951	0	0	3
956	0	0	3
957	0	0	3
958	0	0	3
963	0	0	3
964	0	0	3
965	0	0	3
966	0	0	3
967	0	0	3
968	0	0	3
974	0	0	3
976	0	0	3
977	0	0	3
981	0	0	3
982	0	0	3
983	0	0	3
984	0	0	3
989	0	0	3
991	0	0	3
992	0	0	3
1000	0	0	3
1005	0	0	3
1006	0	0	3
1008	0	0	3
1009	0	0	3
1010	0	0	3
1012	0	0	3
1018	0	0	3
1019	0	0	3
1020	0	0	3
1022	0	0	3
1023	0	0	3
1027	0	0	3
1028	0	0	3
1029	0	0	3
1030	0	0	3
1031	0	0	3
1033	0	0	3
1035	0	0	3
1036	0	0	3
1039	0	0	3
1041	0	0	3
1042	0	0	3
1045	0	0	3
1048	0	0	3
1049	0	0	3
1051	0	0	3
1053	0	0	3
1056	0	0	3
1057	0	0	3
1059	0	0	3
1065	0	0	3
1066	0	0	3
1067	0	0	3
1070	0	0	3
1071	0	0	3
1076	0	0	3
1077	0	0	3
1078	0	0	3
1079	0	0	3
1085	0	0	3
1086	0	0	3
1087	0	0	3
1129	0	0	5
1133	0	0	3
1188	0	0	3
1189	0	0	3
1193	0	0	3
1194	0	0	3
1195	0	0	3
1197	0	0	3
1200	0	0	3
1204	0	0	3
1205	0	0	3
1207	0	0	3
1215	0	0	3
1217	0	0	3
1224	0	0	3
1515	0	0	3
1518	0	0	3
1704	0	0	3
1762	0	0	3
1782	0	0	3
1800	0	0	3
1833	0	0	3
1846	0	0	3
1868	0	0	3
1874	0	0	3
1888	0	0	3
1890	0	0	3
1915	0	0	3
1916	0	0	3
1917	0	0	3
1918	0	0	3
1920	0	0	3
1921	0	0	3
1922	0	0	3
1923	0	0	3
1924	0	0	3
1926	0	0	3
1927	0	0	3
1928	0	0	3
1929	0	0	3
1930	0	0	3
1945	0	0	3
1946	0	0	3
1947	0	0	3
1948	0	0	3
1951	0	0	3
1952	0	0	3
1953	0	0	3
1954	0	0	3
1956	0	0	3
1957	0	0	3
1958	0	0	3
1959	0	0	3
1968	0	0	3
1969	0	0	3
1971	0	0	3
1972	0	0	3
1973	0	0	3
1975	0	0	3
1976	0	0	3
1977	0	0	3
1978	0	0	3
1979	0	0	3
1981	0	0	3
1982	0	0	3
1983	0	0	3
1984	0	0	3
1986	0	0	3
1987	0	0	3
1988	0	0	3
1989	0	0	3
1991	0	0	3
1992	0	0	3
1993	0	0	3
1994	0	0	3
1995	0	0	3
1997	0	0	3
1998	0	0	3
1999	0	0	3
2000	0	0	3
2001	0	0	3
2003	0	0	3
2004	0	0	3
2005	0	0	3
2006	0	0	3
2007	0	0	3
2009	0	0	3
2010	0	0	3
2011	0	0	3
2012	0	0	3
2015	0	0	3
2016	0	0	3
2017	0	0	3
2021	0	0	3
2022	0	0	3
2023	0	0	3
2027	0	0	3
2028	0	0	3
2032	0	0	3
2033	0	0	3
2034	0	0	3
2037	0	0	3
2038	0	0	3
2039	0	0	3
2043	0	0	3
2044	0	0	3
2045	0	0	3
2048	0	0	3
2049	0	0	3
2052	0	0	3
2053	0	0	3
2054	0	0	3
2057	0	0	3
2058	0	0	3
2061	0	0	3
2064	0	0	3
2065	0	0	3
2066	0	0	3
2069	0	0	3
2070	0	0	3
2073	0	0	3
2074	0	0	3
2075	0	0	3
2079	0	0	3
2080	0	0	3
2081	0	0	3
