Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.008180638736986046	0.001879489439042481	0.01784128477448014	0.059007163197783874	0.019527814210484492
2.0	0.006484509937596417	0.0013392356541334083	0.01363869289625849	0.05953595127812161	0.018782083624301664
3.0	0.0037761283750520347	0.0007140529302765986	0.010985125231649705	0.06278127459874394	0.020742706081699085
4.0	0.0023719567700231092	0.0007294519752139017	0.008419359421726362	0.04707976953484305	0.01497194401984061
5.0	0.002482459329045783	0.0006433486982551084	0.009696059670073425	0.05285969620090114	0.0144320032081329
6.0	0.003223741468072472	0.0005730436495219315	0.01220868233222577	0.058430668048200296	0.015302369204693413
7.0	0.006066648438895594	0.0010051267257090712	0.01767737070646724	0.06455734276059355	0.01937676900836542
8.0	0.006992190662529207	0.0016104151630230712	0.018812355699610754	0.05937940574911227	0.020371869480197313
9.0	0.015010748775061478	0.0017088955772875947	0.010561162273492549	0.025843754172471645	0.007222926956215026
10.0	0.004669244572178766	0.0013870376635334303	0.009164644597886153	0.03517097783907064	0.009573246052397764
11.0	0.0050543418489118475	0.001028146884523462	0.011307302045565579	0.04524705789345207	0.015367805434910155
12.0	0.0040487328062821515	0.000768029798660308	0.008120297217934317	0.027520101884310977	0.008367247428856856
13.0	0.005943156205461708	0.0011101000968115615	0.007779796148294905	0.027690756100154812	0.007299567935087764
14.0	0.006548823694710326	0.0014108250596766014	0.00879374400921662	0.03497632936305062	0.008263514575747265
15.0	0.008166101039412954	0.0021055025221240475	0.010042853170658974	0.023635570962837416	0.006754116598229281
16.0	0.007792189755086221	0.002852301603638807	0.012411511959547641	0.03883719889197634	0.009322213848020358
17.0	0.008769418086757352	0.0013982633752573914	0.00680672357441936	0.022010162467549388	0.005110581920827615
18.0	0.004754619645471525	0.000861915194352858	0.009092108946808135	0.0336764027254427	0.008906680253620151
19.0	0.002656726505124496	0.0005665483325437703	0.005862137023118804	0.025381055671779285	0.00741317108888447
20.0	0.0036687268846266052	0.0003531198966796323	0.005861556260565971	0.021850605517218624	0.006021414831019827
21.0	0.008715223523568794	0.0013300080094663658	0.0067389756251556325	0.021742783720063108	0.00498846251214471
22.0	0.020865874846311305	0.0012017834499582492	0.004253134403957114	0.008918836667263674	0.0019896016591079845
23.0	0.03220574248150432	0.002868247029831017	0.007946777072779874	0.01575667910579326	0.003693095951117794
24.0	0.012470183272326296	0.0033889527866518554	0.009399475128144147	0.0217247496090619	0.005397309113730248
25.0	0.010293394395431976	0.0006206968649992151	0.0038625831602892885	0.024444589980676334	0.004477052209181818
26.0	0.0022782004135515344	0.0005333316071467475	0.003387069237849855	0.027438004179919928	0.004988415271178071
27.0	0.001485808510042097	0.000510322154316456	0.005591096519959345	0.04334125064462013	0.007827978528675169
28.0	0.0014444311432111334	0.0003286492677658792	0.005851286224660553	0.026763382583649853	0.007323727465991206
29.0	0.0024306467275931887	0.00047945169167740165	0.003736734079357442	0.021666531004643774	0.004986114605055571
30.0	0.020940084333649356	0.0008842108016893224	0.0026754767199145824	0.007027586624095861	0.0012425854179238063
31.0	0.059449597236621576	0.0015416184291030532	0.004800503168224055	0.016890140293829625	0.003320398267874512
32.0	0.036755409098739644	0.0013429782749498909	0.00420754377793102	0.015163706200658988	0.003161341694819739
33.0	0.015377608599839165	0.0005977822443485881	0.0028902306489593534	0.013841241867401433	0.002597060481048209
34.0	0.0024285505394087137	0.00026356424361384523	0.0018404679933220374	0.005257267458049664	0.0013779092317449655
35.0	0.0020384136557461963	0.00024375382279517854	0.0020072902931901337	0.007758671715927146	0.0017265677623444365
36.0	0.0014270531130123887	0.00018708567444969404	0.007391938882672018	0.044741908420413146	0.011669750680229763
37.0	0.001974445572656802	0.0004250893141868328	0.0025501119933232018	0.008577553018692563	0.002565210023767255
38.0	0.002534253723111002	0.0005418212423552449	0.002149439181491855	0.010627625513135674	0.001991257851654939
39.0	0.00563249471424776	0.0004970415203157108	0.0034159781355715428	0.029285429571797472	0.006234281373047002
40.0	0.0193230809814533	0.0004589098660164881	0.0018937437285794039	0.010040868108848078	0.0019469366548598322
41.0	0.004655204577468708	0.000314771681285575	0.003272078264902889	0.022506124421441398	0.003886094382023164
42.0	0.0046551973559696425	0.00033181215292787947	0.0023270627215149576	0.01164683741594319	0.002432356548253092
43.0	0.004655177059421867	0.00020116171895612212	0.0035963455508236865	0.027785296640288837	0.004967679673348993
44.0	0.004655194378253347	0.0002139408774575191	0.003889371104803675	0.023893363676950496	0.0049900517531015
45.0	0.004655188778806885	0.0003446671422092651	0.003925467809356476	0.020448841368319814	0.004463829500384844
46.0	0.004655198561336338	0.0003298788243075723	0.0036161874053709914	0.0322382774301303	0.00595168926990947
47.0	0.004655182714472184	0.0002839039951643141	0.0024690134644105113	0.008883062326947355	0.002087454804837732
48.0	0.004655208819254297	0.00028390522794263795	0.0035829459768786983	0.035518432333737415	0.006156506642768402
49.0	0.00314981955227156	0.0013411577580922929	0.010014282362334061	0.05285346753549647	0.010952191802364165
50.0	0.002736992514830505	0.0006781199712366792	0.005267367548939697	0.03523907008584248	0.0064341068665113915
51.0	0.001434400043319073	0.0006106180418210538	0.0035057238260598504	0.017323606774993672	0.004359104224058881
52.0	0.0016851818929118911	0.0005892156681280847	0.005569850700485738	0.05304929556432425	0.009424683635595028
53.0	0.0025333622496027663	0.0005726275266723091	0.005043203203418992	0.018388245379663992	0.005287371662015869
54.0	0.0033801790828547063	0.0006515102355724167	0.006001862570758927	0.029124781788413934	0.006752428295129429
55.0	0.0048721784918306366	0.0016296698184079528	0.01205411719208246	0.040566575142401695	0.010349871125594502
56.0	0.004724275773030251	0.002065230455494338	0.010137637531374992	0.03993933859031351	0.00935294340652944
57.0	0.011039898682232985	0.0021509611715403443	0.007830130014838772	0.025918341794666122	0.005484248703871067
58.0	0.006920245560915861	0.0006149504429311392	0.007475749965275066	0.02656208879959221	0.006940360467180054
59.0	0.0028858516285013014	0.00039070743433611277	0.0030798989345311154	0.018987365626226382	0.004235827360299174
60.0	0.0032371940282551748	0.0003679941955870847	0.006111169342772835	0.03368369045616526	0.008089093214525537
61.0	0.01327212711537551	0.0009455532803428479	0.005683756993608706	0.018205475323442633	0.00393546388495341
62.0	0.03339858168445131	0.0008700518994410045	0.00540183194539053	0.028446608013302344	0.005690118546430504
63.0	0.04072754955913005	0.0024483516073728895	0.007569932374409724	0.01714885818870171	0.003451716463238938
64.0	0.019058353304923448	0.0025878444650604404	0.008458124110294214	0.017208062093599708	0.003864479331213102
65.0	0.023562162604355175	0.001505087374056191	0.0072093081626257395	0.027408996184916434	0.0066177377382997706
