Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0018553376603380745	0.0002326042106024495	0.00374765271649119	0.019980016255109256	0.004493411885346401
2.0	0.0017424092388310664	0.00012756765138410842	0.004771975140145458	0.04285023616327188	0.00898153154642697
3.0	0.001623364129083149	0.0001250723958994282	0.004046686696653011	0.023491941441730724	0.007743362583471892
4.0	0.0016157719680051086	0.00013692956844146842	0.005260473561168211	0.03265847437547442	0.010797802826498348
5.0	0.0016358606112437668	0.00016954331881635643	0.004002523268943879	0.02652708090075806	0.00640396651349441
6.0	0.00212948496841614	0.0001379468137593376	0.0028947640906807955	0.011564670239125663	0.0036956576785590806
7.0	0.002692061441338822	0.0001989950121055184	0.004028205847051862	0.025025463317747354	0.0050205036030594105
8.0	0.0021926491836532502	0.000228866268700334	0.0032892370678433767	0.010795698824030309	0.0037511044373929932
9.0	0.004101662455591182	0.0003410669625930618	0.0035263457642642545	0.014305199124155843	0.0035744050876015516
10.0	0.0021492439860193446	0.00021170045506069268	0.0019146384845578623	0.006093877110801116	0.001962860747243136
11.0	0.0019499987037479016	0.00014582624464654081	0.0030774475587894384	0.032377683988844885	0.005531937430746987
12.0	0.002413159931420661	0.00019950061916107487	0.0038873295967742044	0.02369366717189736	0.005414172162948172
13.0	0.0026272852614784847	0.00020916901703682544	0.0029245110469688917	0.01475572101888889	0.003397005948643433
14.0	0.006433629148645537	0.0003605121846445014	0.0020802002256901176	0.006105022014089356	0.001629131003287919
15.0	0.008072986770629398	0.0004798658837009695	0.0033365032564152473	0.01608064166402645	0.002980732200953834
16.0	0.006404222577061303	0.0003109466882244005	0.0030918648904809214	0.015574585870771651	0.003187230783974887
17.0	0.006548926293601598	0.0004979053365119501	0.0014172953577104759	0.0033913168717208952	0.0008604706038876716
18.0	0.004753236408269967	0.0003249367069025899	0.0016086989903595784	0.00760959882145229	0.0016296278398963587
19.0	0.001052861385881898	0.00015692464221872537	0.0015866796993592434	0.007027379816562984	0.0017068433828865892
20.0	0.0017197658437602126	0.00017062648194898777	0.0023994487241444902	0.015936411391603178	0.0035744777181683568
21.0	0.005476279334605705	0.0003553937177679378	0.001670187333735698	0.004286699531185878	0.001168934666503974
22.0	0.005204480115474475	0.0003472640335177024	0.0013539987088425711	0.005256382780897684	0.0009614405318607003
23.0	0.04070662847442663	0.000687165212101104	0.002333342104799024	0.0063251139788181865	0.0014286717940919088
24.0	0.016897150486811174	0.0006310084151064377	0.0022598545122334782	0.004628170832013168	0.001195121446210441
25.0	0.011822841014535568	0.00026609036316083134	0.0009973191170768447	0.003497540880517125	0.0006991687371058103
26.0	0.001197916820938949	0.0001498700439899192	0.001648368185059262	0.0064145667121969785	0.0016033010705223108
27.0	0.0007380585293098596	0.0001841933046077271	0.0013935247883110466	0.006010951774115703	0.0014965944473506092
28.0	0.00039816682848903273	0.00015550364900429603	0.0038536230754758418	0.031177692758444064	0.006814624085992044
29.0	0.0017920295654193508	0.00015633961398253682	0.0011712145983240171	0.004431592631139902	0.0009333633744513271
30.0	0.009909230175861206	0.00033217030180365814	0.0017559456125291037	0.015878990068512233	0.0029685112321059188
31.0	0.019422862377971195	0.00025635561412618024	0.0010719184288289006	0.002602028800410716	0.0006447580804769447
32.0	0.03221845506518917	0.0004214177233623495	0.001105958732316297	0.004701118781570757	0.0006644925102935158
33.0	0.0031212663897439707	0.00015273770576873513	0.0011770230026186242	0.012489123921783696	0.0022364573920089638
34.0	0.0009003191831433721	0.00013625946688877733	0.0012618670016918939	0.006038680505256355	0.0015192433298687707
35.0	0.0009581588316718292	0.00014515996606201398	0.0007010002892643577	0.0018392113273595356	0.00038931716461784163
36.0	0.0007565742672740461	0.00014559413164150214	0.003277025422747485	0.020926087989744824	0.005805691580898811
37.0	0.0008958476259171011	0.0001647294528029919	0.002341696834524779	0.014991496006977245	0.0029716655646366817
38.0	0.0010823242497617347	0.0002090067979623189	0.0009009537914575773	0.002684851916839426	0.0006704653660422895
39.0	0.002753777299842164	9.35032091783361e-05	0.0007679908875833152	0.0037216880533559316	0.0008006845660935947
40.0	0.005397541410256168	0.00021057727842499485	0.0008792764206671443	0.0036749194778710192	0.0007010684375592039
41.0	0.003029075328148556	0.0001526091673680341	0.000949365964089772	0.0047100391410240805	0.0009126978945916832
42.0	0.003029073845930097	0.0001408117413447263	0.0016911334228514715	0.01758406037535787	0.003077683740470272
43.0	0.0030290696532824235	0.00017606925006941054	0.0010743629736782103	0.005187994209212454	0.0009407029142689713
44.0	0.0030290732335414017	0.00020510938394913136	0.0014410846865347336	0.009090627113379046	0.001918961802595285
45.0	0.0030290720698865625	0.00018735964057881027	0.0011752090850962367	0.007627405724730196	0.0014649458794257742
46.0	0.003029074097055884	0.0001322792960080088	0.0008380178435037012	0.0030914304750550015	0.0007177236523822141
47.0	0.003029070818068247	0.00019306118674877748	0.0008013904039606239	0.002692272935891582	0.0006276189304160509
48.0	0.00302907621039461	0.00015194638834137297	0.0018240744067218688	0.02068238920103449	0.0036920657673464594
49.0	0.0029612669969668604	0.0004511479866906587	0.002942243558680613	0.010034460614760876	0.0025653633100914575
50.0	0.0012764217321439286	0.00023961238210012947	0.002339391833974588	0.015258626064056258	0.0029314068475880754
51.0	0.0006286976840261804	0.0001558108027586158	0.0025858184923011986	0.0181222701759719	0.004224485463784969
52.0	0.0006630815242342214	0.00012301194691044515	0.003957088855515288	0.03534315893184525	0.006920077577806469
53.0	0.00102777425346956	0.0001430472353615153	0.0031694601336308944	0.027552698363661365	0.005065045224469623
54.0	0.004086619441169392	0.00021771679247206688	0.0021716075853956593	0.010823822470792277	0.0022385235082139406
55.0	0.00712138270947138	0.00027890986830958475	0.0023976417774874796	0.008501576329490557	0.0023260845194816903
56.0	0.005542600272348319	0.00038377628987107393	0.003632102620714931	0.026408750476565768	0.0043842712073682705
