Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.00627436521774416	0.002746228759686775	0.007853580143356464	0.0026280581799738023	0.08268602767113487	0.04614513202755488	0.0896086631112103	0.1881799662706718
2.0	0.0067729307436088515	0.003243532271322569	0.00759659009304825	0.0029742894122402053	0.08248920857774622	0.05801925200148794	0.12779841574721562	0.09801751839115269
3.0	0.007218540022448927	0.0035288160208056807	0.005823049697574634	0.0029648386942927596	0.19299383810049997	0.15196794713852357	0.2501960391343798	0.2204816204064851
4.0	0.006940697454318245	0.004097066233738289	0.006346748272687441	0.0027649992240140753	0.11559770057224583	0.09768285452760028	0.1037832607461533	0.11139426008467224
5.0	0.007131939716047531	0.004067240727790744	0.005512569144291546	0.00263768547040788	0.3191522062208235	0.03441439869661622	0.08611493891276267	0.03602130236309897
6.0	0.007861403515223686	0.0033317425014247615	0.00448917624991918	0.0026078672276319548	0.31655276766419316	0.20474652378494018	0.28895966562545505	0.22162755088961883
7.0	0.011850237464764102	0.002842664137027162	0.00786652130809129	0.002844575808468308	0.23849299664150259	0.2979262551939691	0.2876725904360594	0.3888805694480989
8.0	0.00867286819706592	0.002764566291292403	0.007625164352949354	0.002750891183987858	0.4908972892305056	0.46720204544991917	0.3929286514316085	0.6849737461874846
9.0	0.008701751824475412	0.003755524086696882	0.013902440890801504	0.004031004593443743	0.058951086707887734	0.04515266026307674	0.12635103567137573	0.04474535537199176
10.0	0.008501824674991387	0.003977507031299066	0.008640268195419076	0.004514239395869257	0.10092706562371956	0.07510647893595124	0.05103346606152093	0.07117196884267385
11.0	0.008386948030348562	0.004090662900212649	0.01300383015962836	0.004783169102696716	0.0336296184725452	0.045462687690941306	0.049457477490323365	0.049533463673554046
12.0	0.007434961271043483	0.004238993607182162	0.006723188106651068	0.00407910083555818	0.051898636757286565	0.06858160538896285	0.061156679562566096	0.07652239377248138
13.0	0.006431805373842803	0.0037348194433067805	0.007530701487074354	0.004085528033175745	0.05973205783928892	0.02506065069618113	0.0839369167100904	0.03232214276028167
14.0	0.006612561642234782	0.003262928067293114	0.008655403396127026	0.0039045534420139028	0.208966248211088	0.02675326555562607	0.24402262292149024	0.03774025067237563
15.0	0.01044330839868901	0.0030173189343648543	0.009290771522604047	0.0029963088929779724	0.3788478046459659	0.042506219884625995	0.2577919900350384	0.04537338462952578
16.0	0.006112727763641468	0.0030591520092230207	0.004808917589476991	0.0029699152753900337	0.14338106525624472	0.012220259999550342	0.04992035897836611	0.0154041214802203
17.0	0.011034657699712014	0.004081855062381234	0.004836827460561133	0.003466584775558723	0.02701274219073102	0.051779796943345335	0.031816876464185184	0.04779584552878158
