Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.005936761524977574	0.0024769053511195516	0.005936761524977574	0.0024769053511195516	0.07976208459248169	0.07472758145836322	0.07967432034312505	0.07472758145836322
2.0	0.004968923242291479	0.002557996785412575	0.004968923242291479	0.002557996785412575	0.09266777323656783	0.06581749768523659	0.09261267494347902	0.06581749768523659
3.0	0.003987668995498517	0.002468853141112559	0.003987668995498517	0.002468853141112559	0.22430540501728458	0.18219371261989392	0.22380837157091327	0.18219371261989392
4.0	0.003607878143087162	0.0024791511641125696	0.003607878143087162	0.0024791511641125696	0.11136412738274593	0.1037242547611924	0.11139876292351436	0.1037242547611924
5.0	0.0035696212809175343	0.002548387114008621	0.0035696212809175343	0.002548387114008621	0.14682093892546177	0.03056113847240105	0.14604987244243328	0.03056113847240105
6.0	0.0045820709794962555	0.0025062956010201143	0.0045820709794962555	0.0025062956010201143	0.3837612802804018	0.32286970214811095	0.38305615912295554	0.32286970214811095
7.0	0.009518219550192497	0.0026651500306321685	0.009518219550192497	0.0026651500306321685	0.22061886226714544	0.3544258872413548	0.2173764859980417	0.3544258872413548
8.0	0.008129307724368928	0.002724594002231795	0.008129307724368928	0.002724594002231795	0.5216171565162603	0.5676355703448488	0.5145696305124337	0.5676355703448488
9.0	0.010740698885501998	0.0034867651697690905	0.010740698885501998	0.0034867651697690905	0.07014568127287957	0.03794411932362196	0.06864464076236698	0.03794411932362196
10.0	0.004012665447913122	0.0029920667026079872	0.004012665447913122	0.0029920667026079872	0.067045148833491	0.06368663271679131	0.0662053169439546	0.06368663271679131
11.0	0.0046510446306812225	0.002556612982027029	0.0046510446306812225	0.002556612982027029	0.035698709306322685	0.04313169452618126	0.035078179333796866	0.04313169452618126
12.0	0.0036545888840018304	0.0026127738853045646	0.0036545888840018304	0.0026127738853045646	0.059915966764438555	0.07175838674638124	0.059817757471128497	0.07175838674638124
