Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.013096171463851447	0.004785412047026316	0.013957576782471604	0.04577198891575218	0.01010225692701806
2.0	0.009597976562536581	0.004414965831498363	0.009539960066880269	0.024628302246272327	0.006171837472961284
3.0	0.007310284025311975	0.0031580690811731094	0.008323393006729391	0.028660496965714488	0.007413596859705174
4.0	0.005114326339321629	0.0011794652143093387	0.007936035150896166	0.03093296117727995	0.009864621887816295
5.0	0.004445448127957219	0.0015873017171120773	0.010281968067130068	0.04658774793093445	0.01501772700030402
6.0	0.007631095934715448	0.0015770221780195826	0.006500065791083444	0.017205945061353645	0.005018646920034985
7.0	0.013756265543777402	0.0033655550672196943	0.01110675357467499	0.02730468839665723	0.007515943090297947
8.0	0.01339944178122121	0.004949172246531908	0.016305031845884586	0.052100940796813155	0.012293136707933291
9.0	0.027034564847558173	0.00718295894462595	0.022951087933772867	0.06723929115287419	0.015110322630429144
10.0	0.011068373149608068	0.006056576251533441	0.017159678086501994	0.04342380602601681	0.013075301533694638
11.0	0.012521514017964974	0.002935019752585033	0.014485606441761497	0.050844121006506815	0.015399601382227637
12.0	0.008991791992213893	0.002343157795804407	0.010485143758470436	0.03108777603237678	0.00853910161977722
13.0	0.008318275341830605	0.0027253476092653495	0.009857283734435396	0.024944893094233644	0.0067249305540042995
14.0	0.01662994659372863	0.004492851463596459	0.01295685009841854	0.05493252449060193	0.009650131928873165
15.0	0.030353345589521186	0.007298728220847539	0.0163908991646551	0.061498954021692365	0.00972952258714977
16.0	0.015184497078541526	0.007647947710832215	0.021247628335099893	0.06737952779074452	0.014693016672927404
17.0	0.06842302078849971	0.013074357115984592	0.021030920568490926	0.030898031472323062	0.004789208083259289
18.0	0.02666190520990952	0.0074170014737448	0.015150242880047252	0.038584595208568606	0.00705776243259118
19.0	0.009619564273812387	0.002399307752617541	0.010184349203959902	0.035381119481558754	0.008044242977203492
20.0	0.02796320317280876	0.0034900170951155385	0.008365381833405168	0.021612248447222426	0.004283522483296366
21.0	0.04282268043121862	0.00547298905171878	0.00950472646350114	0.015173515898543988	0.002016709299196974
22.0	0.04387537631897098	0.008289010194604596	0.015596817710429438	0.02164375483306258	0.0037253870911097293
23.0	0.05347685896361909	0.01170829043518029	0.021187911390109365	0.03060790454829332	0.0057841885432777145
24.0	0.06299711360164528	0.014190813713330641	0.02351884250406568	0.039999699365271035	0.006893611181633884
25.0	0.03638807541822675	0.008684259872881905	0.01910702292849147	0.03005535988109076	0.005696361010731936
26.0	0.02623875964117428	0.0060062947495510555	0.011570745628758044	0.021909797624676042	0.003459299140272382
27.0	0.009899575527797189	0.0028487630088295246	0.010524400590492474	0.033610434034618386	0.007101553611107028
28.0	0.012292043190424207	0.0023974563433757368	0.007857998356609566	0.02953079774116696	0.005155048196139968
29.0	0.04952235611047362	0.004521146805012255	0.011963394774291761	0.03266851055858888	0.007665362225520464
30.0	0.11275427903574864	0.00746120082292101	0.01840004389090428	0.04097104998485712	0.009118941109653321
31.0	0.1158645843373598	0.010597424020519997	0.022722103568270164	0.04925927920012596	0.009245238942664291
32.0	0.0433725081572609	0.012416197076574154	0.022823712748934057	0.039729451297361607	0.007886725368049116
33.0	0.02734748528054265	0.0027322459700667157	0.00817046249181904	0.034557704020625635	0.0068219766120481765
34.0	0.008074602958693555	0.0020885950183930913	0.005453685025574235	0.016810972365028487	0.0026012080940814794
35.0	0.007486463216716421	0.0014007585331212713	0.007307038270036746	0.03662419811191364	0.00599530085994758
36.0	0.01782802580377696	0.0018223179485269414	0.00916441415316767	0.03161415836995973	0.00844369597210107
37.0	0.012489773493428613	0.0027169962530816383	0.0090164608370241	0.03132386016798061	0.00720069322191847
38.0	0.030032084087404765	0.0027753709457745135	0.006318026467689528	0.013822547345773373	0.003177246589641446
39.0	0.05273922646732021	0.003388183268120293	0.009562244691059874	0.023771019281378702	0.0055844745620759716
40.0	0.06292174269509121	0.003450253421957594	0.008232029759183437	0.02194121371052249	0.0037765762163307595
41.0	0.016705768835430956	0.002444723914369229	0.007991177803453412	0.031140704293560084	0.00661649474768243
42.0	0.016705768835430068	0.0021379589413647038	0.0060148005648753685	0.021043058727806208	0.004331558028456682
43.0	0.016705768835430623	0.0011964997688110879	0.006448697276205675	0.030242656012848035	0.005906386878671907
44.0	0.016705768835429624	0.003050735146254424	0.007522246905960473	0.030782711174008326	0.006025854880410587
45.0	0.01670576883543029	0.0011999139494572875	0.006062077101376668	0.030849706656216225	0.005950771311957935
46.0	0.01670576883543029	0.002096446638438554	0.0071333467399953355	0.02317314073329002	0.005068931661058779
47.0	0.016705768835430068	0.0022342759078689545	0.005340927424246265	0.021874934689456116	0.0035163321137442667
48.0	0.016705768835430956	0.0013829225280784785	0.006316990915868002	0.03401597134922252	0.006346153042405544
49.0	0.023591716241913807	0.007225492741052553	0.01507345163430127	0.023809633085443926	0.004896284180379889
50.0	0.016903084394009005	0.004775241555623366	0.012199801648838916	0.03211186317651171	0.008330214454329663
51.0	0.010666251022857232	0.002561207762846074	0.010653820513578447	0.04148879286479645	0.011929111971639825
52.0	0.00680065831095189	0.0021309574813895837	0.009691315080612963	0.04041717644236509	0.009390084410475234
53.0	0.006478738291155417	0.0032475990835177937	0.00723711078483624	0.019402012921173717	0.004031190636183707
54.0	0.012343730559326582	0.005265286386920032	0.0113568956648849	0.0171438731968363	0.0032896481727256667
55.0	0.026813101646825932	0.006541498446563931	0.013460123496068808	0.02525217198562979	0.0044483917750559685
56.0	0.03233336949375032	0.008733120299384	0.015012185859221467	0.028684838224190767	0.004224614857656473
57.0	0.05222587399339906	0.015202474775057206	0.029105192787339303	0.04081221482062958	0.007429175494258713
