Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0033264986810939146	0.00033137950620854006	0.0011159470775620765	0.0019362995874582234	0.0005470497772767265
2.0	0.003211153283431689	0.00048031088836886227	0.0012192680089085626	0.002004402246741477	0.0005325944394155244
3.0	0.0028830067610928767	0.0007300699552107437	0.001545746511997134	0.002423310249901278	0.0005049908232345721
4.0	0.0034565937585611106	0.0006857011902167143	0.001514125514527887	0.0023134426177029432	0.0005584531365423279
5.0	0.0033672475881277864	0.0006008388222107364	0.0014015786674579631	0.0021611146654197944	0.0005421510935305912
6.0	0.0033141727995602555	0.00042484081945393104	0.0012304389761702587	0.0020093803023147894	0.0005305299178419408
7.0	0.0034792083806717278	0.00032838806871815507	0.0011568265120749219	0.001998049626545706	0.0005780397691604657
8.0	0.003656884278703698	0.00034491159022265183	0.0011438296685065343	0.0019827509918886044	0.0005626350472905606
9.0	0.006295323015458432	0.000454127970549445	0.0013413577545032542	0.002205889174047404	0.0006270026279845412
10.0	0.0054663113231563365	0.0006311564542615944	0.0014946749958512798	0.0023308202695795366	0.000585964267813659
11.0	0.004455333750480128	0.0009412128564074695	0.0018095178110338391	0.0026450337811539937	0.0006077686813154151
12.0	0.00414699374483829	0.0008841116415831962	0.0017780838519966206	0.0026661012159733266	0.000622163307826214
13.0	0.0034858224549719763	0.000649583856616065	0.0015221432300940943	0.0023746954770167417	0.0006068175547932726
14.0	0.0035239318493364147	0.0005268515553076281	0.0013913322698310005	0.0022125228131799624	0.0005989263023162883
15.0	0.003952601729841465	0.0004526353905639491	0.001377173614596235	0.0022867039684137946	0.0006515330506730389
16.0	0.005003706871256841	0.00039102327072915166	0.0013807882779887067	0.0023721155939673277	0.000706097966325139
17.0	0.005407851611099135	0.00048791667608560907	0.0016363532370505833	0.0027371766702302125	0.00076849978598468
18.0	0.005497000972720656	0.0005661278416764226	0.0016952263100584466	0.002810529615228652	0.0007307500742397401
19.0	0.004024642463671735	0.0008630571319918623	0.0019977617243310264	0.003198035474026417	0.0007949892218029142
20.0	0.004454075379687117	0.0009024228291252268	0.00196214640437938	0.0030654494837812907	0.0007453867406242607
21.0	0.00341259574892927	0.0007595179101400618	0.0017103461877902518	0.0026454209608886003	0.00067155102720575
22.0	0.0035836235500870117	0.0007500998637839373	0.0016890596044001603	0.002588993946957885	0.0006559242475624707
23.0	0.006753509477061104	0.0007471193439758661	0.001909199521136445	0.003087038169520606	0.0008041929805991131
24.0	0.004775066745964951	0.000524084106954481	0.0017944525750354762	0.003179378782189546	0.0008681677125176589
