Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.014560178281900926	0.0032817915856592217	0.014560178281900926	0.0032817915856592217	0.20626204193030284	0.1499534016994548	0.2050667699861798	0.1499534016994548
2.0	0.009241733314850897	0.0029185914437552807	0.009241733314850897	0.0029185914437552807	0.1878783682672408	0.1683052185452879	0.1868226334765527	0.1683052185452879
3.0	0.007508522526713635	0.00295623047028859	0.007508522526713635	0.00295623047028859	0.2193390740724056	0.26278795266804744	0.218350770428148	0.26278795266804744
4.0	0.006045096085866897	0.0029273761528572084	0.006045096085866897	0.0029273761528572084	0.13394794358037654	0.13547704385459036	0.13343945984882177	0.13547704385459036
5.0	0.0057054938315278525	0.0029781224559225494	0.0057054938315278525	0.0029781224559225494	0.08187444676363986	0.03753868164975627	0.08166786871175136	0.03753868164975627
6.0	0.00886810551164452	0.0040684101329441225	0.00886810551164452	0.0040684101329441225	0.34072825279107866	0.249865572781514	0.341002376512507	0.249865572781514
7.0	0.01672208380975071	0.003854992544318314	0.01672208380975071	0.003854992544318314	0.2921460525229693	0.3784864428989059	0.2911031977844891	0.3784864428989059
8.0	0.01663888683436121	0.004013357557450581	0.01663888683436121	0.004013357557450581	0.5253385710096665	0.42643148004800757	0.5242999012714322	0.42643148004800757
9.0	0.03135491681481206	0.0068540065032361985	0.03135491681481206	0.0068540065032361985	0.08433483787423501	0.030720014408349483	0.0840402331254605	0.030720014408349483
10.0	0.01253977103064663	0.0057754413420391115	0.01253977103064663	0.0057754413420391115	0.0720138376771784	0.05801978862449442	0.07143472806095108	0.05801978862449442
11.0	0.009699449826353845	0.00457255171579507	0.009699449826353845	0.00457255171579507	0.030801707593708816	0.05344400182417053	0.030609047864068484	0.05344400182417053
12.0	0.009063843961094387	0.0036305056275355296	0.009063843961094387	0.0036305056275355296	0.09337931631494178	0.07364920272906483	0.09335895802580385	0.07364920272906483
13.0	0.008874483564290658	0.005766843215707862	0.008874483564290658	0.005766843215707862	0.11754409876553296	0.025693325367077247	0.11755311775913835	0.025693325367077247
14.0	0.013384712773641838	0.005320043611994674	0.013384712773641838	0.005320043611994674	0.3061618478207847	0.025977159307324582	0.3059926312238447	0.025977159307324582
15.0	0.023984961522703796	0.005069346722429868	0.023984961522703796	0.005069346722429868	0.23124350905906899	0.037780282173225266	0.2307854109200449	0.037780282173225266
16.0	0.01473944240973657	0.003997774934523246	0.01473944240973657	0.003997774934523246	0.05050666122204084	0.0048618711483349175	0.050503608571293435	0.0048618711483349175
17.0	0.026937336639393017	0.0018393540214470816	0.026937336639393017	0.0018393540214470816	0.03880335599054019	0.04289814922643542	0.038406962742214557	0.04289814922643542
18.0	0.014698561440759872	0.0048891212048144395	0.014698561440759872	0.0048891212048144395	0.24316205870451457	0.22386528655457172	0.24291169809702884	0.22386528655457172
19.0	0.009093686082734198	0.0017976599134565951	0.009093686082734198	0.0017976599134565951	0.21847523448646933	0.2577749655540533	0.21813769258021454	0.2577749655540533
20.0	0.010417025558969395	0.001079307656272066	0.010417025558969395	0.001079307656272066	0.02255669159507745	0.023312688578725815	0.022333300474527085	0.023312688578725815
21.0	0.011241664197640278	0.0009515129491761698	0.011241664197640278	0.0009515129491761698	0.011792464150793158	0.007508308803689467	0.011648427755066137	0.007508308803689467
22.0	0.021355994454404392	0.005136009984022971	0.021355994454404392	0.005136009984022971	0.028008527261379035	0.004596662148222297	0.02784253544284343	0.004596662148222297
