Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.009370702685883248	0.006400306414548584	0.0230810274719401	0.06830600753786709	0.0186604866304557
2.0	0.0044665014796975155	0.002810141817252365	0.013886244592241323	0.075266503429533	0.01711976094924008
3.0	0.002437798780953071	0.0011234413896082929	0.019950377437139493	0.11024869155366146	0.030321697892879394
4.0	0.001657334909488939	0.0001415558431669961	0.03647631316931466	0.37766899126238185	0.0680105467343701
5.0	0.002148847138458976	0.0003695333385594912	0.021402974336975345	0.13518043221936948	0.034721777842631654
6.0	0.004878350707890999	0.0011131198856116908	0.02155243760686601	0.09317171226659826	0.02631093539352078
7.0	0.015074188767125407	0.0039928388197592035	0.020576919860527447	0.06665168508549268	0.01804546515210453
8.0	0.015602462078764812	0.004421745374104447	0.023878830958756297	0.06897756589408655	0.01802107573028042
9.0	0.037101454519850696	0.006310116380475961	0.020053747901437127	0.0395404452278858	0.007463656209912408
10.0	0.008704096685530294	0.004658685733681334	0.01465065353293092	0.05851229529345925	0.011091109714084649
11.0	0.005047196334984627	0.00132517490662587	0.021983606798262938	0.17673763729166492	0.036734227943477464
12.0	0.004264631058078616	0.0008401903791660503	0.015475765807283184	0.12571255773654755	0.026773355762782492
13.0	0.004618034999570364	0.0012116401015582756	0.015969827870563502	0.11344899485162108	0.02491510740368125
14.0	0.015093429799942215	0.00343118944110532	0.013854300012594993	0.04848468423285235	0.011121207936544595
15.0	0.04916325955152756	0.005976304400643562	0.017089071698711922	0.038684878550310886	0.00794601434047101
16.0	0.03532222278154262	0.008459334975355559	0.023165512728139603	0.043699031220070794	0.00980225439053014
17.0	0.05360636016319342	0.005651370405302503	0.015740140137478823	0.04402418328905111	0.0069865718504238256
18.0	0.012675227483641138	0.002305901725305204	0.01017241868935191	0.036468633757137825	0.008543009830946717
19.0	0.0032653242291560414	0.0007463120200733586	0.009885489752669183	0.05096494669845997	0.011350896416679464
20.0	0.011588704354036583	0.00037791008769072487	0.009388002559262934	0.08407536470567445	0.01481037990795245
21.0	0.02334969699387579	0.0026179190984458867	0.009993348834883363	0.07399987754820347	0.0125706970735038
22.0	0.02507846141350001	0.0044752176515377995	0.012242590176445557	0.054779440445758	0.010240187805532137
23.0	0.026029025021047536	0.009700492470391953	0.017342100706143875	0.04373111933614604	0.008155410406233476
24.0	0.0414232728635906	0.009809123101802597	0.018000175814236234	0.0340692292940904	0.004998059447383114
25.0	0.023848862352970568	0.0031581724318180404	0.006869917788992155	0.014650517271273977	0.0031195978285501664
26.0	0.007436712615026209	0.0012008368338920494	0.005599488927866264	0.02086762921260432	0.004248779785734787
