Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.004820252266149572	0.0004515657382305749	0.00495025047263026	0.030995503617487707	0.006562842953208853
2.0	0.002254813084852869	0.00031612358623689385	0.00470422765401516	0.04995849751816572	0.00861024666476397
3.0	0.001574999880308292	0.00020000922658125475	0.008250582153545585	0.09770386672828424	0.018021381099750818
4.0	0.0013338487996694681	0.0001617568959143556	0.02561674110306788	0.2253082131170805	0.05147758338845563
5.0	0.0016015727706469862	0.00017072643057414183	0.004915118417403431	0.02052975411285196	0.005893366591667231
6.0	0.0022816270197196786	0.0003354847431046304	0.004298632630684323	0.03352114956335972	0.00634239942560145
7.0	0.002961215790734939	0.0006208223681579694	0.004945884525178322	0.023440222226847496	0.00609183411289774
8.0	0.004480316961239406	0.0007601541182027383	0.004782462274494758	0.02072253480004982	0.005398506811128127
9.0	0.006447326862401903	0.0010580326416260721	0.0038312244794398934	0.010449710719109273	0.002223582052421589
10.0	0.0027396501107171956	0.0008670276974938051	0.004099547457609997	0.020900761025183567	0.004048708111682383
11.0	0.002129178027422074	0.0004071906679029569	0.005263801879973889	0.029491016368300427	0.006611184763428923
12.0	0.003996134640848026	0.000542044924931373	0.004607066389182296	0.026002862861103315	0.005527567559904078
13.0	0.0033834632821081456	0.0005082322871630129	0.0022757607288742413	0.006233638951869458	0.0016629965763725893
14.0	0.004436567355065368	0.0006827833650500104	0.0032389089388168424	0.012798689025664944	0.0023829019979252023
15.0	0.012181176833609642	0.0011591669157505757	0.0036999074757310944	0.012547184720446691	0.0022993322440840306
16.0	0.01252394940056445	0.0020640146718219343	0.004026625000262198	0.007429658964919095	0.0013227056876815486
17.0	0.004599221926133379	0.0006922396338849834	0.0020126652814164967	0.0038419549613363246	0.0007707361063031591
18.0	0.0027792099893199085	0.0004171105476353798	0.0014792454525159103	0.0064733481612822	0.0011104074346988963
19.0	0.0019081374747740298	0.0003130714122420164	0.004230565198208815	0.018119059061359355	0.004466755927682636
20.0	0.003942010918296268	0.00027182516254919964	0.0041427904700862975	0.025647173933585732	0.005519205157516453
21.0	0.008171436367050755	0.0003542026431641032	0.0023664373955220824	0.009180226577777506	0.001739919281908286
22.0	0.018230932514802123	0.0004963261071148084	0.0016750498954870177	0.004165633507613897	0.0008034522447975495
23.0	0.012275199590077612	0.000873691727784065	0.002455217764855339	0.006068715626865062	0.001192897810534858
24.0	0.006573504737228508	0.000607441015559651	0.0024458275110916063	0.004288744602904293	0.0009853201637910769
