Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.010437713091796197	0.0020516111051021024	0.011125515206498848	0.002011429775180651	0.14169312091130892	0.14153773563992844	0.18782720066123204	0.1811791204333859
2.0	0.00863155536234439	0.003049258277962874	0.008492781444801478	0.003154454837892229	0.1253131573290176	0.15084307964919752	0.17540998365043325	0.1400771551538823
3.0	0.0078865609851132	0.0027826893217020032	0.006697240465581622	0.0030169151355859958	0.14870662800211143	0.22094528221341658	0.18904657913877843	0.25560472608616214
4.0	0.006362174426916556	0.002809073656616645	0.007601910104375054	0.0026073756243203405	0.10466602839274197	0.10738315443412338	0.09931682684537646	0.1188767474011061
5.0	0.00681093465322391	0.005045536772201986	0.007805041691396064	0.004576694079664545	0.26141111495382596	0.02901340730526314	0.06266917360161506	0.03583643396667979
6.0	0.007913420288103823	0.005403447756325064	0.006153539906382899	0.005369170888092856	0.2876351148089754	0.20256271257793734	0.29341898876402706	0.19524948983159163
7.0	0.013679795840319198	0.004634172341235532	0.010178606463230544	0.005088005036955945	0.2655939426158318	0.31465847131668323	0.33702729441336265	0.3960701867679767
8.0	0.012540689689093276	0.0025282608626407965	0.011057230139509211	0.00269195533406974	0.47178552529850903	0.4122899021209667	0.48069001262379507	0.37822400171370263
9.0	0.015545571968324068	0.003672243460580038	0.023123242404461952	0.0033962258381252663	0.05510459377325483	0.025796203890699143	0.0814228920052591	0.03052859914137751
10.0	0.008486179912096992	0.002565384790026437	0.01181994563753308	0.0018517803839055436	0.13387367064712052	0.055681489574920584	0.06749902859775025	0.05653360923024264
11.0	0.009167970083872157	0.003927097903879684	0.013412315039678768	0.003701822657610765	0.050850454950402746	0.0412264285425733	0.05239958934223521	0.040364215632893385
12.0	0.009956602713053875	0.006065083974369223	0.008254968166514387	0.00559470111754079	0.051222250200744224	0.0645580924796122	0.05643709382462536	0.07048029594360905
13.0	0.006068723554205291	0.0016048953414659062	0.00618101172652441	0.002173403221248371	0.05097810751031773	0.026727658956981593	0.06951503418093197	0.031702721761586394
14.0	0.009410598416567217	0.0014606432500910982	0.009230626047198931	0.0025409100332391965	0.19618920517303962	0.03384502266367462	0.22036312116412715	0.043494061848944554
15.0	0.017376118348864877	0.002488928045945804	0.015107738516073499	0.0029847964602467414	0.3430941390651192	0.050937240779253656	0.24356331794407415	0.04970017980388952
16.0	0.010960376713036402	0.005060831621796158	0.00809514802995781	0.00519407176585851	0.14101052529009195	0.01595367382623658	0.0597846087736148	0.009408011277118433
17.0	0.020770244539008664	0.0012849632102259756	0.009802558211080115	0.0017064700465708738	0.029615177310580387	0.0302311812331737	0.03879685361020413	0.02656490352788543
18.0	0.012701592793321503	0.003320290397805792	0.010429506196859228	0.002859732645891122	0.4023319493978953	0.28998104616821363	0.17913477845707992	0.170526239805313
19.0	0.011909384596286321	0.001687196679342473	0.008946896101598045	0.002465209140899316	0.2664046706493205	0.14659266345652633	0.16977347629106843	0.16027129702380827
20.0	0.010783024490608195	0.005417905672343792	0.01718480706013248	0.00641041268861231	0.03628965310404553	0.009296882679444507	0.014712812960437804	0.015668189854661785
21.0	0.007239647254866033	0.0016012281076102086	0.011901494507717048	0.001802794396081664	0.007602833874817194	0.0018156696355055013	0.017916244825353922	0.0014875650884207392
22.0	0.010420109768321306	0.0026668943491118258	0.01718490648097859	0.00261479788586394	0.010626159714209105	0.0020022484683427377	0.057614632099885155	0.005254609390369147
23.0	0.025317209395573137	0.0051928404254277805	0.01705587229615113	0.0030479255776673098	0.06858345210391992	0.014997106366658186	0.08181670254287265	0.02501397633195901
24.0	0.014859336702867876	0.003344219386323455	0.01013134400090221	0.0043699960951119055	0.027286595690248938	0.0077306121136579975	0.022754685544237097	0.015619025667352071
25.0	0.013865537900018432	0.0015725834653959048	0.009316202570777365	0.002873622097935735	0.060314630936152636	0.10777404672658242	0.06478495402664286	0.10105813989546786
26.0	0.015253005675086029	0.004636822569185961	0.01552811553337019	0.005361751036494611	0.20352636619656328	0.033683292956795174	0.028900629258097887	0.0068385299886908335
27.0	0.00811482599941582	0.002341177456184118	0.007658274190818881	0.002087461981251648	0.009506097968041805	0.006128916827490838	0.010271106386749329	0.011576399675476523
28.0	0.016667670639930243	0.0015112757684067057	0.011996271978420459	0.0033871521230310897	0.20626204789136737	0.282642905421686	0.1290403508583181	0.19084953005611893
29.0	0.009798588170235156	0.0022936111530497127	0.010198361884326879	0.0028502785002672004	0.024632905264401095	0.002880532147794712	0.004733942250623735	0.005622032895931439
30.0	0.0071797929357240164	0.003984887318181363	0.01069471687540835	0.0034696162151273136	0.00830321349463925	0.004184067672480585	0.004223826307874878	0.0033679625828944015
31.0	0.0037857123068399945	0.000942210461541082	0.010186759116758815	0.0005335105893580216	0.00725510641317717	0.00602137695768401	0.007360559038381509	0.006222062729360767
32.0	0.007560120058089703	0.0020869962231260253	0.011385506620367414	0.0022826352663189997	0.006255192175212421	0.007044951010263589	0.02008424229536543	0.007153441930015769
33.0	0.011185009161213677	0.003835144219794695	0.01718133306040548	0.004268479705559325	0.04263690357045369	0.014341773196578922	0.21173611264983605	0.01713564900435549
34.0	0.007261455362772229	0.002039627591401194	0.009380970293722979	0.0021243507634115533	0.0013116162085318184	0.0016158796245065998	0.004681979761982258	0.0007557933630090163
35.0	0.005793020247917502	0.001534066622287611	0.005650337287129603	0.0016225925955550835	0.0007439304066486629	0.0002028336360728744	0.0006991546328352083	0.00014921657648858666
36.0	0.010019073626622022	0.0025064113830427504	0.007552187189534765	0.0031416508044070923	0.00618959349769288	0.006603624176868439	0.011868344964105604	0.007792473990440696
37.0	0.014079024487653413	0.0022965077175962634	0.009555587411540278	0.003073339630836225	0.15360674299033217	0.18947306548287735	0.33719180158027584	0.5270975716141103
38.0	0.011569576278911642	0.0016468667776480261	0.00959363430372795	0.0025416138339502403	0.057524015460947875	0.0568885409756783	0.026640436651870214	0.039940622702630324
39.0	0.011721562752930015	0.002487720556950679	0.011817626975169415	0.003318268542013336	0.05053170244028349	0.044773053894251014	0.019369863982309	0.042095311852170525
40.0	0.01308454496333844	0.0040026686946736945	0.015736163915022194	0.00463362161068559	0.13599260919543965	0.1814827760764871	0.10702897972160685	0.11703348204442998
41.0	0.00859300632725346	0.005400530752268096	0.011640537224718028	0.0052267261006017085	0.003755921232057702	0.008265438451293572	0.0028445860478261142	0.001082638628022936
42.0	0.008593006327253794	0.005400530752267874	0.011640537224717695	0.0052267261006017085	0.003755921232058146	0.008265438451293683	0.0028445860478261142	0.001082638628022936
43.0	0.00859300632725346	0.005400530752268207	0.011640537224718694	0.0052267261006019305	0.003755921232057702	0.008265438451293017	0.0028445860478263363	0.001082638628022936
