Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.009652488297417161	0.0018248363988079275	0.009652488297417161	0.0018248363988079275	0.1592389768545387	0.12854099293833132	0.15800461207684569	0.12854099293833132
2.0	0.006448317085756106	0.002547108237196727	0.006448317085756106	0.002547108237196727	0.13717978891099758	0.13345180568761794	0.13607308360613246	0.13345180568761794
3.0	0.004810355570605052	0.002076083840773957	0.004810355570605052	0.002076083840773957	0.16457613843914476	0.2345130084333633	0.16402851956437836	0.2345130084333633
4.0	0.003972865180288165	0.001785329383369283	0.003972865180288165	0.001785329383369283	0.10157494567655945	0.11230484612190761	0.10155130343879659	0.11230484612190761
5.0	0.004590602069355798	0.004047159146416401	0.004590602069355798	0.004047159146416401	0.1061956989857109	0.02741318477594834	0.10624395549669507	0.02741318477594834
6.0	0.005463388973427241	0.004929737998147665	0.005463388973427241	0.004929737998147665	0.353440542039098	0.2790034040058832	0.3541355184103845	0.2790034040058832
7.0	0.011906287638986934	0.0046881234085371926	0.011906287638986934	0.0046881234085371926	0.26324024301674875	0.36108861679369586	0.2597741462285855	0.36108861679369586
8.0	0.011849502911875587	0.002589163049772414	0.011849502911875587	0.002589163049772414	0.5214151193497724	0.4024612231773177	0.5192056138169876	0.4024612231773177
9.0	0.018770668393258028	0.003121816075536188	0.018770668393258028	0.003121816075536188	0.04177029287132805	0.021130503670162448	0.04142647100552144	0.021130503670162448
10.0	0.006039336574964804	0.0009612467021297144	0.006039336574964804	0.0009612467021297144	0.09256294682579413	0.046605042339433855	0.09205191342872887	0.046605042339433855
11.0	0.005104077664905171	0.0019600328916877796	0.005104077664905171	0.0019600328916875576	0.04589589871955402	0.03678642268190013	0.04569143509356166	0.03678642268190013
12.0	0.005992188785368557	0.004287556814538629	0.005992188785368557	0.004287556814538629	0.05718391906694109	0.0667585330036744	0.057153037841818355	0.06675853300367462
13.0	0.002939290754785384	0.0007447644237775775	0.002939290754785384	0.0007447644237775775	0.06523722743299154	0.02852753549819287	0.06520920084530957	0.02852753549819287
14.0	0.0060445492927921896	0.0012631036302183096	0.0060445492927921896	0.0012631036302183096	0.22685343334597208	0.03853179680258256	0.22661725923428166	0.03853179680258256
15.0	0.01441324242157882	0.0024852016318691605	0.01441324242157882	0.0024852016318691605	0.2612460679759786	0.055450702525295825	0.2606948440078025	0.055450702525295825
16.0	0.008867308341504176	0.005012020322949451	0.008867308341504176	0.005012020322949451	0.048562888002447124	0.006906072445051481	0.04856416655038398	0.006906072445051481
17.0	0.012837948143731404	0.0005338859126281514	0.012837948143731404	0.0005338859126281514	0.03242053694797231	0.027870155778585537	0.032086807104045434	0.027870155778585537
18.0	0.0064295865755515935	0.001625037934703366	0.0064295865755515935	0.001625037934703366	0.2627428390478841	0.22451120760518428	0.26215248117911916	0.22451120760518428
19.0	0.0008663655379674839	0.00011208066787016246	0.0008663655379674839	0.00011208066787016246	0.2356912522785809	0.2961571288520184	0.23461987061253675	0.2961571288520184
20.0	0.005860849454290551	0.0033028137833860383	0.005860849454290551	0.0033028137833860383	0.01973774189437838	0.010351462543891521	0.019588054224811358	0.010351462543891521
21.0	0.004056548324218978	0.00034764380525287297	0.004056548324218978	0.00034764380525287297	0.004758636796495241	0.00125888395421081	0.004715538255166685	0.00125888395421081
22.0	0.009796580610432426	0.0019088880079138892	0.009796580610432426	0.0019088880079138892	0.021710731545136364	0.002384707926160412	0.02166403901660663	0.002384707926160412
23.0	0.01895286865678769	0.0036591915327051083	0.01895286865678769	0.0036591915327051083	0.07426098305578943	0.016651149320163317	0.074240952989309	0.016651149320163317
24.0	0.011713281350885119	0.0036404130300830007	0.011713281350885119	0.0036404130300830007	0.021818154966870673	0.010720294085218685	0.021734698688917864	0.010720294085218685
25.0	0.00859585657599371	0.001132418661777268	0.008595856575993821	0.001132418661777268	0.05912543486605659	0.10368896803386551	0.058358609694844965	0.10368896803386551
26.0	0.006985365565651658	0.0037777987505495103	0.006985365565651658	0.0037777987505495103	0.05835125285860365	0.008298784440937457	0.057670799667064565	0.008298784440937457
27.0	0.0039000438092121614	0.0004799860360358288	0.0039000438092121614	0.0004799860360358288	0.009566537086414417	0.004720570184809425	0.009539735005627215	0.004720570184809425
28.0	0.003966511465421263	0.00045251294995596325	0.003966511465421263	0.00045251294995596325	0.17222480262795847	0.5135003437557933	0.17083284427700185	0.5135003437557933
29.0	0.005068483549879654	0.0010391267060262388	0.005068483549879654	0.0010391267060262388	0.011050958847037995	0.0024296320354229017	0.010911815825127236	0.0024296320354229017
30.0	0.007129494396766356	0.003097292063855117	0.007129494396766356	0.003097292063855117	0.004854064889726395	0.003277208015596944	0.004799810923457493	0.003277208015597166
31.0	0.005499112241969195	0.0003033902905925645	0.005499112241969195	0.0003033902905925645	0.005832841308337389	0.005792207742135291	0.005774454400072182	0.005792207742135291
32.0	0.007690635282729175	0.001500841660597163	0.007690635282729175	0.001500841660597163	0.007189622336394974	0.006394214671642584	0.007049092475283181	0.006394214671642584
33.0	0.006670453529883824	0.0023014173532015514	0.006670453529883824	0.0023014173532015514	0.11544021978440533	0.014599601641462123	0.11483997259598766	0.014599601641462123
34.0	0.005785850440627738	0.001468673013784061	0.005785850440627738	0.001468673013784061	0.0015014612608468259	0.0005929360244465443	0.0014929342549332425	0.0005929360244465443
35.0	0.005850464694942992	0.0015038825592920135	0.005850464694942992	0.0015038825592920135	0.0006980626299705195	0.00014230524561742453	0.0006972121837190981	0.00014230524561720248
36.0	0.005797189038590611	0.0016294676176041856	0.005797189038590611	0.0016294676176041856	0.006657446746153761	0.0027091332855532224	0.006654606925214912	0.0027091332855532224
37.0	0.005270303232200457	0.0010185850550840092	0.005270303232200346	0.0010185850550840092	0.22398418607886872	0.26894896816342806	0.22381293955440917	0.26894896816342806
38.0	0.004445731299866917	0.0006994354774699785	0.004445731299866917	0.0006994354774699785	0.034710029157592914	0.03994736864661108	0.034344487548659486	0.03994736864661108
39.0	0.00587620624918983	0.0016389136327702447	0.00587620624918983	0.0016389136327702447	0.03115173199311949	0.0373653897518208	0.030769669148311363	0.0373653897518208
40.0	0.006965627621694059	0.0027069898443264906	0.006965627621694059	0.0027069898443264906	0.11921304768769814	0.13786069181109617	0.11824470435359147	0.13786069181109617
41.0	0.006803194859177353	0.0036110048431284847	0.006803194859177353	0.0036110048431284847	0.002410611729124268	0.0023650001666486453	0.002364782249081654	0.0023650001666486453
42.0	0.006803194859177242	0.0036110048431282626	0.006803194859177242	0.0036110048431282626	0.002410611729124601	0.0023650001666482012	0.002364782249081654	0.0023650001666482012
43.0	0.006803194859177131	0.0036110048431287067	0.006803194859177131	0.0036110048431287067	0.002410611729124379	0.0023650001666486453	0.002364782249081654	0.0023650001666486453
44.0	0.00680319485917702	0.0036110048431280406	0.00680319485917702	0.0036110048431280406	0.002410611729124601	0.0023650001666486453	0.002364782249081543	0.0023650001666486453
45.0	0.006803194859177353	0.0036110048431282626	0.006803194859177353	0.0036110048431282626	0.002410611729124268	0.0023650001666486453	0.002364782249081543	0.0023650001666486453
46.0	0.00680319485917702	0.0036110048431280406	0.00680319485917702	0.0036110048431280406	0.002410611729124601	0.0023650001666486453	0.002364782249081876	0.0023650001666486453
47.0	0.006803194859177242	0.0036110048431282626	0.006803194859177242	0.0036110048431282626	0.002410611729124379	0.0023650001666484233	0.002364782249081543	0.0023650001666484233
48.0	0.006803194859177242	0.0036110048431284847	0.006803194859177242	0.0036110048431284847	0.002410611729124268	0.0023650001666486453	0.002364782249081654	0.0023650001666486453
49.0	0.013141129933580964	0.006006593243241487	0.013141129933580964	0.006006593243241487	0.07000325286720521	0.04743912295758124	0.06994935185509588	0.04743912295758124
50.0	0.008342519759059086	0.003637659017570516	0.008342519759059086	0.003637659017570516	0.018612576092554733	0.005087339469876606	0.018560114351175327	0.005087339469876606
51.0	0.005821645448596868	0.0034995743733329254	0.005821645448596868	0.0034995743733329254	0.04301791596660409	0.060718890373749	0.04272149332165043	0.060718890373749
52.0	0.005041099938170257	0.003661757943424049	0.005041099938170257	0.003661757943424049	0.1382382559876959	0.16218790692939866	0.13802375866869498	0.16218790692939866
53.0	0.004939120029701094	0.002404783193980964	0.004939120029701094	0.002404783193980964	0.15197957400076167	0.07129081947234128	0.15085413904354694	0.07129081947234128
54.0	0.006699523778416094	0.0024453387322511677	0.006699523778416094	0.0024453387322511677	0.13340703420668376	0.2496014702264724	0.1316489406243706	0.2496014702264724
55.0	0.01645433755111647	0.005104792927391633	0.01645433755111647	0.005104792927391633	0.06580148321009072	0.09766936886296451	0.06525169241837625	0.09766936886296451
56.0	0.019110424927647696	0.007333909178481424	0.019110424927647696	0.007333909178481424	0.07546449826942192	0.08361469465992655	0.07526880178155904	0.08361469465992655
57.0	0.019725333272258228	0.0019172356829736392	0.019725333272258228	0.0019172356829736392	0.20808123087755537	0.08378471300487955	0.2082813382272385	0.08378471300487944
58.0	0.006789081230369587	0.00036405726957433604	0.006789081230369587	0.00036405726957433604	0.011127069114358568	0.003573473995044041	0.011054253617062915	0.003573473995044041
59.0	0.005020351445699567	0.0013321124278335983	0.005020351445699567	0.0013321124278335983	0.04339957619253432	0.025685246444624776	0.043373469605535675	0.025685246444624776
60.0	0.005830334785639879	0.0031355322397633723	0.005830334785640101	0.0031355322397635943	0.021960492330265424	0.031587762028407185	0.02179629106051595	0.031587762028407185
61.0	0.004425782577230364	0.0005261208887979985	0.004425782577230364	0.0005261208887979985	0.05433589721831944	0.008621738563681647	0.05433632734037375	0.008621738563681647
62.0	0.010632838973167247	0.0017566694219649515	0.010632838973167247	0.0017566694219649515	0.20267967201650172	0.0975977266727418	0.2017748753134676	0.0975977266727418
63.0	0.013690884969859818	0.0024603506543032783	0.013690884969859818	0.0024603506543032783	0.13234423336997403	0.24020829960394252	0.13069340520927175	0.24020829960394252
64.0	0.030333739537583115	0.005253435479124713	0.030333739537583115	0.005253435479124935	0.02866520339557721	0.01443998765547494	0.02820059730193758	0.01443998765547494
65.0	0.02285368079737271	0.004251480232827176	0.02285368079737271	0.004251480232827176	0.24515141789944261	0.2537109212078933	0.24400058219216358	0.2537109212078933
66.0	0.008896424119738566	0.0029254226299931796	0.008896424119738566	0.0029254226299931796	0.017722310483482495	0.004633119240554429	0.017630372451034715	0.004633119240554429
67.0	0.001786080388464506	8.517549118747247e-05	0.001786080388464506	8.517549118747247e-05	0.0029660421426161987	0.0015365045768626073	0.0029476134020313127	0.0015365045768626073
68.0	0.0061882978134313316	0.003332232797157886	0.0061882978134313316	0.003332232797157886	0.0055684660790902285	0.003515393846548198	0.005551499886662148	0.003515393846548198
69.0	0.002026253524578636	7.972201089079256e-05	0.002026253524578636	7.972201089079256e-05	0.0038320157285294254	0.0037232353146882113	0.00381392533430458	0.0037232353146882113
70.0	0.00814139510464118	0.00140230992465884	0.00814139510464118	0.00140230992465884	0.018257722857122016	0.02067461758552036	0.018049332237798366	0.02067461758552036
71.0	0.01160800217336011	0.0018861481600849217	0.01160800217336011	0.0018861481600849217	0.27457816675143276	0.07014860056043914	0.27289515649716256	0.07014860056043914
72.0	0.03257364454297418	0.005986210952684257	0.03257364454297418	0.005986210952684257	0.08051450717721664	0.008436038701308601	0.08046535750972861	0.008436038701308601
73.0	0.008274682404139866	0.0020529714378475505	0.008274682404139866	0.0020529714378475505	0.18302164517995	0.13565081299985693	0.18206329425795276	0.13565081299985693
74.0	0.005656713130187341	0.00034884981748950494	0.005656713130187341	0.00034884981748950494	0.00413315235791667	0.00468555574872731	0.00410185131998031	0.00468555574872731
75.0	0.0010843813595742269	0.0001014921855051476	0.0010843813595742269	0.0001014921855051476	0.0009890570246311459	0.00023344958076598754	0.0009815863354578624	0.00023344958076598754
76.0	0.005661547265812805	0.0010771804465381507	0.005661547265812805	0.0010771804465381507	0.02818023351042087	0.021240687848431583	0.027954971115898397	0.021240687848431583
77.0	0.002123253436682071	0.00016485556627410247	0.002123253436682071	0.00016485556627410247	0.0012986595753606833	0.002331355641632893	0.0012845851679098574	0.002331355641632893
78.0	0.009004175980768858	0.001569740792182417	0.009004175980768858	0.001569740792182417	0.021401856509712047	0.010588193430181247	0.021379112175647474	0.010588193430181247
79.0	0.009613752648140239	0.0025966878637904145	0.009613752648140239	0.0025966878637904145	0.04200891236162663	0.014762107689117676	0.04195634652249003	0.014762107689117676
80.0	0.015519186087879722	0.0050413167426203165	0.015519186087879722	0.0050413167426203165	0.009830571433530721	0.007684590847941708	0.00975375630847819	0.007684590847941708
81.0	0.008840549373043904	0.0030643484945918065	0.008840549373043904	0.0030643484945918065	0.08015751612096988	0.12656999382094958	0.07943596041294942	0.12656999382094958
82.0	0.0072543329459426875	0.0020200082762457106	0.0072543329459426875	0.0020200082762457106	0.04086795710488189	0.01774953111867661	0.040629164463466316	0.01774953111867661
83.0	0.007400175568885392	0.0030179044973491775	0.007400175568885392	0.0030179044973489555	0.02284663578591961	0.0139339701643717	0.02281103869362633	0.0139339701643717
84.0	0.007358226816201574	0.004038254808486297	0.007358226816201574	0.004038254808486297	0.16281859374798646	0.2091768515923399	0.16192774153218925	0.2091768515923399
