Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.004965874845145879	0.0032178092703556427	0.004407599719580181	0.00592381489393945	0.0007138864940031701
2.0	0.005983117466048182	0.0037609206326888467	0.005252937446228052	0.006392659809525525	0.0007938096551017026
3.0	0.004577604876227159	0.0030589337119382165	0.0045203923033722134	0.006517702682861115	0.0009618189261685693
4.0	0.0038309204632137606	0.0024306958540479817	0.006039345653617079	0.00840211437584637	0.0015756604593569405
5.0	0.0035996545067642494	0.002044570335309248	0.004220811707965814	0.007108237286801877	0.0012817345093297764
6.0	0.0029489728241931523	0.0012666181706566526	0.0038341678852289057	0.0061914853586316765	0.0010849273068782323
7.0	0.0045017085680716384	0.00201619572313394	0.003205775564941898	0.004493295938076347	0.0006615094079014132
8.0	0.004406568361985719	0.0023788310289417636	0.003459929707188384	0.004546023250400877	0.0006771457958033762
9.0	0.008270815925651931	0.003572432263346803	0.006352643067026302	0.009183094074004083	0.001343642903635012
10.0	0.011339511736318753	0.0031110295280383227	0.008298286723251743	0.011649595359560894	0.002929715564321381
11.0	0.00894106842557818	0.005532892906428777	0.00864383271519927	0.013450710115128994	0.0022823910877520855
12.0	0.005287587174192754	0.0031825905679054856	0.007377505633837968	0.010370088729032778	0.0026031748131174572
13.0	0.004949388529336907	0.002653903337086705	0.006137355152125054	0.01321184931250119	0.002924765881700497
14.0	0.00678104074289454	0.0035380761108420034	0.007385089214301223	0.012694927838481473	0.0030669736345234236
15.0	0.006905677195268689	0.004392538871840879	0.008842218782765027	0.018753179736355596	0.004049225489578067
16.0	0.005750934523952478	0.0032206764742910288	0.0079831648524091	0.017142484759054222	0.004450845823192395
17.0	0.007596247454767391	0.001970658177523732	0.0046998066235524865	0.008262583107025545	0.0018587501882047902
18.0	0.00602661710575525	0.004857486680956313	0.008043030779920936	0.013979331083176616	0.002625405799831542
19.0	0.019209207353935498	0.004660452123894987	0.012093187476536498	0.018438257232192612	0.004297967838370061
20.0	0.008141645816982734	0.004323801836715657	0.006370541036598449	0.009267510545725055	0.0011019135707932366
21.0	0.0047105896962131855	0.0028777525316285857	0.006464344926932743	0.01281221298681956	0.003320000477625868
22.0	0.006914196454377963	0.003476360500843434	0.008934366507386776	0.01740006239855918	0.0038059085779253085
