Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.003679681054914341	0.0003505526292558736	0.003425398720400393	0.014704650382780016	0.004007119897437044
2.0	0.0028374569841453923	0.0003153599022949205	0.008365786847612392	0.055821443702017914	0.014371471801620296
3.0	0.001590233362545268	0.00018046925980652606	0.01732047293668835	0.1771098816296458	0.03956748450530362
4.0	0.0014294111724776348	0.0001560899298300722	0.009274221113433541	0.10739241697805602	0.019621588734715614
5.0	0.001662402935350582	0.00020685157232680496	0.006479001265209659	0.03745380798156284	0.010164244391698447
6.0	0.002431774411134624	0.0002762087613934483	0.0036053340922862893	0.019435523743081773	0.004556148488988546
7.0	0.0038221751289249095	0.0003429481976372495	0.0030446783870718788	0.011993737246641545	0.0030238690092995748
8.0	0.003956587895909247	0.00038779189814563964	0.002771725282895004	0.00967500696865975	0.0025671669399289715
9.0	0.010027656874512347	0.0004859965716421666	0.0024740214566715533	0.007806286688917141	0.0015995939858723276
10.0	0.004892459574646346	0.0008638964148416362	0.0045677171134935616	0.023716135045057207	0.00563745628919794
11.0	0.0039762558027386374	0.0006334099922840064	0.007005223841400171	0.03663037479579978	0.00948113721231126
12.0	0.002549543791846798	0.0005362726056992173	0.006232861261918682	0.03841063599068184	0.008328707745480737
13.0	0.0038153959772253554	0.0006391064259153589	0.004152772754212547	0.021277388211942472	0.004703055541474481
14.0	0.016033153819784984	0.0007815598186571293	0.0033095492929768374	0.010744566796875743	0.002469080771237959
15.0	0.013550872706715733	0.0007547207799944999	0.0024239467792876233	0.007722409755911874	0.0016259203672786692
16.0	0.014121615829283174	0.0004884903015325293	0.0018342989654347229	0.004627134308137104	0.0008374487241225255
17.0	0.020276114121990707	0.0005770690151034596	0.0019660577220391162	0.00651526979684125	0.0014098214978693231
18.0	0.011999422188795905	0.0007536074471824472	0.003004692798440279	0.012384195000076814	0.0029708294742358484
19.0	0.007476702946380698	0.0006737698820814542	0.005922069663582267	0.043937687890226784	0.007994790474378887
20.0	0.005751354201439018	0.0005509761023356763	0.004154305196920917	0.030836292060945625	0.005466073648573108
21.0	0.007220313520851063	0.0005405473069485245	0.0027317699158248923	0.010655721629721948	0.0023702842896338424
22.0	0.0029525165393859965	0.0008935436525243645	0.0022213708690440883	0.004239180305559809	0.0008217860127406951
23.0	0.026667388921435498	0.0005343742000794016	0.001932412961127701	0.0038721068631859534	0.0008595301379549429
24.0	0.0320130558813424	0.0005075714340724291	0.0023919135067382406	0.005123261090824727	0.0012510881922175715
25.0	0.015986351331159998	0.00035868670991878737	0.0016310424995424106	0.0038238294590827726	0.0008081577135251658
26.0	0.010194578107728725	0.0009897481914108441	0.0032427699848149964	0.01144991755967173	0.0023192258647645315
27.0	0.004303080641884338	0.001575927623378437	0.008020860189535425	0.035220062665316076	0.008776786722240878
28.0	0.005104389786627417	0.0011549128045093005	0.005414123312598636	0.03201578638424507	0.0060692322797446345
29.0	0.010797239462792874	0.0013239725567127936	0.0051649600211556845	0.02746271390998445	0.005393109394396996
30.0	0.008374056186263856	0.0007427233230189456	0.0026679987838176215	0.007067226587907149	0.0014900896923974141
31.0	0.008014084753215744	0.0005023190300741387	0.0012883070893670737	0.002258215075985115	0.00046746077199740703
32.0	0.022118624554108623	0.00030540166914416744	0.001838361695998846	0.00413728401684621	0.0009905862817372756
33.0	0.01748795080610077	0.0007868222939181324	0.0028730823018770133	0.007521789336141116	0.0016452841419505933
34.0	0.026981979799709843	0.0010740456527733588	0.0034117085648853714	0.019909765930529844	0.003441119541318873
35.0	0.018749466491107647	0.0016057661977889603	0.0055946079188010645	0.0292018088749334	0.0051893056174341975
36.0	0.012273134042772083	0.0025189301082976234	0.007775909265881191	0.05006992125827148	0.009869158228322523
37.0	0.005178563895563482	0.002280234071612486	0.005941123719036908	0.03513343585599715	0.00604500810972373
38.0	0.004620197182966912	0.0006485120474373218	0.0037456153828403452	0.022074796552843057	0.0038106269941037404
39.0	0.005857009167661964	0.0007841303190604387	0.002539524570956123	0.006882498082084965	0.0015513092743314855
40.0	0.010179762516445923	0.0008992915990605477	0.0027550733514269186	0.012878485035080711	0.0022207906461880803
41.0	0.009890496904849111	0.00018938173169291694	0.0018135680159938234	0.005457322270622678	0.0011194562350566363
42.0	0.009890496904849	0.0002998711785604513	0.0032228230659591605	0.021332165022685978	0.003963184190305868
43.0	0.009890496904849	0.00020967293770901563	0.0018495287479082245	0.006094473825266844	0.001424852090878127
44.0	0.00989049690482724	0.00016018963124919683	0.0019019602734214112	0.006228591675451978	0.0011477653102212365
45.0	0.009890496904848889	0.0002075613714931368	0.0019394030317466248	0.005773837547915717	0.0012104664125624934
46.0	0.009890496904849111	0.00020365293879076596	0.0034756497685654586	0.024175277017447816	0.004696480695203175
47.0	0.009890496904849333	0.00022148313339553916	0.0033806299677309774	0.02016050459777463	0.0038786006214140117
48.0	0.009890496904849111	0.0002305884668631908	0.0016373106909378496	0.00397708436866584	0.0010354729914267486
49.0	0.01853436780754225	0.0008946787965995462	0.0028178673800402934	0.010558757871497848	0.0018713458159891653
50.0	0.006512474270107926	0.0005335736489846532	0.0037940623862828737	0.026248220924978916	0.005884799429082313
51.0	0.0038794340077790146	0.0005182582574874139	0.008727837908609662	0.0937022380565431	0.016721515986172445
52.0	0.0007833043600176115	0.0004680452065392027	0.008469128208056316	0.06324280943229343	0.015097907263283156
53.0	0.0011814385299692143	0.0004535959850383575	0.013146174222350149	0.10143049896321976	0.020811694940114124
54.0	0.004124349600657218	0.000384548446461741	0.0030615126753658706	0.011187978009287947	0.002983288380926327
55.0	0.016030390492933533	0.000379407539893295	0.0027408295836331845	0.007413069122706006	0.0017390259407462853
56.0	0.02058252677911321	0.0008601951411725262	0.0020402848447557105	0.003961831686570272	0.000749524115663607
57.0	0.021196000041254992	0.0009712543929700779	0.003379982724318852	0.00857108142887053	0.0017002075630103734
58.0	0.008695309686984398	0.000672494260507972	0.002954521491910524	0.012140094123037959	0.0021332004409689597
59.0	0.004875051954022935	0.000880629378647968	0.013205009198209404	0.1283373600720069	0.02410475998641228
60.0	0.0025280114968673217	0.0004436193664774102	0.015580167910192169	0.0736813167778958	0.021980788992672366
61.0	0.0026639121882059413	0.0012306430815844926	0.00883872739181384	0.030204537869579884	0.008334060537575207
62.0	0.01705257145756378	0.0009880070307555222	0.003987030228804634	0.01768142585488497	0.0036499512946157565
63.0	0.03733614610712188	0.0010823419426050362	0.0026475744065002057	0.006851409178983081	0.0013618596904599327
64.0	0.027404626793886888	0.0005108619113499691	0.0025386390688601755	0.006629087212607243	0.001469883773090992
65.0	0.040732351989288706	0.0013722810615528491	0.004248715201620216	0.010563957934955015	0.0028220505297646805
66.0	0.009202958984704912	0.000647822262381692	0.0034506720512388874	0.018761472014718894	0.0035635249953477176
67.0	0.00851300777442543	0.0017684865866989252	0.011853663054398885	0.09046952521889107	0.017745509590979838
68.0	0.003369378490625796	0.001126369169918151	0.01821735623278881	0.11288586791100308	0.025459352848301753
69.0	0.0032323212973267568	0.0012895252477613806	0.010702815109878461	0.030505913658079087	0.007834468786467007
70.0	0.0018220888635972488	0.0013030584102876608	0.0030340264906568715	0.007130904134947547	0.0012992855908213177
71.0	0.018081192961463377	0.0011512381472398303	0.003117816639605956	0.005711945112355621	0.0011041234401837085
72.0	0.059576406527470316	0.001215384136657005	0.0033281412493014672	0.007296471782247349	0.0016036205625597915
73.0	0.04168983561208939	0.001041032225650551	0.002599031380502265	0.011775243490979803	0.002227999189918994
74.0	0.017603050046116286	0.0011461834989103803	0.004289152474799731	0.018871393887908816	0.0038825737163906485
75.0	0.007749825915053465	0.0019200258242796364	0.008475561991577094	0.05169326715767475	0.008382478183232922
76.0	0.0051717080662795345	0.002338585261702164	0.01024745146099262	0.050725602457732166	0.0122554614922912
77.0	0.007842198445229709	0.0026576126155677393	0.009084957278165287	0.03685411069191291	0.007897777718693669
78.0	0.005632999891976853	0.0015230343234522437	0.0026082673027551175	0.0047771162675759316	0.0007537552834313525
79.0	0.0030607904750099557	0.000498199596012161	0.0014730075870937728	0.0030425099345208206	0.0007448121052417813
80.0	0.00680988750767908	0.0007629520748363428	0.0027635822014412154	0.006656971274495382	0.0016009448513495915
81.0	0.0020715466064252785	0.00040429864153457284	0.0025962486609743354	0.011140274849910314	0.002369706504775187
82.0	0.003675518824617585	0.0008467128317680706	0.002570653495352563	0.00802829167802288	0.0014658075232187933
83.0	0.003161495173337636	0.0015513878784704227	0.00607206297457163	0.02497158627820828	0.0050468214330824665
84.0	0.0038283621369263887	0.0016228227820903607	0.00799953186547671	0.03231512761499333	0.008413656352247032
85.0	0.006879945847749203	0.001398792166417695	0.004700902725889406	0.01887559807649908	0.003790122420462175
86.0	0.005911522886516862	0.0014543306446623827	0.0032767928787671243	0.00783926140487945	0.0016711703772011824
87.0	0.003924908545917871	0.0006904340668317799	0.0016973727687496682	0.005085528768153824	0.000988472149229978
88.0	0.003687810901624955	0.0004624891535633946	0.0015533654330318243	0.0037559881416069363	0.0006566033710904259
89.0	0.004472026401192819	0.0004756006309882821	0.0034494914379063226	0.017263118520048026	0.003329792986235488
