Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.00835487642366517	0.0021608025782250406	0.008764830909014587	0.002033252213183956	0.12921128332198106	0.32994850271867926	0.17030355829805566	0.2607281189831766
2.0	0.00644816083630706	0.0022296962180800017	0.005900768453984462	0.002186577218586838	0.11150959487644452	0.3397364778955686	0.150885752319604	0.16108094234211934
3.0	0.006709637893371534	0.002379935438631575	0.004420594350026397	0.0024773138831134522	0.14858234820168148	0.21636563627323724	0.1931162406324709	0.1617281842392414
4.0	0.004754928862321428	0.0026026387523131467	0.005247026761709739	0.0024624492878519977	0.11807550041720494	0.04926274273268094	0.11074518200041295	0.046313188434068175
5.0	0.00442820341189698	0.0024540419422883764	0.005164363530320348	0.002332074975567755	0.26795266815535423	0.006740672246818624	0.07292425529986046	0.006568549746820973
6.0	0.005742241486972888	0.002009742799285119	0.0039028085397423418	0.0023132917890454907	0.312822311484514	0.022265095024011083	0.2989387083969346	0.027598483955499353
7.0	0.011330507925003563	0.0021518116726638725	0.008326105622368463	0.002738723298187251	0.26583144052409724	0.15688824436998938	0.31598757556870083	0.1379937857230068
8.0	0.010342783761745022	0.0024781522264024636	0.009337187028946925	0.0026109206391758955	0.46226751655038756	0.35823509631057726	0.4744404174714165	0.20030343240870052
9.0	0.015176121095523132	0.004731213941503554	0.02182925930418944	0.004546448330072672	0.05911234968791812	0.06525017774277764	0.08901456393240736	0.05531785084288254
10.0	0.008244971161109116	0.004376966309187491	0.009504310957331175	0.00325713505632097	0.12343679628286408	0.06553216628329828	0.06337225418420378	0.05807767464399349
11.0	0.007444926095043214	0.003944050813004085	0.010924281887729537	0.0033630963171672468	0.03765311839826313	0.10283555037936087	0.042164588914266665	0.08979088448906691
12.0	0.00731948174158048	0.003994565077437562	0.005640803349611367	0.0032311618788267715	0.05060808102815806	0.03013686625407619	0.058723608285764395	0.027967006384921445
13.0	0.006294597496945831	0.0034347552640846546	0.006284534325086688	0.003584556244481396	0.060183486625525195	0.01290504573744422	0.08082179081313523	0.01313659368181741
14.0	0.007675860950117741	0.002928232903374739	0.008212078524581945	0.003780355372875688	0.2150826027726216	0.016272619096056595	0.2472622396346552	0.02542942636969714
15.0	0.01239940551908092	0.002262886904883854	0.011367704888682661	0.0030875094379666512	0.3777676538082466	0.014451262907323681	0.26194030272590796	0.034118083915476105
16.0	0.005380276402455975	0.0022988623071252823	0.004718733225468563	0.0025498942574183614	0.16055369371567307	0.01522620050831447	0.0571562265506258	0.01867104311978962
17.0	0.01694359416018254	0.0032941056580579886	0.009376233409704948	0.004213635568192875	0.02549361419563978	0.10316173582979582	0.029181451861527874	0.10493691761674773
18.0	0.010052511730592517	0.00391261992405223	0.008224588217616069	0.003461634039131911	0.3939190234008595	0.12700304599285628	0.17348567513391178	0.15029360063087782
19.0	0.01443715220348063	0.003796872261855433	0.010560600943299248	0.00411152017078964	0.23424993131072802	0.15279520420210702	0.14951540569106325	0.11719482258116898
20.0	0.008437625260303672	0.004572984223134902	0.014286713445628818	0.004539886547781813	0.024242766736575883	0.02723504062094373	0.012688967558025621	0.02724551831266797
21.0	0.007386668648268313	0.003512396471979762	0.00991824051545509	0.0033155286732613476	0.006056460835461852	0.003518273279551898	0.02180298801506686	0.003929854572223279
22.0	0.008520408930899337	0.0034839766858137944	0.012392052996967107	0.003066761850552102	0.015895239757436896	0.00378559724445382	0.06528129902288538	0.004237109997076938
23.0	0.024121410345058103	0.008224969910510027	0.014658675676363142	0.0054973835643100655	0.08298944245583828	0.006087542297940951	0.093498965929661	0.006988060465084267
24.0	0.01027654886965157	0.004114909154359414	0.0076059899406576426	0.005456201478115985	0.033176952237534696	0.014944078709023811	0.02063216099255849	0.013816956760130172
25.0	0.011203527498825916	0.003600363850519317	0.008364664084742679	0.005594377280350726	0.061279503058118245	0.5764605892197483	0.0605897514594429	0.472721073691735
26.0	0.012020954110477655	0.003189639952669854	0.014030782778678641	0.004526309336641332	0.21344493667254572	0.009363835176486979	0.03163227953288239	0.010234421931244575
27.0	0.0068222777129152146	0.004134228440719534	0.0074567462858803335	0.003916310528242928	0.008464594381281887	0.01034965633078444	0.00953215503456406	0.004853897557013931
28.0	0.016173305827622553	0.0035128443551233346	0.01086862776544717	0.004683585381971778	0.19841457415987884	0.1340536321770076	0.12668398085964427	0.10318454458687887
29.0	0.008212545705459262	0.0037309924760263735	0.008212224463988949	0.003696189101818792	0.021923627140602364	0.025515251909594583	0.003643875283154574	0.021380999892788743
30.0	0.004585049030301103	0.0037002560345817948	0.006797995219898767	0.0026074102472478655	0.006495104035506349	0.010796236022607375	0.003211805272634982	0.010491494458647499
31.0	0.006067202423756801	0.0035323498736591352	0.009238833056860019	0.0026648755034764937	0.006912970924877304	0.011569386532160664	0.008385128261749308	0.013237862973391912
32.0	0.006098661034296904	0.003135762636592432	0.008237708040652492	0.003707855650864067	0.007378836154967927	0.02542692505030686	0.024795992043185056	0.029632827457192756
33.0	0.00979699597883188	0.004267768511735159	0.012713593973444293	0.004513003631236301	0.04191083367567372	0.015581242609754686	0.20451144289716938	0.017585794112086384
34.0	0.005529757481124609	0.002923227741396861	0.005675317092785348	0.0033688939087431757	0.001133725259318985	0.0013988219138969527	0.0037878244064811772	0.003257630660189803
35.0	0.0031274452115032103	0.0025086941397268747	0.003048521144484062	0.002488261706230288	0.0007852443194353853	0.0002949530567715186	0.0006523842783098255	0.0002724890270043856
36.0	0.007043420599029848	0.003742063265518847	0.005036509738374106	0.0034525501989560725	0.00504371257783931	0.004450125078689138	0.011624231245893069	0.002696465118466773
37.0	0.011804500730331458	0.0042746457450897335	0.007493590771395775	0.0038239284697920706	0.1512297167115234	0.11363939742737117	0.34386687533668236	0.06752291761792584
38.0	0.011041508099563613	0.004021531774619502	0.007908595286365672	0.0036510763259437473	0.06096405002387362	0.17774094037813815	0.028551241757730494	0.11890872325108093
39.0	0.010757946791783102	0.0041553114089283305	0.008691674988888565	0.0035762738502440605	0.052084057081236534	0.17238161592490098	0.01791381074837528	0.11963189357750637
40.0	0.011488918592435615	0.004514116207726349	0.011290021542941231	0.003945333875138846	0.13606876911658916	0.3304763214266865	0.10451995137579051	0.24678408917775807
41.0	0.005614277851852756	0.003907190969662411	0.007082207213018554	0.004303549809680396	0.004499210162368095	0.0028122313318734715	0.0022764561238729497	0.0059314854392260585
42.0	0.005614277851852978	0.003907190969662189	0.007082207213018443	0.004303549809680396	0.004499210162368095	0.0028122313318734715	0.0022764561238726166	0.0059314854392260585
43.0	0.0056142778518510905	0.003907190969662189	0.00708220721302022	0.004303549809681173	0.0044992101632734816	0.0028122313318734715	0.0022764561236121583	0.0059314854392260585
44.0	0.0056142778518513126	0.003907190969661745	0.0070822072130196645	0.004303549809681395	0.004499210163273815	0.0028122313318734715	0.0022764561236118253	0.0059314854392260585
45.0	0.0056142778518508685	0.003907190969661967	0.0070822072130198865	0.004303549809681173	0.004499210163273704	0.0028122313318735825	0.0022764561236118253	0.005931485439226281
46.0	0.005614277851852978	0.003907190969662633	0.007082207213018776	0.004303549809680396	0.004499210162368095	0.0028122313318735825	0.0022764561238726166	0.0059314854392261696
47.0	0.005614277851852645	0.003907190969661967	0.007082207213018554	0.004303549809680396	0.004499210162368095	0.0028122313318734715	0.0022764561238729497	0.0059314854392260585
48.0	0.0056142778518512015	0.003907190969661967	0.0070822072130197755	0.004303549809681173	0.004499210163273704	0.0028122313318733605	0.0022764561236118253	0.005931485439226281
49.0	0.015615719017332275	0.004369959353393349	0.010916528314940055	0.004186227964127931	0.05901072643899008	0.01588304535461693	0.1291435758324352	0.0159004547227366
50.0	0.013164053967754219	0.0033412687487706094	0.007903941797326564	0.0036159730145579605	0.022976893871148096	0.004746538411656176	0.0360785996236499	0.0044726495325706495
51.0	0.00973229904571915	0.0033594426737936223	0.008145974634983455	0.0035668004617042115	0.04989730571799611	0.04971967302077396	0.03517726609646277	0.0451848145015753
52.0	0.008522707521451123	0.003920504447397888	0.011482623534511571	0.0034692760665142597	0.18155220294382668	0.11590789082570696	0.1143177847621839	0.09381965532127146
53.0	0.007634272462184177	0.0033959154437149808	0.009836823900658986	0.0033783372057386574	0.3106243986205277	0.05124937420878872	0.10937832240728307	0.05600808308576821
54.0	0.008761322973899421	0.003126422076494939	0.007895359541276625	0.0035422163883218616	0.13342600322950504	0.4155426062088613	0.14969968799669098	0.2803518494597358
55.0	0.01515108181313507	0.003578818088628144	0.012331306592860414	0.004095973829349009	0.07504067608857423	0.0717871139390619	0.07987154826544263	0.06391788882036342
56.0	0.01923830812656324	0.004913506712553861	0.014563224255264795	0.004677585109110538	0.07077361247491487	0.03584052003835314	0.11180971744861379	0.03720256605291106
57.0	0.016986460011689353	0.003464651544637598	0.0173560249575877	0.0036772514097435094	0.21109169411123907	0.027440051413190614	0.21991495376383152	0.01687857943686888
58.0	0.00751722974017599	0.003338083292036109	0.01195794407020423	0.0027381633994624233	0.013264783668265223	0.004167890086692161	0.025588721753831423	0.008639937880734139
59.0	0.011314914793183695	0.004916916781078973	0.013221052082380336	0.004400621989566034	0.02423212386656426	0.006446656552260843	0.09345013340839492	0.007122727458319766
60.0	0.007495023697003389	0.004459714282361915	0.008482923291975197	0.0044543601135289546	0.019661781880632057	0.013425215270419177	0.02244335747800763	0.015911461414478967
61.0	0.011655549663836196	0.004187478569600778	0.012724683369259582	0.0037806030347843356	0.02155671812019677	0.0017798828344768314	0.09220498714938064	0.002228987398829041
62.0	0.014153526490711	0.005619258099276991	0.014211101006706084	0.0038913002310033695	0.16515725635379275	0.0279643554355824	0.255101207346362	0.030563608645995277
63.0	0.011738056720659973	0.005726360653245388	0.013059262348630307	0.004372170690149835	0.13834487094664205	0.39916128747469126	0.13187386645817822	0.33476551758085515
64.0	0.019386857366313515	0.004483815400791347	0.021603871437787858	0.004334022243714153	0.05384075102662067	0.10009517759793107	0.027525315772630843	0.07967002600132167
65.0	0.020241992663128427	0.007731755605464352	0.01899281105349926	0.009446241857806958	0.27675930198576915	0.03404913360066952	0.12039133070355135	0.08946042463565407
66.0	0.009287781875468748	0.003453574854214936	0.011474311405320514	0.00471954716675882	0.194280511579084	0.003955544353983265	0.08909469325275288	0.0038234127579159782
67.0	0.011700396153288217	0.0031974618167371904	0.009953082316609518	0.0039652696590138925	0.026998472199529666	0.009280216918623352	0.11614366800484033	0.010089291139529388
68.0	0.009633051711767537	0.004876278799094358	0.014797465225718898	0.005715102179053577	0.0232111412727517	0.039555948097332205	0.0991766268148333	0.04398749440336258
69.0	0.005423992184330428	0.0027362264351256105	0.006911479801471665	0.0026438427401394016	0.0341858034460053	0.007524932507209092	0.0715443830147462	0.007511715515023498
70.0	0.00799317477230621	0.0036279422571291464	0.008199701104266821	0.0031451459439290064	0.07928911991045728	0.005537960863757685	0.10164039017707327	0.005569082318666374
71.0	0.010108101374269984	0.004741000707751741	0.012154861243134807	0.0036933226973531186	0.23883506585308112	0.020787290130301672	0.5306043302766218	0.010653519897801611
72.0	0.02186175498893439	0.0069283524056272805	0.021072722003807942	0.006589419042628553	0.20278923749516675	0.037108988737242	0.2446342524665377	0.07106772580155662
73.0	0.00874478259913769	0.006223267001773891	0.013387386671356305	0.00477793721721842	0.13294173009665788	0.12454880114748801	0.2622277608582071	0.24157422401732986
74.0	0.006396195729049814	0.003769527001305617	0.006669438778846404	0.0035185112709110733	0.0035314025854433773	0.002052243025444489	0.00480843956214283	0.005047468128199339
75.0	0.005336893494869432	0.0028029272414076267	0.00497214889161135	0.0032908695492390727	0.0019480644295164495	0.0013188203132293852	0.0028779088611144976	0.0010077533567313113
76.0	0.015693806877307703	0.0031461719497598573	0.011369286737008655	0.0053617727101535895	0.04959060162436013	0.07358479165729537	0.011200977319813843	0.08632847877973504
77.0	0.004124885053465754	0.003071688151457197	0.005713482771976586	0.0031433833426995905	0.004600119468537334	0.008485437539930474	0.0026281090823073727	0.007377078185763497
78.0	0.008536252200737726	0.004317159684313121	0.011575605051094562	0.00487880426664522	0.03953562155581525	0.004972042084304018	0.0146728177484029	0.004945276737352122
