Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.007450071895522381	0.0018824094559433124	0.007450071895522381	0.0018824094559433124	0.14293626934477377	0.2736536211541273	0.14293626934477377	0.2736536211541273
2.0	0.0039362228486705675	0.0016463587552657533	0.0039362228486705675	0.0016463587552657533	0.11863658961540291	0.13150591398904843	0.11863658961540291	0.13150591398904843
3.0	0.0029576671362158136	0.001622416653305092	0.0029576671362158136	0.001622416653305092	0.16832884295111583	0.17176345633543566	0.16832884295111583	0.17176345633543566
4.0	0.002281878731555609	0.001587747787634708	0.002281878731555609	0.001587747787634708	0.11583772161178085	0.04654757512165886	0.11583772161178085	0.04654757512165886
5.0	0.0019823075419843628	0.001587832645241205	0.0019823075419843628	0.001587832645241205	0.11500205178550804	0.006172986442789408	0.11500205178550804	0.006172986442789408
6.0	0.0033359466867584064	0.001706465086219855	0.0033359466867584064	0.001706465086219855	0.3816019997527583	0.023650906054410115	0.3816019997527583	0.023650906054410115
7.0	0.009370036184879749	0.002285495183226738	0.009370036184879749	0.002285495183226738	0.25076278685364795	0.14472916401893032	0.25076278685364795	0.14472916401893032
8.0	0.009582130789723031	0.0025111178542195356	0.009582130789723031	0.0025111178542195356	0.49297693008869903	0.23091462169883947	0.49297693008869903	0.23091462169883947
9.0	0.017879340386081077	0.004223532080570247	0.017879340386081077	0.004223532080570247	0.04947159734809714	0.056083790874529416	0.04947159734809714	0.056083790874529416
10.0	0.004654536812663368	0.0025776997858558692	0.004654536812663368	0.0025776997858558692	0.08467780188041829	0.05950057537290099	0.08467780188041829	0.05950057537290099
11.0	0.003069632433044589	0.0018114945241213265	0.003069632433044589	0.0018114945241213265	0.03394121051265331	0.0510218875921169	0.03394121051265331	0.0510218875921169
12.0	0.00326397556318081	0.0020645939818899617	0.00326397556318081	0.0020645939818899617	0.05880336982733714	0.02754443696751685	0.05880336982733714	0.02754443696751685
13.0	0.0031469686018886778	0.0023376226154631086	0.0031469686018886778	0.0023376226154631086	0.07594144601034447	0.012459323303814163	0.07594144601034447	0.012459323303814163
14.0	0.004654595129404027	0.0026250573171737734	0.004654595129404027	0.0026250573171737734	0.2478490559999369	0.019172068807863707	0.2478490559999369	0.019172068807863707
15.0	0.0102851232905935	0.0024211598805878864	0.0102851232905935	0.0024211598805878864	0.28881928781793287	0.01719105590201997	0.28881928781793287	0.01719105590201997
16.0	0.004523983488318173	0.0023087549775171468	0.004523983488318173	0.0023087549775171468	0.05444632039577213	0.005240481319868651	0.05444632039577213	0.005240481319868651
17.0	0.010647185820805483	0.002779747414896727	0.010647185820805483	0.002779747414896727	0.025122335394947015	0.09547550626229717	0.025122335394947015	0.09547550626229717
18.0	0.0041251179782649805	0.002199418014871113	0.0041251179782649805	0.002199418014871113	0.25628027677279663	0.10582923516257503	0.25628027677279663	0.10582923516257503
19.0	0.002956509814569963	0.0019813941212488695	0.002956509814569963	0.0019813941212488695	0.2045583246097521	0.11941300855980008	0.2045583246097521	0.11941300855980008
20.0	0.0030522775816954617	0.00197212500543964	0.0030522775816954617	0.00197212500543964	0.011720881909632719	0.01842586065434737	0.011720881909632719	0.01842586065434737
21.0	0.003224943525842905	0.0020674418836821307	0.003224943525842905	0.0020674418836821307	0.005685524977771639	0.003027490339913008	0.005685524977771639	0.003027490339913008
22.0	0.006334315236772969	0.0025215224132724146	0.006334315236772969	0.0025215224132724146	0.027958493286549646	0.002675660871116814	0.027958493286549646	0.002675660871116814
23.0	0.017157048693249077	0.006402671295870355	0.017157048693249077	0.006402671295870355	0.08805388024330807	0.0048002527023187636	0.08805388024330807	0.0048002527023187636
24.0	0.008210729460852217	0.004567283548866041	0.008210729460852217	0.004567283548866041	0.023660951195944024	0.012226958675765842	0.023660951195944024	0.012226958675765842
25.0	0.006887187462507827	0.0034995902392981337	0.006887187462507827	0.0034995902392981337	0.05745756906494337	0.5847338609387431	0.05745756906494337	0.5847338609387431
26.0	0.0044811638932446	0.0026495888409413526	0.0044811638932446	0.0026495888409413526	0.06355625471245119	0.006918230764098032	0.06355625471245119	0.00691823076409781
27.0	0.0032404431340137263	0.002311409339884718	0.0032404431340137263	0.002311409339884718	0.00869043946927317	0.004193853486260224	0.00869043946927317	0.004193853486260224
28.0	0.003305504943151405	0.002162813652147655	0.003305504943151405	0.002162813652147655	0.1658435532579985	0.10311501779646504	0.1658435532579985	0.10311501779646504
29.0	0.003129069205476731	0.00221139933934289	0.003129069205476731	0.00221139933934289	0.009001914105438269	0.018897266537371227	0.009001914105438269	0.018897266537371227
30.0	0.003922332033971188	0.0025335681344660355	0.003922332033971188	0.0025335681344660355	0.0033439474431398164	0.009016516471716751	0.0033439474431398164	0.009016516471716751
31.0	0.006265967251006144	0.0026440806045318066	0.006265967251006144	0.0026440806045318066	0.006039162574704937	0.010063356249142785	0.006039162574704937	0.010063356249142785
32.0	0.005494483047949528	0.002718861181368548	0.005494483047949528	0.002718861181368548	0.00987540193700509	0.02145337051444507	0.00987540193700509	0.02145337051444507
33.0	0.003495062056969145	0.0026278951672417117	0.003495062056969145	0.0026278951672417117	0.11476957111654806	0.016351355063413897	0.11476957111654806	0.016351355063413897
34.0	0.0031310977938319162	0.002515524862735208	0.0031310977938319162	0.002515524862735208	0.0009488105515536027	0.0014524552475789765	0.0009488105515536027	0.0014524552475789765
35.0	0.0029554584505759873	0.0024140324353534304	0.0029554584505759873	0.0024140324353534304	0.0006411960499302927	0.00023050830999926664	0.0006411960499302927	0.00023050830999926664
36.0	0.0031963163253505567	0.002378636421337177	0.0031963163253505567	0.002378636421337177	0.005459430926335385	0.002100100616443057	0.005459430926335385	0.002100100616443057
37.0	0.0034901332002469365	0.002391905096693847	0.0034901332002469365	0.002391905096693847	0.22503875666941298	0.08027011788048444	0.22503875666941298	0.08027011788048444
38.0	0.0034706978292160517	0.002480839674293356	0.0034706978292160517	0.002480839674293356	0.0372084199577718	0.13260487717032166	0.0372084199577718	0.13260487717032166
39.0	0.0037454030935739624	0.0026472651926777724	0.0037454030935739624	0.0026472651926777724	0.03103403459800269	0.13106758068554625	0.03103403459800269	0.13106758068554625
40.0	0.0039199545797721225	0.0026571445787904047	0.0039199545797721225	0.0026571445787904047	0.11756372825759343	0.27392136660199784	0.11756372825759343	0.27392136660199784
41.0	0.0031672862675908853	0.002349493776765077	0.0031672862675908853	0.002349493776765077	0.002290783073551683	0.0034230691966448124	0.002290783073551683	0.0034230691966448124
42.0	0.0031672862675908853	0.002349493776765077	0.0031672862675908853	0.002349493776765077	0.002290783073551683	0.0034230691966448124	0.002290783073551683	0.0034230691966448124
43.0	0.00316728626759033	0.002349493776765299	0.00316728626759033	0.002349493776765299	0.002290783073571112	0.0034230691966448124	0.002290783073571112	0.0034230691966448124
44.0	0.003167286267590108	0.002349493776765299	0.003167286267590108	0.002349493776765299	0.002290783073571334	0.0034230691966448124	0.002290783073571334	0.0034230691966448124
45.0	0.003167286267590108	0.002349493776765299	0.003167286267590108	0.002349493776765299	0.002290783073571445	0.0034230691966451454	0.002290783073571445	0.0034230691966451454
46.0	0.0031672862675908853	0.002349493776764855	0.0031672862675908853	0.002349493776764855	0.002290783073551683	0.0034230691966450344	0.002290783073551683	0.0034230691966450344
