Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.004956314268555695	0.0019248016798046885	0.021991665194097426	0.07498303469123657	0.025609812499718526
2.0	0.004038353276082041	0.001622544168251916	0.018090828699057284	0.06523685088233644	0.02266345612348122
3.0	0.0032839237982095204	0.0013131903606103945	0.01235581760852408	0.05975529418837777	0.019860273478708973
4.0	0.0027142702364952864	0.0013173519629184893	0.018317972471947348	0.10792958601212954	0.03643531599829977
5.0	0.0043496372660218885	0.0023245768637174535	0.013320793522353594	0.052661666982836364	0.01674371729436279
6.0	0.0038690453475488384	0.0018314849440627112	0.0191449950427625	0.06540597298010031	0.021443434392208586
7.0	0.011367756637322035	0.001938009468259727	0.024578467008404447	0.0734363038002116	0.0256624644893104
8.0	0.0097841893860392	0.002514312085825088	0.025883898812727096	0.0770534416185722	0.02587712270056031
9.0	0.016244460454983622	0.0030427891781852345	0.016949404250801343	0.04096244402268623	0.013577854076689313
10.0	0.004257049193466256	0.0018993123637869314	0.012849397848846726	0.042588486244143575	0.012298976036712848
11.0	0.006677179347565065	0.0013660378474898982	0.010784380887130886	0.03896277893253208	0.01281867557973424
12.0	0.005178239488081604	0.0014981367287916214	0.013422043398354929	0.048612510911495654	0.015779422558613712
13.0	0.005164275588461553	0.0018713817595656934	0.010939776821442574	0.039202310911758964	0.009918175678135355
14.0	0.008716770915512595	0.00237973768141464	0.01139992541425271	0.03147379586274279	0.00994063324915575
15.0	0.008344858230269203	0.0023449113049273107	0.015061825818854109	0.037237296003653	0.011920761540621752
16.0	0.007979018646147473	0.003399233787501732	0.017011145628899424	0.04256006570117721	0.012627665812453686
17.0	0.006333742112805241	0.0023034497514063945	0.010228564379086438	0.026061659271492843	0.006880653538072408
18.0	0.005821670774225796	0.001641373069042662	0.00680916226816552	0.021492637177686236	0.005295438657743495
19.0	0.002086048674647012	0.0013059431384641051	0.007027654882916721	0.0402146456950917	0.008019739026158525
20.0	0.0030243953727109307	0.0011939600661540206	0.008973984598805837	0.03560936960757821	0.009168039480819973
21.0	0.0066347508010538014	0.002114113077593127	0.0083273117065407	0.02772797784360559	0.00633387248881552
22.0	0.011994442013759321	0.0024691312171873925	0.00992310757294001	0.02602019266174882	0.0066644731314964316
23.0	0.03108127480171663	0.0031872185943612186	0.010739471760996317	0.023284102865090084	0.006199782217671996
24.0	0.012421602531863418	0.003353875754013469	0.011288650348627896	0.0254761151883095	0.007082726380975753
25.0	0.007944273330275697	0.0017550365721027417	0.005003848084970384	0.018447973104903426	0.0035381580263311196
26.0	0.005336840180147462	0.001277537426929376	0.003154911210890655	0.0065815046452559756	0.0013168656784683255
27.0	0.002489690311516246	0.0011676603280759146	0.006785384513772091	0.04020865078208369	0.006785226810945457
28.0	0.00184510860670406	0.0010732665346337988	0.009030892461401843	0.03535886078333539	0.011189253318810611
29.0	0.004170440072735815	0.001326045047834734	0.004993629582794373	0.013949844795296706	0.0034595854812010216
30.0	0.009209595321372999	0.0023822872840134623	0.006589846664910909	0.022937708811993085	0.005116476844729908
31.0	0.01956055826942571	0.0020443221679931067	0.005319423221951447	0.013327476243936709	0.002642620492052142
32.0	0.017223854263723748	0.0024138157115811687	0.0077984342485098185	0.021923312759362212	0.0041432455876344535
33.0	0.006242481971070024	0.001621231264473444	0.0035311791022187237	0.008601473718438224	0.0016711806302529043
34.0	0.003303286791740301	0.0010434284019752438	0.003891585024228856	0.011695861559157805	0.002784560935730858
35.0	0.0032260031252274723	0.0015015746350579562	0.002919915012945481	0.005140935932816504	0.0010550197701799666
36.0	0.0027723797203496048	0.0009269524136410467	0.011569043479051588	0.06208940236516103	0.018918586067806397
37.0	0.0026170627179419315	0.0010994980137987165	0.005210192989608741	0.016398878309903164	0.005111306436234706
38.0	0.002740415957941056	0.0009597027501501154	0.00483273421751839	0.018818309026766844	0.00466344649058624
39.0	0.0038013809425649914	0.0014552353164908327	0.0035128767813063905	0.008378063126689539	0.001989763648951886
40.0	0.006525533070090628	0.0011204333036947123	0.004853790066922875	0.018337552284537595	0.00431189512398604
41.0	0.0040478193359816395	0.0014157429345074135	0.00507551788236078	0.012395003154589634	0.0036092736425249266
