Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.003289785345237606	0.0016996227587734447	0.0017025466642303856	0.0017062497926978448	2.1555673270310966e-06
2.0	0.003371858599041322	0.001608170859527136	0.001609862127250072	0.0016112866318575003	8.724441684897427e-07
3.0	0.003516413894609327	0.0017012854667989297	0.0017028129591631965	0.001704412155025925	9.808105521332607e-07
4.0	0.003485416661677898	0.0016567126768937124	0.0016622053945633806	0.0016687451005743537	4.6811477839707575e-06
5.0	0.004093726705699741	0.00182185847316918	0.0018462968083116755	0.0018600628769732674	1.5220458732363756e-05
6.0	0.0037800197823285586	0.0016041629137542035	0.0016283476136364865	0.0016418084435098068	1.1786112295880565e-05
7.0	0.003895630419545326	0.0015469090816493392	0.0015513536867776203	0.001559852551128671	3.7795423664655184e-06
8.0	0.0037306108418549977	0.0014619646175713097	0.0014656121775465697	0.0014679088501939885	1.7152507770767371e-06
9.0	0.005212543732866726	0.0015243400101930815	0.0015376796184720866	0.0015539326158969802	8.2153218814843e-06
10.0	0.004381926465971464	0.0017589132237231242	0.0017630102761482644	0.0017692751657988337	2.7356254247594222e-06
11.0	0.0042087653195812536	0.0019840869851385223	0.001990603930897812	0.001996284530497272	4.188913097610522e-06
12.0	0.0035046313356441594	0.0020617861969312035	0.002091715268849955	0.0021253630123527767	2.276709457762465e-05
13.0	0.0036708803279051905	0.0017658603033000597	0.0018674492977257381	0.0019516136015526042	5.820512361988299e-05
14.0	0.003049242219721915	0.0015716481543123217	0.0016220003881443888	0.0016894162171120497	4.6584097039506144e-05
15.0	0.0033775452713612486	0.0014425907561715912	0.0014889082449792543	0.001518005046310833	2.7736935552428892e-05
16.0	0.00336223739083219	0.0014504994159791895	0.0014699751108006587	0.0014881623593113735	1.1878625391253604e-05
17.0	0.0022577429692332007	0.001572201166468612	0.001620072635651538	0.0016507043010060007	2.6217598786358086e-05
18.0	0.0020316105877964397	0.0017639357032750436	0.001809539213660785	0.0018480301293483103	2.8063072016521732e-05
19.0	0.00313044720272182	0.0021267378672426007	0.0021507367175831356	0.002180413732388864	1.782951789085741e-05
20.0	0.0037679285790004347	0.0021178379568137506	0.002165391563251872	0.0022059130256338877	2.98536719935456e-05
21.0	0.0029316867948072645	0.001714740259261105	0.0018031201621090372	0.0018564525878532745	4.985967962894472e-05
22.0	0.0018290511604877047	0.0014591855206009807	0.0015706458378787797	0.0016542253655970063	5.750287627937939e-05
23.0	0.0046016857708104375	0.001453929571283985	0.001514754013998883	0.001591241103839236	3.923351849468526e-05
24.0	0.00332749916078956	0.0013856323371737034	0.0014857080233292997	0.0015618026120517436	4.58568313755076e-05
25.0	0.0018910658695882043	0.0016642433960828429	0.001693910085955676	0.001725533814817104	1.5951220662694684e-05
26.0	0.0022883902840793446	0.0015555300834344532	0.0016229294035156473	0.0016572283744208383	3.140465693818289e-05
27.0	0.002387863170454696	0.0017864957658796365	0.0018594210406159802	0.00199051226941227	7.711409864351314e-05
28.0	0.002605671961277034	0.0021543254553849644	0.002188329053665331	0.002206065486948461	1.678859516366537e-05
29.0	0.002476905374419025	0.0018549050520514365	0.001936373083831219	0.0020735930675606085	7.190060202945113e-05
30.0	0.0021763891321168183	0.0014357871966698132	0.0015623444873844674	0.0017174388461382861	8.804369572833788e-05
31.0	0.0018200549385901654	0.0014065816872340653	0.0015062797085530013	0.0016441935867336221	7.800797380890455e-05
32.0	0.0019652093685057492	0.001469342602489876	0.0015225519544624657	0.001640978618422273	4.6530577100642844e-05
33.0	0.002463175578906074	0.001343472134951229	0.0014041787179100245	0.0014925763843864903	5.042829342901261e-05
34.0	0.001929025726813527	0.0010300785449837147	0.001064927877769784	0.0011154437880593893	3.13091318049593e-05
35.0	0.002091376544994361	0.0012826112238271126	0.0013158894686893928	0.001333509365347041	1.8813605570657026e-05
36.0	0.0027789699650954125	0.0014730481677820428	0.0015173688487681435	0.0015642175055620156	3.486890755077575e-05
37.0	0.0033295735535399107	0.0019189022554055857	0.0019487134193104053	0.001996830353352519	2.536192833077785e-05
38.0	0.0032323587447379287	0.0018227244533963738	0.0018407752978143348	0.001855985322611553	8.435102659307899e-06
39.0	0.002842724271655217	0.0017169520469176858	0.0017566256529515008	0.0017768758683843755	1.7764952717984993e-05
40.0	0.002639416107395043	0.0016097876813240264	0.0016394786290338287	0.0017061013232307909	2.7582388471823057e-05
41.0	0.003427918892002224	0.001324904236665203	0.0013992153074158375	0.0014572406061365006	4.310786073034179e-05
42.0	0.003427928471656405	0.0013666196558900223	0.0014340358100224382	0.0014874886875878568	3.92017392793477e-05
43.0	0.003427955482296241	0.0013092437863094775	0.001360813741094107	0.0014538875560256015	5.7892449430243666e-05
44.0	0.003427932427855218	0.0013092929919136242	0.0013989609837122355	0.0014577443441078364	5.3594765051223364e-05
45.0	0.003427939892025944	0.0013090559178228212	0.0013801121750433233	0.0014311567614255782	4.587514956158569e-05
46.0	0.0034279268687221753	0.0013079303929273145	0.0013998291202324726	0.0014875875468075561	7.157011038538251e-05
47.0	0.003427947960056632	0.001307915705888174	0.0013868673233458824	0.0014665868944279126	5.9842017073500885e-05
48.0	0.003427913243999492	0.001367289713997022	0.001428772509877906	0.0014847457801985264	3.8316949778141176e-05
49.0	0.0030864217601920263	0.0015521168624335058	0.001604845352494177	0.0016625890498302986	4.044498699861199e-05
50.0	0.002633335760977462	0.0017726332063303651	0.0018525836247925672	0.001903743103628619	4.303263240098305e-05
51.0	0.002840048669956352	0.002202480392793915	0.002220469666903062	0.0022344720530179663	1.213868673579377e-05
52.0	0.0031159671532132727	0.0022275622568885822	0.00226441705430629	0.0022867654453123665	1.8361322237799377e-05
53.0	0.0030642654652033308	0.0021050122894993306	0.0021518264715424157	0.0022632715551904603	5.584779360847258e-05
54.0	0.0024394008902366426	0.0017902794305557634	0.001808699978667801	0.0018317977034045807	1.0088827950377751e-05
55.0	0.0029174198498941317	0.0016273892221896347	0.001648463714067992	0.0016589007242729936	8.455144592425357e-06
56.0	0.003908738166024772	0.0014787242251851351	0.0015424984069334082	0.0015802672145858176	3.8106596585393836e-05
57.0	0.0037879808018670413	0.001426830342229457	0.0015191438043590244	0.0015583929638834926	3.2757889796659854e-05
58.0	0.0035977734936212258	0.001543329234847457	0.0016624675704350201	0.0017189280861258371	5.289426437686484e-05
59.0	0.004363983098505275	0.002262832934374015	0.002281936958487451	0.0023038559318669938	1.1889113632679074e-05
60.0	0.0041082664701769245	0.0022320812989473637	0.0022587760005134748	0.0022779908179985098	1.5826406749061594e-05
61.0	0.0038832639991380757	0.0017333811490511941	0.0018681790406804314	0.001950924685643951	6.565890331428279e-05
62.0	0.00426770886216421	0.0016623274336007299	0.0017074142145511544	0.0017496928136181422	2.1472325013032794e-05
63.0	0.004304918575021466	0.00149424063500736	0.0015306471785511964	0.001578893993278374	2.290855901732364e-05
64.0	0.0038179521041326048	0.0014109518586143954	0.0014224854064843935	0.0014678468809762313	9.333621405075918e-06
65.0	0.002815680213498317	0.0013070296679580373	0.00136185699382927	0.0014209016100803495	3.2040822699711665e-05
66.0	0.002136032768000451	0.0012250269289145743	0.0012738501048187724	0.0013188578375495918	2.794818302234992e-05
67.0	0.0027396194120939965	0.0017853874128131997	0.0018640475277603627	0.0019195684474819785	3.9937052915666356e-05
68.0	0.004810699399115381	0.0020338936733275137	0.002075878428778758	0.0021574845002648724	4.8973546800889425e-05
69.0	0.0027361206689877626	0.0014235461504655822	0.001504058059108624	0.0016015757971619138	6.481352292963527e-05
70.0	0.001934125208097881	0.001357462457899139	0.0014637981904709197	0.0015660193001711953	5.632155611376965e-05
71.0	0.0025796808194561427	0.0013483415585886505	0.001390807247454334	0.001441798594187138	2.6771630802322874e-05
72.0	0.002631904431484977	0.0012791754936404276	0.0013292385820922975	0.0013833399105379618	3.364759392625951e-05
73.0	0.0016532983374411003	0.0012736665591626117	0.0013139674856469253	0.0013711023627658303	2.2664352815177784e-05
74.0	0.0012389244674131383	0.0010039456213697395	0.0010640686919586413	0.001127272906862986	4.5343402484731215e-05
75.0	0.0018212713192949925	0.0015425894612018931	0.0015873887310829764	0.00163430558426636	3.145108613670217e-05
76.0	0.002707714079550616	0.002220435934024434	0.002230317671622541	0.0022410273455512053	7.49518231883414e-06
77.0	0.001986523922907657	0.0014465650315359513	0.0015474831851009165	0.0016215992162076365	6.655761914098647e-05
78.0	0.0019069848831685388	0.0011717900970185102	0.0012335148674117527	0.0013144286525849092	3.8962217090655095e-05
79.0	0.0018805571034327118	0.001219777993423432	0.0013124330240292222	0.0013844689119099085	4.482472533067659e-05
