Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.007791970694600692	0.004243398728699166	0.009086164851544232	0.004334592626706213	0.1722644715222693	0.20799965196249592	0.1476488768363463	0.3659317943558076
2.0	0.007407528416223164	0.0050837710482039	0.005974662295409772	0.0046386765103241245	0.13174090247303816	0.21010406625836575	0.18664414982496202	0.23450850083785535
3.0	0.00878939203410456	0.004683052037077862	0.005483039890216812	0.005020717117378393	0.43018033477140494	0.5419568909866324	0.40858923810901515	0.5602342501679135
4.0	0.0058532154837142025	0.004838543777193172	0.005480795094938484	0.004731800288299337	0.08109900440293605	0.07830223878482467	0.09041879089483884	0.08084423453647693
5.0	0.005367544688364423	0.004828344766784953	0.005409348103771916	0.004525720380822329	0.17932514627453167	0.04054974222259844	0.07926542214099486	0.04361338354008637
6.0	0.006262955355038957	0.005028614062810743	0.005811505967563746	0.004840845767469459	0.2039045796844272	0.15437885332354984	0.20383111469158766	0.16900494187790815
7.0	0.013263180883028802	0.004915918947534181	0.010512610301286252	0.0049508735685244165	0.30678908409696837	0.1957746137077372	0.2607491942864161	0.23031944741827248
8.0	0.011378001547531214	0.004782856880098718	0.010273635460829489	0.004812218768938448	0.42450966097341136	0.3665483057306136	0.4394127648431534	0.3626064162442576
9.0	0.018671162253382056	0.007033589508544602	0.022277511489081858	0.00646158354336035	0.3287916530996634	0.2974847817008438	0.28133354418585943	0.3367725540247297
10.0	0.007626695046245913	0.005566806512552147	0.008379948728351572	0.005637458795810457	0.38624886495185007	0.2881129322487278	0.32767713795423026	0.35999048290759916
11.0	0.006085148552514852	0.005061071937260242	0.010137932301772734	0.00533944760594951	0.19000656634169155	0.32444033678609696	0.17902796026884338	0.3234004019029536
12.0	0.007949055041328368	0.004974396551352789	0.007029273010843551	0.0053261606356781455	0.07692158807858529	0.11474411826848496	0.08240493252118974	0.11813461663348301
13.0	0.00922575999961417	0.005127355036027237	0.005628858926345126	0.005169137539100532	0.06893985079464304	0.049634246328445264	0.08580690722951778	0.05811267295874534
14.0	0.008745336185344454	0.0046742528081933354	0.006700234477114986	0.004728756174149029	0.1689671822270965	0.06761931844411606	0.17998339127899643	0.08783969790092172
