Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.008361144382345698	0.004177643633364814	0.008361144382345698	0.004177643633364814	0.15865709168388753	0.2317424539084616	0.12053476634121807	0.2317424539084616
2.0	0.0056965326711184705	0.004579513797072998	0.0056965326711184705	0.004579513797072998	0.13444798682466597	0.1942796480471961	0.122683077391184	0.1942796480471961
3.0	0.0056880811532863396	0.0043445405215936095	0.0056880811532863396	0.0043445405215936095	0.46945618814057677	0.5472771789664468	0.3743807550343141	0.5472771789664468
4.0	0.004115360864222262	0.004218896451934073	0.004115360864222262	0.004218896451934073	0.08532127948279156	0.07865341071100784	0.08517900250093358	0.07865341071100784
5.0	0.004070418970143264	0.004217390786514064	0.004070418970143264	0.004217390786514064	0.12103641147327826	0.03972641483486883	0.1143853285221551	0.03972641483486883
6.0	0.0052910842247134715	0.004820288956374985	0.0052910842247134715	0.004820288956374985	0.23890744302721778	0.16388635497423532	0.22524281698899473	0.16388635497423532
7.0	0.011665586639642567	0.004848042975040823	0.011665586639642567	0.004848042975040823	0.28309473034004307	0.19449304002604595	0.2948355870289904	0.19449304002604595
8.0	0.010757891978116718	0.004784340555457622	0.010757891978116718	0.004784340555457622	0.40964672751213915	0.34353194372385987	0.5073432891034413	0.34353194372385987
9.0	0.020421159387862486	0.006615808055829953	0.020421159387862486	0.006615808055829953	0.31599844230591456	0.313476625510434	0.27176845729676147	0.313476625510434
10.0	0.0064255736080697234	0.004974696818359714	0.0064255736080697234	0.004974696818359714	0.36015508798759455	0.32203394101655014	0.33614999655283817	0.32203394101655014
11.0	0.0074835989805785985	0.004254834644759509	0.0074835989805785985	0.004254834644759509	0.19535620475934534	0.31088658470797703	0.15290248289930097	0.31088658470797703
12.0	0.0071902895948129375	0.004183261324660403	0.0071902895948129375	0.004183261324660403	0.08393244902601338	0.11535021423614955	0.07389768580833689	0.11535021423614955
13.0	0.0053786854686659336	0.004483510144390523	0.0053786854686659336	0.004483510144390523	0.08155460277026849	0.052898294252497036	0.07693642812402346	0.052898294252497036
14.0	0.00753516478287497	0.004318429296044868	0.00753516478287497	0.004318429296044868	0.18183056144262522	0.07642895442716335	0.1738647746992097	0.07642895442716335
15.0	0.006121709623074012	0.004777332753507002	0.006121709623074012	0.004777332753507002	0.23381796860074755	0.08419672283829083	0.22496861499116816	0.08419672283829083
16.0	0.00501086899113401	0.005022061597347749	0.00501086899113401	0.005022061597347749	0.06662886658480671	0.05954641231664681	0.057315359152980694	0.05954641231664681
17.0	0.005324124099238325	0.004353624937125211	0.005324124099238325	0.004353624937125211	0.32275963161113086	0.4809524984457041	0.23738154191623662	0.4809524984457041
18.0	0.006747105842085266	0.004115197895832479	0.006747105842085266	0.004115197895832479	0.3363475175897558	0.17331893351936267	0.33544729631337555	0.17331893351936267
19.0	0.0058385518128116765	0.004302566367378136	0.0058385518128116765	0.004302566367378136	0.2723451471314735	0.23671551829930892	0.26825829467699647	0.23671551829930892
20.0	0.004835548798619249	0.004264014070546107	0.004835548798619249	0.004264014070546107	0.47204300639078467	0.6248271552399215	0.32496517762958854	0.6248271552399215
21.0	0.0053800767542666605	0.004490814985001701	0.0053800767542666605	0.004490814985001701	0.02365589162844528	0.03941933499269923	0.014248534873806062	0.03941933499269923
22.0	0.007045807653260683	0.004441311348946653	0.007045807653260683	0.004441311348946653	0.04660707522948848	0.034472137118226054	0.03780395324123875	0.034472137118226054
23.0	0.020099611274421836	0.0071535488833955885	0.020099611274421836	0.0071535488833955885	0.09705618124729021	0.06469028425418677	0.08513162013012743	0.06469028425418677
24.0	0.009012752137805724	0.005614731575483867	0.009012752137805724	0.005614731575483867	0.15660868006707873	0.28905142322154176	0.10936829744650667	0.28905142322154176
25.0	0.00584924722060276	0.004432878926267647	0.00584924722060276	0.004432878926267647	0.3237981017609196	0.2095281091692841	0.3184413959161655	0.2095281091692841
26.0	0.005168352043972924	0.004365017047631148	0.005168352043972924	0.004365017047631148	0.09512845131383008	0.025952052047184537	0.08777024757319596	0.025952052047184537
27.0	0.00489642582459171	0.00403936303513075	0.00489642582459171	0.00403936303513075	0.018394115715493875	0.016855803729658225	0.013924060245770309	0.016855803729658225
28.0	0.0039016849985923363	0.00399357283892432	0.0039016849985923363	0.00399357283892432	0.2631885952280508	0.250887031095138	0.26629140433705234	0.250887031095138
