Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.011085975023116035	0.002852532476323111	0.00815924719186242	0.03960852496864564	0.006340079650857543
2.0	0.006877939391963794	0.0025317426675176558	0.007090201686691732	0.027194934589009456	0.005332504433189976
3.0	0.006014663968600287	0.0013966877370005237	0.008753115499523387	0.03352353933716601	0.010580300591636664
4.0	0.005397828296796137	0.0015326474941154133	0.019224183854244462	0.110644996898278	0.0375547544624763
5.0	0.005925124533129877	0.0028550190020396604	0.006341388473098196	0.016499737122324887	0.004569414459607543
6.0	0.009624552480875126	0.0019495974811789551	0.0055266352611824535	0.01522988938238612	0.003344337365619897
7.0	0.017668201630964275	0.0032144413178019082	0.007879952967164159	0.02281205168497158	0.004420449952056293
8.0	0.018623681853594087	0.00340334836224232	0.007883296280380472	0.023474263049238497	0.004648323774263164
9.0	0.042858609095771105	0.005279618122107643	0.014008896411475144	0.0368734673801584	0.008129629914845185
10.0	0.013133557195086576	0.00439534118724938	0.010126412360519688	0.022646769096684838	0.005900009031211039
11.0	0.009965661797460279	0.003971345504051982	0.009743529771518558	0.026438317681860668	0.006577037373090093
12.0	0.010652650186436241	0.003978400095061119	0.011653851628248552	0.031209347916095864	0.00933858949142919
13.0	0.011848384731280692	0.0040664046759667505	0.012031399013603809	0.025249065252461178	0.007388717339739277
14.0	0.013819848152317293	0.005140665315850446	0.010575682373384309	0.02212425577984023	0.005651902612161578
15.0	0.020374560107687678	0.0069717548575017885	0.013923505615182016	0.028987302558951655	0.007159330958500124
16.0	0.014386959213774198	0.007116476420337303	0.017244146906692466	0.03374031960722956	0.00841235119895736
17.0	0.025147441921315572	0.007901993421219555	0.015670860488631227	0.027388233796653005	0.0053046531020369495
18.0	0.010998674510362294	0.006466763970407352	0.013912061366725062	0.03316024656032257	0.006746486810732314
19.0	0.008008183071201547	0.004663659367643458	0.01177893611963526	0.03003895190826289	0.0066757285517554145
20.0	0.015459741406467331	0.004680304846918726	0.012910721492771988	0.037035083077263775	0.009216589236546077
21.0	0.015840150453404478	0.005831506474256454	0.01481873023343381	0.03557934479285718	0.008295886416325603
22.0	0.025233673034894988	0.007147090211541918	0.015969182905345474	0.03702030728909034	0.008417196349313856
23.0	0.05712822153199748	0.011356403553015149	0.020703195033401983	0.04033088763760584	0.008855699100632183
24.0	0.033846503615788115	0.010365742296077118	0.016618136867410614	0.033323103989862046	0.006772211190542502
