Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.004345751357707317	0.0011382997389737248	0.0019367742382410522	0.002692677756472306	0.0005472634709681205
2.0	0.004308240839317468	0.0010061313876786881	0.00189322422666552	0.0026815608411470127	0.0005718079227435384
3.0	0.003997937471185931	0.0013100722319980829	0.0021095073340690633	0.0029730632840532234	0.000555076452362976
4.0	0.004774733653159946	0.0013825671387206473	0.0022423785811892896	0.0030373908511176495	0.0005715034314040235
5.0	0.004017019659846355	0.0011962513061624103	0.001962511277822268	0.00273569745760871	0.000544196905176555
6.0	0.004458793316149068	0.0011074475151053864	0.001891946445497233	0.0026998986185420293	0.0005584743495361232
7.0	0.005349670755660951	0.0010732657680957436	0.001937044478781368	0.002729606748586466	0.0005613201116785425
8.0	0.005559912650092258	0.0010946572416403733	0.0018700021196928827	0.0026285792580302836	0.0005362004751552628
9.0	0.012035035732539834	0.0031703489287673303	0.004226058530579655	0.0052242886143818446	0.0006959950894274874
10.0	0.008263633628095679	0.0033461842778442774	0.004371035248461663	0.005335422509191057	0.0007015538697397213
11.0	0.0081466839352905	0.0036122493090557928	0.004566231061040318	0.005496102112901413	0.0006518981439401555
12.0	0.007451316715861189	0.0038200685552042257	0.004743351651306092	0.005627194152316828	0.0006458687883720202
13.0	0.007113160939432817	0.0034638680367043984	0.004438260347135207	0.0053836052602166395	0.0006574267093730614
14.0	0.007044009275860796	0.0032599880999559794	0.004247944484873935	0.005226296470089431	0.0006942189127584004
15.0	0.007350646823493623	0.0033885051446939096	0.004439347031046378	0.005476978395827392	0.0007477207787868548
16.0	0.008523605703881332	0.0032846855842182388	0.004386137473250742	0.005425241144080606	0.0007450292484618564
17.0	0.008113102020175345	0.004328683404583034	0.005675636323045937	0.00695433123699718	0.0008635582824398119
18.0	0.0071865145210542325	0.004146495736992328	0.005384758606167283	0.006580791486036963	0.0008086205072426668
19.0	0.0074070360462114015	0.00436993302902744	0.005394344597711455	0.006442037754297303	0.0007142996559195868
20.0	0.008593925541053316	0.00444650428550486	0.005497888390533006	0.0066029855850024965	0.0007418836615335767
21.0	0.007409199854521709	0.0043174652486013265	0.005404079089788601	0.0065388358301429195	0.0007354582462366836
22.0	0.007701465056496604	0.004280807212338034	0.00542665011056403	0.006556568944429242	0.000770641789073049
23.0	0.013989174261356041	0.00449117980635827	0.005634017187915243	0.0067629739128092226	0.0007989573598843616
24.0	0.011654087624001996	0.004761111502723625	0.005989349163934467	0.007253266052741347	0.0008825942095294834
25.0	0.008162255161572873	0.004424583600887377	0.005726148094303123	0.007081467231780492	0.0008071241458844567
26.0	0.007982460148730497	0.004145957254398924	0.005331819396297801	0.006639382521399617	0.0007895820795456025
27.0	0.007117607917164315	0.0039813315754182454	0.0051459931299046285	0.006262960304950327	0.0007476851186513631
28.0	0.006709303009785894	0.004347293208945668	0.005415952100100054	0.006465531766086996	0.0007592309242917389
29.0	0.006849187872326135	0.0043080589471496955	0.0055358320081475695	0.006774728753575543	0.000775057586562098
30.0	0.008047986272763596	0.004489115900335516	0.005642023584075754	0.006834120139922351	0.0008155743943904975
31.0	0.007910878192987414	0.004566918509828377	0.005819758731793018	0.007054128341356769	0.0008183585318756924
32.0	0.0074644561237154905	0.004600453185556463	0.005970213516368873	0.007524386601451161	0.000925808838797453
33.0	0.007092579901201379	0.0033475112117855588	0.004599236119533876	0.005874128984080684	0.0008477497535270302
34.0	0.0059616158203158465	0.0031150969799810246	0.00424779640214994	0.005413768728864121	0.0008110521738838828
35.0	0.005501512683500409	0.003154057752481787	0.00424132764687746	0.005328148995718318	0.0007740531381265767
36.0	0.006849021436894698	0.003482644935977053	0.0045716435020503494	0.005685586345672178	0.0007796471030584498
37.0	0.006904045873270759	0.0036938431076309897	0.004788140365599748	0.0058083395152397355	0.0007415288418117673
38.0	0.00841027910345371	0.003533601028696709	0.004806029346563358	0.00610444194869697	0.0008719003928126447
39.0	0.008360972068012118	0.003476778887877785	0.004825152361185266	0.006184458185296449	0.0008840022601274457
40.0	0.007775599365901331	0.003494510802625861	0.00484540438207447	0.0061428356831468856	0.0008693012535455514
41.0	0.0074932432854291076	0.0033635264286567823	0.0044213695348165405	0.00550210484914726	0.0007492636488050697
42.0	0.007493243283712592	0.0034353998583747103	0.004446708016309713	0.005511702032784838	0.0007280537863611648
43.0	0.007493243283712259	0.003389584834038506	0.00441142545666288	0.005502104978814204	0.0007423758017144088
44.0	0.007493243285452644	0.00337365960624747	0.004417906605038461	0.005502108120458704	0.0007398991485422819
45.0	0.007493243283712592	0.0034124841305125386	0.004405725113974357	0.005502105635537435	0.0007285364498141652
46.0	0.007493243283712259	0.0033896639270305506	0.004402793270211887	0.005502104807414754	0.0007351700069665035
47.0	0.007493243283712481	0.0034213280517007005	0.004417959360984431	0.0055021048073382595	0.0007231602588094529
