Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.011404069532714778	0.003919594559401829	0.011647019956769755	0.0038964969713534137	0.5223472644408502	0.5433662987551644	0.45696701648576576	0.4863893201856859
2.0	0.006933992851239745	0.0031323953287332174	0.009262906740891141	0.0035174977224123882	0.4384411554112696	0.44231589393281967	0.370003217711242	0.3389306657286245
3.0	0.0075529074389225626	0.003198380257209088	0.006799905232705683	0.003847376483113729	0.37402118621060343	0.3333397077989144	0.3036335485598366	0.29436481993005303
4.0	0.005451267034530249	0.0038382604396770548	0.005587092095959756	0.0036458515168501515	0.14148228979153987	0.10991728997479855	0.12781402738012493	0.10691636735610088
5.0	0.006827403549851341	0.003072316983811829	0.007112479301808361	0.003382015535312255	0.07282209226619873	0.024962208439925027	0.04048657487203022	0.026384888308370713
6.0	0.009611493668158055	0.003366493728216513	0.009382393899165953	0.003535127664099913	0.1709309810148899	0.11135842437393462	0.15862196822838814	0.10409411331228002
7.0	0.02120228437292404	0.0045096033755368525	0.01838494600111229	0.004942902334311938	0.27782414097573827	0.21681852823944292	0.2888797137011948	0.2159360780981976
8.0	0.020998751453956355	0.004784396928038781	0.01975766160147785	0.004946201409794182	0.4454333127584684	0.40988734745805444	0.4149860947082855	0.30695273394389855
9.0	0.04206628275423063	0.008831960245025305	0.05009642901877287	0.007707805607114593	0.13965406398816715	0.11878718706675562	0.14606906127196906	0.1594543530216932
10.0	0.01137061848172205	0.00398195125486811	0.015015381779615589	0.003828856287231508	0.28652741620806876	0.2747369285240563	0.24939227433440814	0.34312671428779973
11.0	0.008039571679316126	0.003630886999597127	0.007501403860041944	0.00403137612074933	0.1378070302924681	0.2320562521174233	0.11782769742282617	0.21252519839014383
12.0	0.012176866781953288	0.0034500843377723855	0.006858607099210823	0.004169188352167175	0.08467474574658251	0.07806593232852355	0.0835402334266866	0.07639395909366242
13.0	0.009980462570146731	0.003079800288487422	0.00915481605989843	0.0037443448590922523	0.06853451616938644	0.02863282472219364	0.07869031523177916	0.03343017286655203
14.0	0.01567963109623438	0.0023773038032669502	0.01207358720854157	0.0030725825722679456	0.17819946701284273	0.048649681764800334	0.17533173500333754	0.06303649067930894
15.0	0.02130564293974979	0.003529577747153567	0.01802735641290676	0.003812638705727789	0.22733637899977965	0.05615589083345651	0.16829361948507238	0.06965997398545498
16.0	0.012923932131728155	0.005484578027387665	0.011372883111736898	0.0053346859240605005	0.09844261744999061	0.027840752148010073	0.07237756447768295	0.031144514727592165
17.0	0.02020893204980434	0.0024367192105115842	0.016000267257934686	0.0021657578883949036	0.18087964117143962	0.2921498417213212	0.17150438692692127	0.29415804464552153
18.0	0.010980891929094128	0.0028772687286543475	0.009473537984199587	0.002245284419717719	0.3772236207884835	0.24008776717341607	0.2023193684953074	0.18215217554030838
19.0	0.007821510743849625	0.001797224864471425	0.01048165374878296	0.001908513972024517	0.27832601278703506	0.26831246286101407	0.2743761077680309	0.2848256782365103
20.0	0.0037421851214856083	0.0015992797352524235	0.008616416971808594	0.0019527043078158002	0.12788177266966483	0.105931221840312	0.07777830353715454	0.11843935651278215
21.0	0.0062626534915409815	0.0008335042265885662	0.009058875607426575	0.0012435233429247683	0.05240362801439202	0.028443120069116756	0.0431609839310908	0.028556407548498308
