Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.011177823895093586	0.0037982027717712308	0.011177823895093586	0.0037982027717712308	0.48735282154348536	0.4849840437099677	0.4678683914815638	0.4849840437099677
2.0	0.0071156384504632575	0.003015302532153874	0.0071156384504632575	0.003015302532153874	0.39559222497114155	0.3630655842320334	0.3786595839425082	0.3630655842320334
3.0	0.005731894302686613	0.0030225284165232846	0.005731894302686613	0.0030225284165232846	0.3345446923511045	0.303886603286054	0.32590993389174694	0.303886603286054
4.0	0.003979018832417913	0.0031834435922912796	0.003979018832417913	0.0031834435922912796	0.1323724731862237	0.1063337961874643	0.1301596956383505	0.1063337961874643
5.0	0.006683984289574618	0.0027747999692162573	0.006683984289574618	0.0027747999692162573	0.041735121396912156	0.023361342927418094	0.04380713122348423	0.023361342927418094
6.0	0.008759761071343353	0.003189760769029215	0.008759761071343353	0.003189760769029215	0.14896606435781	0.10163945307791711	0.15290972932672786	0.10163945307791711
7.0	0.01957510477240665	0.004642413872089746	0.01957510477240665	0.004642413872089746	0.23816078156108256	0.20004754925468604	0.259502165406962	0.20004754925468604
8.0	0.020311344690866262	0.004852298510325981	0.020311344690866262	0.004852298510325981	0.39977469431659907	0.37363570860084383	0.43577055846868396	0.37363570860084383
9.0	0.0461000169559338	0.00802048992084925	0.0461000169559338	0.00802048992084925	0.12736207535187694	0.13149824818821065	0.11591212174566567	0.13149824818821065
10.0	0.011638284501954033	0.003283850285868195	0.011638284501954033	0.003283850285868195	0.27325022794376563	0.30564294108880596	0.24988187865775946	0.30564294108880596
11.0	0.005308902618520572	0.0029747500663848125	0.005308902618520572	0.0029747500663848125	0.12671052218747236	0.20692953123921132	0.10765974069042183	0.20692953123921132
12.0	0.007780908958973987	0.003116599746464832	0.007780908958973987	0.003116599746464832	0.08440345872411126	0.07561066744191647	0.08261729041830457	0.07561066744191647
13.0	0.008690614854180656	0.003020281429181204	0.008690614854180656	0.003020281429181204	0.07851226001451939	0.030032033037356687	0.07864361897802064	0.030032033037356687
14.0	0.013318179151874054	0.0023437280405098626	0.013318179151874054	0.0023437280405098626	0.18025773082508845	0.05429739864918137	0.18122037481825348	0.05429739864918137
15.0	0.01952518844745077	0.0035283363340139484	0.01952518844745077	0.0035283363340139484	0.18560807598669593	0.058906452809673215	0.18654161646995515	0.058906452809673215
16.0	0.0119597229518007	0.005349842891498091	0.0119597229518007	0.005349842891498091	0.04502934859663099	0.015723963394013385	0.04238500853881699	0.015723963394013385
17.0	0.0170925846565122	0.001830732242583788	0.0170925846565122	0.001830732242583788	0.18822993661629372	0.2887756264057768	0.1537381299839755	0.2887756264057768
18.0	0.0075566750048626785	0.0017532949638130457	0.0075566750048626785	0.0017532949638130457	0.2624326514041688	0.19595347427666387	0.2588013462403356	0.19595347427666387
19.0	0.005703366797690679	0.0006727185711231654	0.005703366797690679	0.0006727185711231654	0.2627781243790329	0.2733811037390922	0.25562458399928867	0.2733811037390922
20.0	0.00293163495828197	0.0005188265155827709	0.00293163495828197	0.0005188265155827709	0.10229353691428444	0.10546470743861791	0.08337617629843119	0.10546470743861791
21.0	0.006592044686489329	0.0003290003030553823	0.006592044686489329	0.0003290003030553823	0.04509279800843857	0.02758032678089173	0.03819669816902094	0.02758032678089173
22.0	0.01528387616631921	0.002529969551104627	0.01528387616631921	0.002529969551104627	0.04462883479972524	0.01640915224767936	0.04031863025889859	0.01640915224767936
23.0	0.05466575099702009	0.008210526291428377	0.05466575099702009	0.008210526291428377	0.0623934518700161	0.020795757914399693	0.05953216166152253	0.020795757914399693
24.0	0.031293821501732655	0.006594108249469266	0.031293821501732655	0.006594108249469266	0.05606023064610277	0.05097883218481347	0.041268991473856875	0.05097883218481347
25.0	0.022796023987734948	0.006077070714469057	0.022796023987734948	0.006077070714469057	0.2823431044816782	0.2965553412323778	0.28504332283271494	0.2965553412323778
26.0	0.013487474682819967	0.004814228482014626	0.013487474682819967	0.004814228482014626	0.0721321902806712	0.02750417074353373	0.06597182025999171	0.02750417074353373
27.0	0.007018871994070697	0.0034959945078139043	0.007018871994070697	0.0034959945078139043	0.02501155864825766	0.015030710366026767	0.02442728115543824	0.015030710366026767
28.0	0.005058882376333229	0.003394429327905457	0.005058882376333229	0.003394429327905457	0.27672823054760876	0.30829359580751625	0.2700204071306783	0.30829359580751625
29.0	0.006219165219151335	0.004069505709271892	0.006219165219151335	0.004069505709271892	0.10827286927490543	0.08444335098483291	0.09061437925907279	0.08444335098483291
30.0	0.012491171837425541	0.004395390064097504	0.012491171837425541	0.004395390064097504	0.05867778888233677	0.04121405272905765	0.04638224420318049	0.04121405272905765
31.0	0.01636147700053292	0.003926373717652143	0.01636147700053292	0.003926373717652143	0.05991124556346161	0.04733936800790828	0.045769914715903526	0.04733936800790828
32.0	0.013968174997828986	0.004231013368881431	0.013968174997828986	0.004231013368881431	0.10546002338331995	0.11267302992557016	0.08371620454390705	0.11267302992557016
33.0	0.008146533063486339	0.004574814253731629	0.008146533063486339	0.004574814253731629	0.07216112159418009	0.047546739012389594	0.06315134061698358	0.047546739012389594
34.0	0.007349812121541621	0.0047330875798818894	0.007349812121541621	0.0047330875798818894	0.04016717878534548	0.0132506629609499	0.04109851584000912	0.0132506629609499
