Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.010774902949191034	0.007274212367472943	0.020414003411723364	0.06742068910415566	0.015665944726867612
2.0	0.003528038343194262	0.0027013876062943476	0.012805904156772005	0.049979274455653644	0.012731268240630348
3.0	0.004010166383152991	0.0025831041433084234	0.015566914243640474	0.08701285855044494	0.022086375825892655
4.0	0.003083406798472299	0.001384920577591764	0.07888360678992652	0.519337219610378	0.1659893125564432
5.0	0.005520723211790313	0.0028997746594459084	0.019800744230237	0.09375956318384882	0.023902313137401068
6.0	0.006825622293454847	0.002020005303135064	0.020139805393954997	0.05774212594391126	0.01936647420577577
7.0	0.01916840945718179	0.006236364591720167	0.02537306128039098	0.061907004592346215	0.01737651529037297
8.0	0.022488209613457988	0.007316941861770343	0.02607033312479588	0.060788964634966636	0.015700200647640147
9.0	0.04573924847372357	0.007248181284355337	0.03425518047701717	0.06040701436890639	0.013885724327013939
10.0	0.010325617459205128	0.0031047946090037026	0.012308414184437896	0.031477027620052556	0.007888302311997603
11.0	0.004641874660679446	0.0024382076468922875	0.013995750802350028	0.07175167068727151	0.016867034724563107
12.0	0.005157206543188186	0.0028336024937117843	0.01943503706315896	0.11486501612269162	0.02422459956612283
13.0	0.0057759471763593195	0.002101027001827349	0.012616906575735156	0.04480855292230235	0.01201397602956092
14.0	0.012200442938495315	0.0048480304818750986	0.015563201700618555	0.03847718200690309	0.0089916188569974
15.0	0.02595212358451071	0.012342253727314678	0.03131100293679956	0.07224513748187511	0.013130410370498953
16.0	0.024390887485508106	0.01148948531449423	0.04190325726914394	0.08558782821754884	0.017571486764138635
17.0	0.02045532338201428	0.011317383633512423	0.02233200024388513	0.0392639009553164	0.007565363874830074
18.0	0.004454960634162286	0.002021100918512486	0.007852818627288337	0.024535769798146534	0.005065774636239565
19.0	0.0038868739209638736	0.0018473859226374456	0.012769647030654469	0.04702689739590915	0.014146568976249215
20.0	0.006165501211079394	0.002170390318456339	0.016548109057988585	0.07657017003470956	0.019182338382734185
21.0	0.01020656658553909	0.0031344038491070148	0.015001747572976697	0.045338592354072116	0.012324370535550452
22.0	0.01752921690052467	0.003948700526346882	0.010647923027073453	0.02040459895411273	0.0038683013000533014
23.0	0.04145159395674747	0.008142905374022624	0.028767069162601126	0.05400918276403599	0.012411653542290364
24.0	0.02546541414810133	0.015275116843807446	0.02649540039964618	0.05017951541711296	0.009528301407601478
25.0	0.017848830161556806	0.0044983417292896455	0.012867482356102057	0.023449645305362532	0.004183617377565514
26.0	0.007343038106231381	0.002997695934576994	0.008277220927412716	0.022281143589031993	0.005407198462337686
27.0	0.0030930675124319906	0.002241889013616105	0.015270633927642406	0.08618893694395569	0.018326153693924405
28.0	0.005600716530798633	0.001807240105316743	0.02021600303763211	0.08119399242670022	0.024660737186132528
29.0	0.01047493843030145	0.0033267884313510354	0.008249689827169423	0.018128460414100434	0.004342285710840501
30.0	0.01324895019197303	0.004764948129197366	0.010738372508303647	0.025879774402654432	0.004619553628489292
31.0	0.017872751561550215	0.007409568054425053	0.018556065159087642	0.03033614867515344	0.005634959393938229
32.0	0.019969011962336358	0.00735239201335236	0.013834788204354955	0.025455477571297958	0.005296398911918647
33.0	0.004665533529512822	0.002990555661088745	0.00719220572593922	0.02664573657592273	0.004813929157709659
