Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.005065678197583856	0.0019181556885320417	0.008018763001206112	0.023022797979001863	0.006572435541725766
2.0	0.0033791590138554373	0.0017954348176596469	0.006591233818445867	0.02627856175923826	0.006362628134247882
3.0	0.002748085805927558	0.001437728578788433	0.008143442853792069	0.04570097017490882	0.010904061115830588
4.0	0.0027005060300395733	0.0013214802000827142	0.057606425008565464	0.4274166146049334	0.122551081416408
5.0	0.0033450916493952265	0.0016520159042282545	0.007369465275359778	0.02382938443961191	0.007186584433604921
6.0	0.003916569947497006	0.0018284035020610379	0.00920257985842959	0.02715978803982788	0.007125432147501718
7.0	0.005788038080988267	0.001977869345363814	0.009788426379788632	0.022516272177927843	0.0066593215641341606
8.0	0.006278090679261217	0.0023880257815549477	0.009395434321928464	0.023254847957804525	0.0069316517978136915
9.0	0.010826436969771036	0.0021865986607798593	0.008340035729136483	0.019398064560074424	0.00356040472971333
10.0	0.005067045625551825	0.0022966752010981084	0.005291727735478672	0.013188219965199255	0.0026897847978286896
11.0	0.004308465324517008	0.0019074398185955355	0.006953002911608742	0.026626736848116228	0.007097914805150155
12.0	0.0042789021718349085	0.0016683611159469258	0.008357509975948866	0.024102471562697514	0.0072738054531533425
13.0	0.005194423875066745	0.0018401223534220135	0.004906374915698566	0.009842405541219179	0.002525687936686401
14.0	0.006408996106454956	0.0023556467954090055	0.004995553483936887	0.009821248828743911	0.0017279487600662126
15.0	0.01291674689093436	0.0035681825784066312	0.00725028407558971	0.01906762056032485	0.0031874660404567555
16.0	0.01545933343781647	0.002813575259376533	0.00758333116436264	0.01711172918246484	0.0031810585073083777
17.0	0.006256774821346456	0.0018016684031196828	0.003525786334230761	0.009204979311812078	0.0017470822760678037
18.0	0.002469796594120499	0.001461329887653462	0.0032603173409241084	0.006839160607195471	0.001334887815804543
19.0	0.002385662198928107	0.001504218256604406	0.005891533459284824	0.0243688926025869	0.005252042082580164
20.0	0.00440783611462936	0.0019277369747381368	0.00810367253489093	0.026591502910229048	0.007175188890989595
21.0	0.005777171910479106	0.0012392795961710945	0.004054715079702979	0.012336544169665786	0.0025806623634471856
22.0	0.009672884721826702	0.0019740947297016698	0.0045710543991742125	0.012370630068405553	0.002230106209989757
23.0	0.017520923221269302	0.0025145466479001843	0.00606426275942668	0.010095368180504605	0.002010572558211108
24.0	0.0136101987019136	0.0023976343990887994	0.006392715385722196	0.014604898118128373	0.0031283721575896834
25.0	0.005900602954279854	0.0021182413438510794	0.003715162738311483	0.005557114831644561	0.000849505571931596
26.0	0.00255635612227767	0.0012902242124677166	0.0028701947450073895	0.008279173352769287	0.0015051407972425982
27.0	0.001977546928558782	0.0013507564444416031	0.0062009160165342955	0.0404390978288971	0.0066619543029871435
28.0	0.002754592459080163	0.0015737155666352143	0.016370895586323188	0.09105600093351573	0.02040804305550504
29.0	0.004131500042115821	0.0015694021738736907	0.004531554314365723	0.011670218689806444	0.002642902262031351
30.0	0.004469943170455459	0.00178115612958607	0.0041278236221900366	0.009077740167826254	0.0016875951937274528
31.0	0.007810307098411684	0.0013803869769335453	0.003966507955937189	0.009564691143171267	0.0024431945772132703
32.0	0.010343054399151619	0.0018494590929734045	0.0044767872942907275	0.007144767455725121	0.0014021793368461323
33.0	0.002682642811433933	0.0013881093401693079	0.0029638618726245828	0.006161253842809189	0.0011399154570108543
34.0	0.0019877480894169297	0.0009854967882253485	0.0022003863240844376	0.003876349746971486	0.0008377989948723243
35.0	0.0017753590782179085	0.001412907552146292	0.0050060470792897445	0.018428374310277662	0.004650829385915072
36.0	0.0017552811755254805	0.0015122557634119627	0.03352380253917516	0.1948463429647459	0.0506821583004661
37.0	0.002822159471587482	0.0017307972606102062	0.01911641886339766	0.089472771562494	0.024553006055946833
38.0	0.00378969482797209	0.002212462714430541	0.005933848059976839	0.014876792619323398	0.003020771590599035
39.0	0.0044378566104241735	0.0015629678128995517	0.004070176867608413	0.007233226218156696	0.0012624433426266283
40.0	0.0036544252247284748	0.0013937395587428902	0.0033397055605739784	0.006884223685491131	0.001218503967682268
41.0	0.004231829476751492	0.0011231916246992046	0.005644751663703971	0.020206628835791607	0.005375180135305491
42.0	0.004231829476751603	0.001294587501540656	0.007355390946964595	0.035885230493618914	0.007345473268695258
43.0	0.004231829476752047	0.0011374055904920244	0.005664372774162411	0.017112679091600747	0.004623706495985327
44.0	0.00423182947675127	0.0013160827884858284	0.004560036605191518	0.015284176257617244	0.0033643490915225118
45.0	0.00423182947675127	0.0011589587846025928	0.0070842212019968575	0.034347770475396944	0.007023305203397921
46.0	0.00423182947675127	0.0011941933395539506	0.00605565635142599	0.021206297563439502	0.005272546567634228
47.0	0.004231829476751825	0.0012932973966857109	0.0060511027348390005	0.02659468742044957	0.005740398576625731
48.0	0.004231829476751936	0.001182780706870723	0.006256585927822094	0.021721169138206653	0.005823449900596603
49.0	0.007634518110515076	0.003791873430835646	0.006479700288147957	0.02307751343198028	0.003223575378457937
50.0	0.003484027505084697	0.0022312152804774277	0.005871014937552805	0.0197749738761952	0.004570699426808082
51.0	0.0024627633308159647	0.0015781719493520585	0.006189277732366901	0.024270572977112104	0.006170376750099574
52.0	0.0028698813779104437	0.0020363220995879283	0.007665357696825999	0.036107848235597206	0.008902839624149951
53.0	0.0029666342586843752	0.0015443864225347381	0.00486654362316548	0.01881167825575214	0.003962203838444979
54.0	0.004724391821950169	0.0022824787595089324	0.006243566350165851	0.018252704278390208	0.003869483734795216
55.0	0.009087284010141472	0.003063258281116976	0.007045990561262953	0.021671858354676	0.003608562507216859
56.0	0.011140977094999505	0.002961327494692023	0.009152194121290697	0.0237925670936463	0.0042699689104860146
57.0	0.013722078884416788	0.00248242072137439	0.005562521597592005	0.014088728925177207	0.0024803976387246067
58.0	0.005425646113817795	0.0020710208403903474	0.003877426398623897	0.012484111358218142	0.0019475645375353838
59.0	0.003598829598782438	0.0018369673245534068	0.01540938721837981	0.1916172676145853	0.03118296136711995
60.0	0.003634097790847668	0.0019921768246073945	0.05786865608971834	0.30375055892623504	0.08205504305428044
61.0	0.0049840531502644	0.0021784186845026365	0.0049250953440969315	0.008932314823912324	0.001959805929996875
62.0	0.010541519236074937	0.0015514353733458996	0.005047162000091542	0.008677961917517352	0.001830256722420297
63.0	0.02207667030952165	0.0035751508359249673	0.0066440460332343665	0.009894456954637643	0.001701282738660946
64.0	0.023743955023297958	0.002976266203704947	0.007838548867350904	0.018280021221451337	0.004055026983899067
65.0	0.0205592605895053	0.0034837121993305242	0.00769659010091681	0.011876984766957976	0.002346912697060573
66.0	0.006859218024047986	0.0019084338119527144	0.003838159728442473	0.006090102875552228	0.0012274312439598933
67.0	0.0040654399414323805	0.0017872574774558947	0.00845826758565987	0.043931891066726125	0.009863807681438123
68.0	0.003859007259685243	0.0014492726733035255	0.011277625815966943	0.06847837945438862	0.01645105882172535
69.0	0.004223452350553325	0.002340239034181568	0.005101575671994271	0.008364218688693859	0.001782594176518039
70.0	0.0055988427912737615	0.0013422872877884018	0.0034993082572752432	0.006565120186272977	0.0015727047038778415
71.0	0.014154976202399472	0.0029957469692660776	0.00779029991772418	0.011571426243312088	0.002415863570455152
72.0	0.02680348328044857	0.005857242632538284	0.009632116733508672	0.015104611381424049	0.0025195631440489215
73.0	0.0073281682731031195	0.001976521253731156	0.0035217646850308933	0.005568866945043549	0.0009751951955596369
74.0	0.00524693959109912	0.002508880997823315	0.003173448818712047	0.005023658631364003	0.0006387092125497423
75.0	0.0028085983530158343	0.0016618931726468666	0.00750212727066339	0.027586569857091625	0.0074103740547299506
76.0	0.001801800667829645	0.0013658090261202682	0.04750549119514289	0.18464579857553332	0.056329759900792635
77.0	0.005297606834699153	0.001513708146429038	0.003745717451019986	0.007399711095583128	0.0013242693458920772
78.0	0.004795356904681913	0.0016294087060986229	0.003016378802426035	0.00594173214885152	0.0011620956234676921
79.0	0.005051568528065209	0.0011368644364048164	0.003625774889228008	0.007423106002304891	0.001429932996996178
80.0	0.0038360193599172865	0.001985414612704961	0.004265904035997893	0.005551208148861453	0.0009308371273194431
81.0	0.0036549034282384874	0.00162620825910742	0.002938332499305852	0.005268384206324583	0.0008423842745636059
82.0	0.002957501856236555	0.001335446843020227	0.0024890725739438735	0.005013828016519284	0.0009180935369560997
83.0	0.0024654519772505656	0.001567276293838904	0.003922831098969824	0.009026274494515318	0.0021009389028395654
84.0	0.002269882102154841	0.0013426087057454295	0.005097885965253793	0.014201163057016908	0.004048401736182544
85.0	0.00376666742120102	0.0012060542316285616	0.0025902719455081886	0.004616818609065376	0.0010901145304691117
86.0	0.005466501756889786	0.0010205798160067836	0.002369621868405143	0.00332895606425776	0.0005961929415547737
87.0	0.0061099182568168375	0.0011801138891288643	0.002953209867819035	0.005635852535737285	0.0012636332530258942
88.0	0.005251289236558931	0.0014929687022472438	0.003319155059443598	0.006029199574648758	0.001103596722997759
89.0	0.0049043725069765065	0.0008714544446121186	0.002657788068978452	0.00422321481385457	0.0008604477787513831
90.0	0.004904372506976062	0.0012592606977549492	0.0024522869565510204	0.004221132482504664	0.000781607676254452
91.0	0.0049043725076085565	0.001635344595496635	0.003075971326206583	0.005352421561089726	0.0008156855841042002
92.0	0.0049043725068818045	0.0009465256698428792	0.0028088077947986743	0.00422041852292554	0.0008692706538446202
93.0	0.004904372506884136	0.0010355435693851778	0.002578993944980179	0.004221811827781252	0.0008035734509096595
94.0	0.004904372508540589	0.0011179995921860586	0.0024245228980264897	0.004219822543942597	0.0009189587416625176
95.0	0.004904372507715693	0.0011568843160274511	0.0025824710195972117	0.0048887967754972506	0.0008395798441954188
96.0	0.00490437250885567	0.0017169217190163844	0.0029080087780565624	0.004219686170627623	0.000644299046084516
97.0	0.009849581309166355	0.0020731144686501057	0.00486233738857427	0.009213971541880084	0.0017655581936913756
