Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.0067490292996452705	0.0010471748156829497	0.007406255056414346	0.000991584521927602	0.4558314409991874	0.5187664894355974	0.4376055348112855	0.5166339676448478
2.0	0.004886816007127925	0.0011309006569184543	0.004207436227176453	0.0014538055688243512	0.3750229273242608	0.41822038446590204	0.37085649288348344	0.3316226653884464
3.0	0.003922967076863126	0.0011251929753430812	0.005133297298398731	0.0016422038459463772	0.2867108704514554	0.30931731771391746	0.2657594532362897	0.28332211419726083
4.0	0.002733019543002424	0.0015806406787680638	0.0047836485523164995	0.0012422994310254953	0.09338486730463125	0.0926963525766038	0.09594586292705287	0.09343917274894153
5.0	0.006110823788371689	0.0020403483219986196	0.0038836810398691357	0.0022353070523146723	0.08199290381079483	0.015544108903629006	0.031324364811014305	0.018210344533852285
6.0	0.00792533869947143	0.002520298443694169	0.0058280708985019025	0.00261316533614131	0.14519374998818124	0.10411451868424682	0.14261540774488757	0.10407257673992554
7.0	0.014722548398640956	0.002724490780213973	0.012414264723564772	0.0031043841421614093	0.28326072807425906	0.19210260743897023	0.27328141122427996	0.21229841995622456
8.0	0.014070448193922669	0.0017596128858426985	0.013091710215804131	0.0019003102009342854	0.4286434429810859	0.3981051814520806	0.3811878546636931	0.3065486393513829
9.0	0.030792934972852626	0.005841142019208823	0.03899133026976265	0.0048248098357789315	0.12666519513791807	0.10051066804746889	0.1064828945536046	0.12077755356382935
10.0	0.006387185790451166	0.0022013332745142167	0.008425071992925082	0.0018742253995922553	0.3135218388745977	0.3006847202114541	0.24839036552689597	0.3570029583183557
11.0	0.004209089675679123	0.00231159632595479	0.0052199286690929325	0.0021958017373691074	0.12406063615217655	0.1876837278475746	0.1046271910051938	0.1821787312319174
12.0	0.007454618302935256	0.002573260227347607	0.003893203889287933	0.00279966968981471	0.06235891354077705	0.08406266447277277	0.06827211372944841	0.08565893800994828
13.0	0.007136110782064664	0.0012199538671177068	0.0028596698682819	0.001656375183414549	0.0652005335534378	0.05472072065944478	0.07595851902634221	0.06323531692342588
14.0	0.009306538932656538	0.0009808492197304064	0.005440796658371827	0.0015233137824908205	0.17974659284404693	0.08502893298579994	0.1904528625951425	0.10835708963607704
15.0	0.012434543507509499	0.0012646950743068208	0.008922288328210626	0.0014877027949923294	0.28140868194462	0.09212612348815241	0.21067187359395834	0.11655315044680348
16.0	0.006311017992818191	0.0034423278865022278	0.005448996529893835	0.0033774720331872787	0.13089606384845787	0.036293190345558335	0.05556117851472775	0.03615807213446731
17.0	0.011114784504036468	0.001678835216242458	0.00858186992696297	0.0018893440841447617	0.13907067261085604	0.25356809679223724	0.12144852040251009	0.2534826492724672
18.0	0.006343911044933037	0.0017800962791557629	0.004680545830784921	0.001130062917404251	0.447087159100895	0.26869776012040203	0.23878533680406655	0.2068488909696019
19.0	0.005330677350295243	0.001549614739954075	0.006150820670196011	0.0015904375033869433	0.2955542217169853	0.29620868780804666	0.32774597096918134	0.3088899235270752
20.0	0.004220370269153895	0.0028442295161479336	0.007149653753470209	0.0029196452399700146	0.08392494063317402	0.08118073012597582	0.03971155941597648	0.09147632829387609
21.0	0.0035843112904112573	0.0013472472782494194	0.005751841308109351	0.0015003960319391885	0.02102331038110483	0.01587981894689683	0.02100359258882112	0.016095644255090136
22.0	0.008760672040214135	0.0014915173270819704	0.010547271502899469	0.0014489109971076441	0.017346199644529214	0.011958227503556795	0.057877501149657395	0.013871176149951037
23.0	0.04612941667817938	0.007670029227050845	0.04016909645466493	0.00724538262629193	0.05469232367668031	0.01828323480483307	0.06977764241385898	0.025470122187239874
24.0	0.024115288953040714	0.005532018889092161	0.021815053117666627	0.006455936876106572	0.03635447344438736	0.04374929333171573	0.026738178634433507	0.049052909927246535
25.0	0.017004529238283772	0.0021939969361889355	0.009288667687338825	0.0036345356516410687	0.23444758561683554	0.2635254944770219	0.27220409697069015	0.3007347922323833
26.0	0.01026336233762104	0.002213227335459367	0.00883924451823559	0.003035309776987738	0.21022000754440706	0.04933044893324712	0.05046184777578211	0.03539863695066703
27.0	0.00349977358738518	0.001312762277054902	0.00334322928121511	0.0010678541298591027	0.01585562123875106	0.020109204792114088	0.017026637835653613	0.023506778860727717
28.0	0.0059047293990462935	0.0014146229256307707	0.005615661692868312	0.0021349698073318546	0.2818016500826265	0.34518935028103925	0.3215688776754615	0.3078341036294673
29.0	0.0030292304763067657	0.0014413087527493929	0.003912689951843684	0.0016631967405003056	0.07334123243832735	0.0704153355917444	0.02286333943822849	0.07458912967975806
30.0	0.00494350148858369	0.0022760142564027808	0.007652709479379682	0.001762888515534855	0.02820198849350275	0.03301414139110881	0.008342107294304846	0.03270503856908846
31.0	0.006662758949728564	0.0009885958802663408	0.008956215571210624	0.0008125028689673908	0.025587726908019248	0.037521541023403104	0.013075080684030294	0.03843584768218378
32.0	0.006791004279758539	0.0016195141742492147	0.0062307548191545825	0.0017125805270089556	0.05412924517022355	0.0879168821588524	0.03531277167853408	0.0894444169969495
33.0	0.004396892345887138	0.001764736601109207	0.00541482143194838	0.0015911118353673093	0.08564175264419849	0.05962486306342141	0.1690908348835447	0.06032393345096121
34.0	0.0024068271131136854	0.0007728168003041658	0.0023864524301634438	0.0006807888757199843	0.005422359558708734	0.004948581492222881	0.005993093563097518	0.004392508115326654
35.0	0.0032096502531997473	0.0006917047515712094	0.0024792770069489434	0.0008687506458351368	0.0035133690326010214	0.0010971546067740645	0.0011615928451030877	0.0010597418207297649
36.0	0.004140782107875052	0.0012174053186280176	0.0054053350273932654	0.0015987369431361698	0.009502607576885813	0.010518630052425038	0.016158171214093908	0.012645503303193473
37.0	0.006850899917027364	0.0015429060267437844	0.004448661495999984	0.0019157838374170844	0.21080604221382393	0.26912923960493274	0.3451271827551168	0.3178579707918563
38.0	0.003979822905909591	0.0017054590794887137	0.005417868336464626	0.0016656891495963055	0.198082483071383	0.37920743828363435	0.1196395016247861	0.34945652276521566
39.0	0.004492209505626565	0.002694007895440942	0.006129596933986847	0.0018972245848991598	0.20316095372039966	0.37056976382060136	0.12495802701525005	0.3655568874673142
