Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.006730788177805924	0.0009093160537273492	0.006730788177806146	0.0009093160537274603	0.4337732833995932	0.4850467343661703	0.4219079348741981	0.4850467343661703
2.0	0.004949922240564342	0.0009822714902816276	0.004949922240564342	0.0009822714902816276	0.35740113503344184	0.34852377559837966	0.33651454774274436	0.34852377559837966
3.0	0.0030795389661966155	0.0008824657453745388	0.0030795389661966155	0.0008824657453745388	0.2720165122653345	0.286891456154458	0.2598156267243925	0.2868914561544581
4.0	0.0022115922020770062	0.0008514499727578784	0.0022115922020770062	0.0008514499727578784	0.09195930701474397	0.09190670458515471	0.0886924820500613	0.09190670458515471
5.0	0.0037052831586025237	0.0016849729682627546	0.0037052831586027457	0.0016849729682627546	0.041525671025708255	0.014505267530844912	0.044311297105370295	0.01450526753084469
6.0	0.007034969142817427	0.002305558286488818	0.007034969142817427	0.002305558286488818	0.14920286608499733	0.10089785108894567	0.15239855730952223	0.10089785108894578
7.0	0.013348244426621414	0.0028304690873728333	0.013348244426621414	0.0028304690873730554	0.26084233926690203	0.1842256633904501	0.28426279542628774	0.1842256633904501
8.0	0.013514167524481868	0.0018169335603857029	0.013514167524481868	0.0018169335603857029	0.4011420229412892	0.3598359539601139	0.4388333410931722	0.35983595396011403
9.0	0.0342926110169105	0.00508446566252474	0.0342926110169105	0.00508446566252474	0.10145218663497857	0.10286841412408565	0.08978422736917702	0.10286841412408565
10.0	0.005843716936533516	0.0014202699105473338	0.005843716936533516	0.0014202699105473338	0.28749955464074184	0.3259592101946557	0.26315959730376604	0.3259592101946557
11.0	0.0020863817444005672	0.001481464562819279	0.0020863817444005672	0.001481464562819279	0.11392875211994746	0.16927392532651753	0.0963196226320796	0.16927392532651753
12.0	0.003112847718186096	0.0020475165614572965	0.003112847718186096	0.0020475165614572965	0.06527926369081816	0.08336072180983611	0.06359607966226011	0.08336072180983611
13.0	0.0037679509897066144	0.001021003394449882	0.0037679509897066144	0.001021003394449882	0.0710320071813747	0.058007618292000296	0.07097547279967731	0.058007618292000296
14.0	0.0059408406762910815	0.0008736473071563333	0.0059408406762910815	0.0008736473071563333	0.1896687389235424	0.09473062171577384	0.1898398091696214	0.09473062171577384
15.0	0.01006612293819309	0.001234173393226179	0.01006612293819309	0.001234173393226179	0.23797109709704112	0.10119433351435203	0.23901987232319377	0.10119433351435203
16.0	0.005689911388957136	0.0033504321518128544	0.005689911388957136	0.0033504321518128544	0.04989101138536545	0.024492032031155575	0.04796126932373512	0.024492032031155575
17.0	0.008830813182914565	0.00131876610853221	0.008830813182914565	0.00131876610853221	0.13966982108893922	0.2489296049096258	0.10951485551026552	0.2489296049096258
18.0	0.0028585451621224722	0.0006532432659178689	0.0028585451621224722	0.0006532432659178689	0.32223721657262816	0.22496511408009778	0.31844184600983794	0.22496511408009778
19.0	0.00228305810283691	0.0006098360987168983	0.00228305810283691	0.0006098360987168983	0.30194454913715074	0.3071308483032753	0.29343332390820687	0.3071308483032753
20.0	0.002458070718604266	0.001636616694560722	0.002458070718604266	0.001636616694560722	0.06230839084786777	0.07933298666154898	0.047240967577788506	0.07933298666154898
21.0	0.0037926451576404396	0.0007193625134916948	0.0037926451576404396	0.0007193625134916948	0.017440335584638866	0.015061077279617252	0.012862443761283204	0.015061077279617252
22.0	0.008322607059781495	0.0011116327054742081	0.008322607059781495	0.0011116327054742081	0.02872617702710445	0.01164081039826037	0.025853315493971518	0.01164081039826037
23.0	0.04216716625153549	0.007229101006763772	0.04216716625153549	0.007229101006763772	0.059126891437808915	0.018355743722684115	0.0574885928655553	0.018355743722684115
24.0	0.022651890693954235	0.005815539522651236	0.022651890693954235	0.005815539522651236	0.03295859265459089	0.04328545502162351	0.021232771916228077	0.04328545502162351
25.0	0.012412573146525774	0.0024709025199609602	0.012412573146525774	0.0024709025199609602	0.2562864385134602	0.27050675810356295	0.24319047655964554	0.27050675810356295
26.0	0.006642268640746907	0.0020719024434049382	0.006642268640746907	0.0020719024434049382	0.10659612651322914	0.03641089954264132	0.0991019205932463	0.03641089954264132
27.0	0.002473274208426135	0.0005669938613056535	0.002473274208426135	0.0005669938613056535	0.01843469253566321	0.018003938373018724	0.016141861874678698	0.018003938373018724
28.0	0.0014555146768611138	0.000664949126910952	0.0014555146768611138	0.000664949126910952	0.2970182904487686	0.3431902253199888	0.28342077289144285	0.3431902253199888
29.0	0.0011801504617224845	0.00044541126211150583	0.0011801504617224845	0.00044541126211150583	0.0511685872930564	0.06818548568380822	0.03544513537702809	0.06818548568380822
30.0	0.00538139331877352	0.001547489786408618	0.00538139331877352	0.001547489786408618	0.01953840197658674	0.03126324809461045	0.009448533016582661	0.03126324809461045
31.0	0.007199856823540962	0.0005704935755140861	0.007199856823540962	0.0005704935755140861	0.02226760684595963	0.036267985335988184	0.010523520920795781	0.036267985335988184
32.0	0.005576988862947219	0.0012392126675977444	0.005576988862947219	0.0012392126675977444	0.049053734295823714	0.08554530206662436	0.02901338639107509	0.08554530206662436
33.0	0.0018409059015588314	0.0008779261409658234	0.0018409059015588314	0.0008779261409660455	0.13741053725183527	0.05964840825696727	0.12439513943876579	0.05964840825696727
34.0	0.0012968292196818831	0.0004966555471488387	0.0012968292196818831	0.0004966555471488387	0.004369039708494116	0.0035460170500053456	0.00413394545944612	0.0035460170500053456
35.0	0.0027051092971793755	0.0007165025512817502	0.0027051092971793755	0.0007165025512817502	0.0022021764137870603	0.0010161014927082546	0.0018445515164245974	0.0010161014927082546
36.0	0.002926432275470847	0.0009831130704827107	0.002926432275470847	0.0009831130704827107	0.008084578758154937	0.007687602194354937	0.007613748078354465	0.007687602194354604
37.0	0.0016363380490002077	0.00041424761430242096	0.0016363380490002077	0.00041424761430242096	0.26922863422196697	0.28695046921825274	0.2430293440055351	0.28695046921825274
38.0	0.0014324911757318537	0.0004652125682438335	0.0014324911757318537	0.0004652125682438335	0.1786278561881428	0.35992127571105637	0.1252390841362373	0.35992127571105637
39.0	0.002650378631405159	0.0012521626161070554	0.002650378631405159	0.0012521626161070554	0.18547300144108547	0.3629442935415854	0.1334735016094698	0.3629442935415854
40.0	0.0029103970141832747	0.00149516934575189	0.0029103970141834967	0.00149516934575189	0.33375778757530805	0.2814540443810589	0.32655613574896414	0.2814540443810589
41.0	0.0031172330457249764	0.0014768648694681863	0.0031172330457249764	0.0014768648694681863	0.0159360690482504	0.012633970802016448	0.013320468585020118	0.012633970802016448
42.0	0.0031172330457250874	0.0014768648694681863	0.0031172330457250874	0.0014768648694679642	0.015936069048250734	0.012633970802016004	0.013320468585020229	0.012633970802016004
43.0	0.0031172330457241992	0.0014768648694676312	0.0031172330457244213	0.0014768648694677422	0.015936069048249957	0.012633970802016226	0.013320468585019674	0.012633970802016226
44.0	0.0031172330457249764	0.0014768648694681863	0.0031172330457249764	0.0014768648694681863	0.015936069048250512	0.012633970802016226	0.01332046858502034	0.012633970802016226
45.0	0.0031172330457241992	0.0014768648694677422	0.0031172330457241992	0.0014768648694679642	0.015936069048249735	0.012633970802016448	0.013320468585019674	0.012633970802016448
46.0	0.0031172330457249764	0.0014768648694679642	0.0031172330457249764	0.0014768648694679642	0.015936069048250734	0.012633970802016226	0.013320468585020229	0.012633970802016226
47.0	0.0031172330457253095	0.0014768648694681863	0.0031172330457253095	0.0014768648694681863	0.015936069048250623	0.012633970802016115	0.013320468585019896	0.012633970802016115
48.0	0.0031172330457244213	0.0014768648694677422	0.0031172330457241992	0.0014768648694676312	0.01593606904825018	0.012633970802016226	0.013320468585019563	0.012633970802016226
49.0	0.022451188204821282	0.005343447686561031	0.022451188204821282	0.005343447686561031	0.0664716807216843	0.059305146078253546	0.0538045606328974	0.059305146078253546
50.0	0.008408735605528794	0.0018406904336327745	0.008408735605528794	0.0018406904336327745	0.02692905029806092	0.03103804259546561	0.012938831644460969	0.03103804259546561
51.0	0.004302659048495361	0.0013714693358982677	0.004302659048495361	0.0013714693358982677	0.10840831416798558	0.15398492529452557	0.05913084929981516	0.15398492529452557
52.0	0.003088670484753475	0.0015977559530105934	0.003088670484753475	0.0015977559530105934	0.14026273381830623	0.13651657443759102	0.13022379398393802	0.13651657443759102
53.0	0.0020855944854384356	0.0008633940542903673	0.0020855944854384356	0.0008633940542903673	0.17353691575369	0.1089503836532899	0.1619856879656819	0.1089503836532899
54.0	0.005180831591761859	0.0013109680805027946	0.005180831591761859	0.0013109680805027946	0.29383195906753634	0.29313266923104864	0.2916589073293806	0.29313266923104864
55.0	0.022759719176700055	0.004495589888821927	0.022759719176700055	0.004495589888821927	0.20022087164691016	0.22729940255802117	0.16746355375771804	0.22729940255802117
56.0	0.03685290109632844	0.007684445531397244	0.03685290109632844	0.007684445531397244	0.11229204287566197	0.12616041892536545	0.09000295363192157	0.12616041892536545
57.0	0.018779031023912984	0.0024391611100733623	0.018779031023912984	0.0024391611100733623	0.10104368357734206	0.045173896012368875	0.10126632477837627	0.045173896012368875
58.0	0.005931116946515269	0.0007472747045041972	0.005931116946515269	0.0007472747045041972	0.020056813257972816	0.014799676993369926	0.01300212528459943	0.014799676993369926
59.0	0.0044440046665686905	0.0007315960115931164	0.0044440046665686905	0.0007315960115931164	0.03767388122654525	0.03147856085162437	0.03104315945054492	0.03147856085162437
60.0	0.002788348812425512	0.0018381188022728034	0.002788348812425512	0.0018381188022728034	0.05311815676409848	0.047490134972948406	0.04541681851918322	0.047490134972948406
61.0	0.004296587659177287	0.0007720167533438183	0.004296587659177287	0.0007720167533438183	0.03238019670479275	0.01114246897118576	0.030429494179965433	0.01114246897118576
62.0	0.015009622358702845	0.0026279478204492834	0.015009622358702845	0.0026279478204492834	0.1557125505005924	0.07082683932673317	0.15916567131340098	0.07082683932673317
63.0	0.030235168901672438	0.005914757379113067	0.030235168901672438	0.005914757379113067	0.34461310186164607	0.27561696577218786	0.3653396388788209	0.27561696577218786
64.0	0.03487159327558054	0.005581208678241967	0.03487159327558054	0.005581208678241967	0.13027750053548814	0.15214375260612245	0.08391709453624563	0.15214375260612245
65.0	0.056331628617831586	0.01084665295947862	0.056331628617831586	0.01084665295947862	0.3699120911287016	0.3133917150540625	0.35355902416040397	0.3133917150540625
66.0	0.011868746636925165	0.002887955916186291	0.011868746636925165	0.002887955916186291	0.039613306373183055	0.0216684296147841	0.037713783117403143	0.0216684296147841
67.0	0.00040533460221559015	0.00024615372106628897	0.00040533460221559015	0.00024615372106628897	0.011689680320703055	0.009124274176251168	0.011424444941813605	0.009124274176251168
68.0	0.004628189835137575	0.002103369455642823	0.004628189835137575	0.002103369455642823	0.01032839059130386	0.01089263533531526	0.008496740076824216	0.01089263533531526
69.0	0.002267647886440294	0.0005857325911761135	0.002267647886440294	0.0005857325911761135	0.012562116350200658	0.012087500658471306	0.012028721398461006	0.012087500658471306
70.0	0.005945005522139835	0.0010368028342796487	0.005945005522139835	0.0010368028342796487	0.073136591662179	0.05449199305247332	0.06896134755865169	0.05449199305247332
71.0	0.016126967120791758	0.00295723703568751	0.016126967120791758	0.00295723703568751	0.330249990147229	0.138523724062532	0.32415780496234925	0.138523724062532
72.0	0.048751089080290466	0.009556978581433229	0.048751089080290466	0.009556978581433229	0.07664169158799283	0.021562075947973658	0.07330527778645757	0.021562075947973658
73.0	0.01676983853925429	0.003770065901800068	0.01676983853925429	0.003770065901800068	0.26548507263140897	0.2504309363576215	0.2533345572638127	0.2504309363576215
74.0	0.007310530546317584	0.0007744210635103332	0.007310530546317584	0.0007744210635103332	0.016320545129377417	0.01078973775905856	0.014684192042321631	0.01078973775905856
75.0	0.0013938827719593982	0.0001274180577921502	0.0013938827719593982	0.0001274180577921502	0.004413284967917042	0.0011235709264517668	0.0037020668231263487	0.0011235709264517668
76.0	0.00362229215880272	0.0005142370230639681	0.00362229215880272	0.0005142370230639681	0.1077277447512448	0.18448340389471618	0.08166727553952324	0.18448340389471618
77.0	0.0021406080499619673	0.0006260922831328175	0.0021406080499619673	0.0006260922831328175	0.009444807724396487	0.010243843699379251	0.006653731555570697	0.010243843699379251
78.0	0.012868146986100726	0.003000869737676104	0.012868146986100726	0.003000869737676104	0.02709778679447683	0.012042273988147167	0.026474578056243647	0.012042273988147167
79.0	0.026276425781371127	0.007147770514307372	0.026276425781371127	0.007147770514307372	0.0492241337648861	0.020093989832797754	0.04843126063633241	0.020093989832797754
80.0	0.029776177862175124	0.008701891915511406	0.029776177862175124	0.008701891915511406	0.03238848119084703	0.04871954638122078	0.019845867081873525	0.04871954638122078
81.0	0.008758611873714073	0.002880054535916776	0.008758611873714073	0.002880054535916776	0.34806098847178835	0.31706050789738727	0.3108470855348715	0.31706050789738716
82.0	0.005125449348983513	0.0014581888723066427	0.005125449348983402	0.0014581888723066427	0.07715052579006532	0.05936639996065529	0.06916356612376207	0.05936639996065529
83.0	0.0025203787818814938	0.0013114594843051108	0.0025203787818814938	0.0013114594843051108	0.02960146803734598	0.030703366134861465	0.02724851306692233	0.030703366134861465
84.0	0.0023836728496057225	0.001285064394772828	0.0023836728496057225	0.001285064394772828	0.3633252732483161	0.26090737964045363	0.31125084250848545	0.26090737964045374
85.0	0.002013713636004444	0.0010468613989543796	0.002013713636004444	0.0010468613989543796	0.03188712668309668	0.06335027420376893	0.019128172796698206	0.06335027420376893
86.0	0.005617568253790561	0.001275762478619047	0.005617568253790561	0.001275762478619047	0.021362990321562303	0.038247455176791845	0.013237640765926817	0.038247455176791845
87.0	0.007275004695549425	0.0027170345847415955	0.007275004695549425	0.0027170345847415955	0.024853954757855456	0.046059516446057325	0.015344947355712457	0.046059516446057325
88.0	0.011685214655313803	0.0038722582198146283	0.011685214655313803	0.003872258219814406	0.05621123473878986	0.10879023028728207	0.037003871288236456	0.10879023028728207
89.0	0.003524846659001324	0.0010295214832264366	0.003524846659001324	0.0010295214832264366	0.16908258471785065	0.26102498845782685	0.1158654456082795	0.26102498845782685
90.0	0.003524846659001213	0.0010295214832264366	0.003524846659001213	0.0010295214832264366	0.16908258471785076	0.2610249884578262	0.11586544560827972	0.2610249884578262
91.0	0.00352484665900199	0.0010295214832264366	0.00352484665900199	0.0010295214832264366	0.1690825847178501	0.2610249884578265	0.11586544560827894	0.2610249884578265
92.0	0.003524846659001435	0.0010295214832266586	0.003524846659001435	0.0010295214832266586	0.1690825847178502	0.26102498845782707	0.11586544560827883	0.26102498845782707
