Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0046385275358108435	0.0031649663957307173	0.005238230113998475	0.009306125839309787	0.0018027968229338543
2.0	0.004369311152359168	0.0022339398124499033	0.004501402226373809	0.007519781140779225	0.0014988465766102728
3.0	0.003967522259454959	0.002817847731056533	0.004666060207115292	0.007875034297712413	0.0014294526218088827
4.0	0.004886538609870428	0.002905066012224511	0.0052586391020192965	0.007611273593018386	0.0014062883291263207
5.0	0.0041544471449795894	0.0026340012264641777	0.0049103788807566065	0.0065646230449133425	0.0011903570376171223
6.0	0.004405609281345146	0.0025388112626526516	0.0038509796801617026	0.0062269632529623475	0.000928777530148472
7.0	0.0077726459010306614	0.003828142576946969	0.006132754323104844	0.0077645939435315725	0.001056284991531069
8.0	0.009533767172051011	0.0028277356510646445	0.0062945788814243704	0.011702680154292877	0.0029772854903571794
9.0	0.01856303637054657	0.006559524685627149	0.011589546511535511	0.01852766991449195	0.0034629188682984754
10.0	0.0058105618921753255	0.004396149076758893	0.005901761457132789	0.008783929196833684	0.0011253340244179026
11.0	0.007725571581342794	0.005799093541580702	0.007545663237784407	0.010202226923150981	0.0012493220610105325
12.0	0.005000666366779094	0.003606050696838614	0.007908200336250629	0.013365109125016983	0.0027416471780443525
13.0	0.007506933563134366	0.0032579996451377324	0.006095410539464026	0.007903486234742907	0.001211398263637663
14.0	0.007090424541048024	0.004145096417424332	0.008778372699136042	0.014268908180880668	0.003202208741802758
15.0	0.008905049912820484	0.007045971826342257	0.019004599067805487	0.02647461582315669	0.005937872749161866
16.0	0.00501813576829746	0.0031958298548305786	0.02009864262218274	0.030966991197244664	0.010758887250119514
17.0	0.005693532206449636	0.003270166067361635	0.008993424514873944	0.01923792730686069	0.004781797878693073
18.0	0.006190615237828712	0.004387355684680405	0.006713450250852378	0.009167172262367074	0.0014522094230588884
19.0	0.011353746960879985	0.005396659023610084	0.008960469310220412	0.012971493741329443	0.00258464713784261
20.0	0.008239196078029476	0.006190785730778581	0.00760155061005144	0.00888813704785496	0.0007885871147971806
21.0	0.004502669449485297	0.0037140074300081594	0.0062838470917669104	0.008513322829378778	0.001359403356365425
22.0	0.008319407473004303	0.0044490082013933785	0.008977605575527403	0.013363155883730271	0.0022196605467409854
23.0	0.028518345971705328	0.0022711346586202774	0.013094857241810505	0.029922838008736297	0.00968724433780421
24.0	0.010647368667416557	0.003373059219641261	0.008129053199965782	0.01160778638598614	0.0027077875007395827
25.0	0.008516326138381936	0.0036872117693206308	0.006999879097698154	0.009993477314431787	0.0018792833684437805
26.0	0.00741117648197287	0.006106822444443716	0.007678175110808488	0.009228851131934834	0.0008076589691888153
27.0	0.008564208878749646	0.007487110222797022	0.009355582037296625	0.0116256970755102	0.0012604721154974255
28.0	0.009652226066365843	0.006143182674839265	0.009434380267022197	0.012155554729267437	0.0020842258583971
29.0	0.006560075101986751	0.0055855481957949316	0.008233851099688888	0.011632555784236498	0.0016720044327000185
30.0	0.00622056845825214	0.004830152392810816	0.007297776029077203	0.009939443861078034	0.001604476872010921
31.0	0.004729606150801757	0.003969900350503375	0.009556000339864704	0.01635241073894611	0.003970225008601961
32.0	0.0031299308249446156	0.0025061798670766855	0.005996043260524535	0.010242961332940337	0.002018419057692866
33.0	0.008620537523640781	0.006584894085432724	0.009108494988587576	0.011536482497969236	0.001190404133812501
34.0	0.008169645327555819	0.00760266540774468	0.010112702982371713	0.011959504241160546	0.0011937410000471245
35.0	0.009338320894001884	0.00811434116158749	0.009347071846418238	0.010631027256045922	0.0007770161221348574
36.0	0.01110689692592648	0.009573371291655697	0.011153743081622883	0.013666520801764115	0.0011576781904375306
37.0	0.015784371475600856	0.007522350158380986	0.014352049747466619	0.016856221472483446	0.002725416363265427
38.0	0.014271199141410396	0.008749568247494621	0.012329117714137675	0.015266769958330872	0.001855702323490171
39.0	0.008416085000338414	0.007485600645001589	0.008726379518223512	0.010643405299116226	0.0008977083829372422
40.0	0.0061423392927544285	0.004587675157007087	0.007089808125668126	0.009760452884993387	0.0013066799402551407
41.0	0.006554982977201362	0.0024666147778806824	0.0058610952172830424	0.008213664935738607	0.001642574025189
42.0	0.006554982977201362	0.0020176928993221876	0.005110600227303165	0.0072252028820092296	0.0014654076483477994
43.0	0.006554982977200474	0.002683723321107445	0.0055318889256811485	0.008296136687300115	0.001383297932216833
44.0	0.006554982977191592	0.002148849400875119	0.004356003066049245	0.007368918430951776	0.0015479788877941904
45.0	0.006554982977201362	0.0023995012977459096	0.0047610464081515825	0.008430314558782515	0.0016511684026727046
46.0	0.006554982977200696	0.0023314626182084908	0.004832944424011054	0.00777343824372978	0.001638533913067058
47.0	0.006554982977201251	0.0027240352874944307	0.00484828472896609	0.007705752125530707	0.0014924930530125977
48.0	0.006554982977201251	0.0022794140295452348	0.005725384524651285	0.007664569223131301	0.0015131524540829531
49.0	0.014720023729464793	0.005970656233395766	0.012817228768586849	0.0169389694653308	0.0035151632054263643
50.0	0.008172191384325234	0.004340469013132342	0.0065804542151640345	0.008742669139184533	0.0013059894113223451
51.0	0.004107485516823162	0.003808031683821156	0.007415715985654621	0.010309621063324115	0.0018490136192059717
52.0	0.003959763359747903	0.003645973251577672	0.00597266393900241	0.00918957768963169	0.0016042266893437486
53.0	0.0075717358597860995	0.004528545408010509	0.006390169580114987	0.008117919339760804	0.0008458900011241633
54.0	0.007411112803069053	0.005485656711114673	0.00826195463934426	0.012629027166356832	0.0023836694654873576
55.0	0.018663321003350886	0.0047147210931772765	0.012774877335685402	0.01936871235925164	0.004212241857010164
56.0	0.027232891731452824	0.0036895001664566385	0.017429406675441596	0.028218704667505756	0.007208954510645858
57.0	0.012891324515501568	0.007482740772457475	0.01448432872856483	0.03215661286825888	0.0077313858515170785
58.0	0.004579790152007823	0.002696372486718168	0.0063701385345411934	0.008652913674111251	0.0016094691571778485
59.0	0.0068650775883275506	0.004822559076360533	0.00718101888895234	0.011520398453799152	0.0020595822822520446
60.0	0.009372433060660823	0.004289692395243683	0.008162068341433279	0.010893252443954893	0.0021475662759030075
61.0	0.011318876251974808	0.005031098168276071	0.008611232655246428	0.011189189885655315	0.0017710878797288086
62.0	0.018595240940342928	0.005503982632172666	0.011623285266414056	0.018610298830775696	0.0038746986491879215
63.0	0.016908087370904212	0.006601222649832983	0.014581545299699102	0.03044287716439875	0.00755062100353844
64.0	0.016270625772260128	0.014578712486721268	0.022370276811216522	0.04519840699342259	0.010020269404567874
65.0	0.03762914003372975	0.017177531029013093	0.02807246944398451	0.03790156514292797	0.006182223248122119
66.0	0.0068260599147530465	0.0038656497056877015	0.006093857410623362	0.008745780492067645	0.0016002633611815712
67.0	0.009118918940763776	0.007790932096301217	0.010336383325028373	0.013729136473535464	0.0016620590409956945
68.0	0.009515205969663265	0.0053213404475114245	0.008865591508682793	0.01219244346589854	0.0019518161791465909
69.0	0.009035182034375033	0.006778139844081377	0.009663949300053213	0.014797933942772512	0.0020835127955123925
70.0	0.008310151740961058	0.008005817383297531	0.01655356868517035	0.025999469800376818	0.006494141914153899
71.0	0.0060952485106685605	0.00587705198365196	0.017908536339290047	0.046770973680994476	0.013199862159533867
72.0	0.024424412036932575	0.007333690110047697	0.03099854062879202	0.05133443832550744	0.013965259691000919
73.0	0.00760980450002402	0.006197607240464698	0.007985384097184415	0.00985401817454723	0.00101226507768533
74.0	0.005313070424337263	0.0042981867054529	0.005798427005821066	0.006960378316605675	0.0007945979291759975
75.0	0.008450888850063842	0.007358311624919844	0.00908153672697267	0.010738137283541671	0.0008410423817118281
76.0	0.012128958941302725	0.00726170096659462	0.010408520272726549	0.012897896307685563	0.0017961205845398076
77.0	0.00957321052189053	0.007921409923364209	0.010545127741952029	0.013384571689804003	0.0015890685332475949
78.0	0.013282659784976114	0.006436585860410515	0.010445624840605548	0.015220710521998027	0.0027170330289075497
79.0	0.011301896548777002	0.0049576063067146015	0.010617115183916075	0.017978756729050027	0.0038395036458578773
80.0	0.012209340463774199	0.006597050393219117	0.012203112590356177	0.017032938084836524	0.0030282066271525455
81.0	0.007199221496458907	0.004964736562796723	0.007479596150785845	0.009910456163017	0.001437006219991734
82.0	0.00942346500278568	0.004973260469591345	0.00832360902014369	0.010939662871340516	0.0016664284345655465
83.0	0.0125434262993801	0.00904505975755232	0.01183465336997036	0.013352123442892605	0.0010941963296637013
84.0	0.010555955127544037	0.0062236394297752184	0.010231628089470056	0.013399555897858573	0.0022214169525667724
85.0	0.012540957891151727	0.008516799183586832	0.010787294224802796	0.013009609206000139	0.0010206187807055333
86.0	0.006411287237764074	0.0033752714505028703	0.0061576502211847595	0.009233285366586963	0.0013341446365587582
87.0	0.005091608524431468	0.00346358899428878	0.0049430642871238425	0.006756652987775724	0.000943259307390686
88.0	0.0076099554637352185	0.001775649091915077	0.004264212154291667	0.006615479338006436	0.0011556122974828004
89.0	0.00749297833629059	0.0025858226103330217	0.004277323018962133	0.00722850666922048	0.0011849415294923897
90.0	0.007492978336290701	0.002437981713524051	0.004186460578153044	0.007228506669220591	0.0012838263005446715
91.0	0.00749297833628948	0.0023257852715073968	0.00488212407630144	0.00722850666921937	0.0015394249745196654
