Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.006063852486345445	0.0014729880480245372	0.006071954996019083	0.018745384144333577	0.004979450645122534
2.0	0.004518634196748583	0.00188752036128359	0.009571817574865896	0.03638484721774449	0.009957205837859513
3.0	0.002836959918492088	0.0014615299962285055	0.022289462676611464	0.12652571745404417	0.03503629457678522
4.0	0.002856977289578344	0.0017955353383415362	0.02720723430413807	0.1716404340708837	0.052507460683658684
5.0	0.0032999790820131825	0.0019461635858757376	0.016486371552606797	0.06073373282692629	0.020350366583933473
6.0	0.00409675881962468	0.0017824742516298064	0.007784685785227909	0.026483460626216315	0.0070908627599390725
7.0	0.006428041414937469	0.002316070684089455	0.007097476869878428	0.020446189425688877	0.004751772643376404
8.0	0.007640697404192709	0.001758946297427011	0.005827363836284606	0.01675909734799319	0.004667200793480986
9.0	0.018169533046804798	0.0012817294817241143	0.004490569744505248	0.009912877982833801	0.0017983758580396433
10.0	0.007210392132414256	0.002314195616103465	0.005754929177030463	0.015802908090420065	0.00319763455868919
11.0	0.006787340087303639	0.002395389351137145	0.013239665315749211	0.06229989066127162	0.01411576021618942
12.0	0.0046451735040409226	0.0019350168971201676	0.01775849670616338	0.06926408044600396	0.0219636821971512
13.0	0.004824671134712077	0.0026158448206272666	0.013301010717818886	0.04283870188701089	0.01252499646928403
14.0	0.00834658610311223	0.0016363551794307263	0.005023472005935455	0.011408124399322372	0.002787288097839943
15.0	0.011786557170151757	0.0014559575886101683	0.00337803323208589	0.0066443954263101235	0.0013719096041964975
16.0	0.017435415740228444	0.0017049906565885786	0.004614469457672592	0.008802273103194147	0.0015223128173028752
17.0	0.018392745589817627	0.0014496982266544167	0.003908734768504885	0.00680454085276383	0.0013951294345170102
18.0	0.009250074756220639	0.0031054277823632237	0.005883239171921961	0.013464032400643533	0.0022686107158332
19.0	0.007242400692641149	0.0026232671311070543	0.011395608795859533	0.03621996532845073	0.010177484500849713
20.0	0.007176200877544003	0.0022832588352135197	0.017171293303249045	0.07600343777681828	0.018886221854786295
21.0	0.006712071632702155	0.0027756574551471846	0.010776889258441356	0.03519608270151309	0.00870285511486017
22.0	0.005335738768244336	0.002246207218106866	0.005799947152948848	0.013465546337477097	0.002981691702452347
