Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.010573263887569961	0.003803129701498209	0.009240066033464611	0.003937279377214442	0.4540348770830782	0.4899068053468084	0.4481775076169484	0.5111239981870708
2.0	0.004961899308469686	0.003751027940522844	0.006068216638298818	0.0041428353937825735	0.369872188912462	0.4160995082651072	0.37913854392719215	0.29530751267456656
3.0	0.006251978636850786	0.0036531228109597524	0.005679596716382518	0.0040059005947841175	0.2817986329043569	0.22996710117461827	0.27075161160374206	0.21872304202096282
4.0	0.006423484362295784	0.0037405793022501355	0.004588066796674339	0.00397927207588844	0.08639774969199654	0.04789139566425149	0.09611072678328791	0.0511559941677735
5.0	0.004485563083220678	0.0037540028589547747	0.004422990782039227	0.003783747385187941	0.07740095249945589	0.007261138138461742	0.027545138947660974	0.007962060735025034
6.0	0.007649372480727834	0.00403967284686646	0.005363561357756286	0.004413806926586328	0.14573153326941857	0.025846285325837992	0.1311956850314111	0.02560701469781257
7.0	0.01899307554331242	0.0050743835264331905	0.015942096170261544	0.005369532831253632	0.2913109993234606	0.09720357829351478	0.2313921076083345	0.08764910266571202
8.0	0.017990537270407114	0.005168320641098401	0.0166018282506305	0.00525753551151209	0.4212896980043067	0.21650395019180846	0.340125743239006	0.18350395694622001
9.0	0.03866096246692741	0.010600687645783369	0.0459244260586531	0.009579648744304392	0.13571917559655244	0.14735384015353203	0.11666214575273548	0.1485890880776205
10.0	0.011725144432368495	0.0061670698074360875	0.013495884458486818	0.005777660115352412	0.29249682993011894	0.19044588692385533	0.2535968775158758	0.17646220522624623
11.0	0.005109081022130035	0.004730983921479193	0.007926260587878486	0.004403371798695099	0.08793026830282635	0.21896068313869232	0.10217924268712097	0.17900772882069005
12.0	0.00955793057464771	0.004371407285228335	0.005661068558546756	0.004606717172568664	0.047567679235078986	0.049174691603445675	0.06514768629493772	0.05002566245699702
13.0	0.008845365208927092	0.004533689502856153	0.007677031689259373	0.004883489058827295	0.07345817405329769	0.017329406645938294	0.09190878999579333	0.018681261281445205
14.0	0.014135768089416412	0.004715344812775246	0.009630359581831893	0.005340336272148805	0.2115160761795688	0.026743068086347743	0.223267009016068	0.03203891469379916
15.0	0.01779505654312563	0.004557590454485783	0.013833738714926769	0.004894297709110318	0.33028010747094005	0.027552272200300987	0.2441561411971579	0.039331599173406784
16.0	0.011371822577387891	0.006315089349806291	0.010844875420253919	0.006301977030600536	0.1705004614248401	0.034532833097592586	0.04415420577552387	0.04147934021340327
17.0	0.017470904049887492	0.006382142846191541	0.016031290163391	0.006640680385174735	0.130874306999876	0.2776464440650701	0.13410720355019612	0.29761497034034057
18.0	0.008114659217447473	0.0054176054025458775	0.00903063223511158	0.004974540837569874	0.4374352717960146	0.13344508985815817	0.2335353863157863	0.12418045201074379
19.0	0.007882869378268209	0.005637864332097231	0.007640033996108575	0.005097274592805512	0.2692149533746807	0.16887659014907275	0.3356286607112	0.15993015396053845
20.0	0.0062811148880200784	0.005124151858707737	0.007470255862969011	0.004832366842493663	0.06842652377149627	0.15883726888431282	0.049431668202081336	0.15895661438990005
21.0	0.006232296185223696	0.004730530586049442	0.006069271943978438	0.004531978948368098	0.013019174588553839	0.023369428980328455	0.0258568495555368	0.024053195900225255
22.0	0.013195867016084772	0.005921354325510775	0.014781882707475047	0.005809637352645058	0.01763767557436169	0.014214185729414797	0.06449461023400993	0.01432768516175753
23.0	0.05716571532928516	0.0138026301102957	0.05161101563776116	0.01331954185516282	0.06106339859747267	0.018127528315323715	0.08107319438936433	0.020035614571578875
24.0	0.03154381035938458	0.010838887810937003	0.028075947700493598	0.012120759547523008	0.040892114118605716	0.08477929559698005	0.033504311586365465	0.08287694815757196
25.0	0.02418141058166612	0.007747625874160224	0.01753478853734669	0.009881446729856025	0.23609359665673457	0.33877322165055124	0.2818144136613784	0.35471260137482274
26.0	0.01356459189629533	0.006204668854232653	0.012848072503089392	0.007305693251592693	0.22252904939794627	0.022613396324173474	0.06224025027804747	0.023826713212231065
27.0	0.005699077488460547	0.005248306969310668	0.007897262935344762	0.004962844952206558	0.014536432388346121	0.011658777114764263	0.01782890270883819	0.008776440261470064
28.0	0.0087099426690751	0.005469550768321452	0.008634062918431717	0.005690343433143896	0.2772396078364482	0.17819788090661448	0.3437432675034665	0.16711440324130222
29.0	0.006663626235169695	0.005749477558787075	0.007638554455896895	0.005595346669788337	0.0641505131880663	0.14757915508727226	0.03640555220620356	0.14445918337073171
30.0	0.009154312588377178	0.006146243915312488	0.010795483702925823	0.005889834756840018	0.02141894788995624	0.06041761837098325	0.01704383632064632	0.061627027093869136
31.0	0.012268900156924167	0.0060386015568258955	0.01382782683974304	0.005929072063273644	0.02219395472381347	0.06541694451551128	0.024533768931392697	0.06863546338563531
32.0	0.01436009265949345	0.006280366258033965	0.012041138985223743	0.006801860009630456	0.047782361611497404	0.17334118518895192	0.05670275526914581	0.17660447752375708
33.0	0.00847584451294403	0.005802216596533127	0.007958612339806326	0.005578390465862393	0.08812215594406114	0.03142776541969661	0.18347057379252074	0.03224853296779617
