Case_No	M22	M22_nomr	M2-2	M2-2_nomr	M21	M21_nomr	M2-1	M2-1_nomr
1.0	0.009554812995478779	0.0037601272940483987	0.009554812995478779	0.0037601272940483987	0.43193081522060983	0.49771348743676225	0.43193081522060983	0.49771348743676225
2.0	0.004529411836615149	0.0036666930255612185	0.004529411836615149	0.0036666930255612185	0.34717244896633936	0.2469498093672079	0.34717244896633936	0.2469498093672079
3.0	0.005520761526531581	0.0033281145562674697	0.005520761526531581	0.0033281145562674697	0.2624752248865323	0.21024217359386244	0.2624752248865323	0.21024217359386244
4.0	0.0039731439011215786	0.003301394020527093	0.003973143901121801	0.003301394020527093	0.08764115978935383	0.047742224504559005	0.08764115978935383	0.047742224504559005
5.0	0.003148023537904554	0.003316680948060813	0.003148023537904554	0.003316680948060813	0.03891940652299519	0.006610392724907932	0.03891940652299519	0.006610392724907932
6.0	0.005773638263481207	0.003965736925474861	0.005773638263481207	0.003965736925475083	0.14399264087887786	0.02436277050665292	0.14399264087887786	0.02436277050665292
7.0	0.017248990287781818	0.00513819689407502	0.017248990287781818	0.00513819689407502	0.2518773558117847	0.08978176585096986	0.2518773558117847	0.08978176585096986
8.0	0.0172291476444697	0.005199930935514185	0.0172291476444697	0.005199930935514185	0.3774574095568898	0.1805825765299135	0.3774574095568898	0.1805825765299135
9.0	0.04169504922541545	0.00984104788547946	0.04169504922541545	0.00984104788547946	0.10899825481036896	0.14138737803538182	0.10899825481036896	0.14138737803538182
10.0	0.011045997223760318	0.005354319025440257	0.011045997223760318	0.005354319025440257	0.2651463804467007	0.1799587553751817	0.2651463804467007	0.1799587553751817
11.0	0.004113117703754554	0.0036309475140412495	0.004113117703754554	0.0036309475140412495	0.0812682503006309	0.14289538356875175	0.0812682503006309	0.14289538356875175
12.0	0.005037795020876645	0.0035328736252321358	0.005037795020876645	0.0035328736252321358	0.05644336305062758	0.04776480788698956	0.05644336305062758	0.04776480788698956
13.0	0.006227277132811904	0.004281726125180296	0.006227277132811904	0.004281726125180296	0.08466529797678712	0.016994989986792608	0.08466529797678712	0.016994989986792608
14.0	0.01045415749641343	0.004648773106860404	0.01045415749641343	0.004648773106860404	0.22195154381219573	0.02746238783950694	0.22195154381219573	0.02746238783950694
15.0	0.015204113438516242	0.004583279895424841	0.015204113438516242	0.004583279895424841	0.2854393978208596	0.027015543289849675	0.2854393978208596	0.027015543289849675
16.0	0.010918097552432338	0.006248788474447098	0.010918097552432338	0.006248788474447098	0.06094903876710611	0.021354224091435947	0.06094903876710611	0.021354224091435947
17.0	0.01573588458470032	0.0060431108314720205	0.01573588458470032	0.0060431108314720205	0.12791366765657886	0.2703219790822391	0.12791366765657886	0.2703219790822391
18.0	0.006519118740030527	0.004587213299665049	0.006519118740030527	0.004587213299665049	0.31437092311494297	0.1123282575356418	0.31437092311494297	0.1123282575356418
19.0	0.004264715516471562	0.004282282529687098	0.004264715516471562	0.004282282529687098	0.28781502922230473	0.15709757654114131	0.28781502922230473	0.15709757654114131
20.0	0.0036271745281283296	0.003727525569332313	0.0036271745281283296	0.003727525569332313	0.050221366056296346	0.14459479312529167	0.050221366056296346	0.14459479312529167
21.0	0.004203983889110807	0.004053487130417199	0.004203983889110807	0.004053487130417199	0.011962462275561525	0.021990674054421455	0.011962462275561525	0.021990674054421455
22.0	0.012668196603448867	0.0055067606111802725	0.012668196603448867	0.0055067606111802725	0.03090083669994359	0.012177266451055102	0.03090083669994359	0.012177266451055102
23.0	0.05342449990487663	0.013332705587887572	0.05342449990487663	0.013332705587887572	0.069889876028286	0.017036407675312004	0.069889876028286	0.017036407675312004
24.0	0.02939316451111884	0.011302093293210969	0.02939316451111862	0.01130209329321108	0.03303178494115	0.07896962175054756	0.03303178494115	0.07896962175054756
25.0	0.01991065034813555	0.008084010088343585	0.01991065034813555	0.008084010088343585	0.2561939018250454	0.3460646092376396	0.2561939018250454	0.3460646092376396
26.0	0.010294546030945484	0.0060311895752319655	0.010294546030945484	0.0060311895752319655	0.11630363493867535	0.02025491060793616	0.11630363493867535	0.02025491060793616
27.0	0.005685660581633445	0.004449894857120995	0.005685660581633445	0.004449894857120995	0.014937662613723424	0.007408598234463937	0.014937662613723424	0.007408598234463937
28.0	0.004352063956245544	0.004178379515383357	0.004352063956245544	0.004178379515383357	0.2976508337423813	0.1644833035039973	0.2976508337423813	0.1644833035039973
29.0	0.004855569546387217	0.004573626650475449	0.004855569546387217	0.004573626650475449	0.04370829844317625	0.139567923286533	0.04370829844317625	0.139567923286533
30.0	0.009056974531367556	0.005509239067460259	0.009056974531367556	0.005509239067460259	0.017124559642538784	0.05809383067616025	0.017124559642538784	0.05809383067616025
31.0	0.012437503484044377	0.005655308504036949	0.012437503484044377	0.005655308504036949	0.02030166243252518	0.06273019097886934	0.02030166243252518	0.06273019097886934
32.0	0.012268871737637799	0.006173635044090853	0.012268871737637799	0.006173635044090853	0.04621240623665712	0.16563377003969215	0.04621240623665712	0.16563377003969215
33.0	0.006663536887110633	0.004889572241235318	0.006663536887110633	0.004889572241235318	0.1384617600495106	0.03150678166415044	0.1384617600495106	0.03150678166415044
