Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	4.414540912089926e-05	1.8700894610534924e-05	0.00018576790804192544	0.0005462544968677374	0.00013624645079131264
2.0	0.00013488666332639454	5.8732735695454785e-05	0.00016764647536345772	0.0005691326055276003	9.590130200470346e-05
3.0	0.0001753393412394777	5.865419984618647e-05	0.00019564592557671934	0.0005644635539705511	0.00010890380242436747
4.0	0.00013928981176691835	2.7031404347788168e-05	0.00017774591886299528	0.0015879736331178007	0.00023612355193626107
5.0	4.905070517358112e-05	3.515230682282766e-05	0.00010569465324387179	0.0007297071517662346	0.00013027418449639984
6.0	3.4964251365732224e-05	1.1514651499289208e-05	0.00011221667645040987	0.00040831394242324404	0.00011198634737431732
7.0	7.455608822282134e-05	2.7550503269191395e-05	0.00019108013713381973	0.0006006311051701685	0.00014130557521951413
8.0	2.2719124047609895e-05	4.166944397754335e-06	7.73767489500125e-05	0.0002020058189031726	6.206744534385424e-05
9.0	0.00035136253722956035	8.976928926984762e-05	0.0004243172355500551	0.0018990066581937581	0.0003101874478973328
10.0	0.000589109278288924	0.0001566811536719559	0.0005745674700568208	0.0016965449595351956	0.00027622907482227935
11.0	0.0007135803712089439	0.0002625704300803777	0.0006899864463616589	0.0032839261336332637	0.0005131772069609325
12.0	0.0012442052740230247	0.00011898846841018607	0.000932446943514853	0.0015929707687443173	0.00042124284723455904
13.0	0.0012065047380550586	0.0002797738201606448	0.001071208349274187	0.003101999732957106	0.0005530277055236469
14.0	0.00047236579425602443	0.00016001233122509007	0.0005008478174440146	0.0010981992534306872	0.00019142255126840095
15.0	0.00020242784818558235	7.873521969381514e-05	0.0003672390646553188	0.001090618825757117	0.00021098997233229334
16.0	0.00029389532208889957	8.738307875866269e-05	0.0002678697140054103	0.0005889794748553667	0.00011494518754389305
17.0	0.0014000909485744062	0.00013872934901926204	0.0007438854091985901	0.0035760492613783335	0.0005412060029248398
18.0	0.0002683254241807598	0.0001018674989611279	0.0003092091441269836	0.0007401014626270408	0.00013816461590574744
19.0	0.00027707272835941765	4.485087575856195e-05	0.00024039118490548893	0.000957012150807568	0.00019988150118183307
20.0	0.0024392005810830453	0.0003599439828330109	0.0012430524842056581	0.0038243946261352635	0.0007384599347780938
21.0	0.004618748039567855	0.0004245045592774499	0.001987198666088245	0.006980017621487256	0.0012765017186108674
22.0	0.002854041483168923	0.0003791363948728588	0.0013510387497152135	0.0032445702980457014	0.0007481809877216966
23.0	0.0013759702928284323	0.0001051559075473385	0.0009677068038133354	0.0016648955654237074	0.00039399355652256147
24.0	0.001496857610002289	0.00024551518119975135	0.0005838709303230669	0.0013824133691202611	0.00029307479895225217
25.0	0.0007269815030658267	0.00015975204362439488	0.0004940259553155421	0.0008726424040905734	0.0002091830651502791
26.0	0.0006432249589821692	0.0001512912154941759	0.0005732733429069526	0.0010832937606026771	0.0002370779250049636
27.0	0.0028692194930702852	0.000504510158112037	0.0013304409079557492	0.0027096805783425326	0.0004559085640520595
28.0	0.00024135529165125735	4.526043455588269e-05	0.00023703339271400443	0.0006565464524054265	0.0001260647247478402
29.0	0.004398392342129909	0.00035593156827906647	0.002001205846796665	0.004121674649449458	0.0009711564371893723
30.0	0.006359400599448062	0.00048235603399460203	0.0020461733770154138	0.004629170966466423	0.0011514817664764862
31.0	0.005190437265091163	0.0003330486531892829	0.001467810399108551	0.0037052331628746327	0.0008371577776358019
32.0	0.00314128464928487	0.000340164097655582	0.0012221214302774452	0.0029632127461632907	0.0006063132967637266
33.0	0.000743931821265531	9.451635877466558e-05	0.0005739417014736474	0.00120454468584974	0.0002558978311103129
34.0	0.007435834315702605	0.00042703144975242413	0.0022167185199929466	0.004930203778848341	0.0008966461725401557
35.0	0.012769483820282201	0.0010031096554777852	0.004263776031258945	0.00839626315435249	0.001299338608287491
36.0	0.004610349333010966	0.0004883323654927274	0.0021758088916229486	0.012705783093573175	0.0018871854992033317
37.0	0.0001837213470733401	3.755996769394532e-05	0.0001793758574497542	0.0005223874626680836	0.000103296841013842
38.0	0.0011368232801450828	9.118507275496235e-05	0.0006420080363041378	0.0011798409176937419	0.0003067468214734534
39.0	0.0019079540531369288	0.00030392009044633017	0.0009802285332969553	0.0019352906564173988	0.00043116574298509045
40.0	0.0009810608515672392	8.601790990980795e-05	0.00036761545182156796	0.0007654083577731674	0.00014478164929219937
41.0	0.0025913880490533447	0.000159004146696895	0.0012350275151817673	0.004003060437910988	0.0007524668731271084
42.0	0.002591388049053567	0.0002310335746477099	0.001554131343473018	0.010203973487560747	0.0015388171942042207
43.0	0.0025913880490533447	0.0002636732407300668	0.0008982607328273807	0.0016683192522821688	0.0003426378741352697
44.0	0.0025913880490533447	0.0006574694893368704	0.0015313773086304656	0.0028647357586570887	0.0004474641389157477
45.0	0.0025913880490533447	0.0001658929154937372	0.001686229314671024	0.010286453672897489	0.001551487128853604
46.0	0.0025913880490533447	0.0005868611471347984	0.0015306434741861647	0.00609960840787549	0.000910123735367911
47.0	0.002591388049053567	0.00017395765156869025	0.0009421203057166253	0.0017409328307872451	0.00044388925580426773
48.0	0.0025913880490533447	0.00019317630454651624	0.0009888982640004881	0.002018957864534321	0.00042636491023778487
49.0	0.000670599909535774	0.0001321928588605692	0.0006453701350167514	0.003758636130870685	0.0005995644852626425
50.0	0.0006852942302305598	0.00020875658613161985	0.0006811730443947847	0.002134814062387358	0.0003786612135190939
51.0	0.00021558541984401103	8.391758691428386e-05	0.00019315035569410552	0.000595571343974588	0.00010171882556858952
52.0	0.00013390034814375618	3.796419787349681e-05	0.000129248766029676	0.0004473482722501254	8.357075292454374e-05
53.0	0.0001157457260976269	5.692365487197648e-05	0.0001189332019645122	0.00033232203533073434	6.383795048059202e-05
54.0	0.00025894754953659227	5.906406456357427e-05	0.0003633413934680635	0.0015478375838106073	0.0002726871224711523
55.0	0.0008125354452008793	9.832411779731043e-05	0.0005640901373634789	0.001121833315046672	0.00021375948568685857
56.0	0.0007772811241746336	0.00017351464349935064	0.0005672873383473801	0.001270484144474171	0.0002457836839659108
57.0	0.00014741172040177997	0.00011728418777834371	0.00033644525505551907	0.0008934890473413226	0.00020803216883441263
58.0	0.0019528745486291355	0.00040579467324741714	0.0011279420868663245	0.0024560783820708476	0.00044605304722303643
59.0	0.0005923520933454052	0.00011529155356659881	0.0006511525525924811	0.0043020585532108635	0.0006397184338451321
60.0	0.0025650657452516157	0.00017261651088174013	0.001069190956003401	0.0025425256232796123	0.0005349042621191056
61.0	0.0028819610050402344	0.0005880069084017725	0.0016484758428684586	0.0029747697247853866	0.000724353338266662
62.0	0.0004069206118245683	0.0001306059698910067	0.00028650754547638826	0.0006418652851302165	0.00014244197097672056
63.0	0.0005609633847059037	0.00015093342688887734	0.0005792949337617479	0.001956807171534014	0.0003895837301019849
64.0	0.00012250365441379696	4.082071143185484e-05	0.0002221415488513517	0.0006936361435717631	0.0001474982710102797
65.0	9.275234457684078e-05	2.8680859423868554e-05	0.00016806900287086047	0.0006796925403544929	0.00012450215558241896
66.0	0.0029629512146466253	0.00033989152966462655	0.0014513288500365574	0.005684626785958824	0.0009812086936786075
67.0	0.004195693850291726	0.0002514942788538477	0.002107461325076998	0.00905547051258071	0.0014806297673514359
68.0	0.003059685421729297	0.00023464504488157623	0.001923174254975428	0.00939551810115069	0.00193557299372524
69.0	0.0078079225768683536	0.0008591127178917413	0.0024909129126309696	0.005468369099065562	0.0012867245321764944
70.0	0.002009933285471388	0.0001949898051016863	0.0010414346428772618	0.0018210920613871417	0.00035084034830758785
71.0	9.220615802241205e-05	5.377555884478191e-05	0.00023045058203665278	0.0006193355874015705	0.00016728248225351085
72.0	0.00024565821679656263	3.5929751315055825e-05	0.00021307353647188293	0.0006580171687188274	0.00012768332802047197
73.0	0.00035172614648104616	4.8147400982467836e-05	0.00024276249646935986	0.0011752628551655597	0.00021540602422022475
74.0	0.005007497366606217	0.00028667947624783086	0.0014969547176859055	0.0032532196465780983	0.0006613782301063502
75.0	0.009209948594407935	0.0006936762301769095	0.003342697712691771	0.005432658699363158	0.001377138934225114
76.0	0.000701479875554023	0.00010463355821432874	0.000673944219035396	0.004291055960189527	0.0007852968134257754
