Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	1.1233735985882731e-07	4.7767897637385204e-08	1.1708272034698163e-07	2.01882528472197e-07	4.4737241621637076e-08
2.0	1.9622945612862708e-07	4.380508156209828e-08	1.6183515978905406e-07	3.4313871932756257e-07	7.910316752064222e-08
3.0	1.512584290042085e-07	5.877432618373035e-08	9.269791494721196e-08	1.78430078490166e-07	2.9493248592191946e-08
4.0	7.038351657051578e-08	5.001203851051628e-08	6.32187315618453e-08	1.6443780070929392e-07	1.7934876246278186e-08
5.0	7.956785763596486e-08	4.6709478951356687e-08	6.025783285044741e-08	7.949758085157299e-08	8.480052320054771e-09
6.0	1.5156498223145576e-07	5.670963054704714e-08	1.0291974838245415e-07	1.415080416178327e-07	2.148405784220838e-08
7.0	2.1710365727400927e-07	4.983439239047982e-08	1.3809895692604288e-07	3.308662916978733e-07	7.627564126613591e-08
8.0	9.38577749964864e-08	4.166559053331298e-08	1.0978701853445844e-07	2.348944266872266e-07	6.015862065773907e-08
9.0	9.381907187799854e-07	2.9307738313999465e-07	5.11371200619842e-07	8.310538767153375e-07	1.4490342442319483e-07
10.0	1.163553402516726e-07	5.806935055030493e-08	2.464714238206579e-07	6.21666022770917e-07	1.5147408271971395e-07
11.0	1.0610222112017453e-07	3.884347610227934e-08	2.334268398256662e-07	5.171587853514126e-07	1.8042093979595926e-07
12.0	1.5527633917544748e-06	6.019609410934379e-07	1.0732039941095474e-06	1.551563696966518e-06	2.401902003640459e-07
13.0	3.20397985409393e-06	2.3094379517640817e-06	2.8874442628081176e-06	3.6037535952049282e-06	3.421508777593356e-07
14.0	2.997706900265129e-06	2.5168063123581774e-06	3.058084339258027e-06	1.2115879487573089e-05	1.4497526042062696e-06
15.0	2.1239791674343422e-06	1.5280809513296134e-06	2.0013578818195696e-06	2.966639018664452e-06	4.239991072393043e-07
16.0	1.2530395989696075e-06	6.586388022755685e-07	1.3396181791133909e-06	4.687824179838707e-06	8.696655278741232e-07
17.0	7.66021533959993e-06	3.382886267000451e-06	5.339407529704135e-06	7.033076410367656e-06	9.782028804706512e-07
18.0	1.2196981327150525e-06	6.094548563595481e-07	9.009630277548705e-07	1.3206290410128219e-06	2.412950747931636e-07
19.0	1.874434899518107e-07	1.8730290984869669e-07	2.9218871357348875e-07	6.814062950555311e-07	1.6469413438559376e-07
20.0	2.149844085530539e-06	2.3699124573894892e-07	1.131388499262637e-06	2.230789399315647e-06	6.59223795250035e-07
21.0	2.0964362526854075e-05	1.309061551357793e-05	1.652050961365157e-05	2.338897547415897e-05	2.516118984487456e-06
22.0	3.430381618929612e-05	2.18324219177779e-05	2.8115996938236182e-05	3.333203852884381e-05	3.586895598484068e-06
23.0	2.405246335734912e-05	1.5376900432184648e-05	1.9277321488476135e-05	2.5011466348590083e-05	2.6068585494133015e-06
24.0	1.417814910642523e-05	6.896550312829319e-06	1.2522190670993805e-05	2.8052211864637577e-05	3.392198899793735e-06
25.0	6.071488416581339e-06	1.6355788065025578e-06	3.750150260624826e-06	6.08639494326102e-06	1.4404992676540295e-06
26.0	1.836704386004584e-05	4.738930322933932e-06	7.082061618960782e-06	1.2408081754400335e-05	2.292949364258175e-06
27.0	7.624551273011093e-06	4.6705473566444056e-06	6.216461153309348e-06	7.278965929335968e-06	8.822625022666907e-07
28.0	1.4114078084048742e-07	5.139398395748174e-08	1.1712018568997892e-07	1.9081446289703763e-07	3.746813869157895e-08
29.0	2.423923337191436e-05	4.1299849516951426e-06	1.0067380033382917e-05	2.109416549944676e-05	4.898080847039239e-06
30.0	9.243681199111453e-05	3.7015287488895154e-05	5.88087027398823e-05	7.607785773822151e-05	1.1686093600361243e-05
31.0	9.26238469539653e-05	4.296972084327777e-05	5.97903009227484e-05	8.838853582837647e-05	1.244444978791298e-05
32.0	5.137748353689631e-05	2.519412842749702e-05	4.049888611256156e-05	5.036038165440182e-05	6.699689789120619e-06
33.0	1.3937183822032573e-05	4.797895528207974e-06	8.077060188946933e-06	1.4932393123001653e-05	2.3407822396300012e-06
34.0	3.8742079862208456e-05	5.175399326318164e-06	1.1390585820421284e-05	2.6412260282659972e-05	6.86508986998909e-06
35.0	1.0784587864853812e-05	8.600576556494488e-07	1.4289325837659104e-06	1.9777840524204393e-06	3.010031372333434e-07
36.0	2.2305674897138417e-06	3.650439958091667e-07	1.4507664146018187e-06	2.293366579086964e-06	6.643378749818933e-07
37.0	7.364721896774284e-07	1.4106183976458908e-07	3.538094015489858e-07	7.881763590678048e-07	2.2919137907106046e-07
38.0	5.042987574199742e-06	7.330804802085922e-07	6.6469543960083545e-06	1.1004168364414646e-05	3.354407031978905e-06
39.0	9.88819781044814e-06	1.745014057363825e-06	7.078327638674437e-06	1.5051371318186568e-05	3.388565598534272e-06
40.0	1.7845198614363511e-06	7.531512454805878e-07	1.77327746518167e-06	5.2956916388735564e-06	1.1588471882197573e-06
41.0	1.3802691264830358e-05	5.727499067020858e-06	1.234125252317734e-05	1.6903494330366975e-05	3.324144844531387e-06
42.0	1.3802691264830358e-05	2.4685976551808153e-06	7.410649849257761e-06	1.4602102322402999e-05	3.843447234637862e-06
43.0	1.3802691264719336e-05	4.959308009255814e-06	1.1899896400520349e-05	1.6963587446960915e-05	4.219333938369219e-06
44.0	1.380269126494138e-05	7.000005354584893e-06	1.0119279001910431e-05	1.6317937499565893e-05	3.048491159685394e-06
45.0	1.3802691264497291e-05	1.928905909442946e-06	9.86759336403718e-06	1.6778994756272425e-05	4.896354737915579e-06
46.0	1.3802691264719336e-05	5.227289971432292e-06	1.0272864598555772e-05	1.697392437283174e-05	3.16325317200321e-06
47.0	1.3802691264719336e-05	1.8976494043920766e-06	1.0139424938107467e-05	1.6974886619114393e-05	5.2639844443956845e-06
48.0	1.3802691264830358e-05	5.322657900763694e-06	9.506461474258673e-06	1.387752916925944e-05	2.872384860544246e-06
49.0	2.935702905881854e-06	1.6375634011023266e-06	2.3838171030201478e-06	3.2206371061160866e-06	4.894582679769043e-07
50.0	1.1433828823737002e-06	7.72552225303258e-07	1.024735681478962e-06	1.5859680863039571e-06	2.0589951972825822e-07
51.0	2.008152019117304e-07	1.231223873965348e-07	1.9039534187872304e-07	3.232050760360039e-07	5.709119730458916e-08
52.0	4.738348643451573e-07	1.4985536689327006e-07	2.5886823901408833e-07	4.492934781996638e-07	6.842062894005358e-08
53.0	1.0232322817937956e-06	5.547830809193854e-07	7.927583952812197e-07	9.558390494657232e-07	1.3174262947697587e-07
54.0	8.040533249209503e-07	2.5128368263960255e-07	5.009196164027084e-07	9.687310965622586e-07	2.3417594565803923e-07
55.0	3.816120461297423e-06	8.452035109574041e-07	2.033797368966319e-06	4.6395679166311155e-06	1.4175168219473453e-06
56.0	4.443658056740851e-06	1.9158428913312875e-06	2.7127836133646255e-06	5.165014907104748e-06	8.866530286631902e-07
57.0	6.781214664353108e-06	4.925639712993757e-06	7.048502029401094e-06	1.4397550071154619e-05	1.6475913316932292e-06
