Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	1.6596944529823077e-07	1.0086012836030278e-07	1.3770300894000442e-07	1.6591933782450496e-07	2.0210992610993087e-08
2.0	3.0058515221309534e-07	1.6031987615239274e-07	2.2780652394894744e-07	3.010913993684028e-07	4.769069943488421e-08
3.0	1.2952725070292104e-07	7.93498964313244e-08	1.0279664426560671e-07	1.3904572659928505e-07	1.8678445413887727e-08
4.0	3.840720841363776e-08	2.5925069646604015e-08	3.257132854169361e-08	5.124549562474101e-08	5.805258891619108e-09
5.0	1.8744577423568387e-07	1.6269447622452304e-07	1.8178448456846702e-07	2.065997311007095e-07	1.4019656529773983e-08
6.0	3.618818622541653e-07	3.409631216255704e-07	3.6491947747965694e-07	4.4246787778146057e-07	3.4391899984750306e-08
7.0	4.0733447059793093e-07	3.557652861196914e-07	4.1289504754127293e-07	4.4551529687630875e-07	2.6077435186994225e-08
8.0	8.495823156096094e-08	5.627132992902517e-08	1.3281698126231335e-07	2.1703977526321694e-07	5.5962668195851107e-08
9.0	2.3523045310502866e-06	1.5789936296251028e-06	2.478190926982099e-06	3.5920526467725367e-06	5.472572313273093e-07
10.0	2.1018303942854644e-06	1.0976362175840748e-06	1.9037395919976225e-06	2.1670812244689586e-06	3.2391580631259474e-07
11.0	1.1907931584120846e-06	8.368591455365504e-07	1.0625722827384804e-06	1.1985260353064575e-06	1.1286489200323585e-07
12.0	1.8463991642292399e-06	1.0024445458167719e-06	1.2982747708027775e-06	1.866214349277584e-06	2.99113432211988e-07
13.0	4.745978333886569e-06	4.058305362875103e-06	4.510298471014997e-06	4.928652813984691e-06	2.93123413370133e-07
14.0	6.110217670496354e-06	5.567598370670446e-06	6.57289102633571e-06	8.530841588361149e-06	1.0939506598844103e-06
15.0	4.332330742262691e-06	3.7774185437378094e-06	4.733468100061509e-06	6.088339078336169e-06	7.303256171233566e-07
16.0	2.127427962461681e-06	1.92136375276597e-06	3.1217480098552234e-06	4.842767568402628e-06	1.0248804997900024e-06
17.0	3.7086188139356935e-06	3.362315858401743e-06	4.464110991935539e-06	5.484760852603188e-06	8.263048850498686e-07
18.0	1.7697753990075782e-06	1.7082387462341586e-06	1.827741244205446e-06	1.9927946826037157e-06	8.386089168086046e-08
19.0	1.0642134907756784e-06	5.107351137567662e-07	7.729359738309217e-07	1.0379807242610894e-06	1.505110094054175e-07
20.0	2.4883297756739253e-06	9.954325940197961e-07	1.568767908683142e-06	3.073073081782951e-06	6.850893011958618e-07
21.0	1.52083363789135e-05	1.1344736361773577e-05	1.3612644280590666e-05	1.5232701989886799e-05	1.4877765816777907e-06
22.0	2.6700113620381494e-05	2.1710264739849272e-05	2.3013275330668615e-05	2.6941290920734495e-05	1.2600063982027097e-06
23.0	2.0566043410275014e-05	1.724489065690893e-05	1.8405293405011042e-05	2.0571295037741244e-05	9.486294424318588e-07
24.0	9.925388834042259e-06	9.435931421553079e-06	1.108430943553787e-05	1.3356489992122356e-05	8.839352474862096e-07
25.0	4.923160191183662e-06	3.214931446171576e-06	3.7198966698361764e-06	4.810536160415602e-06	3.2839768832454473e-07
26.0	1.0309078496417712e-05	9.386926157595177e-06	1.0212298815193672e-05	1.1719222078987457e-05	7.604939300212888e-07
27.0	5.5572326755903845e-06	3.9205834277966645e-06	4.42414913859588e-06	5.106178020297669e-06	3.3909757191722063e-07
28.0	5.105399251137399e-07	2.499944061762349e-07	3.242958987538712e-07	5.103261168093454e-07	8.699609040794257e-08
29.0	2.6262347979977285e-05	1.2197837055638594e-05	1.785433301832689e-05	2.514416435794864e-05	4.5865544008024655e-06
30.0	5.861804060158793e-05	4.313775592945657e-05	4.7157783567135834e-05	5.801954582507207e-05	3.578510501429584e-06
31.0	5.3956863174997594e-05	4.4541439196410515e-05	5.000091600912283e-05	5.348704559937634e-05	2.6814717006631094e-06
32.0	2.593295207364843e-05	2.330774838232852e-05	2.5642037691575053e-05	2.745123695757634e-05	1.201153140234295e-06
33.0	1.2576448521817163e-05	4.454991252789142e-06	1.0696684751494117e-05	1.5112595432853482e-05	2.9396004406345294e-06
34.0	3.598971980334209e-05	1.2794933486381943e-05	2.347665254525968e-05	3.15489562621174e-05	7.08225266062542e-06
35.0	9.798144912642748e-06	4.477319079487785e-06	5.5898978360769375e-06	7.327156882896979e-06	9.513876774946492e-07
36.0	4.2110547980867e-06	7.846181939719088e-07	3.7069811901160744e-06	4.976759446218004e-06	1.4356463650061514e-06
37.0	1.5361939622593468e-06	6.113399907414774e-07	8.270325229759165e-07	1.4511757717716733e-06	1.671087164190356e-07
38.0	1.700030742535219e-05	4.298667803048772e-06	6.108214669868561e-06	9.03553310671601e-06	1.5447760579554776e-06
39.0	3.1155502470125995e-05	5.51465467946155e-06	1.2339100577878137e-05	2.979533743918683e-05	7.553192270424343e-06
40.0	1.0071361224328612e-05	2.2831126343936248e-06	4.99293497572643e-06	8.909402598566984e-06	1.9812775300595553e-06
41.0	1.36675259317931e-05	4.561846195683117e-06	9.741801167491756e-06	1.4305457746055517e-05	3.247780631831044e-06
42.0	1.36675259317931e-05	6.817058778918472e-06	9.333933596073723e-06	1.3667516606252761e-05	2.67842966368961e-06
43.0	1.3667525931682079e-05	1.0379597903398263e-05	1.4485508858551124e-05	1.8341879717498344e-05	2.880868170995263e-06
44.0	1.36675259317931e-05	3.6692684474148862e-06	8.779020113866686e-06	1.4640856312198025e-05	4.1440622231135055e-06
45.0	1.3667525932015145e-05	7.399933929841396e-06	1.4260009851414724e-05	1.8944366369066934e-05	3.902419413758808e-06
