Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	3.965937267480513e-08	2.8080984648681806e-08	4.0772029173487464e-08	7.025173320851508e-08	8.24941907261864e-09
2.0	6.556581477745738e-08	2.716972269389828e-08	3.990785214196586e-08	6.765138316211505e-08	1.0489973085834237e-08
3.0	5.8352739196188e-08	2.1592829302363725e-08	3.655854802220304e-08	5.9498559523696315e-08	9.730200916859054e-09
4.0	3.614894383829892e-08	2.452814262809966e-08	3.1782874160544256e-08	5.102594746730915e-08	5.689525502813764e-09
5.0	2.11850766485e-07	1.8824737946232517e-07	1.982695082981492e-07	2.212346005281418e-07	5.7883945687540815e-09
6.0	3.446634060377818e-07	3.047282958190678e-07	3.406019114315399e-07	3.814465319162963e-07	2.347840651205138e-08
7.0	2.4747727156437804e-07	2.1232689617622924e-07	2.365283971725968e-07	2.720510219322847e-07	1.5762318086469254e-08
8.0	6.665220497747981e-08	5.1445506077385517e-08	7.368111420726802e-08	1.19971966250354e-07	1.1839926607308702e-08
9.0	7.109466941823683e-07	2.8687856357123565e-07	4.595140684785345e-07	7.067932781268382e-07	1.1506740699141536e-07
10.0	2.8570455756771196e-07	2.4483861438273635e-07	4.407865715073625e-07	1.3337669815260966e-06	3.450419548269447e-07
11.0	7.43086687737815e-08	4.1218452651037296e-08	7.690853003392139e-08	1.6220824783363952e-07	2.7134873711566283e-08
12.0	9.567727238257717e-07	5.94411723731092e-07	6.548446720856474e-07	7.790755915948466e-07	6.72095606929208e-08
13.0	4.359202735004786e-06	3.941715605360052e-06	4.270374482491975e-06	4.563723271067133e-06	1.9731369509777875e-07
14.0	6.620847846083855e-06	6.071646217797877e-06	6.510663651617042e-06	6.845913608777288e-06	2.4918827302977247e-07
15.0	4.765238676540662e-06	4.019739470062511e-06	4.372685141413022e-06	4.763503885230058e-06	2.1838122686986726e-07
16.0	1.8386233535672147e-06	1.5321010699009818e-06	1.71634547398621e-06	1.9135029900585465e-06	1.296056219804484e-07
17.0	2.690649167913506e-06	1.455812229766984e-06	2.2117772209231813e-06	3.5284096419063715e-06	5.943246148557804e-07
18.0	1.5415061183077228e-06	1.26720210746889e-06	1.6007707858013368e-06	2.031661615720104e-06	2.642826865644019e-07
19.0	7.131275872040987e-07	3.9368194004740786e-07	5.431431609100498e-07	6.455620120693339e-07	7.31236097965375e-08
20.0	1.0688094542743443e-06	4.418560273222738e-07	8.088396244866295e-07	1.1231347859519403e-06	2.6397358242247486e-07
21.0	1.3315481462550238e-05	1.0709776916084657e-05	1.303108507713514e-05	1.4836085312053271e-05	1.3387330987652007e-06
22.0	2.544561522122013e-05	2.4452183541523453e-05	2.5215705870535693e-05	2.6316446120167036e-05	6.194466682731221e-07
23.0	2.0248134494638137e-05	1.858153797684725e-05	1.9323832329429908e-05	2.030733670854712e-05	4.367113492560453e-07
24.0	1.0243923330044424e-05	7.2721966691835505e-06	9.602576911986527e-06	1.0550104572959462e-05	8.651006028640977e-07
25.0	2.585360553641891e-06	1.452005423563385e-06	2.2302070212518837e-06	3.2109830073734358e-06	3.7290053977289295e-07
26.0	1.1696378900194482e-05	2.689989160087336e-06	5.3735741465969834e-06	7.844140572421665e-06	2.1061768504437766e-06
27.0	5.2916351472864775e-06	2.206198526977232e-06	2.8726935208997627e-06	3.475695074417473e-06	3.8711193433518873e-07
28.0	2.568932210289532e-07	9.525249977659911e-08	1.760164600659943e-07	2.5430397976311525e-07	4.161483945071878e-08
29.0	1.0458424194670357e-05	6.182717186220543e-06	8.276757788731418e-06	1.1670546684050542e-05	1.6201399921922326e-06
30.0	3.8583987569507094e-05	2.599645335321643e-05	3.547288641808379e-05	4.2433391494123285e-05	5.1103671663557334e-06
31.0	4.323533686123593e-05	2.694221738275271e-05	3.579091288913845e-05	4.2355703118501786e-05	4.803948366094346e-06
32.0	1.9261287129812565e-05	1.543253907831943e-05	1.9630692948894673e-05	2.360558743574881e-05	1.6842450509573925e-06
33.0	8.108155624020341e-06	5.267245117845931e-06	6.419681438319365e-06	8.426902073366271e-06	9.708784196728062e-07
34.0	1.678442454955409e-05	3.3778803919526368e-06	1.1564621339126596e-05	1.6055008178250674e-05	4.109716116694977e-06
35.0	4.031235930290755e-06	1.844923379734631e-06	2.325230434437516e-06	2.9452405010399474e-06	3.086432700358872e-07
36.0	1.007529550789421e-06	3.403334206675268e-07	4.7440856837124185e-07	7.974806649491128e-07	1.3849017942588777e-07
