Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.00342027414119328	0.0006313599034544204	0.0010637415862418185	0.0014704300457824004	0.0003014092569706691
2.0	0.0022270380820290647	0.00024436332621302626	0.0002842041122864971	0.00035418580283119727	3.838145868766369e-05
3.0	0.0053419162871147785	0.0011271736812484834	0.0013306242059980095	0.0015692544303461675	0.00014647491352130285
4.0	0.0050643265574255025	0.0007423775433643698	0.0015447445382836425	0.0031742756285769724	0.0005945036188943045
5.0	0.00048365891291834995	0.00017148864402427577	0.00018422969582077538	0.00020070826539653197	7.625499861815909e-06
6.0	0.013690144723554343	0.0006070923699068587	0.0038955452913370975	0.010027177745515647	0.002473324705636866
7.0	0.006287983377945561	0.0017257981370103481	0.0024935432726285204	0.00395425736561883	0.0007124973699506527
8.0	0.001598890796552288	0.0008813427447800226	0.002391719325754784	0.00435220903814737	0.0010633996157886048
9.0	0.0039057931712151994	0.0009310636747468237	0.0014531377887308623	0.0022909524271300663	0.000371796532648205
10.0	0.0066356689994711004	0.001314246837053834	0.003114496882257173	0.005660200462335174	0.0014373597003141847
11.0	0.0026641059592367178	0.0008265688020718809	0.0014316769592993602	0.0031648745495167496	0.0005145817368891461
12.0	0.00858733256803923	0.00120789948755895	0.003867295272414991	0.0061714249392447185	0.0014413416355576695
13.0	0.0012470742541639268	0.00039313363710291593	0.0009257601617695717	0.0021810196030187523	0.0007140120698477647
14.0	0.0013719863769088292	0.0004782753986186661	0.0007218952015004633	0.0008765784020131617	0.0001553757079025789
15.0	0.004435123866149859	0.0033080951072416154	0.00419219504282077	0.005623779136539331	0.0006507653100144703
16.0	0.006440577139349979	0.0006544577021324605	0.0014671954107386737	0.002300278651911958	0.0005054437294099525
17.0	0.003493913401602544	0.0008885442135582178	0.0014120734675121063	0.0018599223517219432	0.00023150570530673794
18.0	0.003218668658570234	0.00035317221134600896	0.0003606419536195512	0.0003677769369425654	3.8646986289247865e-06
19.0	0.0033119877045407753	0.0013049411749207485	0.002484044750255514	0.005201353466583125	0.0009221473437852921
20.0	0.004821921046573419	0.0006835540595202527	0.0013316589530779474	0.002950510585719157	0.0006459882940634306
21.0	0.004598480682703299	0.0006268706113244926	0.0007259996778694811	0.0008394325117504486	7.107316733624473e-05
22.0	0.004996606299275452	0.000733179573691789	0.0007521217114591057	0.0007704066422151712	1.0633089598247329e-05
23.0	0.002160683572950517	0.0004491648103290835	0.0009259042399988262	0.0013381687451479163	0.0002878471329751975
24.0	0.005186260559919109	0.0006589043748181922	0.001818258886823198	0.004262546862958683	0.001084448983273581
25.0	0.004854524237425495	0.0028404440829499222	0.0029354281941350088	0.0030805423675419608	0.00010155939298486215
26.0	0.002263915679321382	0.0003121234218750324	0.0005599440917262087	0.0007485155143760469	0.0001500319658265968
27.0	0.0034337222184278593	0.000827816687994809	0.001895220152759233	0.0036231558315867884	0.0007029599493700738
28.0	0.002992690770031947	0.0009404316564951554	0.0015225537883503909	0.0025393059280718333	0.0004944255084513851
29.0	0.004960241715600833	0.0013330098637682752	0.0015353419582519508	0.0017428560956463945	0.00014918748447483805
30.0	0.0024212854708255405	0.0005110999127999616	0.0005311180941116203	0.0005650167777235815	2.045179083074894e-05
31.0	0.0016017148578628682	0.0002513370125762915	0.00035124672572495186	0.0004298205063159033	6.393517779629637e-05
32.0	0.007970067960525684	0.001279603379681471	0.0039009709175428626	0.009236030134820106	0.001819662017612799
33.0	0.0036608943366378544	0.001130933035719317	0.00214432699032897	0.004931903934319082	0.0007433599974377546
34.0	0.014579154678891149	0.0014661249022402956	0.006583564418035645	0.01776853741050266	0.0043002134249699765
35.0	0.004449459803412825	0.0003208852389608996	0.00044845986058053436	0.0006619853693240474	0.00013633304735200858
36.0	0.0022036398533491486	0.0011174777384388435	0.0014534992408319982	0.0020358964510279742	0.0003039555101522465
37.0	0.003831781613362617	0.0006410880526639406	0.0007602621230869887	0.0008406954296352742	6.309486822634008e-05
38.0	0.0015138942037900005	0.0007272803987879994	0.0009375335946455983	0.001119011641070311	0.00014361595377943232
39.0	0.005729516031847126	0.0016523772201060272	0.002132004516345331	0.0031405169193581273	0.00045335451113945525
40.0	0.004610663763837453	0.0013791071233164587	0.0032800781605550255	0.005429918342606643	0.001108645198253711
41.0	0.0020239337655122425	0.00016495593581411505	0.00040083827968300553	0.0007126367034189229	0.0002135846684134671
42.0	0.0014683030999823599	0.0002635014851999351	0.00030402389871401835	0.00035077343220701884	3.358679400279185e-05
43.0	0.0034227136231651523	0.00046166137794756423	0.0006581514000943369	0.0008598761653716425	0.00010306796527066211
44.0	0.009125080154081977	0.0014830219724445426	0.0028218013151672834	0.00458285856167906	0.0008016473226464648
45.0	0.0008803075155872087	0.00034898291082430255	0.000633887989335896	0.000838167116937405	0.0002002473869631347
46.0	0.022103903114218393	0.0005928140172701823	0.0033059785205184805	0.010105821982341223	0.0032544617157972792
47.0	0.01297812573272239	0.0010859843916684042	0.0021294235643679236	0.003206211968281303	0.0006639145820022588
48.0	0.033652215162761734	0.004166612699973649	0.009991067994179889	0.01693512586041357	0.0033316579322413046
49.0	0.00152948365929384	0.0003798645399090139	0.0004113355715330293	0.0004542121307097302	2.9093172450817008e-05
50.0	0.004466879952762515	0.0004702752623124695	0.0007102605265330865	0.0010863821091430248	0.00017675338136052053
51.0	0.003800303950869388	0.0014746642905372198	0.003020996643208569	0.005466623301373041	0.0011197904696336176
52.0	0.0012765907177301195	0.00012918520122806587	0.00018422215182534968	0.00022824076350547173	3.447516410908406e-05
53.0	0.005611475803963262	0.000872407270269937	0.0014474150056840876	0.0029248775714123543	0.0006500120033388365
54.0	0.001520698314198432	0.0013953106017404737	0.0014513488090646491	0.0014850243763547821	3.319347013614689e-05
55.0	0.005194131653386114	0.0003379648584764805	0.0011809411447075676	0.0017404469767346997	0.0005702189593998244
56.0	0.003196017503513726	0.0006402157850738943	0.0007908857028484386	0.0011015102252492914	0.00010003100549923422
57.0	0.0031626371067691172	0.0006255772369969659	0.0007806967098885065	0.0012800869051382557	0.0002205082253123886
58.0	0.0016301106344092098	0.0005045608047911099	0.0006820080448061547	0.0009201062101041879	0.00012656905999128786
59.0	0.004873882874590008	0.0037078380101108754	0.004907044472095968	0.006082513216364216	0.0006659589710947988
