Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0019075273024361517	0.0002638201508846638	0.0004216124721798426	0.0005407602749212259	0.00010235300332340572
2.0	0.001260937771699222	0.0002684821740697174	0.0002842977207890126	0.00030237339566574484	1.0855138625640754e-05
3.0	0.0025025229061867993	0.0008811643551351889	0.0011149564721677787	0.001411138233489151	0.00016193240462484862
4.0	0.0023332977303182068	0.0003885414271391774	0.0006198438612297736	0.0008682600641941596	0.00013589633582765227
5.0	0.00029061178811196076	0.00015891394443046103	0.00017850073100952483	0.00018843464733331317	8.69456687486181e-06
6.0	0.00219049586047404	0.000198078218346609	0.0005838365330526248	0.0015880829895495996	0.00038354918582968466
7.0	0.0029889532268091434	0.0012336286523585427	0.001551758648467926	0.0019815543381833667	0.00023186971204083916
8.0	0.0009282815320788007	0.00031504314019570323	0.0005948114993929469	0.0008968446942304586	0.00013891710472711724
9.0	0.0009374291461051731	0.00028227495242472145	0.000580997906386615	0.0009434719073942999	0.00021256083710949442
10.0	0.0019605343009069243	0.00049498951784821	0.0018974625000379296	0.0034992824417237056	0.0009569009726204862
11.0	0.0018873692051970536	0.0005754619898694635	0.000822861178595493	0.0012062828813488302	0.0001553593649827701
12.0	0.0021561168724191226	0.000592102122411009	0.0014135448127534803	0.001974062267569021	0.00040311675171770286
13.0	0.00038358331436894044	0.00026627697078385193	0.0005279348407065253	0.0007401360624917919	0.00015972048418030663
14.0	0.0010749630640640717	0.0002984375675986195	0.0003508788804178354	0.00039541665764220024	3.3990610532297405e-05
15.0	0.0027629191424881627	0.001473977920180114	0.0016759810153715543	0.0018154875530796977	9.852809089207245e-05
16.0	0.003457326615188383	0.0002931350686160572	0.0005591356588670367	0.0009614532444649493	0.00022814442602103445
17.0	0.0007353980016945316	0.00028069652983886417	0.00040567530605039356	0.000579224923482613	9.254035010555074e-05
18.0	0.0013034782155219027	0.00024196435773415903	0.00024682308104094296	0.0002513281573394144	2.391608926629593e-06
19.0	0.0021667870361397057	0.0005205879124681179	0.0010779398841809045	0.0015190629111677678	0.00027502622660757493
20.0	0.0022818897147083295	0.0003726488620346968	0.0005295748325114179	0.0007941798069829309	0.00012096671906933863
21.0	0.0023647653458896967	0.00023082227011506085	0.0002573117527918085	0.00029329253617504936	2.233134712054749e-05
22.0	0.0019675192629932114	0.000243831751788659	0.0002529800664415433	0.00026057115253730334	4.4261846860571e-06
23.0	0.0009164653492872432	0.00031572733315488044	0.0005503564500915174	0.0006989647025650303	0.00010829946245292312
24.0	0.001202854696468414	0.00030442576901890117	0.0004871114139686111	0.0008444196270031012	0.00016093089245968752
25.0	0.003175395774857148	0.0012287908908789058	0.0012723612683377722	0.0013038844669377436	2.8402397323944142e-05
26.0	0.0010478647500851146	0.00034899396949061856	0.0004026355008296929	0.0004589351851046475	3.6392748889038794e-05
27.0	0.0012307781101158488	0.000319947732110748	0.0004798011238332736	0.0008027977486957383	0.00014246274559443124
28.0	0.002060157341287283	0.00022618748429681368	0.00047369202665113806	0.0007538415648572494	0.00020310009347666158
29.0	0.0021642111555836285	0.0004948860480166184	0.0005521128565217545	0.0005953836728541662	4.078996806527706e-05
30.0	0.0021961155835767965	0.00051271782158957	0.0005301806398876155	0.0005595868748649035	1.6336910324096764e-05
31.0	0.0006892454649425339	0.00016821248255338705	0.0002653175937763882	0.0003158253220092444	4.983534655774556e-05
32.0	0.0025423310011585265	0.0004235916148571661	0.0013984809722222137	0.002787938425253933	0.0006413149522491293
33.0	0.0016826885324812135	0.0003122460540793126	0.0005132201892762529	0.0010907448640308237	0.00018732577936310445
34.0	0.008462665898641863	0.0006446453027265653	0.00243234952909549	0.008092355203241253	0.0020710237149368597
35.0	0.0021184223513519562	0.00022241557682767255	0.00030535384634822725	0.0003853711047033803	4.4858011374050664e-05
36.0	0.0006646239202732218	0.0003091689089212979	0.0003610550838539175	0.0005031639654127229	5.9046013834986444e-05
37.0	0.002285039042648429	0.00034023317574649603	0.0003821287396149884	0.0004271395921300325	2.9270640360419163e-05
38.0	0.0008263216907065107	0.00024393866237015782	0.00028464439419824606	0.00037382304108424247	4.2335743743696675e-05
39.0	0.002866020739159647	0.0006145518208693357	0.0009236020917278523	0.0013637932975870681	0.00020158141573115333
40.0	0.00281682454989729	0.00019390332320901038	0.0007148310531991942	0.0012473517579321136	0.0003092687886474974
41.0	0.0010069664584059224	0.00022679551543647314	0.0002909824585752074	0.00036838623487944755	4.8034403368045055e-05
42.0	0.0004115809464722009	0.0001486669630370585	0.0001575672156266792	0.00016770553891065632	6.682762906159619e-06
43.0	0.0022305650707004077	0.0003522164074645229	0.0004180554292293893	0.0005093200163186484	5.132409620037003e-05
44.0	0.0034730847292580025	0.00042172997411238367	0.000692396615471084	0.001283097177819048	0.0002159447729377585
45.0	0.0004663509023540291	0.0002227653368530591	0.00030002289668986287	0.000426087292960009	6.951443916129397e-05
46.0	0.006910982241979502	0.000587348505080465	0.0018520206341624465	0.00373549635274395	0.0008673569979766268
47.0	0.004085541338282428	0.0008118910119242484	0.001586787692541529	0.0019045953584616582	0.0003633407605860478
48.0	0.010635528724858845	0.0007077959812572532	0.0023440551163967397	0.003879966094676446	0.0007872768939575185
49.0	0.000839745584493401	0.00020029335527893544	0.0002223807344926686	0.0002558763438242906	1.755167198203232e-05
50.0	0.00255404864654718	0.00022302676703223057	0.0002791447564268455	0.0004150209219579981	5.546348491384424e-05
51.0	0.001236641351569645	0.0005948637599788587	0.0008320646959666547	0.0015012246114989303	0.0002582265607928271
52.0	0.0007727781194957206	0.00020114983722485658	0.0002161681063307888	0.00022576669626528378	8.892892135387851e-06
53.0	0.0031776214629000155	0.00033964173689116084	0.0005525778145340684	0.0007452850719819049	9.680494562546404e-05
54.0	0.0005033202132342929	0.00042078244922383323	0.00045171272147313086	0.0004866760060815434	2.1381472072871486e-05
55.0	0.0008545102912748126	0.00020069518233067907	0.0002714454848329196	0.0004003076195562283	6.0924726034143126e-05
56.0	0.0022477555053735943	0.000450339077727957	0.0005639614883594234	0.0007832873802270379	9.229778429816969e-05
57.0	0.0024448065948157183	0.00036203247544763784	0.0004414188824294922	0.0004987694626088501	4.497488070571864e-05
58.0	0.0013876715374215864	0.00037679755731445663	0.00046944010935655377	0.0005514707557420229	5.4930897198169516e-05
59.0	0.0025059795508149962	0.0009751760251917041	0.0018559396558775528	0.00267522221512273	0.0006091817575190242
60.0	0.0007749823395363231	0.00039215941044212776	0.0005187625182553414	0.0006204636262390206	8.742254489814735e-05
61.0	0.002298617342624265	0.0008343201789086097	0.0008710877064897429	0.0009038043401341511	2.7637496523202206e-05
62.0	0.001603415795486507	0.00022207351110226092	0.000324015001898968	0.0004900892071209029	9.778172461747426e-05
63.0	0.0010247367971313315	0.00020811406684118072	0.00022833509962837182	0.0002518524634333996	1.8887130243771864e-05
64.0	0.0020100407933694164	0.0008020978276503943	0.0011909858656665665	0.0018133330503641298	0.0002513320861986206
65.0	0.001693262479955382	0.00025318722682921013	0.0003030531928653562	0.00034572726861981096	3.032573047086087e-05
66.0	0.0020736192576962242	0.0003666760444518413	0.0005218775560763476	0.0007161455950406292	9.135699995079748e-05
67.0	0.003389677142365488	0.0008980010045267495	0.001660123457497902	0.003004833110050509	0.0004859462852996283
68.0	0.0008030908668346104	0.00022970769160368665	0.0002341678086406142	0.00024168683351644127	4.617541797658836e-06
69.0	0.0027965644906230436	0.00040237256076081085	0.0010163485226347875	0.002233601908771865	0.00046208989130524326
70.0	0.002282042691774455	0.0013211260216376974	0.0013584342662152518	0.0013984714720635116	2.6613419633843167e-05
71.0	0.0017141037425671968	0.0006368090809781846	0.0006511176942235464	0.0006608806164326575	7.427153597316522e-06
72.0	0.0027198815433518986	0.0006308347884722565	0.0016742144805611853	0.0029987530309115717	0.0007170217023577695
73.0	0.0011512207925491458	0.00015789666059373708	0.00015940744301790573	0.00016118431377032394	9.196514025109628e-07
74.0	0.0014671283632371468	0.0005719182235041087	0.0006390182096205211	0.0006818281227024547	4.280052947127501e-05
75.0	0.0041284640028280695	0.0004486733384972963	0.0015481048560760167	0.0026837002984717584	0.0006014226595221027
76.0	0.001969783712838402	0.00016755613459795704	0.00025598796417339705	0.0003719201391026994	6.21182056749966e-05
77.0	0.0023960699265043184	0.00030181310753851776	0.0008695151860309479	0.0016323105557934925	0.00042182266921301777
78.0	0.0019788150529489457	0.0002766062559619309	0.0003758563004930456	0.0005071335299331459	8.795138308789575e-05
79.0	0.0014011891265967025	0.0005351077337013566	0.0005868601690110524	0.0006238670362321841	3.10766629995101e-05
80.0	0.0030733807531625468	0.00035529757541585827	0.0007785538044516765	0.001556081262290232	0.0003134174921819911
81.0	0.0014884682271333327	0.0002284837208378354	0.00024185866286686414	0.0002630626722912588	1.252020627231258e-05
82.0	0.0012437167609280486	0.00024892498316198	0.00031706035988410795	0.0003555078496427777	4.786774221216385e-05
83.0	0.002431684623443786	0.00024715982388989755	0.00028686072636568705	0.00033901547480830185	3.04112256001564e-05
84.0	0.0018431022500097205	0.0002458534372874466	0.0006122050622414163	0.001572101831320727	0.00033834917727905076
