Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0064770101482817255	0.0007196645624246711	0.0015924690102744068	0.0023847599586898083	0.0005129796198122321
2.0	0.0061402278158089185	0.003435694943653922	0.0044488176060764	0.005441172750590195	0.0005616397439623885
3.0	0.00907683690727712	0.004690621231925984	0.005659159193639743	0.006845313796624786	0.0006618742489137066
4.0	0.008916400815379255	0.005483357407835232	0.007219209689259093	0.009518044379498547	0.0009525934206559329
5.0	0.0015530386004953822	0.0008863878207561182	0.0011721477325787929	0.0014820901838831224	0.0001815153902524959
6.0	0.03067080583725057	0.003025871691022086	0.006196749291068483	0.01389623327751599	0.002640151572928806
7.0	0.012241377711881274	0.006253007306853409	0.008238809676305095	0.009960373649733234	0.0010026172072801077
8.0	0.008155983260307975	0.006535857502880105	0.009183970055262685	0.014491455864539149	0.001952487470200739
9.0	0.00729474732501223	0.0021192152017736055	0.003389820026333746	0.004842238160726153	0.0008652246453920243
10.0	0.010037843455415807	0.0029776820747171584	0.00630129449219608	0.011630980734568808	0.0025148324355533094
11.0	0.010028378988281017	0.0061678992347106165	0.009158923355549282	0.01157410764534883	0.0012990438738108595
12.0	0.014026776383224249	0.0016402379040256765	0.004424921593476125	0.008153338202485094	0.0022830105974216827
13.0	0.0018355465946422456	0.0009858881739748249	0.0017537426237565596	0.0026855915478088965	0.000548514111960067
14.0	0.004150518582973328	0.0026760854756756602	0.0035683612399360354	0.00452379781621437	0.0005226967269692716
15.0	0.013880576551330681	0.00917344969072309	0.011907050836691524	0.014457799979566754	0.001512146083639386
16.0	0.0055642504459126885	0.0011739910550050414	0.0020214913486582184	0.003345252700863055	0.0007778706496803624
17.0	0.005992473574834567	0.0013564521446041145	0.0020708436989228954	0.0026508776542015777	0.0004388300590717995
18.0	0.0030961815065646547	0.0004091919542247302	0.0004598553717000977	0.0005232524878471256	3.4941114412369515e-05
19.0	0.010107071284361502	0.00678765361151179	0.009449626012857546	0.011284338348355072	0.001268194521460655
20.0	0.009541929188370601	0.003868077618096155	0.005522291441356429	0.008044779266871638	0.0011120019738740362
21.0	0.005405670965492937	0.0009250280833151825	0.0013095876495371763	0.0015398424683122913	0.00016139857525161795
22.0	0.005095976622674914	0.001395500145552231	0.0015906401844891307	0.0019027070781927335	0.0001486693706898123
23.0	0.0015154928995705363	0.0007409360649138774	0.0010515703299978137	0.001454772809960314	0.00021865442528860122
24.0	0.015050406465060173	0.005888167999896665	0.008961780596800209	0.012953667265927504	0.0019021334745504858
25.0	0.01031902240439142	0.006004892231447956	0.00706720655645101	0.007904314559936343	0.000565993531460124
26.0	0.0041623575989221395	0.002594847368080022	0.003636053697891495	0.004347412368676196	0.0005128180571453691
