Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.004984281873041341	0.00014265265318846865	0.002320573517589625	0.0122940987242256	0.0029856648356210718
2.0	0.006782497665322795	0.0007116853180496596	0.0047765772023338655	0.007154869325663116	0.0013358133206067301
3.0	0.01717775644994024	0.000200788004314445	0.002508022933425597	0.009557790595858373	0.0020662879009712433
4.0	0.007184244352883229	0.0004915912792672339	0.005135978892766376	0.023587595435838438	0.004936856748234356
5.0	0.001504871774141825	6.150700351448268e-05	0.0010005910937469472	0.002887781218689933	0.0006728569911239494
6.0	0.006680956635154334	0.0004868123566921234	0.003351736069887939	0.012982365779468763	0.003122093580507259
7.0	0.013942239573528692	0.0010315195300724112	0.004933190000896206	0.010521306580409062	0.0026694543975704374
8.0	0.00781556891691404	0.0007068599738850878	0.004710959139512358	0.015186421543661122	0.003210733520277945
9.0	0.0054548366303504014	0.00021678242213729604	0.0015228120258134945	0.0035715026423028817	0.0008191320004976515
10.0	0.016422463021909528	0.000345886002947271	0.002793272286221634	0.009251951152784654	0.0026797841168827324
11.0	0.009431223367751596	0.0005926995670202384	0.006287258199217956	0.025077713912602606	0.005680809077486319
12.0	0.016780428249224766	0.00025026471720213106	0.0011821844060054133	0.005053849411390088	0.0009918640772022924
13.0	0.0038850468612470213	0.0003717725023604235	0.0015954798076981704	0.005749411480779343	0.0013264102160605513
14.0	0.005349008242882092	0.0003651440396865713	0.0043506589784478005	0.011490108831662016	0.0026595446715757015
15.0	0.01576626663408276	0.0008214957453736016	0.004360758860476805	0.012034911562884498	0.002935268360779309
16.0	0.012722401330959143	0.0002535784105199834	0.0009611002216594293	0.004057491966167115	0.000866370271454778
17.0	0.011854326692780748	0.00011197400898066423	0.0011786133279129457	0.0048102406569845435	0.0009627754060170439
18.0	0.0012303065895364895	0.0002095907515785589	0.000780573008744065	0.0032776572154276096	0.0009092877879322924
19.0	0.006705048040038797	0.0008464488124230174	0.005859402990318003	0.01995008065130177	0.005458400963647891
20.0	0.008285471236397779	0.0005629244762305197	0.0037815394025447124	0.014314071954923402	0.0029705032428390937
21.0	0.004047708750008039	0.00023271918288347848	0.0010681927962552333	0.002414891691407628	0.0005439341824359212
22.0	0.002921240439590189	0.00022893126030010258	0.0010734517116765489	0.003518083071967548	0.0008305361312784846
23.0	0.0034131952963226686	0.00021083994213055846	0.0015436768160812942	0.007216626588720687	0.0014338971777041654
24.0	0.010120438506157403	0.0005555263491854312	0.004675011353910844	0.021958363482953103	0.004040217240876418
25.0	0.008230078426099574	0.0055453853643605555	0.0110776758719265	0.037463382970864045	0.008702366036358775
26.0	0.007444789888783387	0.000912753636421404	0.0036038302325767	0.008946841250552673	0.002123498038126147
27.0	0.007874595877210955	0.00018713937361103383	0.0012579457758916455	0.00955803702039093	0.00183130821859949
28.0	0.005529041173049309	0.00021430814550171817	0.0014484755987123092	0.00417672544775749	0.0009707236562340611
29.0	0.0017315163293055713	0.00019318171831561592	0.0019613422002423423	0.010919178304087396	0.002393861410977646
30.0	0.006781841492822793	0.0011933278818631043	0.003981510794854616	0.007074799986633407	0.0016507144454526084
31.0	0.0017485847839545654	0.00018051787961359533	0.001434805750541488	0.01102337677901577	0.0017525122122645591
32.0	0.009761678792322148	0.00036119229446029966	0.0021921050773602026	0.008277305189271722	0.0019148457828504326
33.0	0.003447038905566968	0.0002921349978158849	0.001852936669395799	0.00657814458808148	0.001494372229196242
34.0	0.0026419809821205398	0.0004314939749423541	0.002361809103709951	0.0142977121606912	0.002861340922895692
35.0	0.004099240042881203	0.00018503845816442155	0.000943576542536763	0.002098335955538433	0.0005334605227820741
36.0	0.009130126354531587	0.0004000824863249486	0.006866629058345077	0.02050792145519975	0.004646534088037271
37.0	0.006511273198957168	0.0005094449581083405	0.004055723894904574	0.00874905507797119	0.001913186273104001
38.0	0.005182330999305207	0.00020299550342040007	0.004963803018510417	0.02084760381142281	0.004787327296720391
39.0	0.017589184152661308	0.0003321504152371535	0.002121956170017462	0.006702567750038857	0.0017712234941271152
40.0	0.0075124023963130115	0.00020530325323586673	0.003095147074581866	0.017001443141945516	0.004338795697262301
41.0	0.0026316627326833375	0.0003359587689260035	0.0013167881650554744	0.003698319795677474	0.0007559007962224569
42.0	0.0008762067504484161	0.00022801568060648592	0.001044403062731963	0.005495220884471075	0.0009161423235195206
43.0	0.009255585456740212	0.0006999427815794768	0.00678879952712784	0.034935124750451796	0.006137180601921314
44.0	0.027029096814001674	0.00019113884872634657	0.0016477725471872476	0.010367142955626352	0.0021766357016178117
45.0	0.002283052142996733	0.00019989068963266465	0.002496526404082655	0.014875597840532384	0.0026588035934593333
46.0	0.013709481015774072	0.0002743581635213932	0.0015616280351476415	0.007468207710121577	0.0014893533763162868
47.0	0.01236735687989543	0.000241679951186069	0.001147825907945937	0.004488857871656204	0.0008881595747477701
48.0	0.010629320037633505	0.0007408200724150493	0.0021508770866714194	0.005541594773766478	0.0013046543743236792
49.0	0.001242647294029009	0.00016384285707493618	0.0008658151931972122	0.00213837877550338	0.0005105976102352869
50.0	0.003179622428836182	0.00034775674454778915	0.0018454624491388387	0.0045392720100896344	0.0010446490017700651
51.0	0.019185341660409416	0.0008260854186381561	0.005083485712923917	0.012769862156060463	0.0035203152473061976
52.0	0.0014904334422318755	0.00040761844540060377	0.0021961471238615216	0.01636047023032927	0.0027283762108149417
53.0	0.006036892470675959	0.00038220098090879784	0.0025137829501946174	0.007802183409907126	0.0018657228548551825
54.0	0.00691831062831183	0.0005214238899812207	0.004758151209110445	0.013257775242200065	0.0028173725882003333
55.0	0.0027287622576654957	0.00015792147931137368	0.0009096082919049376	0.0019217777398921054	0.0005162023336859009
56.0	0.01125105769512913	0.0005423801233022107	0.005198831890966792	0.012044847610817033	0.002966873214495048
57.0	0.007384755869513926	0.0007843348968593622	0.00584196820870468	0.026726423795288223	0.0050814084233276
58.0	0.005274934931659869	0.00039037201032909863	0.004420693780549122	0.00990609708440826	0.002525893502163186
59.0	0.021099292328672914	0.00016654053213860376	0.0022667498155595424	0.012102327970007987	0.002901369414068125
60.0	0.0041278328974316825	0.0006705938867807015	0.004856883985388799	0.03279900902738242	0.006010807957812923
61.0	0.0023170048928510267	0.0012026944836851516	0.00280326471723952	0.02018576792029758	0.002937350651450466
62.0	0.003685946007545793	0.00010430613258971544	0.0005823399636837101	0.002041888335034714	0.0004212110349651082
63.0	0.0013936502716268562	0.000650782995713528	0.001388815731714851	0.008283087350707818	0.0013788676625379802
64.0	0.014422128960897118	0.0008038946442214812	0.00562281939322558	0.013763205436450598	0.0038957503919155897
65.0	0.006835814952252606	0.000127779626126312	0.0027697542593785505	0.016937783455207467	0.0031058777490348454
66.0	0.00924654901446642	0.0005227997352775793	0.00500288764672431	0.016264089589195452	0.003746774279063661
67.0	0.009996672765155923	0.0005200230225665958	0.004031574227970276	0.013136056296326304	0.0032123560579612235
68.0	0.005389480686056047	0.0010481984000603184	0.0043207610043844115	0.006051797911983403	0.0011821086824065187
69.0	0.0056892204452901884	0.0002473855473607012	0.0027585116105866216	0.021878221803342646	0.004262158182595104
70.0	0.007366506609696621	0.0008855860893572931	0.005241063281545896	0.011112552738618664	0.0024149283188935233
71.0	0.006246547780868861	0.0008163282333408794	0.004015048726832496	0.0061127158669075365	0.0014519303273243405
72.0	0.02172486544212404	0.0005294259701396076	0.0025934548574650914	0.010855165496748809	0.002188082808602801
73.0	0.0027902320625917687	0.0012778982020444918	0.002357275795926988	0.004681464782472222	0.0009227138169488042
74.0	0.006036656768079962	0.002218469040493387	0.00543648235792951	0.01059509687345117	0.0018663057142650962
75.0	0.024310979942182898	0.0003780870277211301	0.0017608409913225734	0.00560785900402605	0.0014580474980982936
76.0	0.010557659222240834	0.0001449764853584945	0.0018559415875032139	0.008395744748278977	0.0018478132053824782
77.0	0.059537282405284	0.0002455241201906322	0.002039061060037875	0.011484758750866741	0.0023094006636793702
78.0	0.0034970805568086405	0.00019341435105157956	0.0012224172344267234	0.002738565138598492	0.0006730345594392136
79.0	0.005343849220964869	0.0006121197163456715	0.0048478143788156566	0.01596684400335202	0.003237583424741268
80.0	0.01299598639826427	0.00021754809484031412	0.0010425922032699282	0.002880629393343326	0.0006147693188844068
81.0	0.004494091466157091	0.00025906244399176437	0.0055563084161806735	0.02642593544769478	0.005194307075515993
82.0	0.0034130258604415653	0.0004643908387708118	0.0034238143247695063	0.022711470167311343	0.003606050877613018
83.0	0.005135824358257213	0.00042787793176424227	0.004358179049198906	0.022227954075881406	0.0043749722162287836
84.0	0.005850040633414877	0.00026158965186962035	0.0009283500835457402	0.0017064155853000473	0.00034683999707622805
85.0	0.007467675085195746	0.00021591037984369787	0.002959652467066399	0.021025818984212297	0.0037341219563378656
86.0	0.004176877164373427	0.0002529316001695925	0.0038683353768453202	0.020889749138749414	0.005357920579557166
87.0	0.003189881794592009	0.0002483239691324357	0.0012792109650643607	0.0024257387410399067	0.0005884035538891799
88.0	0.0038440363482379336	0.0004099131460709726	0.0023724522936793015	0.010800774352109133	0.0019729170620301382
89.0	0.028805623487150767	0.0003472800744656057	0.0023920458485868316	0.013187231745456662	0.0029188510611559263
90.0	0.02550312623253248	0.00031106633209454504	0.0021578556626198685	0.007804912660089425	0.002100124780094196
91.0	0.012411538242041553	0.0002162640707953356	0.0012377013940774225	0.005374047454182018	0.0010587539981601766
92.0	0.0015316023501862341	0.0004618663301341197	0.0017943508196618834	0.004768183710951446	0.000697546529837949
93.0	0.006042897490795007	0.003138197033712209	0.004606557047647392	0.006506047339532639	0.0005466887551006432
94.0	0.003406432267097914	0.0002389456188292005	0.0027666563959124375	0.023253877303280657	0.004429470962998771
95.0	0.005917107316872339	0.0017895234480256317	0.004558421537838832	0.008493086679102091	0.0014747164850484433
96.0	0.008998844480842427	0.0002954710187597076	0.0012860046353650114	0.0055280348452873	0.0012162909646539247
97.0	0.01779597655542453	0.0012023258616127297	0.004619584965157123	0.009494449832974539	0.0024232185380190906
98.0	0.013521811277012907	0.0002660445717335147	0.0026716544243908075	0.007616745358048793	0.0018870419685033796
99.0	0.0047930073838964304	8.215542102152362e-05	0.0009012421131279256	0.0025649678463989245	0.0006340789992943691
100.0	0.005913802409764024	0.0006474504158496819	0.002585448223545294	0.007450958665806362	0.0016170188939021184
101.0	0.0032364411917958913	0.00039140558611772125	0.00114734142948757	0.0025189848641717916	0.00045422069450470724
102.0	0.0081176339520741	0.00022502268691637628	0.005026631353251818	0.01590315168257017	0.004503191390828643
103.0	0.003096870450673417	0.0002480097487649324	0.0015580722016168822	0.00392980013611377	0.0008994910882281353
104.0	0.00595336895207399	0.00022835894541306523	0.001065586277819748	0.002701661766472352	0.0006813698757463882
105.0	0.002872553177029391	0.0008151293056064546	0.0021894025914075198	0.010317435285491228	0.0017215888444142148
106.0	0.002490925140889	0.0020906606345733048	0.0034337370127424027	0.007770985195404312	0.0015988550496647941
107.0	0.003175974658131464	0.0002767193474673135	0.0023973403048345165	0.004019128515051373	0.0009599386125376761
108.0	0.006310351273510206	0.000887584390726115	0.005491864815121037	0.012216380154109974	0.002151909510504648
109.0	0.003008775467155167	0.00016845715260260796	0.002137140591504002	0.014867104692206423	0.0028026521120670528
110.0	0.0034280309784824325	0.00056746732230184	0.002752679399585686	0.005616601253221165	0.0014195050034211862
111.0	0.0016700003813213682	0.0002881812965442876	0.001938119488022321	0.005788900332003077	0.0011726352291783965
112.0	0.003916895771238105	0.0002625773572325629	0.001540690547372529	0.0028146432097677643	0.0007811608065211524
113.0	0.009152012908148932	0.0005322153406080998	0.002438386460433317	0.008007192618960324	0.0013865511838900356
114.0	0.002488667838551395	0.0007190475970916266	0.0023790343107805306	0.04050939354528238	0.006060308116690821
115.0	0.0032583703153447052	0.00038936426050417694	0.0009664581223496391	0.004712469237639572	0.0007601422438734779
116.0	0.0012655472422199443	0.0002322976790323228	0.0007926518483024667	0.0028068744863477546	0.00049184862254148
117.0	0.004825681554756933	0.00019389343649800495	0.001416339507290722	0.009729267672902941	0.00170199503052972
118.0	0.008481632874320466	0.00131225528395007	0.0047483379605710325	0.006087456757910559	0.0014697711890343198
119.0	0.01403035780265649	0.0002778873195984355	0.0016933778678820187	0.008291116786864339	0.0015713223287592906
120.0	0.00690173370475522	0.0009954788598728337	0.00409675738685976	0.009512713516613425	0.002171922242468514
121.0	0.006452082770362577	0.0007714587255536198	0.0037953664907238675	0.008619591512094793	0.0016826631693115394
