Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.012457721940727029	0.005412771272093608	0.00833153914065489	0.010611573888932413	0.0011419382770687931
2.0	0.0063039962421864715	0.0019031841637172642	0.0033786573720630438	0.00490096001280127	0.0008016584463789101
3.0	0.026053823821382105	0.019034906251318873	0.021389849669366637	0.024038199028509455	0.0015890118958846854
4.0	0.015958644145578016	0.002242137824962853	0.0046968347466731855	0.006872923110113005	0.0013876063362053075
5.0	0.006619637855575622	0.0046078190778267025	0.006408795444336939	0.007852392100165195	0.0009110010845036299
6.0	0.04579362419558408	0.003641731378805857	0.008253938178950366	0.014274284710871665	0.0024474078221796707
7.0	0.01594760353976843	0.005446516359614573	0.0078027166631605875	0.009735387157620234	0.001013554938432861
8.0	0.01824850115785248	0.0018337434454981372	0.0048127020099552505	0.007033836157794626	0.0011586215864965552
9.0	0.033078637983852466	0.0049334553075074394	0.006543510281398675	0.008116855454225913	0.0009457039852159089
10.0	0.10349906166400491	0.040043377667168145	0.04508143612883166	0.05236967010912119	0.0034255499477629527
11.0	0.011920498785108147	0.002939240969646373	0.005047153228492506	0.007826351028671685	0.0014227863252683516
12.0	0.02685334607897305	0.012761560268284455	0.014791080615891416	0.017919994399878902	0.0014735901144837056
13.0	0.008190154790745252	0.004785219275357799	0.006782723533949032	0.00913763992166039	0.0012156271034845145
14.0	0.006360444008920663	0.0015431801813288182	0.002926953465195995	0.004189073004269628	0.0007879644239307448
15.0	0.01237260087350267	0.006370241763101636	0.009179803733797717	0.012377656894209443	0.001951620467665773
16.0	0.02361961870055196	0.006262661106163692	0.011335645851324572	0.017014407608590743	0.002677488358629728
17.0	0.02063298298780669	0.007931360548126598	0.0100412510631953	0.012073153176527351	0.0011694810367100115
18.0	0.005913065061683986	0.0027227219874748076	0.005094405619526245	0.007199559396359634	0.001159811770394645
19.0	0.02170102006738006	0.002525375292858789	0.00580904576851478	0.009429277733633445	0.002000607894069103
20.0	0.018878185402033454	0.0031288519704107953	0.005323248802045253	0.008737029757739823	0.001398894744112428
21.0	0.012857796267968347	0.003355524862302839	0.00522899350948743	0.006991699596852419	0.0010768010508032063
22.0	0.009278924208679928	0.0048218059640237065	0.006282231020600014	0.007295483979870565	0.000665199663044986
23.0	0.015193117191290462	0.007153885189209119	0.009459785266232958	0.012492017383897047	0.0014393176654037818
24.0	0.013169299284144342	0.001921804750271927	0.005044053656071005	0.008409677248964798	0.0014467595857102383
25.0	0.007604935623693687	0.003792796317799607	0.004668887792022741	0.005817977801745644	0.0006683828723363425
26.0	0.011002418995854635	0.0020075545530603423	0.0033892773864536365	0.00485532761162466	0.0007088212836795904
27.0	0.023610128116491214	0.012296108179076115	0.016797416440422167	0.02053874842813963	0.002104122546377961
28.0	0.0079746648654474	0.002621398830436994	0.005769815607266386	0.009139822586823332	0.0020965156294918885
29.0	0.010639210831575041	0.003065745078867921	0.004904266873151682	0.007255306089277935	0.0012455489339754414
30.0	0.005493176558317381	0.002552589637649594	0.003969557147277872	0.005611438963699533	0.000862079701856431
31.0	0.00716257290731348	0.0038201101083720213	0.0051613200525699125	0.006728788048470102	0.0007926586933028346
32.0	0.037637745136652745	0.02024463214265626	0.02410978401474883	0.027114053746926325	0.0018010524353304013
33.0	0.01583080788071123	0.007327570479047085	0.010621135839461938	0.014640104615690763	0.0017862907301579804
34.0	0.07876131186871893	0.010742513729843028	0.023315414996222358	0.034582721778990244	0.006963925357978399
35.0	0.016612459727059936	0.0027830601733251914	0.005401667163182966	0.0076708424987909085	0.001449355672646079
36.0	0.005632382842971295	0.0016354520015491314	0.004286493223149369	0.005556199758062652	0.0011098847882801662
37.0	0.007663405238180876	0.0023986899712723497	0.0034409127599649373	0.00493737834704866	0.00074121440948778
38.0	0.00907470331580118	0.0014459805658257885	0.00381571878835859	0.005720684578468416	0.0012154436356743572
39.0	0.040710344594781844	0.01657523450350462	0.019294200325194636	0.022125304301407245	0.0015573614428953592
40.0	0.018645781376321002	0.0061403986733837845	0.009112784831197056	0.012433061969691517	0.0017368268313201149
41.0	0.00869755710852016	0.0042952107186765565	0.006187085282940504	0.007712680501217428	0.001009080967176899
42.0	0.006316514905123194	0.0012799560968042023	0.003973307097221231	0.006354363287592424	0.0016225886244868974
43.0	0.01244295964858999	0.002835094922114312	0.00454426265957291	0.006518653439184785	0.001061862389297728
44.0	0.03801475690754885	0.021353868733813508	0.028652401398916616	0.03634791730889231	0.004037687785150671
45.0	0.005697857858478983	0.0015247859632072647	0.0036517455729398623	0.005568583200696087	0.001327802475349801
46.0	0.10338536468535386	0.04223818790168454	0.046159006264133676	0.050078987112687434	0.002186277377474135
47.0	0.03773357194997329	0.009540563123941248	0.012261194375811671	0.014395757077667382	0.0012774958045694996
48.0	0.13060736116980998	0.03663663407816209	0.045171508559214854	0.051315436987676044	0.0035687555842624868
49.0	0.0055220172260685985	0.004066223998606122	0.006150084307306701	0.00794089500368056	0.0013563395547578456
50.0	0.005853721778612098	0.0015486610852250005	0.003739014029526311	0.005756678357737854	0.0012920303945344732
51.0	0.01679250507549701	0.0034581529292342372	0.006470157784955204	0.009390454727838504	0.0018775628701252639
52.0	0.010764264763749254	0.0007247954315086069	0.0054401097622465274	0.00967695762705667	0.002911283990534255
53.0	0.01138178302575188	0.0017962354583298534	0.003689957725674262	0.0062519297692426035	0.001270445052791897
54.0	0.006992911714747141	0.001967266393585243	0.003699134368460017	0.0054696696785807575	0.0011019842800169774
55.0	0.023739043064868737	0.0014878742647790322	0.004090844902420311	0.008121274197964157	0.0019731731000673792
56.0	0.009667180109024343	0.0012600717127342342	0.004294215679561926	0.007252895534364701	0.0017761613391242303
57.0	0.004450460395232447	0.001153591047572844	0.002983247229525725	0.004909681798515364	0.0010841060642679584
58.0	0.00975908235210421	0.0008475501553707465	0.003032390033837561	0.004806414543932824	0.0011397683593357025
59.0	0.02227698554597657	0.011541358699244442	0.015023174190366436	0.017399018791558585	0.0017084882627526807
60.0	0.0030113511353393463	0.0012091315794687807	0.0034623004071781113	0.004749226838660747	0.0009605837843384884
61.0	0.00946262229783823	0.00476202343633747	0.006417234745736781	0.008090939853803158	0.0010232532161955014
62.0	0.007968633837532546	0.0023287225326059646	0.004641394842024769	0.007425069784536831	0.0015663126763956806
63.0	0.009561258765822589	0.0025527749805799305	0.004818785122032926	0.006852831245541591	0.0014871816658794963
64.0	0.013768092843451263	0.0037685737889833204	0.005886806510802182	0.008421440423761917	0.0014202206254199394
65.0	0.008413084786880298	0.002877287383342475	0.005121868588115462	0.007448019019342111	0.001292424841644614
66.0	0.012882501047610129	0.0022167598109607	0.0034957747568564075	0.005918630240129064	0.00083310759370054
67.0	0.044588631300903736	0.01674381521334678	0.020367392685263247	0.024219615900252123	0.002031838920173399
68.0	0.005810243561643724	0.002047515943616851	0.0033752017084724708	0.0049814659277339635	0.0008099335473440945
69.0	0.02594311710564623	0.005286746066846537	0.0119610392425075	0.01808657516448442	0.003546932736361578
70.0	0.006650173869332421	0.004721919263681151	0.006086783989075438	0.007371771021025819	0.0009200231871108669
71.0	0.006747583057409523	0.0028076791761245667	0.004089954109603679	0.00532471252018385	0.0007815938450241796
72.0	0.044399371138368116	0.02365312892922633	0.026828497444946992	0.03028119066091206	0.0016666677835319849
73.0	0.0058889731730756845	0.0016511117099317074	0.004159823482156726	0.006039365185116163	0.0014687555937458539
74.0	0.006379005538169058	0.002388102860086394	0.003760612472551838	0.005238306365569545	0.0008171561816075982
75.0	0.06732516836578606	0.02457642534517579	0.030005997417393505	0.03385460532069129	0.0026701516550487587
76.0	0.010851731415691401	0.006958146446169322	0.009612282417077692	0.012680276466222828	0.0013579896937604813
77.0	0.07109138438711893	0.011989303070310209	0.019733152076199578	0.028213976737113677	0.0043575948063442095
78.0	0.011634094749401802	0.00396782642967064	0.005633857626580231	0.007689198032778344	0.000929054802011314
79.0	0.0099329034158111	0.0036745955422402554	0.0054118732880549195	0.00695940699342712	0.0011017788149642906
80.0	0.03207671431458392	0.016581016850187535	0.020642658412992305	0.025835143928931492	0.0025742100518576227
81.0	0.005343755707712505	0.0015961809945609362	0.002906557651733712	0.004689760056797998	0.000879128877105017
82.0	0.0045278939787462	0.0008288169870827033	0.0027715974624670688	0.003995711605261354	0.000925579874549031
83.0	0.007605476033957892	0.001736381354617178	0.003576536238062113	0.005405896736102256	0.0012374697154319363
84.0	0.02716111152337286	0.0033544410772113897	0.009171367540585399	0.014200017945192656	0.0030628903790405264
85.0	0.02018891530317224	0.003219142921833784	0.004930454283896319	0.006610066859619179	0.0010009823475096626
86.0	0.01682243491063018	0.003592273257481904	0.006395205470891515	0.008926305086313757	0.0013450402539869851
87.0	0.009166897605146551	0.0023399077518727607	0.004080902464419974	0.005621104822361667	0.0009219387447793
88.0	0.1057525976316025	0.014105679697322238	0.022106805814556738	0.03774156753054636	0.006442650876846932
89.0	0.02967692994214355	0.02621793356065405	0.03382710225014766	0.04327552723136363	0.004545832833991958
90.0	0.08229835934440732	0.02906267637000237	0.03378543653358575	0.038282651872577844	0.002522931156600342
91.0	0.04083680548081414	0.015212056508307259	0.018478694582504132	0.021494506598372154	0.0015768458117929602
92.0	0.0035047945636481614	0.00287426217785991	0.0045013504418505235	0.00630368483499133	0.0010023090643204243
93.0	0.007713553027302367	0.004103645134972411	0.005503258037216127	0.00690716496019117	0.0009653770000658487
94.0	0.015019569830161728	0.000850100703281953	0.0034357253132746555	0.007211631030141552	0.0019081320333102056
95.0	0.004103693652335316	0.002413464931528164	0.0030739709953036174	0.0036696020554872755	0.0003777971152605209
96.0	0.04711454623731992	0.01079026615954759	0.01376016113975154	0.016923374079366615	0.0015635835872860565
97.0	0.021408772594088465	0.004766504011948114	0.006654735711195895	0.00901234645740523	0.0009721349684261618
98.0	0.02382123566004901	0.002932099852749781	0.005181300381955666	0.006521969543843431	0.0008512922477692223
99.0	0.011045120263670771	0.006855507164466368	0.008079874466450502	0.009395594651418815	0.0007544942444858772
100.0	0.03068691167722437	0.010626633946112518	0.014716248941603291	0.022466666678551683	0.0031398135173097354
101.0	0.011538887691914135	0.0022302199409114376	0.004742928783582126	0.0070948112968340915	0.0014469399394540863
102.0	0.02418107230045763	0.009864971159323943	0.014148342390105881	0.018314309817406893	0.0023181563290219126
103.0	0.008198638704606576	0.002413562693468485	0.004748737947310725	0.006470463322553743	0.0012474216381392136
104.0	0.0443664249161273	0.012588886704362645	0.017842458660742706	0.022257047209703673	0.002271219546556838
105.0	0.019992584167310756	0.004298727709705852	0.006059675098844961	0.007874527240113394	0.0011225115251778692
