Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0028638914930816384	0.00041372608710155134	0.0018749898673938328	0.00328583003287386	0.0008695433351936327
2.0	0.003312526354657064	0.0008421345459018736	0.0018887845058693363	0.0037271547057062815	0.0006453555294305309
3.0	0.007436341943830027	0.0010825247734295163	0.0022945505930151485	0.0033871313348599053	0.0005415742034128937
4.0	0.00582479475427522	0.0006000669514334422	0.0023092440853014523	0.004262410958250085	0.0009482426826231083
5.0	0.0022961952551816545	0.0005660813494341443	0.001694797410111666	0.00307315026752919	0.0007473657466017908
6.0	0.009635319224253203	0.0009858989383743078	0.002749024081098638	0.004119567481515429	0.0008234914167120165
7.0	0.005315170855022533	0.0024779883581486084	0.00335310193186778	0.004672482495935881	0.0006274820176148725
8.0	0.00794204172091073	0.001087500296043209	0.002128857022198563	0.003548500632156726	0.0006338740247397119
9.0	0.010627284305754658	0.0007771872820434567	0.0017619298091382176	0.0031709935501291753	0.0006382433362141954
10.0	0.017192880782763154	0.0009591814769599472	0.0031869874476255196	0.0055519042170650845	0.0011422417602135408
11.0	0.009059112833936789	0.0012030449431014167	0.002531084820667339	0.0037338325088333013	0.0006646703702303306
12.0	0.004229067469710079	0.0006315893815247442	0.0019729178960782934	0.0042052020476549545	0.000893484526246957
13.0	0.003200899160301751	0.0005030422417570124	0.0017951628399391299	0.003248821459805984	0.0007796265047024775
14.0	0.004337983239815046	0.0006535621547636428	0.001981877782797311	0.0030718030382594907	0.0007223129667852583
15.0	0.009993464990099121	0.0024402789453416007	0.005120582360403784	0.007409531769003497	0.0013751551532327478
16.0	0.010561555000844769	0.0005232033829359883	0.002410856294742337	0.0037677757989729166	0.0008848729303192439
17.0	0.005861136006376055	0.0006725276889049114	0.002265503298512365	0.004793129256942641	0.001129437851586323
18.0	0.0022457216022334636	0.00048105086935879005	0.0014125096290431307	0.003013434671951032	0.0007454669350162687
19.0	0.014767012872930474	0.0011324593417187945	0.002825837040001241	0.004170457008567774	0.0007489711740018595
20.0	0.009038366667802222	0.0009904759869912017	0.002922215746750564	0.005661805807197107	0.00120281528153086
21.0	0.007909068192062496	0.00046108532468902563	0.0019087211844860423	0.004299348375793488	0.000978944105235752
22.0	0.0032203401591849312	0.00040825881803374653	0.0013050873257298226	0.0022873847393583002	0.0006104856770037561
23.0	0.002710122522910141	0.0004119591401655631	0.001468291449759547	0.0026280714083809498	0.0006383685972205912
24.0	0.006160181096483641	0.0012533046962781569	0.002371090499159258	0.0042467908941519195	0.0008577164501792587
25.0	0.004265244006637303	0.0017369515895364618	0.0026416567465175093	0.004001276052497338	0.0006159103368682733
26.0	0.00481079061751688	0.0008683185332372112	0.0019551178147430674	0.003301429743164941	0.0006563566727172789
27.0	0.0069426210472881555	0.0006713884348787946	0.001976965493928023	0.005344603673847259	0.001157063801481815
28.0	0.004538228041988446	0.00038437442811645184	0.0021158199586075615	0.004022767799722549	0.0011063646677643754
29.0	0.004842467329019828	0.00023823992737237454	0.0015725098887949475	0.0035939833032104795	0.0009148175822487958
30.0	0.0032935362078826413	0.0017347504380476053	0.0031237878409922887	0.004864888505984766	0.000995189890879254
31.0	0.0015507576285886948	0.00044281623665309855	0.0014183747778667923	0.0026680973247100725	0.0006604421524499792
32.0	0.0193923728409352	0.001106582162275882	0.003217507943403824	0.0057418240258905184	0.0013937871333601969
33.0	0.0064839571368228155	0.0006891438272619288	0.0023650343623651737	0.004682941859455947	0.0012059999123500227
34.0	0.01437635024419004	0.001451312338780042	0.004638307766946126	0.011044115643881414	0.0026975468906295986
35.0	0.00676215372854494	0.0003766910377355215	0.0014090244230515192	0.002408078084850662	0.0006150055929714466
36.0	0.003514363310073154	0.001103712077625163	0.002747512572390949	0.004884110702253364	0.0010698014592262382
37.0	0.0053558639084265725	0.0006241856157318537	0.0020749236031097273	0.0035743945529568277	0.000749310889828383
38.0	0.007291221783380819	0.0008532786081146826	0.002556052436059135	0.004586382859277038	0.0010326700505073015
39.0	0.006210354106848226	0.000895488853665638	0.0020038868346333276	0.0033523605804934853	0.0006752824098961658
40.0	0.007725294511399472	0.0007072021092943137	0.002749266371985087	0.005297870600745602	0.001255504614935809
41.0	0.002622034457128053	0.0004651874117460597	0.0016735074608354122	0.002756393153273917	0.0006965136251213558
