Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.004147254069977957	0.0005641869478794082	0.0032610039278068237	0.008231659479223774	0.0019107744802082313
2.0	0.0023556837053375634	0.000478858432478968	0.00239064844110621	0.0075503941581006595	0.0013915315659676377
3.0	0.012619613604278213	0.003117818419939855	0.0075758202586902945	0.016195171748726755	0.0032958518659177236
4.0	0.007259146416203843	0.0009682640804844489	0.002077717232362574	0.0037645350234798425	0.0008602385507569809
5.0	0.0010438237980273657	0.0004683398194675892	0.0028321213800536656	0.011225829663457088	0.002251975373640363
6.0	0.009690994736882175	0.0013472324004402125	0.007595177689959397	0.03843612303467736	0.007931687208094333
7.0	0.011653064834703852	0.003648504939326558	0.006665454635433913	0.013374554499811508	0.0018222198506944805
8.0	0.006288622886636452	0.001257907024610594	0.003933275634293061	0.008343679141512572	0.0020033663071951143
9.0	0.003104596938800719	0.0007159537244815217	0.00258766256696302	0.004474421190241329	0.0011626963378337197
10.0	0.016107213729229408	0.0022842895611008274	0.008832079769512387	0.019179975679654793	0.004389609730481078
11.0	0.01356014543533779	0.0018829946715153145	0.0034912882834230363	0.009072322090259877	0.0014351996947878172
12.0	0.00737030892702617	0.0012483212784838438	0.003687540063873951	0.007111493772248179	0.0015809227534386591
13.0	0.0037182363916684613	0.0002779089460133166	0.003331899023630125	0.011417346999437639	0.002396011778364276
14.0	0.0016030271252808204	0.0006521164966521997	0.0020768060312375386	0.007087350186100072	0.0013021344755114199
15.0	0.016199688642231536	0.001659090147567266	0.005367764747603027	0.011289513724437095	0.0018943472269930804
16.0	0.00785724278768174	0.001086594861301915	0.0034695495689371623	0.006259335885434036	0.0015076482220582076
17.0	0.0035551493070082874	0.000617060408775183	0.002869831215090937	0.011457058829123734	0.0021911905063072405
18.0	0.0017317380219254996	0.00025016062403815376	0.005780343962302791	0.06451710603230165	0.011807025126401442
19.0	0.0068953831053489845	0.0010322685051331604	0.0030567817443236693	0.007216981697979019	0.001642653133228563
20.0	0.005669148574775074	0.0005981854907669559	0.0030003526810378927	0.006998839094124132	0.001658163539307144
21.0	0.00284115976208299	0.0002311287263144779	0.0022710292195343732	0.008090803532370905	0.001752400555503105
22.0	0.01510781250911819	0.0010002101287863718	0.009550434953553958	0.038771771022438783	0.010475007766743046
23.0	0.007705056824504619	0.0007423663211248988	0.0047006709430745044	0.018244982307285884	0.0034649164483443982
24.0	0.010323879674676295	0.001271646776211388	0.007690536211069	0.03437176789197893	0.007526765194453367
25.0	0.0019459915680150042	0.0004095745811756313	0.0161293797005753	0.11629318821443035	0.029178598416614805
26.0	0.003313210369437214	0.0008582245645872844	0.002805627422816249	0.00995770571307264	0.0015991407703540498
27.0	0.051732585772424455	0.0008038355213392245	0.004534055015667081	0.007505246161920942	0.001768507118822561
28.0	0.01100904461919694	0.0005168619535349528	0.003958995074821773	0.023270294934564784	0.004951325636022809
29.0	0.004169091579552031	0.00020800193931702626	0.007465531003055447	0.09659228871959535	0.015400102589653415
30.0	0.0023395695186144705	0.0006374661672562398	0.0023022600236239288	0.005635471769889544	0.0011241820153207666
31.0	0.0015889783577056615	0.00015993970828487303	0.002948852666597422	0.011343167901850082	0.002803268130118053
32.0	0.02480018934763817	0.001144686398708905	0.006335388421309707	0.025571790551704554	0.004151231973266403
33.0	0.012753197318066123	0.0005155611167049212	0.004320479317086316	0.029156985004441527	0.005044148161652919
