Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.002070995934648101	0.00038009486620216304	0.0015547566183706704	0.0028223498732937724	0.0008229058201441356
2.0	0.0013234489070469424	0.0003487213332941108	0.0012561069569986631	0.002172723497722129	0.0006383911799724636
3.0	0.0032753969314431863	0.0006533979181386762	0.0023092666128207338	0.0038362879225036783	0.0007978541230355215
4.0	0.0025267550184373544	0.0004333867196538721	0.0013220675846269774	0.0022243267092476593	0.0006113114674282537
5.0	0.00027529854758490124	0.00021640609677286982	0.0011923555663871774	0.002165870324258967	0.0006663255674972296
6.0	0.0022729754195839336	0.00031097435724891653	0.0009762190170708214	0.0019133182501962498	0.00041066329229737925
7.0	0.0027824303085428603	0.001966284647712646	0.0032056710146908013	0.0050779112927624714	0.0008465871972929366
8.0	0.000941931134732843	0.0003403809101484301	0.0011393803601253945	0.0019701168600411156	0.0005217032946346388
9.0	0.000636271987710435	0.0003273037329279971	0.0015090465206290353	0.002628029060214976	0.0007185960728025652
10.0	0.0038568990108177603	0.0021615833536183793	0.0032227676200029002	0.004587380127601182	0.0007158126281339222
11.0	0.0024311826912367662	0.00045360676747685513	0.0013751384773208262	0.0023815943596831035	0.0006045208324904505
12.0	0.002297322144350744	0.0004313184929546354	0.001919621596828955	0.00399212094173329	0.0008571986531262682
13.0	0.0004980828616294453	0.0003947606215067845	0.0013356089353129819	0.0024151403416889927	0.0006850876210961232
14.0	0.0011171241923130237	0.0003695766366939024	0.0013730823786926424	0.0023981239155851375	0.0007060636491950231
15.0	0.004020344383808605	0.0023983666720420738	0.003363076359282196	0.004472255992142293	0.0006062362722113263
16.0	0.003258996219527077	0.0005523468560142408	0.0019211435199085667	0.0034672105602565617	0.0009510165840267609
17.0	0.0007363801080655374	0.0002680764197943164	0.0015033578721743764	0.0029656343596543566	0.0009034225001652492
18.0	0.0012567144077935133	0.0002378690334654543	0.0013611506387524546	0.002511475311585354	0.0007256116260907831
19.0	0.002641930792469993	0.0007450006107527773	0.001662215249713603	0.0027591279176635286	0.00047543358240407965
20.0	0.001974263165168466	0.00039022440347102894	0.0012733786915131375	0.0022815902256784204	0.0006085081983152487
21.0	0.002576530135678601	0.0002238347443321853	0.0013258312413489907	0.0025422163219291916	0.000694077959828361
22.0	0.0019010400437774466	0.0002811988034074897	0.001575594753709973	0.0026722489944520644	0.000679916615127544
23.0	0.00061914554548681	0.0005198114902360551	0.0016280583797242557	0.00270340534860658	0.0007318018409058143
24.0	0.001295166993319552	0.00036261133785431277	0.0011129426007245736	0.0019852903877582984	0.0004567999087254312
25.0	0.0030668757110806633	0.0014370539217439804	0.0023829764532162156	0.0033671801146468727	0.000607494971400577
26.0	0.0010479359791309983	0.0005287761983303607	0.0014442532815066497	0.0023721467965546195	0.0006332634551600136
27.0	0.0014115160644937452	0.00020718939475572462	0.0015519483461444374	0.002507826356841769	0.0007313013417141596
28.0	0.0023265762806918833	0.0002943688959580193	0.0017083107578172202	0.0030510349823476	0.0009108145318243942
29.0	0.0022871339960609527	0.0005879412319615973	0.0015970464104764638	0.0029885751691128837	0.0006633585788901738
30.0	0.0021888064016351017	0.0005598515772560209	0.0014770619132846825	0.002348355792487933	0.000616503875555575
