Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.012327539635878182	0.00044333430292564646	0.005445335930438801	0.02859795388184072	0.005713558217148871
2.0	0.02613774590514062	0.003968432620676032	0.006330910404835228	0.025768539061889695	0.0036601875254889697
3.0	0.0166506034801307	0.003874914581426414	0.009536989889848206	0.025104489499139904	0.004600368123869219
4.0	0.014950820288623046	0.0015008374228732135	0.01000423750525934	0.051104283011486173	0.012784953827430863
5.0	0.0004771370655498597	0.0003001884805274857	0.009888033287990464	0.06402488815757412	0.014850377951347108
6.0	0.021472567660327346	0.0018420756258484827	0.012227741983111598	0.041088443664056506	0.009303395823740316
7.0	0.028235615317179885	0.007140313932109343	0.014573185076766103	0.0313756372976719	0.00586503925616548
8.0	0.023449835049135337	0.0013180233357653615	0.006951196328222268	0.04921694706411528	0.00951552660950089
9.0	0.009926727387374878	0.0007885278914168126	0.004154582729834002	0.014791094107844516	0.0030459913752786585
10.0	0.019236694830325862	0.0013829372151014097	0.007252237978877664	0.020041045666261192	0.004534748083767755
11.0	0.012852377576037077	0.001784712907976882	0.008746680548068538	0.06523029945541658	0.011588267968866741
12.0	0.17909650695416302	0.0014463139297308247	0.006532209569956308	0.028796355884873504	0.0055558386967371545
13.0	0.08585006462039213	0.0003267498102689226	0.005789362488283852	0.033526858413320815	0.006838579933264903
14.0	0.045308303172053255	0.0006584333264542108	0.003239551166393512	0.035345578032109026	0.005322602959748684
15.0	0.023338465931195262	0.003992371176609999	0.008931691603192814	0.022411710334883095	0.0035496343369917755
16.0	0.03783222859082569	0.000798855948233923	0.010034708871524927	0.037136173503751535	0.0081848223737539
17.0	0.036764974691125385	0.0008578296120278495	0.0048938240994542085	0.018291363485113732	0.003690831422045251
18.0	0.0017424655126673239	0.000246151761261193	0.006600973973282066	0.09326007607201336	0.015244988125281885
19.0	0.03106927074207977	0.0019397762769576277	0.005752402799059227	0.019705815292586193	0.0031697569490521213
20.0	0.06290236554601569	0.0030656016105056194	0.008883698935379563	0.02376633518572413	0.005599878442246841
21.0	0.007073688549943169	0.0006912073829694609	0.005208242987813265	0.03558686440649328	0.007433470613666144
22.0	0.005178845882521932	0.0003023648356327291	0.0253991899108629	0.1434728808883986	0.03601149019131143
23.0	0.0023880367937552105	0.0006903243468827647	0.009518674311165834	0.052441751231630196	0.011315280666869047
24.0	0.02860377415182014	0.0026168997256489357	0.008268377573390358	0.04823120074609488	0.009839162162849016
25.0	0.004875825827288183	0.0010508065446944714	0.010784602554744544	0.053079307795066866	0.013851579588743517
26.0	0.015310014954503903	0.0007936857561000599	0.004413217448055385	0.019024969575624273	0.004000751159571955
27.0	0.47204541795590893	0.00118525116751389	0.005331436046877757	0.023301755956372294	0.004617410579715429
28.0	0.06001319692413987	0.0009333029819358352	0.008092905992773554	0.049594937301023156	0.01077665011676936
29.0	0.0307474531834937	0.0003885086561676854	0.007219955751497581	0.0511363891172959	0.010436724326805208
30.0	0.007381724017877178	0.0009674010429560065	0.0046336598891823354	0.014939846828907699	0.004309841169188667
31.0	0.01023241510752737	0.0006788370162575941	0.003566192717322085	0.02970810322619044	0.005510175138903407
32.0	0.11531945608950578	0.004276202475883006	0.010861845110030294	0.02876772303177244	0.004526760850650474
33.0	0.18148364233607006	0.0019921212316694747	0.005581303393135377	0.04513894071162261	0.007026845776470413
34.0	0.011568976588789415	0.0020808645540918436	0.01907047047683475	0.0563628990088455	0.016199536350621834
35.0	0.008950655004594021	0.00021706476223526394	0.0030093865610889134	0.014948612323109733	0.0027960169358462236
36.0	0.002354319924055215	0.0005237847116033034	0.00316407756764043	0.013051931446365517	0.0024746188775227884
37.0	0.003947074562179909	0.00038092034275194475	0.0024950191871193524	0.007996157367142431	0.0020753989907729294
38.0	0.019325763066528223	0.00021509818687903692	0.0027276113192645146	0.017531490541938477	0.0030434436952947942
39.0	0.01986032844992125	0.0025308124133299748	0.013535099766827237	0.04472615115697243	0.012166391556330751
40.0	0.024316287052089325	0.0011732380524214214	0.004028050871880605	0.010591141007897709	0.002352021314839404
41.0	0.0050800702231770245	0.000807724907493923	0.0070441005801585195	0.03659065516163784	0.008275362823267074
42.0	0.003923877901129247	0.0003676430020120858	0.005083323812024024	0.05817540316857861	0.009357956976200859
43.0	0.09705358373156536	0.0006635948379865031	0.003047086433286452	0.007325550507461642	0.001736927039317182
44.0	0.30999744933159534	0.0009587209181604051	0.008045792877596407	0.027114152250084067	0.006470151476050178
45.0	0.03790942707787348	0.00030624550172697607	0.003711092131530546	0.014367602710417149	0.003219974822680744
46.0	0.10138475547722203	0.0029721698932263507	0.011798467140811246	0.04516715103614388	0.009749594000514701
47.0	0.013099185703808747	0.0008344291869477605	0.006714565310408305	0.030882111604927154	0.007244474962265301
48.0	0.03450102768971486	0.00643061053782823	0.015759758030573213	0.03970805188384696	0.007426871351115788
49.0	0.0037365250455049237	0.001679346681863092	0.021595933350175928	0.12113683926115415	0.023020929617496747
50.0	0.10648279943851957	0.0010897353854821823	0.003224285989771219	0.006008927085004334	0.0012824367152206636
51.0	0.028751981635179558	0.002780656140582427	0.006184355874596502	0.012042625645110605	0.00255932711217803
52.0	0.004148086853296373	0.0002806712922713839	0.003670135616467129	0.017920671010039024	0.0037331596736022835
53.0	0.009443086947387713	0.0017382436852079186	0.004101698288040869	0.009077632873431107	0.0018323766427339712
54.0	0.003969768322706679	0.0005044102801298189	0.0025271273968030133	0.00931170801130432	0.002038927580639364
55.0	0.04283481816911605	0.0005837256368637078	0.002924005982550831	0.006502454722416173	0.0017300704631470556
56.0	0.0039713080445572535	0.0014883399539766806	0.00812176818599267	0.061953790460440805	0.012104978586912807
57.0	0.060799216200085215	0.000989047470923543	0.004028957050209915	0.010415279582841497	0.002500644956539509
58.0	0.023245186786165717	0.00040845329334648905	0.0029040825450531967	0.009295360752130666	0.0021097296645333657
59.0	0.018664761182609513	0.0006929523705047069	0.006357547944295085	0.03425890928917341	0.006734068794554386
60.0	0.06443895949657963	0.0006585474492316612	0.0024377320657887123	0.006260947314025378	0.0014250702600644063
61.0	0.005482606531646228	0.00036940348556435687	0.013940010846818566	0.0917690208793378	0.021077956536450566
62.0	0.04251315916696552	0.00041606095175161784	0.0046738088096413815	0.015820061187765244	0.0035734824826439606
63.0	0.004965457266505657	0.0003373150023749938	0.004336249767122002	0.04271494061730008	0.007397610348543467
64.0	0.027241427264769524	0.0023411239560715558	0.006569645671939414	0.01830400243865926	0.0034952530115934166
65.0	0.00493401246281977	0.00017171134431293034	0.003223844961936361	0.011087710105150528	0.0027833348156745758
66.0	0.009375239886196929	0.0011337914269565763	0.003270680024451839	0.006575501804484851	0.0013542638449868234
67.0	0.046552409660359895	0.0025211091157939514	0.008838063298768292	0.02486785516081258	0.005862431511593057
68.0	0.029851314317072997	0.0008866788001176129	0.002971978251526035	0.02192201591903753	0.0035444441153807027
69.0	0.11975738279124015	0.0014968347817949645	0.005279444198387236	0.014894346770719213	0.0033229839559073314
70.0	0.02537584667789894	0.0019726731082392313	0.0038970520660193343	0.015509900244015551	0.002677835013726336
71.0	0.008257537735242515	0.0011605329839102785	0.004986993060859172	0.021800866541611286	0.004425320840173442
72.0	0.10343515942115167	0.003458016884737125	0.010575169041256674	0.022156694172528413	0.005384569167053906
73.0	0.0014174701282191338	0.00032006907963377795	0.004268540662063608	0.03735925224988201	0.007463798899193603
74.0	0.0010894865252119024	0.0008333014777999193	0.00885568451407285	0.06249758440165343	0.015218040033991284
75.0	0.015739662237025054	0.001812615327132172	0.010855428227743229	0.046586054225624896	0.011452406312413007
76.0	0.037546724883695926	0.0010747704672678937	0.01009514651672144	0.06969486615707043	0.012910973099597543
77.0	0.03575221409907825	0.0011870798675923666	0.006222803782779071	0.026879128867746016	0.004345163680625432
78.0	0.022972083489048556	0.0004726044899761028	0.006665571430954013	0.028923895469305405	0.0071118146024306125
79.0	0.0033445233963781407	0.0004896725487435472	0.010413730155227865	0.04367396201451246	0.011123588648317959
80.0	0.3050485552655382	0.0018124054886113905	0.006160753362415965	0.0516617163197679	0.007612622098163424
81.0	0.036014890866583715	0.0002813828852757938	0.0023296678389535344	0.006428055195002447	0.001529537402743882
82.0	0.0620457847882524	0.0003994606996967631	0.0030180434699682065	0.011402089263409021	0.002308102696597683
83.0	0.024653604182561684	0.0006480534297156337	0.0024696759238464114	0.00627183999123071	0.0014287949345121401
84.0	0.0826853017326753	0.0004455636806489638	0.005874319199652568	0.019696521952729196	0.004546115976352114
85.0	0.011075217705209806	0.0007832402496454893	0.004836066913307957	0.02462101749698875	0.005205069921934379
86.0	0.01905957014793347	0.0005234094240539333	0.005012797496571715	0.05950490433554678	0.00896941826347763
87.0	0.006196921620021945	0.0003824743032500022	0.0025852357827917103	0.011173981150542134	0.0018688894985662032
88.0	0.03182690487429496	0.00508005711362336	0.018192237281047713	0.08206337809661068	0.018262865665706514
89.0	0.16247776744510956	0.0013874540906988475	0.004881226465727584	0.01221778078668978	0.0024507392951237804
90.0	0.06604402187471159	0.00487149983735391	0.01546160320209045	0.07485495746541515	0.012926402404059824
91.0	0.02603319649027236	0.0018944974672588932	0.01215836236038911	0.0330247807875339	0.008709716332838312
92.0	0.021916547129890662	0.00024805204877687004	0.00521371569019999	0.02581791919955434	0.0060860271823484436
93.0	0.004411766504471393	0.0006872537969431214	0.004676963890002233	0.029748682029983486	0.007143528983606338
94.0	0.01082331282010307	0.0005212890121810698	0.004190614181934706	0.01901705407821641	0.0037667865944089247
95.0	0.0054629395495098265	0.0010731314630069155	0.011047859756322049	0.042640264904185377	0.012110546019670338
96.0	0.03889702753321955	0.001605132747544702	0.008742156749610966	0.029508073585568728	0.0070761548167144524
97.0	0.015726608211397708	0.002241139861217434	0.01152240893749446	0.036394294262975246	0.007608917322332345
98.0	0.031107353957669504	0.0008857319186297286	0.008704042347964265	0.0333550220882729	0.007967364464325107
99.0	0.005447244645393479	0.0005300555746990954	0.006002011214514552	0.02352738399012766	0.0060370408280675854
100.0	0.07974763781341998	0.0016015722256208509	0.006521942770058871	0.043502620328146446	0.006667885806331099
101.0	0.048213064684408	0.0006767161243362851	0.0033234584307702516	0.019402370605839936	0.0035850528405810766
102.0	0.01701239205938687	0.0016188195578865638	0.006381081528378614	0.027480154984455885	0.005349104414085882
103.0	0.021085034249659573	0.0003553094736916673	0.00586475656820235	0.04225639134079706	0.007869006846760212
104.0	0.1135667719063349	0.002315807838090489	0.007996151433255624	0.028393866835790593	0.005701906005712826
105.0	0.0015462476435712524	0.00035299820119594205	0.01116353172488894	0.1356374822137495	0.02287955314406354
106.0	0.0031103518147310716	0.0005613442678885638	0.006690063150460753	0.05447473630145028	0.011114633920325122
107.0	0.002620556508709404	0.0006854629638760601	0.005718050187853752	0.05035560970786257	0.010770772841641822
108.0	0.03344834921904705	0.000836506613616339	0.002585680337163419	0.008275545569913278	0.001736757389256876
109.0	0.0016577091761349472	0.0002519094890649498	0.002313120697514844	0.006544841660177103	0.0017490806380066482
110.0	0.0384666084641575	0.0005050346702267783	0.0027999772688811647	0.023114567382298112	0.0036961134851791265
111.0	0.018624930375373938	0.00016906906366309649	0.003563082967459758	0.017154393535173784	0.0033067209265646583
112.0	0.026769798116987764	0.00038298251413471096	0.004104395037377496	0.020891998925734234	0.004022107101054397
113.0	0.10002208757875286	0.001535863631663359	0.006149230888347153	0.01986466114688401	0.0038820743597434305
114.0	0.0031855104631446363	0.00015978036136488072	0.0069991845773099874	0.07837896775509168	0.01517416860530351
115.0	0.004616834334302156	0.0006182050062892852	0.0277912434811921	0.1219515491352291	0.035121831172019544
116.0	0.013844881336712245	0.0006780638314710652	0.009518164547693254	0.09922716429232548	0.018209967271089724
117.0	0.02269813523210873	0.0006759975302802479	0.007096427503436544	0.043672926344490826	0.008785207642798292
118.0	0.0033738214820672185	0.00039719799995585614	0.007235730423184673	0.04264439312639279	0.010846426534521445
119.0	0.39407655792634044	0.0011918853554147013	0.0053759742885238744	0.015506674944557819	0.0027857773854616337
120.0	0.0076148514346365825	0.0011866706515991643	0.003507038022500802	0.007726738981943537	0.0012541012555702998
121.0	0.008739758262439556	0.0003935114861890465	0.009975485813539327	0.05365302469827904	0.013873316492572237
122.0	0.02002472740861727	0.0003875878462988869	0.005318475486626781	0.031777448597204216	0.007802789181943234
123.0	0.03858299824235201	0.0009013869653955453	0.004410453194863971	0.011371661239274244	0.0024142350532393012
124.0	0.018314045484982056	0.0005219867781273146	0.0030475928549778064	0.007625446356967713	0.0015245490037056515
125.0	0.0447097579582022	0.0051977708804489264	0.01342364315995506	0.03853501436412343	0.006356283686914329
126.0	0.050299258170630634	0.0004616684822341677	0.0027172488068957328	0.007852615437378585	0.002099097865721259
127.0	0.006602867603425877	0.0016040748481481737	0.005088562841760321	0.012821132929513701	0.002649948365147923
128.0	0.0897647244926364	0.00039942343293408733	0.0037291139136147533	0.009327991790848533	0.0020792127187087626
129.0	0.013503072632286561	0.0005377097754899474	0.003932638709984993	0.017119683119755758	0.0037327938708918732
130.0	0.014718004204917645	0.0001574470780209003	0.009140103936666578	0.06636433267108277	0.01440210714649162
131.0	0.011095361314993002	0.000680616613095486	0.002715407673166996	0.010554373346889023	0.002433963853893434
132.0	0.008785584162131266	0.00068039042289747	0.004603168819454064	0.02376995150368344	0.004915818045489266
133.0	0.019882538744891876	0.000457254539396712	0.0033273203686328265	0.02539615844051346	0.004947023837732524
134.0	0.26785395300568715	0.0014813003453341134	0.007165683785985379	0.02638869379866704	0.004588237523672813
135.0	0.131587026562194	0.0006097595397155375	0.008184971743080707	0.025443210532440697	0.005393986449472795
136.0	0.017754027475798684	0.0003736159072785794	0.0031898631929502	0.011827465003442561	0.002236408306057843
