Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.002928828159710961	0.0003710945340726912	0.0016000891909467509	0.00276851602716488	0.0007771221334723115
2.0	0.006421511810508762	0.0055212692260059315	0.00650288487637539	0.007488821341644303	0.0006298043934913996
3.0	0.004050621975685287	0.0009429328111676405	0.0030125845523168333	0.004803780153391557	0.0009171313788198713
4.0	0.0031634806677026672	0.0005058672798863295	0.001440562875549096	0.002606094410949611	0.0006524200716434734
5.0	0.00036613578909228117	0.00022823168590224707	0.0011991483117801747	0.002155775486439526	0.0006728621454784397
6.0	0.005987156879801003	0.0004800120392108864	0.001663538345604097	0.0033034209449912533	0.0007124363081714746
7.0	0.006414164336294825	0.0024407371862757987	0.0034168128586603615	0.004684308495007339	0.0006484297275573673
8.0	0.002612841296070312	0.0007038854946017636	0.0017418865383311462	0.002895418335994937	0.0006611232381619038
9.0	0.0014072224979844172	0.00036542455512422745	0.0015240592500998782	0.0026125781492574163	0.0007455181624985197
10.0	0.009427887150041947	0.0009485740228136752	0.0031123137552221797	0.004563229366647548	0.0009015591889627723
11.0	0.01284507120963263	0.000630090362442548	0.0017119009535369494	0.0026248267399477943	0.0005902426785155804
12.0	0.013678850106110474	0.0004956685015342632	0.0017635283278588125	0.0029510605159472902	0.0006851295877090917
13.0	0.0034026130457727177	0.0003756088215900455	0.0014014039977466493	0.002494998648623792	0.0006883040704218815
14.0	0.001644289976763691	0.000343882607471091	0.0012688092059336515	0.002209953395364228	0.0006734199183282258
15.0	0.006369793157934844	0.001408651662491378	0.0032045251762069515	0.0046270428720178725	0.0009419341324604056
16.0	0.008999187827226862	0.00033533791559559045	0.0016509300308493338	0.003220884874865604	0.0008689123477018008
17.0	0.0017042744325213022	0.0002952623702526802	0.0016879493276421153	0.0029703552850252057	0.0008463186416139442
18.0	0.0012635558640687883	0.00026284222272332514	0.001394384355417	0.0025414396464877864	0.0007301985515264684
19.0	0.014521522903411799	0.0007131193146031611	0.0016672452248431544	0.0027736009028007658	0.0005449299293991182
20.0	0.0037161501469274993	0.0006013882705039331	0.0016225907591477478	0.0026165627753890197	0.000597887881329702
21.0	0.0024760776367004356	0.00026452393548737074	0.0013082933657060395	0.002435550764764427	0.0007287036401009379
22.0	0.0020884060866041	0.0002504500322593195	0.001197299588692503	0.0021453064463921034	0.0006267595170364554
23.0	0.0006612720047229903	0.00047398962543099277	0.0015144678058404693	0.002464025783044277	0.0006624944902733632
24.0	0.0054099644569512995	0.000769108578358213	0.0017894784433774226	0.0027532290098931655	0.0006312411881520407
25.0	0.003736567198853291	0.002018086525617746	0.0029729015034123713	0.0040315913497608324	0.0006310332782780219
26.0	0.0013933241535556418	0.00043652203639243936	0.0013827667161493444	0.0024454654346729443	0.0005997991084175036
27.0	0.017453527618164877	0.0006114625831842302	0.0018103183506333305	0.003059573849277575	0.0007206949255292433
28.0	0.0041559795672970745	0.0002315641799193191	0.0012929095296921984	0.0027635767589530014	0.0007522824888827607
29.0	0.0021863261091594755	0.000584332155741496	0.0015665012670203747	0.0026009694528097427	0.0006351521844723264
30.0	0.002277978669080638	0.0005977536339250022	0.0015613399473595985	0.0025674333780016934	0.0006693757959414911
31.0	0.0007816152718953528	0.00022997792981871434	0.0012040876178662178	0.0021768099413265185	0.0006392710269984432
32.0	0.00352993376390609	0.0005904004245594896	0.0018736644257740772	0.00320162011707803	0.000617303861430182
33.0	0.002583179312867334	0.00026825783985007234	0.0012032617995609575	0.0020624541813293318	0.000572445712922936
