Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0044544450548501535	0.0006660371455139424	0.00264984145772763	0.004921553159119685	0.0010322185794431236
2.0	0.0016626583782640703	0.00031615071598745104	0.001901925434568778	0.003566879532951983	0.0010037390218520408
3.0	0.006187278676372032	0.003903122057031916	0.006499418624670643	0.008416567931604724	0.0013726348454765494
4.0	0.010357817246046674	0.001700492595920533	0.006057452209282287	0.008499679493396362	0.0018382295199320746
5.0	0.000684422180436628	0.0004643408316507003	0.0020614743344472978	0.00352427876717476	0.0008857166546643004
6.0	0.025969960246439272	0.007643773139220045	0.025467807346392115	0.05214283164831035	0.01653279241032657
7.0	0.013555038730434732	0.005669249892285011	0.010267143177369384	0.013944985444215074	0.002843409357237022
8.0	0.011933932540536651	0.002939230841658813	0.007135835415130367	0.011840827481249705	0.0029296351641835182
9.0	0.003555522591794258	0.0015644169710155031	0.003866722156386094	0.006231555349791251	0.001351403441834883
10.0	0.0268000508022338	0.0022074232750129985	0.010696064314593537	0.026503144533272516	0.007919006147761296
11.0	0.022362878776385764	0.0017961946918072513	0.004916790258957246	0.009204968954592552	0.0017985505471185105
12.0	0.014502467025657384	0.0013875090067120288	0.010337049659125958	0.018743242360511503	0.006673001593425583
13.0	0.004372221153438716	0.0010972575612726576	0.0035125473225938414	0.005858849874557981	0.0013046166064333137
14.0	0.0030395867502999163	0.0007134777621733424	0.002016822296166483	0.0033483730275177814	0.0008744602841155654
15.0	0.006173476802060818	0.004968245580764363	0.006973696758357908	0.008602349534281406	0.0010965625920297249
16.0	0.02185440666979588	0.0006918116327270241	0.004938615965914109	0.008539096023760129	0.002259026604309342
17.0	0.006505136034763659	0.0005222731021425897	0.003618331415570653	0.007235630002263127	0.0018481429968786722
18.0	0.0030960904161169145	0.0008581393574831342	0.002668018582261548	0.0048516263644847735	0.0012174550632643387
19.0	0.03681218723664992	0.003925157986178762	0.010024138466466284	0.014187632605720646	0.002807702775569003
20.0	0.014998323591357443	0.008843614222174612	0.017353355782274347	0.03869313255419449	0.009344222015248265
21.0	0.0051536170509836055	0.0011868289096252926	0.003090447696873748	0.0050560786214206566	0.0012215469980707257
22.0	0.005324901425450279	0.0011890333843694867	0.003041646104687207	0.005259569345048787	0.001152557554090108
23.0	0.0017091113241274325	0.00062546769973848	0.002553547018281506	0.004519199104184968	0.0011704947868811447
24.0	0.01595320607162576	0.008479251404134303	0.013972333458936106	0.020742099644907475	0.003586059751430757
25.0	0.004945404507569862	0.0030530355237613493	0.006209147429301356	0.00941650653674575	0.0019472373453967185
