Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1.0	0.0026670459012129166	0.00030574988202181075	0.0014297698367751928	0.002814680906786937	0.0007468754204818767
2.0	0.0013785633948723008	0.0003705916162859424	0.0012337894934972811	0.002153512282746628	0.0006291018320352885
3.0	0.003237656860421767	0.000659414100537048	0.002120923116278473	0.0031840360612396257	0.0007427625899602113
4.0	0.0025146145670077447	0.0004500146708814601	0.0013686666228114558	0.0023592141090208463	0.0006450463925189558
5.0	0.00034047934382908096	0.000266038757486875	0.0012304566760058745	0.0021746995173071992	0.000681082607527984
6.0	0.01483755223618144	0.0011836843627290872	0.0020590072820526736	0.002805806791965848	0.00045228404579034657
7.0	0.006644091042734446	0.0013980542358479342	0.0030171038083958105	0.00487484717212483	0.0010092414528643668
8.0	0.0021866183720524734	0.0017089970016331835	0.002419982018795064	0.0033638636403980904	0.00046748243709610895
9.0	0.001405735476962433	0.0004996849782370472	0.0016466815753048425	0.0027098826295612888	0.0007272014981395139
10.0	0.011785631848240774	0.0015707331195072838	0.002601481696616908	0.005656525653259803	0.0008758362581371163
11.0	0.010339832923267345	0.0005824252772060889	0.0016659009110800533	0.002779738507060703	0.0007321084990809116
12.0	0.017668830386801004	0.0004553002240320625	0.0020686986136151412	0.004329046150295723	0.0009366741703451929
13.0	0.0036924000854891004	0.00033280170808114296	0.0014378268125162519	0.00263549338260316	0.0007328102131040748
14.0	0.0017603010623743476	0.00034000143979329156	0.0012975946942263613	0.002270227881312592	0.0006873649854441502
15.0	0.004424102021772125	0.0012487639159202146	0.0023762172819193086	0.003751415460452323	0.0006711131229256788
16.0	0.009530213833321977	0.0003297431279540852	0.0016490881059163336	0.0035791901739439247	0.0008851811503860535
17.0	0.0021489608333868926	0.0004631225353889379	0.0021745930604692115	0.003892105242948918	0.0010603498844741599
18.0	0.0013044393764382045	0.000262838855091041	0.0013716322815893903	0.0023878461680033602	0.0006906031547159833
19.0	0.01999243615289581	0.0008193045426323486	0.0025656001421696766	0.0041069484424984815	0.0008318624810837106
20.0	0.006021862353814189	0.0008208219172565201	0.001916110255617543	0.003267824381902318	0.0006789179186956058
21.0	0.0027386680716472434	0.0002274731473488334	0.001436118228304396	0.0028240177098142194	0.0007512374187845137
22.0	0.002021810573286431	0.00037794462877194235	0.0012988600110815241	0.0022100374721386595	0.0005725816936848761
23.0	0.0007511856416764218	0.0004000046826662107	0.0014815112963052015	0.002405004053368409	0.0006899049482535385
24.0	0.008401031885242438	0.0005716398770295728	0.0012534605873483471	0.002069595405753022	0.00044993726144579456
25.0	0.003200394139484586	0.0013783492646139983	0.0024282034830779313	0.0035626530462535833	0.0006264623094452383
26.0	0.0020094865347572988	0.000984727452148726	0.0020629341859572606	0.003647963660844966	0.000722466206714566
27.0	0.009141524667376277	0.00041955758875444893	0.0021909035857074965	0.004455232644588247	0.0010202287562630348
28.0	0.003658935111354955	0.00026256055132400924	0.0015432435863486531	0.002963855841283336	0.0008318748737043423
29.0	0.0023838946264337357	0.000672701408714782	0.0016687256571150137	0.0028359437198968163	0.0006421808417696537
30.0	0.002485967291695923	0.0005707485239448973	0.001545109668495293	0.0025346700115762566	0.0006386905366056247
31.0	0.0007652699168043675	0.0002549314414567183	0.0012040329426073364	0.002159138222468937	0.0006433171296909792
32.0	0.009010074781343191	0.0023667450693100056	0.004690761802368733	0.007150021206442925	0.0014321732616735517
33.0	0.006059782614301734	0.0015924645638306645	0.0036092557215987825	0.0053097763180699475	0.0009056651864238235
34.0	0.05290713925220325	0.0010121553314744736	0.002375350264140665	0.004335598439846988	0.0008475947404204876
35.0	0.002210747724118556	0.00027689176179879205	0.001301509482649391	0.0023142357194797514	0.0007062618876198474
36.0	0.0007337786179965056	0.0005121578162816665	0.0015606352517418159	0.0026386696375112484	0.0007361659084344504
37.0	0.0023078310254480705	0.00044578838413078525	0.0013497189119678343	0.002294423456751904	0.0006480497056460874
38.0	0.0010427696725453517	0.0003428976371326886	0.0016195185795781259	0.0028723104371385366	0.0008277819903709815
39.0	0.0029537990072664444	0.000989965209116428	0.0024107814911185845	0.0037076950009143905	0.000695424921473276
40.0	0.006343009323029447	0.00025961551195197163	0.0013395662672533158	0.002663679032339328	0.0007534700722807337
41.0	0.0009248225258814413	0.0005278259966712273	0.0017922799681253786	0.0032265458082468834	0.0008217734304685953
42.0	0.000377159985909703	0.00014875739971365043	0.0012035741793051194	0.0022536905366482562	0.0007418319005945356
43.0	0.005855095871937888	0.0006720954109218358	0.0019112771710236736	0.0030745604710256114	0.0007858009154665948
44.0	0.0069622465982182025	0.00040756621233695167	0.0018113199603427012	0.0035940120545466803	0.0010207595545040798
45.0	0.0021191017915084265	0.0002739265558406867	0.0012883681214540003	0.0023617368058103105	0.0007329898577625626
46.0	0.006686279809985041	0.0011846065506964099	0.00241496272686894	0.003782598520652214	0.0008014275234735085
47.0	0.00311019970433557	0.000899201118936932	0.002544061952846008	0.00402620118242869	0.0008167233719680515
48.0	0.006174418456391884	0.0016221299794075827	0.003099829220807347	0.005958357923454116	0.0010803338904250982
49.0	0.0009231461789556139	0.0003785502187154677	0.0013505219027994317	0.0022383101399328087	0.0005947777562726602
50.0	0.005252646716700338	0.0002808402248494213	0.0013731684126206613	0.0024395777633892113	0.0007654655028337138
51.0	0.008974759209889993	0.0009906807011738072	0.0018311104234556498	0.0026645021910989275	0.000435836433913353
52.0	0.000768048104072605	0.000249222654489234	0.0018540840312978974	0.003467478261142687	0.0010650295649585774
53.0	0.0060146255240588475	0.00030841136704951033	0.001465017163520168	0.0027851602886584947	0.000781892911372686
54.0	0.0006755246125248471	0.0004397273546772329	0.0014424457388226286	0.002479059442324516	0.0006809861436883099
55.0	0.002368392674191755	0.00033853321092414124	0.0018117298999603443	0.003435546710961135	0.001047305393789914
56.0	0.0023584638128090196	0.00046765601960674363	0.001619489945120411	0.002658533499027005	0.0007313874998754128
57.0	0.004462792427088136	0.00038859105495381296	0.0013979104116530843	0.002534811666627057	0.0006805343541691294
58.0	0.0017215155376644198	0.0004655060496452368	0.00161317699549596	0.0028016328147077996	0.0007485206964304524
59.0	0.009699626873867273	0.0011180530143446443	0.004511994887770762	0.007110375918557343	0.0018726542946413056
60.0	0.004314298796242233	0.000580108852910044	0.001947371501130261	0.0031494333206929515	0.0008202836375683525
61.0	0.0026553338699335516	0.0013212755620849448	0.002892069926410776	0.00505287896881923	0.0009409246799410956
62.0	0.0028581659758617484	0.0002363807377712135	0.0014782456752011803	0.002854723674784565	0.0008644879531933882
63.0	0.0009941223532866639	0.000257455659001371	0.0012612342353496735	0.0022643338241364885	0.0006683679495366029
64.0	0.006542950111590451	0.0008854773840417662	0.001951367827828063	0.0028774386179118983	0.0006577724286003541
65.0	0.0018804692068090656	0.00029437513931307446	0.0015113161643785194	0.002574373628625337	0.0007742665990695432
66.0	0.0029998886817766968	0.00042780859090119083	0.0014527880363714176	0.0023772324629316444	0.0006224507091848538
67.0	0.008135472229750418	0.001132840669650581	0.002062716784173881	0.0032288449494753957	0.0005775227489168145
68.0	0.0007947084396284776	0.00027183390817586695	0.0012092844399715786	0.0021384632848083784	0.0006599495116743914
69.0	0.006919603803555163	0.0003456520750623193	0.0018626217794512371	0.004449594924555211	0.0010194954498812876
70.0	0.002234335842822066	0.0015756048251285293	0.002548889324791063	0.0035333678619337006	0.0006641708001282804
71.0	0.0017198303469722065	0.0006569364806564559	0.0015297276786328316	0.0023646093742289986	0.000606292250169686
72.0	0.012848246541517061	0.0008332442182842348	0.002559741846259096	0.005439116347676243	0.0012276607707054253
73.0	0.0011941239309171126	0.00021635329273839154	0.0013854201123882598	0.002581801380992954	0.0008107482784256454
74.0	0.001261036720496933	0.0007510640574921457	0.0015855128313407032	0.0025012059061889635	0.0005597859356015343
75.0	0.009158236033566025	0.000706414227137131	0.003578228304698479	0.006698108905873079	0.0019102140597972008
76.0	0.003234542935141582	0.0004190027088193382	0.0014891615718555847	0.002759317309033227	0.0007542625429349422
77.0	0.012057466016926144	0.0005602938332059937	0.002480646883449712	0.004674955862744912	0.0009581479355548152
78.0	0.0032033975017530247	0.0003245249910581727	0.0013637400683240708	0.0024346479622324724	0.0007004900924753749
79.0	0.0015748849446438618	0.0006631426391880968	0.0017413031768222006	0.002875562784201424	0.000726585328489388
80.0	0.007512240933092107	0.0004129706501888597	0.0020417022680819137	0.003983700252564781	0.0008797816255678725
81.0	0.0015724479531885605	0.00023891815840337838	0.0012801757520446645	0.002330603930833397	0.0007461068254033153
82.0	0.0017648404442981436	0.00025349736118140953	0.001397158101660002	0.00246774896910118	0.0007087773915355196
83.0	0.0028625766305750977	0.0003249214214015028	0.0014485599967245628	0.002569775808086705	0.0007421425447025358
84.0	0.013317393005761846	0.00027708690223871013	0.0015028095744227122	0.0029037373285819568	0.0008266763311887668
85.0	0.003468387009250673	0.0005941854928213086	0.0018918878435136368	0.0033124504689957535	0.0008536678830961823
86.0	0.0018109852686493122	0.0005962387445093142	0.0021961937182615743	0.004033031859579261	0.0009694640497805319
87.0	0.002179540826163562	0.00024683624924848324	0.00133587996091931	0.002489386258125781	0.0007634408990837055
88.0	0.0277101415617792	0.002271373113544639	0.005996368060771738	0.011750819000822976	0.002003718011576469
89.0	0.00958349121579194	0.0003535898852454755	0.0017764124702097967	0.002932457257555088	0.0007996652411052854
90.0	0.016113822439406733	0.0015283019847039947	0.00292881512100321	0.004525710629013302	0.0008513693755862597
