Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1389.0	0.003917796389661832	0.00023120670078180527	0.0013440444807924078	0.004967705686792612	0.001187626076773746
1390.0	0.0007093425159173661	0.00018488774762048799	0.0010533534633578073	0.004170701832212909	0.0009870747166567644
1391.0	0.005578101083931419	0.000332799719981014	0.0009026171216163093	0.003853650532480879	0.000662303910584236
1392.0	0.0011782382115472778	0.0009103454071467398	0.0019099445618485141	0.005439935735853885	0.001242548914865312
1393.0	0.0010738620142117794	0.0003374915082390295	0.0008945510638425847	0.0024091317002518098	0.00043541680714613643
1394.0	0.0012383654610140793	0.00034414420127837353	0.0016228942857453867	0.006468533935826026	0.0016434559285018362
1395.0	0.0009102439187441691	0.00037757649186187514	0.0013677640337709373	0.005006808994795331	0.001241905548884991
1396.0	0.0007066941252560355	0.0002707155500962788	0.0019050143841564328	0.006909673440064545	0.00197117207719431
1397.0	0.0007450547063029278	0.00025255349755359813	0.0009293274102115853	0.002400417706041713	0.0005953054101922913
1398.0	0.0013004957178897047	0.0007066851643068306	0.0015839356858737036	0.0038314326924389075	0.0008950361730792113
1399.0	0.0009221412948045016	0.0004536307625914171	0.0012248060779062704	0.004309890399884164	0.0007788998706423681
1400.0	0.0008800932475901968	0.0003438165869140697	0.0008410293495590389	0.001648231868890515	0.0003584894404797447
1401.0	0.0008155914490772798	0.00029967512276518615	0.0029330719309586897	0.015135379271653537	0.0041858753103101165
1402.0	0.0009860154820975353	0.0004066944633454028	0.0011746812240558085	0.002840973919502332	0.0005720943244020708
1403.0	0.0008509159822085444	0.00040907847532900554	0.0020382620813944887	0.008992091763646015	0.0020241282541740065
1404.0	0.0012182518803998121	0.00044390444878605884	0.002047527184852846	0.007026692021045	0.001922648710138817
1405.0	0.001176838275347425	0.0006247517847047801	0.0018802099067963104	0.0065607077871983055	0.0016124631516724827
1406.0	0.0010745809384059557	0.0004898807111187731	0.0015533387064664561	0.005728173323298669	0.0012508803274678764
1407.0	0.0008668459913812043	0.0004409655443440297	0.0028019777424964035	0.01795939210456987	0.004065770107490761
1408.0	0.0011882630143927875	0.00035010802232071647	0.0009626703893345898	0.0033664523148512204	0.0006347346471275663
1409.0	0.002920049568280514	0.0007278484486358261	0.0014566806688736586	0.003165855860968625	0.0004506082310981751
1410.0	0.008339239157128309	0.0011371610393422493	0.0020598779544035834	0.004088559743816056	0.0007155486102633243
1411.0	0.005064075785719546	0.0011689804759754674	0.0018333292744928226	0.0030205258626668785	0.0005459608370835077
