Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
1389.0	0.009658509721047093	0.0008396278258319123	0.011175633963835373	0.058103834504557694	0.012883704604960921
1390.0	0.00673695102021743	0.0008348710227342737	0.012145340215895785	0.04789742902235372	0.013703909320431364
1391.0	0.0029726859811997075	0.0009841273603079514	0.021548149771976537	0.18560400478892536	0.03399407131794107
1392.0	0.0055296208498772925	0.001528416787195952	0.014282640309825147	0.08543757723641832	0.01964437732716742
1393.0	0.029416533613916274	0.0024385249312346424	0.016514795419716462	0.06737765455984046	0.016351887503224197
1394.0	0.005055182585961382	0.0008627292477572102	0.016121031499579098	0.10185850967719157	0.023830883227382454
1395.0	0.0042961348630758955	0.0010903202244584298	0.02060316865631972	0.10335981951070683	0.02386813162317553
1396.0	0.010012833307058044	0.0015119216435247607	0.013866245375083056	0.07626198162448783	0.017779455855877434
1397.0	0.021668071297860858	0.0009599308391335937	0.018054417233413694	0.07726113568257587	0.02108115082594855
1398.0	0.0040413991142213	0.000628945596487851	0.0171430070870256	0.10901326674671763	0.02239458374572261
1399.0	0.02166196092340511	0.0018824472434038064	0.012707918194809587	0.05254690105251225	0.013616934268025868
1400.0	0.016550286672104897	0.0015998988453780338	0.014829429799937125	0.0496030733203463	0.011984853343854067
1401.0	0.0018807184491069773	0.00028207397796287115	0.013650562546868387	0.10154104159100119	0.02432114043134061
1402.0	0.00488620360782499	0.0012630512827211948	0.011678571596873112	0.050813474586784646	0.01429752130400571
1403.0	0.00525254377651041	0.000809285057466802	0.011814915740192989	0.06280166478104243	0.015478903633850353
1404.0	0.004128223681137855	0.0006556379307394167	0.011337416118569707	0.050855877156577245	0.015090030124835497
1405.0	0.011028213127447173	0.0037860543675887204	0.014247796832026477	0.06714426166791798	0.015942986516516187
1406.0	0.004369185722936431	0.0015641807211989045	0.019397434710076517	0.0754771502826207	0.023481294094497448
1407.0	0.0019108342134916967	0.0006862108752354601	0.017983137017627975	0.21739912867958744	0.03814152534279364
1408.0	0.02358629342983265	0.0008241038579916982	0.014816080555093586	0.09260094070714875	0.021195413026282736
1409.0	0.0749564759665533	0.0015988261755187638	0.006947278009702134	0.02523631001903548	0.005439587285726039
1410.0	0.03071474724330625	0.0023029422290661294	0.008860833342482586	0.019025651751940487	0.004569412291743722
1411.0	0.042787143363729796	0.00436033036480743	0.013806104846565994	0.028752056045044938	0.0056493176993035145
