Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.00398546182748738	0.0007635240713513847	0.0022756101646199916	0.003787053976046839	0.0011178021374736364
161.	0.0043026747166903245	0.0011325901850054443	0.002676986077120609	0.004213551016701733	0.0011213356054322915
164.	0.0033445093990961405	0.0009756756299486025	0.002096569391759591	0.003215857668285471	0.0008226021344218589
963.	0.01623738495785365	0.012954178577716635	0.014609814267353118	0.016261531876096913	0.0012143102328604463
1129.	0.005609189777037837	0.003721956701158935	0.004663307866064337	0.005603452734962988	0.0006947384655124163
1217.	0.008822968341991033	0.005427421045439362	0.006992996307936269	0.008564708127686838	0.0011405408092890438
887.	0.005612433697187003	0.003369362522398167	0.004412404930895818	0.00545457834965879	0.0007656673229986452
1189.	0.00451954549281941	0.0015157435689023835	0.0027344721533743726	0.003951411520239478	0.0008940908385554716
790.	0.007399681030324179	0.0031820051774253955	0.004656663564221379	0.006127392916660979	0.001086220480072374
907.	0.008723653884731286	0.0058661465924997325	0.007081963467951181	0.008304946066534535	0.0008940224549278148
788.	0.005564117549642478	0.0016672465238465328	0.003580625429136455	0.005492547005280568	0.001384502542074033
872.	0.004741032936379397	0.0011108741447596326	0.002584263408655532	0.004053111837524215	0.001081427954243998
861.	0.004665464719831314	0.0013392864222291356	0.0028147998904574567	0.0042887178336904475	0.0010823104540607215
853.	0.0040154533471815634	0.0009541347244464982	0.002449379196901601	0.003944397673319666	0.0011007039651719562
767.	0.005945584268895354	0.0024272726016669743	0.0037098141095634396	0.004989973383003776	0.0009462393978163592
841.	0.005566081208123852	0.002014646984101587	0.003300939218766822	0.004584878941473636	0.0009457845121111471
1205.	0.0038206529700693936	0.0010639034327690755	0.002440669105225319	0.0038154996007152553	0.0010119064504315795
822.	0.008372582054712363	0.004723746781202243	0.0059642067600788285	0.007203169360862627	0.0008964570952339923
935.	0.006945288258130455	0.0032499679266304593	0.004386177163366171	0.005521071299738667	0.0008269600138045923
927.	0.008520874385540944	0.005371726246810149	0.006898400069083831	0.00842743532013801	0.0010996488748794741
897.	0.010381222785214805	0.008443805874368215	0.009368663597177494	0.010293104102660156	0.0006810245528277356
793.	0.004125257898915491	0.0012869202929380874	0.0024611785160882256	0.003633594566658349	0.0008657953235855842
803.	0.005401588611198105	0.0009674732929736418	0.002627668209391822	0.004277273857594466	0.0012110368092239849
967.	0.00910621909580489	0.005563056095284402	0.006788271475550056	0.008008539885920318	0.0008802237873910702
925.	0.005989704302253873	0.0027395801550931242	0.004078604869320559	0.00541490137098799	0.00097811816661971
965.	0.007818147226961503	0.0037776045479774867	0.005343634003757301	0.006908314893075862	0.0011338305758303103
982.	0.00389606781062124	0.0009892080303545159	0.0024180291774233975	0.0038463411333937714	0.0010464605756311295
876.	0.005410302627216423	0.002345832735201947	0.0037506955775877047	0.005155231663272364	0.0010391811950376088
865.	0.004052097909470143	0.0012145556857349193	0.002362989179767934	0.003510113815586635	0.0008392594634420106
1188.	0.0033339989787205537	0.000534483677579578	0.0018393649136403585	0.003140295391400816	0.000964923066595068
856.	0.0044792019020198914	0.0018957416605616118	0.0031847452467322662	0.004471272159046413	0.0009427014394320165
764.	0.008515349538132932	0.005043535444163916	0.006677933905171304	0.008307278756317649	0.0012032907502849994
838.	0.00840257758781715	0.00479872701596773	0.0064305026312941145	0.008056766651201475	0.0012029508703687315
786.	0.006946579310805334	0.0011490628860542085	0.0026367523613615614	0.004123832497100022	0.0010956188750024989
874.	0.006515664717379077	0.003657139092441475	0.0048100916086378995	0.00596102072885607	0.000849810665234095
863.	0.007332209488936647	0.004733639501417031	0.005890261676739862	0.007049505925877497	0.0008409757710411096
855.	0.0045735044861967555	0.0009624016928692081	0.0022321520132169833	0.0034970859041781877	0.0009277014975263541
1195.	0.00448195962747977	0.0014208757150261375	0.0029334567019158675	0.004442545390233477	0.0011036505192367886
