Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.006359787304409004	0.00015420993387715853	0.0020283263254514314	0.015026487034946134	0.0030044522669013846
161.	0.007388361606874394	0.0003881740814153378	0.002334352473484955	0.015616257725615701	0.0033486058665582524
164.	0.011902342711786473	0.0003359453613369645	0.0035387201903929557	0.013738189322152983	0.0031579101322407603
963.	0.002176785615041421	0.0005106014196991637	0.0201612140128405	0.11488206706820081	0.03031430319980507
1129.	0.0018809458129022127	0.0003495875345643773	0.004134718351001691	0.03222619643778113	0.006606549112546751
1217.	0.03795638286739189	0.0006232203119266311	0.0038505113358052153	0.012842003624048304	0.0028478626025071493
887.	0.0048192450395824205	0.0011426159154757087	0.005200106526850172	0.019691485762903582	0.00450639275128743
1189.	0.004729124963381737	0.00018016279281685144	0.0016855177406802594	0.009294741280142849	0.0018001577954105032
790.	0.0031696270612177058	0.000467178508714694	0.004837017074634494	0.037524575422077655	0.00779760808476622
907.	0.002116417782419333	0.00037957307396729867	0.008245650571640959	0.04793011546098058	0.012040035099840484
788.	0.008524542442101435	0.00017670462559726818	0.001768998997970331	0.0054471297559112175	0.0015750812134579682
872.	0.0035332076059336748	0.00014912036412262353	0.0027837715548473065	0.026158603150271853	0.005181074833393055
861.	0.002420700959114175	0.00010576891984870329	0.0025599862019886673	0.025562611670361446	0.0044523755375907
853.	0.0052465135155358444	0.000372714469215607	0.002719021755813088	0.018716604363283595	0.003345264840681258
767.	0.0021968024027495536	0.000385313119361852	0.004280061537411818	0.024675127917589856	0.005858111581458433
841.	0.0022034298821970166	0.00037603430765098533	0.003996064503818746	0.023919785586286046	0.005451466577329095
1205.	0.003628237820288871	0.00016460486096159244	0.0015826543277893072	0.008453715893303348	0.0017853636391254608
822.	0.005996869324366383	0.00039167434644160615	0.0021817366955942307	0.005583834389434217	0.0014137659688249055
935.	0.0022546947615682544	0.000488593506453805	0.0038551196735046008	0.027123358366594297	0.005466197875947863
927.	0.004025729922828125	0.00035913753189431574	0.003309409700638078	0.021212756020069556	0.003935505461051478
897.	0.005169276702570391	0.0004902579738661483	0.005832082163709739	0.04665228021304513	0.009077153380673463
793.	0.0029857769268076817	0.0005281684157557587	0.002745903978218064	0.019834626733135297	0.0032242818671983516
803.	0.002275225204118825	0.00004443719476987518	0.0014890157265340614	0.004493460342516298	0.0010141084018235901
967.	0.0026590538140287556	0.00024397929388142447	0.0031150313132529907	0.01564900972497396	0.0035727127073556164
925.	0.006929566317416924	0.00009978833095269923	0.0016193582763634922	0.007092427333207141	0.0014138161821134723
965.	0.019337580366541096	0.000330849549435297	0.002212384702903681	0.0068616960768397295	0.0016013493918466857
982.	0.0024169698524992844	0.00019338070495156234	0.0014473022169926933	0.009895527297153928	0.0016204479682133846
876.	0.0068295271889119435	0.00023467012089584127	0.0018268025276795168	0.004557143698203259	0.0012379574141775998
865.	0.002167653520085966	0.00007721922702852435	0.0013797017339795732	0.006379807412316141	0.001181816576843416
1188.	0.0030154128344183073	0.00013483893840449124	0.001936564872959438	0.01876000708698189	0.0030214462224579025
856.	0.003184201263546127	0.0003198667954125156	0.0019846258132602624	0.020059481492752163	0.003568964844950003
764.	0.0026779367084621697	0.0001623983279942509	0.0013038135692189923	0.004691646307129149	0.0009896286944255184
838.	0.0026172952458016763	0.00019130895563956862	0.0013033342744279803	0.004816273367727719	0.000979912846222408
786.	0.004522496388508657	0.0001530364447341892	0.00167308533342607	0.008561985400698191	0.0017523716991366127
874.	0.0035168781700466445	0.0003889842273415711	0.0019356948539436365	0.013466128792753773	0.002447636515693377
863.	0.013150835346607215	0.0005845040745751096	0.0025241247475327557	0.017408173068033772	0.003197364924379681
855.	0.002994115057838198	0.0001689819965849937	0.0030139436880497975	0.030257547571949095	0.005722351913879861
1195.	0.0027650713714202357	0.000189796149949073	0.0013409657778513423	0.0064862048277817275	0.001260817547468063
3.	0.0016316105101288336	0.000309951436976319	0.002304312314155029	0.026691215031879323	0.004284133285420729
88.	0.003913059924700146	0.001546363628400882	0.003857997580477573	0.018028447817888815	0.003096476310838141
1028.	0.004892615820039636	0.0005206076956025818	0.004232211699245652	0.025167308582864756	0.005352841206308495
1053.	0.00628953151714684	0.0002365970063571421	0.001955584648127776	0.018787556625046498	0.00328436443790245
1067.	0.003255672912023888	0.0004986607896249051	0.002321034206842347	0.004977624538224035	0.001204532293590029
1006.	0.002428633864236862	0.0006397251341114796	0.010276211981151927	0.1243931732384258	0.020182875023357468
1048.	0.002832187211630477	0.0001292504354766244	0.0013761572470899644	0.005909864378884855	0.001160890080265083
1079.	0.007140179158069304	0.0001667789831365507	0.0018668986464699705	0.010838776796167515	0.002403859217493071
1049.	0.002791641742478812	0.0005597853624255134	0.00542380841503275	0.043985556962333305	0.008454792738309005
1035.	0.004271595076879908	0.0002852083944906436	0.0022680913751979164	0.013920784895231297	0.002665527961682016
1066.	0.003109136861284778	0.0004286063896804526	0.004255334538699743	0.03406337691881356	0.006279056213081989
1019.	0.0022860796581563037	0.0001926715632365461	0.0015210483610981842	0.010273463641716774	0.001697285005731327
1076.	0.003557472170512499	0.0006353645952132947	0.002317078705083004	0.00884638568337881	0.00160407539592196
1086.	0.0017849659548980767	0.0003824349160355123	0.013286839422097307	0.13021365886959257	0.028001704851643622
1071.	0.0019545990424896242	0.0004206599464896543	0.007182336296496212	0.040622217024848806	0.009922831540253432
1085.	0.009148345828228988	0.00018295004831536676	0.0021310739878317546	0.010617627953247166	0.002560949690558225
115.	0.002690261684273998	0.00026569993460512364	0.0017321535745309818	0.014466859926113185	0.0023112733707273173
632.	0.004565106992866941	0.0005400243896929169	0.0025362376948825293	0.0061238302870340044	0.0015558268044943888
117.	0.0027702871514703187	0.00032998333996248075	0.002229835660583215	0.010705753651739536	0.0025538067600852526
116.	0.0021727874198911312	0.00035916652601275523	0.0014431292386395558	0.004115103591621705	0.000945803115227886
1042.	0.0032720224817277543	0.0004832001116892304	0.0024215441890165436	0.011342594686420182	0.0022273299268191597
1078.	0.011346606449799235	0.0006718461133597975	0.002796215281388525	0.008792566834455062	0.0020262004354332864
123.	0.003051504739492006	0.0003549954298429636	0.002033023209497841	0.01663789065479193	0.0027719279595839557
1045.	0.004005805766288506	0.00015211601353892767	0.0018330417378685	0.009599601762221188	0.0018957631937161548
1030.	0.002431039749485775	0.00041693839128409405	0.01465553811873698	0.15478650815889605	0.032840510409721274
623.	0.008412863106334934	0.000815129781249091	0.0043544069944423764	0.011006846884288324	0.0021606011334550927
1065.	0.002862646117418266	0.0002741910666532732	0.0016529090943303358	0.006139581643981984	0.0011136902993894833
1059.	0.0030443937348579864	0.0005514684911633871	0.002531457673327874	0.012803801801799741	0.0024066347434130077
121.	0.002383317485329828	0.00033631358262120603	0.0026348120346677472	0.022891178143774282	0.0037005573199097117
118.	0.0018656733285586924	0.0003569884178278304	0.002269585511122697	0.013299847266624809	0.0028622328795005246
120.	0.002615463167475074	0.0000797263341731913	0.0015722014987449877	0.009070601019148916	0.0019445049746848327
119.	0.0020011962332417976	0.0003760961277728958	0.0014383642462994664	0.003805289275616075	0.000853378212423778
1027.	0.002899419378598611	0.0007069751777714073	0.004364911461091502	0.013688457155336509	0.003748108548202452
1012.	0.00543010058647575	0.00014502162917751082	0.0017365950045063366	0.008707284507314061	0.0016607224152625016
1031.	0.0067545041509983195	0.0005484993472132382	0.004486293411802017	0.017155795069510704	0.004592332822376431
1033.	0.008373414944817137	0.00016788213246932138	0.0019977229443101387	0.007680792064030828	0.0018987864530062989
1010.	0.00848948549299633	0.000179706497095089	0.0019876866768817007	0.0071334153183806315	0.0017449729206165374
1018.	0.00288951427952433	0.0001414715021829105	0.002270423913261168	0.021581473469175605	0.0036052728804430445
122.	0.0030945398273093394	0.000567457888389189	0.0017717797520239958	0.0050630554254573745	0.001076320940464278
1056.	0.0021349024891688106	0.00039534281951647543	0.007555892778417979	0.07390586253027898	0.015497475271294369
1009.	0.005187946707500779	0.0005434249670492886	0.0021000768060055438	0.007030984957248743	0.00157999617824035
1008.	0.003992001785913413	0.0005536344337383481	0.004700671275530702	0.03674126314192716	0.007522748848070222
624.	0.001978929900896431	0.0004630575251657332	0.012407466325379268	0.1280609261579353	0.02353993216554585
1070.	0.01595633359841553	0.00030243629671500294	0.002837051775663653	0.014471201853954452	0.0027185016807838636
1022.	0.0030282632588599645	0.0008473490130320727	0.002814598255841413	0.011569037405269156	0.002672898395576801
1000.	0.0024494693231411624	0.0003877711811066664	0.010456764772939529	0.09768162764076804	0.01834032313886202
1036.	0.002564676866391391	0.0006141390330806074	0.005139764527342164	0.027341389466048804	0.0059463275052507964
1023.	0.002712827439176335	0.00022103045419652467	0.0020201488367826057	0.03216522493321028	0.005036079399881538
308.	0.0031372377392400175	0.0007972033024499225	0.003539301957215669	0.02257883493183732	0.004546235256674364
1020.	0.005018269615633675	0.0005539083610733853	0.007567528919988396	0.03831724042486284	0.010307048284400329
483.	0.002650540544372415	0.0003104913793525732	0.005927422258019296	0.049191782998636246	0.009859693601141903
1224.	0.0036836673479692106	0.0000904456095887074	0.0013693985898755828	0.006710929142951794	0.0015556496113436071
1051.	0.004501636944903131	0.0001874282238510938	0.002181475176326259	0.012464529977834649	0.002326475190206645
1005.	0.003184986342009366	0.00021086754070009928	0.001519114344256873	0.0048757439063995545	0.0011297456009511
1041.	0.009016586742786492	0.00020328111558198803	0.003113791712351686	0.021111254592848128	0.004180567064726574
124.	0.002280833436247187	0.00031920434742249704	0.001959981884468757	0.0165571024689688	0.0026731758481164914
1029.	0.0028567639447782955	0.0004727362166462301	0.0024074661552723805	0.009644589347548083	0.0019904618362291487
125.	0.0025570683194441335	0.00019608931137315988	0.0021151755801553187	0.011135280691450755	0.002625260327865182
126.	0.002470834586436488	0.00026806103879550847	0.0016323072677346118	0.011158710343005196	0.0018952686378122588
1039.	0.004609404494471447	0.0006203131224644665	0.0022443485378888387	0.0064143527511445475	0.001434137777413792
627.	0.041553130235543856	0.00023107162700175543	0.00480117297155459	0.033276696712783105	0.008020489496774606
142.	0.0025400319664177218	0.0003063801127305421	0.002730996465812686	0.01928996115942927	0.0038134049820647427
143.	0.002183633500628779	0.0002967004266185569	0.001971512463836692	0.010267368693495316	0.0021152233854556364
144.	0.004197088373249391	0.0003350237623365171	0.0018679444957001817	0.011137178687900429	0.002225511732441263
1087.	0.003356008845765923	0.0006404951058723851	0.0024772329351859007	0.0136919451132953	0.0026672775106202323
1057.	0.002956834633212946	0.000365129799794528	0.003338767676677811	0.01816155445649925	0.0043501741739003195
146.	0.0029727915094189816	0.000406835451702392	0.0021942595623672084	0.012826271147278745	0.002345360430973193
1077.	0.002483596469367799	0.000496293204811038	0.004843188968584224	0.03943715793140001	0.008481254148137893
951.	0.015117032040760203	0.0003070164839511502	0.003033921579905629	0.012123170894839164	0.0027025743682944628
771.	0.007770873772636855	0.00038323606469270466	0.0023531481780221636	0.005088577106873937	0.0012088173211679812
956.	0.005908285154446302	0.00038061391741261996	0.0017075088752911865	0.007658217517068522	0.0012309289709864397
949.	0.004375329271256945	0.0007449889909295626	0.003097227322838601	0.016335354595156337	0.002787438427579605
716.	0.006260661649048038	0.0004535913606663611	0.0020481767030743046	0.010067357373924724	0.0020601800523145685
758.	0.03361467095585924	0.00033950661282677874	0.0023504421380026123	0.012264526712920554	0.0024019058846762595
974.	0.0061677665968831175	0.0004097857105940239	0.0038561966282759175	0.017315107492773874	0.0038702870392279157
732.	0.002682292763606986	0.0004040398284534952	0.006243634150909748	0.057166546787494	0.01208996903585597
739.	0.0023120588291853927	0.0005201731640145368	0.001940652392872851	0.0070758720205338355	0.0012607653033563132
915.	0.005693657198234003	0.00031750830395171903	0.0041701350530822376	0.02739093687223626	0.005895442989902631
989.	0.005684796277552806	0.00031735048897008067	0.00423544983468766	0.028317824346772102	0.006104154794091637
1200.	0.006031768568491747	0.00038211119407327576	0.002136562251827977	0.0097300331453537	0.0022189442274792933
813.	0.007945039278263621	0.0002603221264009248	0.0023653275534676094	0.005833286022515316	0.0015640699879342006
977.	0.01041169571430145	0.00040189696586878654	0.002260132001201237	0.009534083226398371	0.0023600054950462406
721.	0.0028457239602719397	0.0008522632269980512	0.0032598091303094904	0.013654974067993875	0.0023771380369320993
751.	0.002937630636394628	0.0007364272985913578	0.0032839714058207495	0.014814808382167644	0.0032304605675517704
918.	0.002974030525465854	0.0007128122212068932	0.004186430172326473	0.023355956943926115	0.004439747480923088
840.	0.01422183317622483	0.0002901159909751705	0.003011667365951072	0.0193997080133399	0.004223171809044653
740.	0.002823342125637951	0.00042493852784741826	0.0030517409410428637	0.021125499826633143	0.0044423901803312986
890.	0.003201181266327624	0.0006406767328293039	0.005612843468362494	0.027475110839328076	0.0072888642407810764
842.	0.0038672333819010918	0.0007721426394952102	0.005732239716739153	0.03394794390511735	0.0073895469297115424
722.	0.027515906652393896	0.00026623893255017794	0.0021612613951157273	0.011321236895940334	0.0025156539480636364
910.	0.003116245437443377	0.0005570315180590812	0.004010646201432398	0.01978803824504005	0.0044939604298801184
942.	0.0058651582732144325	0.00040474541802104635	0.002241562305676866	0.008280012222413813	0.001830415231559359
992.	0.0026365774830989785	0.0007427083514136568	0.004110142342180051	0.02272382350173685	0.004343351520426415
1194.	0.005334905246561772	0.00034597350407838956	0.005507282072809327	0.04108833130210665	0.008966178347526365
717.	0.004870431719986468	0.0007938276088990115	0.004234354537391664	0.025607598976211565	0.004927992839216142
1207.	0.00470534975103809	0.0007216623106278686	0.00564072722392833	0.03062740662229102	0.006793357513036688
768.	0.0037030792233265775	0.0006553807559237512	0.005883556221030706	0.033767052369986006	0.007647950940485663
944.	0.0033291118841064504	0.0007378095464576351	0.004916350197639065	0.030752590943464275	0.006424299790393341
