Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.037575149511759	0.005665822842766066	0.013545016666126704	0.034751054050800256	0.0068477779647513224
161.	0.034465645206713025	0.0016347160527452331	0.007518028467948288	0.033923911190680944	0.007215160881962965
164.	0.02639762465728801	0.011256248500630672	0.022450746250517063	0.042106022833828916	0.007369512023931029
963.	0.008930712063295876	0.002950971423928306	0.018555498941801234	0.10730833073616441	0.025060527551722427
1129.	0.007913973406074248	0.003096827631109189	0.009208630228334578	0.05899232697028878	0.011872951615483053
1217.	0.2586203080390781	0.018914156640317814	0.04397766372195906	0.1251390138050994	0.024482334519198012
887.	0.06525718736274178	0.020850508809214796	0.030385244208250457	0.05369496601604251	0.007638797921528613
1189.	0.06595855647502147	0.004814097226375935	0.013297215910858124	0.047464160503085884	0.008575428649559296
790.	0.008190388320738706	0.0022370350771430125	0.008596791270134348	0.08466039022854777	0.013131403855175883
907.	0.013915686799413685	0.0030911067347750842	0.012509790696929897	0.07155542948549698	0.014291985530208126
788.	0.07301426827546542	0.0015219751385282532	0.011225029918083607	0.04786389473771757	0.011599711741007612
872.	0.03167614286596643	0.0038472355144023584	0.019871683567390122	0.10900579991783499	0.0220628682285144
861.	0.008396352677709551	0.00354905139448658	0.009434083587803063	0.03747829033356864	0.007198991105023614
853.	0.08718895522193348	0.008528704251255181	0.021655310831375386	0.06670617797044165	0.0121486008679103
767.	0.01199702965224192	0.0037575454859239965	0.01260487740295885	0.06782548317519554	0.011630658008225202
841.	0.01240332955423784	0.003979328062252319	0.012528855809542534	0.07010208522937422	0.01165227936290321
1205.	0.027422265683090807	0.0043548007564291336	0.015290072516104944	0.060041034651899805	0.01131180847038043
822.	0.13373941729277306	0.017525410295742394	0.040098083698736554	0.0937934971618346	0.01809280591334832
935.	0.03274496259377613	0.0039082657394521325	0.013121881950818185	0.09809022136263612	0.015516878646457745
927.	0.0831046333619948	0.016285714029180443	0.03488970829965012	0.08904229358169025	0.01927485011261931
897.	0.028844891749158608	0.01062925312438856	0.016784764996394808	0.03426173077239292	0.006379954387824292
793.	0.008261465273857738	0.0015793518360861514	0.007873427507702606	0.05143780477912707	0.009680543851269298
803.	0.03732352613042256	0.0015065280335214704	0.010965966724694073	0.04751717611512629	0.01114327346349046
967.	0.07601097582559291	0.011291499113607606	0.02851511929331918	0.07023639907978974	0.01565607459678578
925.	0.08217594945049289	0.008535987793359179	0.019751447788587086	0.042000069528379536	0.008341544287725438
965.	0.2017245792538086	0.014634237714564069	0.030354995669807993	0.07228384405691124	0.01322106280911973
982.	0.04245056913003431	0.004101954726771995	0.012274367241462464	0.03947141137898902	0.007641960331346922
876.	0.03456124147848161	0.009489779556383748	0.02121840438325822	0.0679257643504596	0.011686634039690016
865.	0.02875500321558766	0.0023532847117652134	0.009689957718754125	0.04208680400947551	0.007049350815360685
1188.	0.026756175681384997	0.004862830432259213	0.012706859497053503	0.045908577903667536	0.0073578092420110855
856.	0.012575635037038402	0.003421757015097504	0.009343475566947939	0.029734741881870308	0.006500040178589464
764.	0.01722590343422714	0.00438591276931366	0.023612381664845732	0.11256825363268697	0.022638307338047635
838.	0.06871900230397165	0.006775059014401563	0.018381774182469595	0.05632126303575802	0.010331130485064424
786.	0.03117516803851217	0.0020790662027434514	0.00895432567409002	0.056233404793542885	0.010182072351213713
874.	0.021867072990737646	0.0036572287513249035	0.010085378396122037	0.03302958929456934	0.007353368275199243
863.	0.09232857785275517	0.010079510507334466	0.023104904646024816	0.07034644915884525	0.011968897908697517
855.	0.020816649480737137	0.0029825895805665192	0.008305473026398573	0.030350848550112275	0.006207820108740381
1195.	0.05284741005089599	0.004239703545380391	0.013293255214368097	0.058344170116577	0.01118746876196147
3.	0.008351993541102054	0.0019201845264231743	0.006272422982169914	0.030725031463315178	0.006199252757856307
88.	0.008100046799455862	0.0026629823875372605	0.006052253687392095	0.0167621019796923	0.003326118519072758
1028.	0.015162327650261709	0.00861234033188274	0.01482836636205334	0.027374661347411844	0.005683442158842772
1053.	0.0391941203683307	0.0028654594920682896	0.009825239314168082	0.038603937042335335	0.007469328074688519
1067.	0.03105139298264481	0.005855373531693964	0.013777982142073169	0.04468074080536155	0.008004079779869605
1006.	0.022878779971533203	0.002072089359069218	0.010457366709853352	0.056137382653565604	0.012523481059973836
1048.	0.025860862574763943	0.0023172405168788712	0.008579274197571308	0.057529318749620306	0.01041954008025729
1079.	0.06009570928204844	0.0024735569024352255	0.010163835845622058	0.041430491246999046	0.008754815021393126
1049.	0.013502517253396462	0.0027272564820929324	0.010111358967442812	0.043310404062949504	0.010473155911555595
1035.	0.024148423169883526	0.0020207872536761595	0.007484472694956427	0.023244298542000608	0.004714444863908781
1066.	0.018550167310631305	0.0029937888695468207	0.009078479907678088	0.03332897542631885	0.006674966710744176
1019.	0.010030808149811277	0.0023789416808002173	0.007140241616279183	0.029880972800485628	0.005100622100187484
1076.	0.07760441296068965	0.005883713825904913	0.01544858152486303	0.031047984874670198	0.006055235394455487
1086.	0.010283280244329451	0.0031064404338077	0.01635461757989723	0.09893256026259545	0.023648330093312363
1071.	0.008410505808420843	0.00231994064605201	0.019727269305241466	0.08153212837530444	0.02156347530211913
1085.	0.015392668301941748	0.00410348469400712	0.012554522241766754	0.05297644051865569	0.009647117985714536
115.	0.011665693849734371	0.002420188986004157	0.005304099456413726	0.013627064129594246	0.002767368285058018
632.	0.03381527418023478	0.0028352957556704306	0.020183812189907318	0.049060632510387836	0.010917754199811436
117.	0.010591373992212993	0.0010910575589584415	0.0060057362766389785	0.05963855038599675	0.009581871553690849
116.	0.008634466892534776	0.0020299429019093873	0.004994675560496415	0.016627279788366423	0.0034303031302927276
1042.	0.017083397178354054	0.003350372129301782	0.00941559052008996	0.02564464297263558	0.005370362533590574
1078.	0.03665281118102959	0.01553154001388568	0.025937282813048666	0.05693753622629982	0.008161823576604908
123.	0.009977210433994799	0.0015478360046752293	0.005324158319216119	0.045199226058564856	0.0069018225443413204
1045.	0.016803571441529774	0.0031576513884914448	0.007830732089679673	0.018708082980256835	0.003850221795584321
1030.	0.006117963869293863	0.0020315912886307297	0.014569122134508485	0.11514719787759709	0.023464331061679906
623.	0.14796792737090136	0.023489542383653306	0.05588032933044248	0.1177713656057977	0.02798859848763333
1065.	0.010412654928145026	0.003564918372928827	0.010445997996284947	0.06855859882371473	0.01077475684331334
1059.	0.02168030535181209	0.004222656231816391	0.013186523688390043	0.03980600832521497	0.008471908849419344
121.	0.012297835216150022	0.0020851391240640504	0.007231566083218666	0.028280903834067117	0.006194730573278496
118.	0.009431483035022947	0.00220936813491035	0.007833222562355503	0.033040577707768914	0.008298043259216181
120.	0.009706157846095964	0.0017717495662986638	0.00463383203486069	0.021501476904706496	0.004222183857107126
119.	0.007506757589619273	0.002997293014021629	0.005349133428276473	0.02035733256735317	0.003984524532951526
1027.	0.02365555445608447	0.014180158552040023	0.019064447910137016	0.027843371813644713	0.0036696983728969172
1012.	0.013757545286585238	0.002564822526657573	0.009960680002180427	0.026322613924997018	0.00611278930015004
