Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.010250903735625982	0.000389751764395041	0.002263140540441712	0.012700298177267255	0.0024960898992682497
161.	0.00916306484154028	0.0003005043589575651	0.0021301412090631486	0.012172578332751316	0.0026950909131943407
164.	0.010383350449673534	0.0006424490176193398	0.004103271006185508	0.01386894231769642	0.0030208611063806843
963.	0.0055400882480973745	0.001265723984385514	0.022582606455330417	0.12062427053134073	0.030968303561415365
1129.	0.005376927446922308	0.0005701752564806206	0.0037280411521085155	0.02418968598114113	0.005726140231972938
1217.	0.03131171947657507	0.0018917382976135766	0.00582183160057708	0.01623968703015999	0.0033882896409526356
887.	0.011333187281964419	0.0023218840069653135	0.0052681608642651916	0.016088191286768305	0.0031009531301881108
1189.	0.015299670886747663	0.00037365432764235873	0.003973267018154639	0.008562432884115734	0.0022634341430104185
790.	0.005289678599610936	0.0007371659453783153	0.005668460763374923	0.04820551925446093	0.008270968896982844
907.	0.003696106458231707	0.00018089076755301026	0.007343259801237416	0.043256102835661614	0.011383604916616032
788.	0.010459285976829436	0.0003478380970789452	0.002011740855874493	0.005687387001430788	0.001466421911705891
872.	0.010178778521705678	0.00009397986562775795	0.003334245779408189	0.01955757880487985	0.003832529017372736
861.	0.004603789305825168	0.0009752220735427253	0.004862218535700162	0.029763651451598316	0.005102254039352811
853.	0.009041014865941999	0.0007846608118434739	0.0035979514342287812	0.021757227910471633	0.004010736918123567
767.	0.005936380927688667	0.0015788449716147568	0.007939678352521486	0.03259325438447236	0.007394968146931189
841.	0.006029514247834267	0.001562909894974096	0.007664956751809814	0.03155311363330193	0.006872571572652732
1205.	0.006453168025232214	0.0007216392243315495	0.004137327572530859	0.010013102551139186	0.002513595735881352
822.	0.008739560556070503	0.000864601361355577	0.0035731189939721053	0.00699772544942745	0.0018280316061706759
935.	0.010165280771973983	0.001724249447266235	0.007017258972339727	0.030571238645185184	0.006748256137976874
927.	0.007745226527424265	0.0015736773751636735	0.00481787006691791	0.020715562890916694	0.0037794196250817962
897.	0.01220169364948509	0.0007000325229044035	0.004970091639033352	0.03343694607570169	0.006960715758497772
793.	0.005069924523450675	0.0005984059084878091	0.0036158945217485894	0.027073645699255078	0.00450744592746228
803.	0.005208861112501406	0.00018066915850623033	0.0015557506454676514	0.0032329943206570455	0.0008116087886763055
967.	0.006520598892854945	0.0009589260761669882	0.004670336940168882	0.018980119408555707	0.0038066954004514703
925.	0.00813758126097408	0.0011458588571570116	0.003230305426112647	0.009153923685267906	0.0017718375090213523
