Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.00895662543539344	0.0010372539235574685	0.004230595522145634	0.013448492231311837	0.0027559248841191293
161.	0.06289075299741775	0.0013854682563100296	0.004369491798495899	0.018273101728299435	0.0035700909651797137
164.	0.015050956024583506	0.004725176659772123	0.009221170372717772	0.020005613362840236	0.004315903975935633
963.	0.002849169499894222	0.0007391432020040778	0.01291565351090327	0.07207398423947509	0.019516128540968
1129.	0.006232789645753467	0.0006269693427075618	0.005303741182839325	0.028391780312020498	0.0072535329287775575
1217.	0.05177939771943918	0.007047344194912819	0.02411341492297904	0.04312850611529828	0.009748411203677195
887.	0.054524579186498	0.004770442304811051	0.014762045569395274	0.03831060467808567	0.005886867679831197
1189.	0.009306197167448627	0.0016463794335568327	0.009375986778888235	0.022242441326837836	0.0049962148260869485
790.	0.0037508031418357346	0.001032762092827988	0.005499034339527846	0.062042370100558686	0.009659514534168589
907.	0.00790580354451298	0.0005497563895080493	0.008355520191969154	0.050505713832629806	0.010632634766362167
788.	0.10428791486996436	0.001539203927068744	0.0061875735365572344	0.02109743052041113	0.0044149097067404984
872.	0.006398373700941096	0.0011636479047139048	0.004018020211155123	0.006809659145765923	0.0014692289515921967
861.	0.003096922639681421	0.001365633637751995	0.0058449591884660885	0.012925040178196623	0.003487686749684608
853.	0.015357516136671578	0.0035356491186557815	0.007511928771867129	0.013078829945823656	0.002297377707601691
767.	0.031188055192174158	0.0014188032836369713	0.00650459025882353	0.0255612363689931	0.004980465887417477
841.	0.03234676833416095	0.001442631788893034	0.006389568625649449	0.021945514913401687	0.004573599426165499
1205.	0.028673240267454214	0.0017024427371298279	0.00707012383897942	0.018480013115436678	0.003851769297879746
822.	0.027857115731600768	0.006505476352827277	0.021759874222341116	0.041491087078834976	0.008310592220705118
935.	0.02487969568789372	0.0017559474113701956	0.007813888785364879	0.06383284045473547	0.010117121947906437
927.	0.019214262787552783	0.006634010327514206	0.01804395318246161	0.03241489653144747	0.00755202617058344
897.	0.012505172643567097	0.0032342417665062184	0.009279272491749443	0.03841805343986204	0.006613488059213751
793.	0.004748891454261939	0.0008693642852989347	0.004760245923045459	0.02810294359228227	0.00534735163966553
803.	0.011692631657057806	0.0014306931282082047	0.005746674331444828	0.01590734958515383	0.0031756729606770007
967.	0.015425645861326776	0.004148321618359763	0.01314832600883569	0.02363354835097209	0.005166191488567016
925.	0.01733805318333481	0.002914427404195896	0.008592758415395871	0.01879263068634207	0.004104377816917397
965.	0.029962806525104968	0.005498177369734902	0.013824519200837281	0.03390621833608931	0.0062356656277434
982.	0.023935070173859097	0.0015955039784723013	0.005079737866905605	0.012465813761134314	0.002721725433967845
876.	0.013532931669362758	0.0022242456995296145	0.007590896812552359	0.024929553689321815	0.00479217504237804
865.	0.00997904050699605	0.003040730779201306	0.007173411645012247	0.03204351961531293	0.00539309777373898
1188.	0.025197335253268838	0.001081144966022518	0.007448337720701505	0.0180802519176243	0.003870897536876324
856.	0.00950035404923033	0.00098393836258015	0.004426063620746503	0.012142082625794082	0.002705321651548157
764.	0.014130766208219847	0.0024070032586513967	0.008210637832752674	0.01745401101046573	0.003539238285046402
838.	0.01434469877446043	0.0022977470875302775	0.008002216850929071	0.016917845502961715	0.0034605000058590164
786.	0.008792382734496784	0.0003604604340657902	0.004149984909114504	0.018870360342045034	0.004226516438446056
874.	0.008845480805124484	0.001588183868674875	0.005504300308403106	0.023446307875480077	0.004192618880892598
863.	0.013704044749691557	0.0035079129349061544	0.008958014660405916	0.018592225063670198	0.0037450805814656725
855.	0.01915347636222986	0.001121181802191229	0.004355159073071052	0.01630227141886753	0.003425153354667126
1195.	0.024484594268102677	0.0015290328931223396	0.005673479200297112	0.013895728930088391	0.0029298913813227074
3.	0.0023149891469248507	0.00048202487090487356	0.0019442322357593044	0.006396156840754008	0.001373436277327224
88.	0.0040785684184602156	0.0008813092068428174	0.00406795958764707	0.0553115209709768	0.008449198633999932
1028.	0.011148377006106158	0.00341910837800119	0.008640105746650745	0.02957276498042094	0.005511482249170318
1053.	0.008922346723327701	0.0008798750773927333	0.0056135080870016885	0.026113276050167	0.0053121613349298
1067.	0.01597273518537401	0.0013749515319682049	0.004894524544054389	0.019044902713086564	0.0039458226152061845
1006.	0.019151929601880058	0.0009031791570215386	0.007224814319992345	0.05046634416295326	0.010849998720047877
